date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-09-04,MAXHEALTH,EQ,107.000000,120.900000,105.300000,115.250000,111.750000,1514512,1749.03,13767,
2020-09-07,MAXHEALTH,EQ,115.650000,118.700000,112.650000,113.350000,115.250000,740174,846.66,8400,
2020-09-08,MAXHEALTH,EQ,114.600000,116.250000,107.450000,110.000000,113.350000,845613,940.50,4059,
2020-09-09,MAXHEALTH,EQ,106.000000,114.950000,105.600000,111.450000,110.000000,798343,883.11,5473,
2020-09-10,MAXHEALTH,EQ,113.250000,115.950000,111.000000,111.700000,111.450000,731283,824.73,8381,
2020-09-11,MAXHEALTH,EQ,120.450000,133.950000,120.300000,131.550000,111.700000,11028197,14205.16,68438,
2020-09-14,MAXHEALTH,EQ,127.000000,129.350000,120.150000,120.900000,131.550000,3503925,4340.80,42126,
2020-09-15,MAXHEALTH,EQ,122.000000,125.400000,117.300000,118.750000,120.900000,1262738,1527.60,15161,
2020-09-16,MAXHEALTH,EQ,119.900000,122.000000,116.900000,120.700000,118.750000,749709,895.12,7298,
2020-09-17,MAXHEALTH,EQ,120.000000,121.350000,116.100000,117.700000,120.700000,617657,731.28,5998,
2020-09-18,MAXHEALTH,EQ,118.600000,120.900000,115.250000,116.850000,117.700000,1106408,1309.13,7270,
2020-09-21,MAXHEALTH,EQ,117.950000,119.300000,107.850000,110.900000,116.850000,1758972,1986.73,9755,
2020-09-22,MAXHEALTH,EQ,110.950000,112.400000,107.000000,109.050000,110.900000,574754,626.80,6234,
2020-09-23,MAXHEALTH,EQ,110.900000,115.900000,108.550000,110.950000,109.050000,1230945,1373.46,9856,
2020-09-24,MAXHEALTH,EQ,110.000000,112.950000,108.000000,108.750000,110.950000,389947,428.30,4242,
2020-09-25,MAXHEALTH,EQ,110.100000,112.000000,109.250000,109.900000,108.750000,473902,523.40,3769,
2020-09-28,MAXHEALTH,EQ,111.550000,119.500000,111.350000,116.550000,109.900000,5292435,6105.17,21823,
2020-09-29,MAXHEALTH,EQ,117.000000,117.500000,111.750000,113.450000,116.550000,1304996,1490.22,7918,
2020-09-30,MAXHEALTH,EQ,113.000000,117.900000,112.750000,115.350000,113.450000,1287726,1488.09,8898,
2020-10-01,MAXHEALTH,EQ,116.700000,119.100000,114.350000,115.900000,115.350000,1656938,1939.93,6673,
2020-10-05,MAXHEALTH,EQ,116.050000,117.650000,113.600000,114.000000,115.900000,319243,368.20,2824,
2020-10-06,MAXHEALTH,EQ,114.150000,117.300000,114.100000,115.550000,114.000000,440116,508.59,4023,
2020-10-07,MAXHEALTH,EQ,115.750000,115.750000,111.950000,114.300000,115.550000,407970,464.10,3703,
2020-10-08,MAXHEALTH,EQ,115.450000,115.900000,112.100000,112.650000,114.300000,550754,628.01,2843,
2020-10-09,MAXHEALTH,EQ,113.150000,113.600000,109.550000,110.700000,112.650000,545288,606.99,5818,
2020-10-12,MAXHEALTH,EQ,111.250000,112.800000,107.600000,108.550000,110.700000,415407,456.14,3748,
2020-10-13,MAXHEALTH,EQ,109.600000,113.400000,108.800000,112.650000,108.550000,547097,609.42,3186,
2020-10-14,MAXHEALTH,EQ,113.600000,113.600000,109.500000,109.950000,112.650000,305686,339.30,1882,
2020-10-15,MAXHEALTH,EQ,110.000000,114.500000,106.300000,107.150000,109.950000,479087,525.09,3566,
2020-10-16,MAXHEALTH,EQ,107.500000,109.150000,106.600000,108.100000,107.150000,170235,184.21,1753,
2020-10-19,MAXHEALTH,EQ,108.700000,109.800000,107.000000,108.600000,108.100000,216811,235.25,1801,
2020-10-20,MAXHEALTH,EQ,108.800000,108.900000,106.550000,106.950000,108.600000,156582,168.18,1913,
2020-10-21,MAXHEALTH,EQ,106.750000,108.100000,105.800000,106.200000,106.950000,157747,168.63,1673,
2020-10-22,MAXHEALTH,EQ,106.550000,107.000000,104.400000,105.650000,106.200000,265310,280.17,2621,
2020-10-23,MAXHEALTH,EQ,106.450000,106.500000,104.800000,105.300000,105.650000,244630,257.56,3105,
2020-10-26,MAXHEALTH,EQ,105.050000,106.600000,104.000000,105.200000,105.300000,240894,254.37,2161,
2020-10-27,MAXHEALTH,EQ,106.400000,107.400000,104.650000,106.050000,105.200000,294750,312.97,3415,
2020-10-28,MAXHEALTH,EQ,106.250000,106.650000,104.000000,104.550000,106.050000,152273,159.38,2177,
2020-10-29,MAXHEALTH,EQ,104.100000,105.100000,102.350000,103.650000,104.550000,173698,179.75,2296,
2020-10-30,MAXHEALTH,EQ,105.000000,110.900000,104.100000,106.550000,103.650000,383823,413.76,3993,
2020-11-02,MAXHEALTH,EQ,106.500000,110.000000,106.250000,107.150000,106.550000,171594,184.36,1880,
