date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-10-12,MAZDOCK,EQ,107.450000,108.475000,85.975000,85.975000,72.500000,79858408,74524.75,569001,
2020-10-13,MAZDOCK,EQ,86.000000,92.350000,82.000000,90.725000,85.975000,37725126,33181.58,221335,
2020-10-14,MAZDOCK,EQ,90.225000,93.700000,89.050000,91.125000,90.725000,12357018,11314.77,71868,
2020-10-15,MAZDOCK,EQ,90.975000,91.375000,85.500000,85.925000,91.125000,6386966,5638.03,43870,
2020-10-16,MAZDOCK,EQ,86.875000,87.725000,82.500000,84.025000,85.925000,6145884,5210.71,58615,
2020-10-19,MAZDOCK,EQ,85.375000,86.425000,83.750000,84.150000,84.025000,3845168,3263.51,23663,
2020-10-20,MAZDOCK,EQ,83.850000,84.900000,82.700000,83.025000,84.150000,2524762,2109.21,17825,
2020-10-21,MAZDOCK,EQ,83.450000,88.850000,83.225000,85.825000,83.025000,8955832,7718.78,47898,
2020-10-22,MAZDOCK,EQ,86.150000,87.450000,83.850000,85.325000,85.825000,4006728,3427.64,20782,
2020-10-23,MAZDOCK,EQ,87.075000,89.500000,86.200000,87.700000,85.325000,7147942,6303.58,35261,
2020-10-26,MAZDOCK,EQ,87.975000,87.975000,85.000000,85.400000,87.700000,1854890,1595.69,11585,
2020-10-27,MAZDOCK,EQ,85.450000,85.775000,83.725000,84.425000,85.400000,1549948,1311.21,11082,
2020-10-28,MAZDOCK,EQ,84.975000,85.600000,83.500000,83.625000,84.425000,1863508,1571.34,13312,
2020-10-29,MAZDOCK,EQ,83.575000,84.500000,83.100000,83.500000,83.625000,1811628,1516.69,11411,
2020-10-30,MAZDOCK,EQ,83.750000,84.850000,82.500000,83.375000,83.500000,1907672,1597.19,11484,
2020-11-02,MAZDOCK,EQ,83.375000,86.250000,82.650000,84.175000,83.375000,2417362,2034.41,14566,
2020-11-03,MAZDOCK,EQ,84.600000,84.975000,83.025000,83.300000,84.175000,1220048,1024.59,8464,
2020-11-04,MAZDOCK,EQ,83.250000,83.950000,82.550000,82.900000,83.300000,1438208,1196.40,8287,
2020-11-05,MAZDOCK,EQ,83.375000,86.100000,83.225000,84.625000,82.900000,3004132,2548.02,12923,
2020-11-06,MAZDOCK,EQ,84.775000,87.000000,84.500000,85.025000,84.625000,3989116,3430.37,19809,
2020-11-09,MAZDOCK,EQ,86.000000,90.975000,85.700000,89.725000,85.025000,12995598,11502.95,43311,
2020-11-10,MAZDOCK,EQ,89.625000,89.625000,85.375000,86.200000,89.725000,4759910,4152.68,20443,
2020-11-11,MAZDOCK,EQ,86.500000,88.175000,86.000000,87.225000,86.200000,3276260,2856.93,13596,
2020-11-12,MAZDOCK,EQ,87.300000,89.000000,86.250000,88.025000,87.225000,2847644,2484.19,11596,
2020-11-13,MAZDOCK,EQ,89.700000,92.250000,88.750000,91.575000,88.025000,13012488,11849.31,50290,
2020-11-17,MAZDOCK,EQ,95.700000,96.400000,90.625000,91.950000,94.125000,7601208,7157.62,29020,
2020-11-18,MAZDOCK,EQ,92.000000,93.250000,91.500000,91.700000,91.950000,3381334,3116.38,14800,
2020-11-19,MAZDOCK,EQ,91.600000,93.500000,90.800000,92.275000,91.700000,4326668,3989.53,17789,
2020-11-20,MAZDOCK,EQ,92.875000,94.400000,91.900000,92.225000,92.275000,5393566,5016.86,21226,
2020-11-23,MAZDOCK,EQ,92.500000,92.975000,90.375000,91.100000,92.225000,2986602,2738.99,12503,
2020-11-24,MAZDOCK,EQ,91.375000,92.750000,90.450000,90.700000,91.100000,2956224,2704.65,11462,
2020-11-25,MAZDOCK,EQ,91.400000,91.675000,89.600000,89.900000,90.700000,2955666,2674.04,12421,
2020-11-26,MAZDOCK,EQ,90.225000,90.725000,89.175000,89.625000,89.900000,2219270,1990.32,8782,
2020-11-27,MAZDOCK,EQ,89.875000,91.325000,89.050000,89.500000,89.625000,3827906,3455.02,12629,
2020-12-01,MAZDOCK,EQ,90.225000,91.750000,90.175000,91.000000,89.500000,2619566,2380.44,10070,
2020-12-02,MAZDOCK,EQ,91.400000,91.500000,90.000000,90.450000,91.000000,1595644,1446.49,7156,
2020-12-03,MAZDOCK,EQ,90.900000,93.875000,90.850000,92.375000,90.450000,5058866,4677.58,20548,
2020-12-04,MAZDOCK,EQ,92.500000,92.925000,90.950000,91.200000,92.375000,2080358,1910.72,10318,
2020-12-07,MAZDOCK,EQ,91.400000,97.100000,91.350000,95.675000,91.200000,8643060,8208.24,41590,
2020-12-08,MAZDOCK,EQ,96.250000,97.650000,93.550000,94.350000,95.675000,4763218,4541.58,22306,
2020-12-09,MAZDOCK,EQ,95.775000,99.450000,94.900000,97.950000,94.350000,10666508,10437.34,55276,
2020-12-10,MAZDOCK,EQ,97.725000,98.375000,95.000000,95.900000,97.950000,2859860,2748.31,14374,
2020-12-11,MAZDOCK,EQ,96.250000,97.300000,94.000000,94.375000,95.900000,3220416,3082.65,12206,
2020-12-14,MAZDOCK,EQ,94.675000,97.650000,94.525000,97.075000,94.375000,3285710,3157.37,14666,
2020-12-15,MAZDOCK,EQ,97.000000,97.000000,95.000000,95.525000,97.075000,2070352,1983.21,9953,
2020-12-16,MAZDOCK,EQ,95.875000,113.950000,95.750000,110.150000,95.525000,40839156,43938.21,171698,
2020-12-17,MAZDOCK,EQ,109.025000,111.950000,102.500000,103.675000,110.150000,18276524,19803.95,76929,
2020-12-18,MAZDOCK,EQ,104.400000,112.850000,101.250000,110.975000,103.675000,30277348,33017.25,136974,
2020-12-21,MAZDOCK,EQ,110.500000,112.375000,98.000000,102.325000,110.975000,8636930,9181.76,48915,
2020-12-22,MAZDOCK,EQ,102.525000,105.850000,98.025000,104.500000,102.325000,6010174,6159.84,39003,
2020-12-23,MAZDOCK,EQ,104.875000,109.000000,104.500000,107.300000,104.500000,3324708,3566.63,23946,
2020-12-24,MAZDOCK,EQ,107.875000,109.100000,105.075000,106.200000,107.300000,2107604,2254.46,15629,
2020-12-28,MAZDOCK,EQ,107.175000,108.950000,106.525000,107.900000,106.200000,2816894,3040.24,16204,
2020-12-29,MAZDOCK,EQ,108.900000,108.900000,105.600000,106.275000,107.900000,2008236,2145.79,11577,
2020-12-30,MAZDOCK,EQ,107.000000,112.850000,105.400000,110.575000,106.275000,9124316,10007.85,48566,
2020-12-31,MAZDOCK,EQ,110.450000,111.975000,108.700000,109.225000,110.575000,3360554,3694.34,20021,
2021-01-01,MAZDOCK,EQ,109.475000,117.425000,109.100000,113.825000,109.225000,16395826,18841.29,89607,
2021-01-04,MAZDOCK,EQ,114.500000,115.850000,112.000000,113.650000,113.825000,4298892,4910.63,23380,
2021-01-05,MAZDOCK,EQ,113.500000,115.475000,111.800000,112.675000,113.650000,2990746,3385.75,16803,
2021-01-06,MAZDOCK,EQ,113.250000,113.525000,108.000000,109.650000,112.675000,3440176,3815.08,20442,
2021-01-07,MAZDOCK,EQ,110.575000,112.275000,109.325000,110.150000,109.650000,3037082,3359.47,16851,
2021-01-08,MAZDOCK,EQ,111.300000,113.500000,110.050000,110.850000,110.150000,2397090,2681.24,14396,
2021-01-11,MAZDOCK,EQ,111.500000,111.850000,108.825000,109.350000,110.850000,1482752,1630.44,9341,
2021-01-12,MAZDOCK,EQ,108.975000,111.950000,108.500000,109.500000,109.350000,2352184,2587.35,14206,
