date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2022-06-09,MOTHERSON,EQ,54.666667,55.422222,54.444444,55.288889,55.111111,6529093,3601.75,23652,
2022-06-10,MOTHERSON,EQ,54.666667,55.377778,54.266667,54.533333,55.288889,4437382,2435.69,16864,
2022-06-13,MOTHERSON,EQ,53.955556,54.555556,52.888889,53.622222,54.533333,11549608,6206.83,27650,
2022-06-14,MOTHERSON,EQ,53.111111,54.311111,52.911111,53.422222,53.622222,7607707,4083.18,27792,
2022-06-15,MOTHERSON,EQ,53.777778,54.400000,53.422222,53.711111,53.422222,4254988,2297.27,12439,
2022-06-16,MOTHERSON,EQ,54.533333,54.800000,52.000000,52.155556,53.711111,8501832,4529.99,37075,
2022-06-17,MOTHERSON,EQ,52.133333,52.511111,51.022222,51.644444,52.155556,9665737,5011.13,27586,
2022-06-20,MOTHERSON,EQ,51.644444,52.355556,49.777778,50.200000,51.644444,11586256,5938.22,30484,
2022-06-21,MOTHERSON,EQ,50.666667,53.422222,50.577778,52.777778,50.200000,11081128,5815.99,27449,
2022-06-22,MOTHERSON,EQ,52.444444,52.666667,50.800000,51.377778,52.777778,10190722,5245.36,26574,
2022-06-23,MOTHERSON,EQ,51.511111,53.244444,51.511111,53.088889,51.377778,11007428,5790.95,35723,
2022-06-24,MOTHERSON,EQ,53.733333,54.666667,52.955556,54.355556,53.088889,12102802,6542.33,32238,
2022-06-27,MOTHERSON,EQ,55.111111,55.688889,54.644444,55.044444,54.355556,9985894,5521.11,28413,
2022-06-28,MOTHERSON,EQ,54.755556,55.533333,54.022222,55.311111,55.044444,12705170,6967.48,29359,
2022-06-29,MOTHERSON,EQ,54.244444,55.044444,53.355556,54.266667,55.311111,11866982,6407.68,27511,
2022-06-30,MOTHERSON,EQ,54.244444,54.822222,52.111111,52.511111,54.266667,18205247,9682.12,41154,
2022-07-01,MOTHERSON,EQ,52.044444,52.444444,51.400000,52.311111,52.511111,12737124,6604.78,25707,
2022-07-04,MOTHERSON,EQ,52.355556,52.844444,51.577778,52.155556,52.311111,6617729,3445.45,29416,
2022-07-05,MOTHERSON,EQ,52.266667,52.644444,50.711111,51.133333,52.155556,12597311,6517.42,53328,
2022-07-06,MOTHERSON,EQ,51.066667,52.000000,50.511111,51.866667,51.133333,12730923,6560.89,39713,
2022-07-07,MOTHERSON,EQ,52.111111,53.666667,51.622222,53.222222,51.866667,16538087,8666.71,48088,
2022-07-08,MOTHERSON,EQ,53.555556,53.777778,52.266667,52.888889,53.222222,9437024,4983.22,48428,
2022-07-11,MOTHERSON,EQ,52.533333,54.266667,52.288889,54.066667,52.888889,8102583,4336.11,31456,
2022-07-12,MOTHERSON,EQ,53.777778,53.777778,52.488889,52.666667,54.066667,7267100,3846.71,41542,
2022-07-13,MOTHERSON,EQ,53.000000,53.222222,52.288889,52.488889,52.666667,7743308,4075.37,32620,
2022-07-14,MOTHERSON,EQ,52.622222,53.200000,52.222222,53.000000,52.488889,8276924,4361.29,31990,
2022-07-15,MOTHERSON,EQ,53.066667,53.311111,52.666667,53.155556,53.000000,4783428,2535.80,18853,
2022-07-18,MOTHERSON,EQ,53.555556,56.444444,53.400000,56.044444,53.155556,11558866,6367.69,39159,
2022-07-19,MOTHERSON,EQ,56.222222,56.577778,55.555556,55.688889,56.044444,8349491,4671.46,37538,
2022-07-20,MOTHERSON,EQ,56.133333,57.288889,55.977778,56.244444,55.688889,10860268,6157.87,44960,
2022-07-21,MOTHERSON,EQ,56.511111,61.111111,56.511111,59.755556,56.244444,51491700,30517.67,163852,
2022-07-22,MOTHERSON,EQ,60.088889,60.533333,58.377778,58.755556,59.755556,18271809,10894.45,47728,
2022-07-25,MOTHERSON,EQ,58.666667,60.022222,57.333333,58.044444,58.755556,12806870,7465.51,41461,
2022-07-26,MOTHERSON,EQ,58.000000,58.488889,57.333333,57.755556,58.044444,7719350,4458.33,24633,
2022-07-27,MOTHERSON,EQ,57.755556,58.044444,56.955556,57.488889,57.755556,6623395,3810.22,27991,
2022-07-28,MOTHERSON,EQ,58.044444,58.155556,56.800000,57.066667,57.488889,6708771,3848.45,25239,
2022-07-29,MOTHERSON,EQ,57.511111,57.777778,56.377778,56.577778,57.066667,11384100,6483.24,29315,
2022-08-01,MOTHERSON,EQ,56.888889,59.111111,56.666667,58.111111,56.577778,19130888,11083.24,61248,
2022-08-02,MOTHERSON,EQ,58.200000,60.044444,56.955556,59.244444,58.111111,19096783,11301.24,54104,
2022-08-03,MOTHERSON,EQ,59.311111,59.555556,57.000000,58.022222,59.244444,17096130,9906.41,52965,
2022-08-04,MOTHERSON,EQ,58.200000,59.577778,56.644444,57.800000,58.022222,19609052,11338.58,43114,
2022-08-05,MOTHERSON,EQ,58.111111,58.866667,57.266667,57.977778,57.800000,14898123,8673.76,46643,
2022-08-10,MOTHERSON,EQ,57.777778,57.777778,53.844444,54.133333,57.133333,42421007,23160.49,131729,
2022-08-11,MOTHERSON,EQ,54.644444,55.200000,54.000000,55.066667,54.133333,35535058,19352.71,59584,
2022-08-12,MOTHERSON,EQ,55.022222,55.155556,54.400000,54.555556,55.066667,11216894,6136.65,40996,
2022-08-16,MOTHERSON,EQ,55.111111,57.377778,54.733333,57.133333,54.555556,33560975,18883.79,79312,
2022-08-17,MOTHERSON,EQ,57.444444,59.000000,56.733333,58.755556,57.133333,29004736,16841.61,78431,
2022-08-18,MOTHERSON,EQ,58.622222,59.111111,57.933333,58.422222,58.755556,13803764,8067.47,49491,
2022-08-19,MOTHERSON,EQ,58.711111,58.711111,56.666667,56.955556,58.422222,12155065,6988.73,41220,
2022-08-22,MOTHERSON,EQ,56.888889,57.000000,55.666667,55.822222,56.955556,12977402,7325.20,28194,
2022-08-23,MOTHERSON,EQ,55.333333,56.511111,54.377778,55.155556,55.822222,14652587,8089.90,45422,
2022-08-24,MOTHERSON,EQ,55.288889,56.177778,55.200000,55.533333,55.155556,9927160,5525.66,24093,
2022-08-25,MOTHERSON,EQ,55.866667,56.955556,55.333333,55.511111,55.533333,20846293,11667.75,44730,
2022-08-26,MOTHERSON,EQ,56.088889,56.422222,55.333333,55.488889,55.511111,10504528,5867.34,23118,
2022-08-29,MOTHERSON,EQ,54.222222,54.444444,53.466667,53.822222,55.488889,19069895,10301.24,54920,
2022-08-30,MOTHERSON,EQ,54.222222,55.466667,54.133333,54.622222,53.822222,70877673,38785.72,73804,
2022-09-01,MOTHERSON,EQ,54.488889,56.044444,54.244444,55.844444,54.622222,24464794,13537.15,35285,
2022-09-02,MOTHERSON,EQ,56.155556,56.488889,55.733333,55.866667,55.844444,10764369,6038.90,32382,
2022-09-05,MOTHERSON,EQ,56.244444,56.333333,55.644444,55.711111,55.866667,7724194,4318.96,19408,
2022-09-06,MOTHERSON,EQ,55.800000,56.000000,54.444444,54.733333,55.711111,13421106,7362.24,34100,
2022-09-07,MOTHERSON,EQ,54.733333,54.800000,54.133333,54.644444,54.733333,12584689,6862.67,36106,
2022-09-08,MOTHERSON,EQ,55.288889,55.311111,54.555556,54.733333,54.644444,9239366,5070.98,27923,
2022-09-09,MOTHERSON,EQ,55.333333,55.955556,54.800000,54.977778,54.733333,13965408,7709.56,31180,
2022-09-12,MOTHERSON,EQ,55.222222,55.822222,55.133333,55.666667,54.977778,13205590,7336.63,41076,
2022-09-13,MOTHERSON,EQ,55.933333,57.644444,55.644444,57.066667,55.666667,19334470,10972.19,59183,
2022-09-14,MOTHERSON,EQ,56.155556,57.333333,55.555556,56.977778,57.066667,16066469,9117.16,48571,
2022-09-15,MOTHERSON,EQ,57.311111,57.688889,56.555556,57.311111,56.977778,20483804,11723.68,80554,
2022-09-16,MOTHERSON,EQ,57.622222,57.622222,54.822222,55.200000,57.311111,18769079,10496.56,76179,
2022-09-19,MOTHERSON,EQ,55.555556,55.555556,54.377778,54.577778,55.200000,9266445,5085.34,27216,
2022-09-20,MOTHERSON,EQ,55.111111,56.044444,55.022222,55.266667,54.577778,8168726,4533.92,28248,
2022-09-21,MOTHERSON,EQ,55.577778,55.711111,54.355556,54.511111,55.266667,10163894,5567.33,31175,
2022-09-22,MOTHERSON,EQ,54.377778,54.711111,53.266667,54.088889,54.511111,13753822,7401.64,43414,
2022-09-23,MOTHERSON,EQ,54.266667,54.511111,52.288889,52.488889,54.088889,10698410,5681.88,42951,
2022-09-26,MOTHERSON,EQ,53.533333,53.533333,49.822222,50.133333,52.488889,23948926,12143.86,77276,
2022-09-27,MOTHERSON,EQ,50.666667,50.977778,48.933333,49.644444,50.133333,22636818,11253.78,71077,
2022-09-28,MOTHERSON,EQ,49.066667,49.066667,47.244444,47.488889,49.644444,54780826,26212.53,131590,
2022-09-29,MOTHERSON,EQ,48.222222,48.422222,45.666667,47.022222,47.488889,70687148,33284.58,93096,
2022-09-30,MOTHERSON,EQ,47.244444,49.555556,46.222222,48.444444,47.022222,45500166,22117.96,80246,
2022-10-03,MOTHERSON,EQ,49.933333,49.933333,48.400000,48.633333,72.666667,26165662,12791.18,106211,
2022-10-04,MOTHERSON,EQ,49.866667,49.866667,48.066667,48.200000,48.633333,13234878,6434.69,52537,
2022-10-06,MOTHERSON,EQ,49.100000,52.233333,48.733333,50.766667,48.200000,32852646,16706.96,68157,
2022-10-07,MOTHERSON,EQ,51.233333,51.333333,50.233333,51.133333,50.766667,9838832,4998.59,46453,
2022-10-10,MOTHERSON,EQ,50.500000,50.833333,49.600000,50.466667,51.133333,6821782,3428.23,40128,
2022-10-11,MOTHERSON,EQ,50.666667,50.900000,48.600000,48.766667,50.466667,10536954,5194.69,41022,
2022-10-12,MOTHERSON,EQ,48.933333,49.200000,48.333333,49.033333,48.766667,7003894,3417.70,25322,
2022-10-13,MOTHERSON,EQ,49.000000,49.333333,47.400000,47.566667,49.033333,10549088,5048.55,52726,
2022-10-14,MOTHERSON,EQ,48.466667,48.466667,46.133333,46.266667,47.566667,13759713,6478.78,75596,
2022-10-17,MOTHERSON,EQ,46.300000,46.433333,45.733333,46.133333,46.266667,6975262,3218.94,27970,
2022-10-18,MOTHERSON,EQ,43.666667,43.900000,42.200000,42.600000,46.133333,157739504,68044.87,158107,
2022-10-19,MOTHERSON,EQ,43.000000,43.200000,42.166667,42.333333,42.600000,30965580,13195.50,71934,
2022-10-20,MOTHERSON,EQ,42.333333,43.000000,41.300000,42.333333,42.333333,24310830,10264.82,69628,
2022-10-21,MOTHERSON,EQ,42.533333,42.566667,41.266667,41.400000,42.333333,26618376,11106.04,83028,
2022-10-24,MOTHERSON,EQ,41.933333,42.133333,41.466667,41.866667,41.400000,3543192,1484.75,21237,
2022-10-25,MOTHERSON,EQ,42.000000,42.033333,41.200000,41.400000,41.866667,39201670,16277.27,52399,
2022-10-27,MOTHERSON,EQ,41.633333,42.666667,41.500000,42.500000,41.400000,26598516,11224.17,53364,
2022-10-28,MOTHERSON,EQ,42.666667,42.933333,42.166667,42.766667,42.500000,14994022,6391.87,36578,
2022-10-31,MOTHERSON,EQ,43.666667,43.666667,42.533333,43.000000,42.766667,19475290,8336.47,32667,
2022-11-01,MOTHERSON,EQ,43.233333,44.466667,43.000000,43.433333,43.000000,18705784,8169.12,40671,
2022-11-02,MOTHERSON,EQ,43.533333,43.733333,42.933333,43.100000,43.433333,7536579,3253.47,27537,
2022-11-03,MOTHERSON,EQ,42.900000,43.300000,42.733333,43.033333,43.100000,8861697,3813.59,28821,
2022-11-04,MOTHERSON,EQ,43.100000,43.500000,42.966667,43.366667,43.033333,15548622,6723.56,28183,
2022-11-07,MOTHERSON,EQ,43.800000,45.066667,43.600000,44.366667,43.366667,25600456,11365.66,55367,
2022-11-09,MOTHERSON,EQ,44.633333,46.033333,44.566667,45.533333,44.366667,22203240,10118.99,52463,
2022-11-10,MOTHERSON,EQ,45.666667,47.833333,45.133333,46.966667,45.533333,50365544,23328.51,80938,
2022-11-11,MOTHERSON,EQ,49.500000,49.700000,46.266667,47.366667,46.966667,63710211,30263.41,97496,
2022-11-14,MOTHERSON,EQ,47.600000,49.033333,47.200000,48.600000,47.366667,35562411,17155.11,55643,
2022-11-15,MOTHERSON,EQ,48.833333,49.466667,48.266667,49.333333,48.600000,13874194,6811.51,32936,
2022-11-16,MOTHERSON,EQ,49.333333,49.400000,47.633333,48.100000,49.333333,17303618,8359.71,47190,
2022-11-17,MOTHERSON,EQ,47.866667,49.033333,47.600000,48.866667,48.100000,15579176,7562.43,33323,
2022-11-18,MOTHERSON,EQ,49.000000,49.200000,47.700000,48.133333,48.866667,12967971,6259.38,36737,
2022-11-21,MOTHERSON,EQ,48.066667,48.400000,47.266667,47.666667,48.133333,9486129,4532.99,27980,
2022-11-22,MOTHERSON,EQ,48.000000,48.066667,47.333333,47.633333,47.666667,7414236,3530.02,26212,
2022-11-23,MOTHERSON,EQ,47.866667,48.066667,47.500000,47.633333,47.633333,5084847,2424.13,17348,
2022-11-24,MOTHERSON,EQ,47.666667,48.066667,47.166667,47.766667,47.633333,12069690,5743.87,27691,
2022-11-25,MOTHERSON,EQ,47.966667,49.200000,47.766667,48.933333,47.766667,9868503,4804.99,20533,
2022-11-28,MOTHERSON,EQ,49.133333,49.400000,48.566667,48.733333,48.933333,8666558,4239.68,22001,
2022-11-29,MOTHERSON,EQ,48.733333,49.633333,48.600000,48.866667,48.733333,14081674,6927.64,35409,
