date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,MUTHOOTFIN,EQ,761.000000,765.600000,758.000000,760.600000,761.450000,248641,1892.61,5414,
2020-01-02,MUTHOOTFIN,EQ,764.400000,772.300000,762.300000,768.550000,760.600000,459220,3523.51,12352,
2020-01-03,MUTHOOTFIN,EQ,763.100000,772.850000,763.100000,770.800000,768.550000,414687,3183.66,7197,
2020-01-06,MUTHOOTFIN,EQ,772.500000,778.950000,754.400000,756.100000,770.800000,1814426,13938.31,23203,
2020-01-07,MUTHOOTFIN,EQ,764.000000,766.000000,745.000000,750.000000,756.100000,1005706,7559.58,18923,
2020-01-08,MUTHOOTFIN,EQ,742.000000,753.600000,740.500000,746.300000,750.000000,710695,5293.84,17952,
2020-01-09,MUTHOOTFIN,EQ,753.000000,754.900000,740.000000,742.000000,746.300000,694565,5173.80,18002,
2020-01-10,MUTHOOTFIN,EQ,743.000000,752.700000,740.200000,747.850000,742.000000,612619,4575.24,16936,
2020-01-13,MUTHOOTFIN,EQ,749.000000,761.350000,747.600000,750.150000,747.850000,902246,6787.32,15362,
2020-01-14,MUTHOOTFIN,EQ,750.200000,767.550000,750.200000,764.350000,750.150000,672650,5121.35,19142,
2020-01-15,MUTHOOTFIN,EQ,766.000000,772.000000,758.300000,760.150000,764.350000,991772,7565.59,24554,
2020-01-16,MUTHOOTFIN,EQ,760.200000,796.400000,760.200000,789.050000,760.150000,1862469,14567.66,31493,
2020-01-17,MUTHOOTFIN,EQ,789.050000,792.200000,775.500000,779.800000,789.050000,487514,3822.37,15380,
2020-01-20,MUTHOOTFIN,EQ,781.000000,786.500000,769.750000,774.200000,779.800000,309286,2404.03,18585,
2020-01-21,MUTHOOTFIN,EQ,774.050000,775.800000,761.650000,769.000000,774.200000,574086,4413.11,38574,
2020-01-22,MUTHOOTFIN,EQ,773.000000,774.850000,755.500000,758.000000,769.000000,720758,5484.83,56675,
2020-01-23,MUTHOOTFIN,EQ,755.000000,763.850000,753.750000,760.300000,758.000000,857187,6508.10,49632,
2020-01-24,MUTHOOTFIN,EQ,761.900000,766.000000,750.250000,751.950000,760.300000,1028438,7776.45,42160,
2020-01-27,MUTHOOTFIN,EQ,747.100000,765.000000,747.000000,751.150000,751.950000,810056,6125.47,36249,
2020-01-28,MUTHOOTFIN,EQ,750.000000,760.750000,746.400000,757.450000,751.150000,760266,5730.04,18649,
2020-01-29,MUTHOOTFIN,EQ,762.000000,769.450000,757.700000,761.300000,757.450000,510568,3895.93,18024,
2020-01-30,MUTHOOTFIN,EQ,759.000000,782.150000,756.050000,773.300000,761.300000,1130273,8729.74,20129,
2020-01-31,MUTHOOTFIN,EQ,782.450000,782.450000,758.850000,762.650000,773.300000,534770,4108.93,20261,
2020-02-03,MUTHOOTFIN,EQ,750.000000,754.150000,732.750000,748.350000,745.400000,570401,4257.29,28407,
2020-02-04,MUTHOOTFIN,EQ,753.000000,776.300000,751.700000,770.400000,748.350000,979958,7525.08,23760,
2020-02-05,MUTHOOTFIN,EQ,771.000000,781.250000,756.100000,759.650000,770.400000,800891,6148.56,25472,
2020-02-06,MUTHOOTFIN,EQ,757.000000,772.300000,749.000000,763.500000,759.650000,883115,6724.49,17802,
2020-02-07,MUTHOOTFIN,EQ,764.000000,766.800000,755.250000,760.950000,763.500000,406092,3088.32,14097,
2020-02-10,MUTHOOTFIN,EQ,762.000000,764.700000,752.900000,760.300000,760.950000,315966,2394.83,8154,
2020-02-11,MUTHOOTFIN,EQ,760.050000,765.450000,744.150000,747.400000,760.300000,713531,5368.05,16161,
2020-02-12,MUTHOOTFIN,EQ,746.950000,754.650000,739.000000,741.650000,747.400000,534464,3987.08,12446,
2020-02-13,MUTHOOTFIN,EQ,742.900000,747.950000,737.000000,740.400000,741.650000,405771,3008.81,15472,
2020-02-14,MUTHOOTFIN,EQ,744.850000,750.000000,740.100000,746.900000,740.400000,665969,4964.55,19803,
2020-02-17,MUTHOOTFIN,EQ,782.000000,882.000000,769.000000,873.900000,746.900000,19143503,160358.75,315965,
2020-02-18,MUTHOOTFIN,EQ,870.000000,898.850000,846.000000,869.300000,873.900000,19323677,169048.44,317924,
2020-02-19,MUTHOOTFIN,EQ,870.000000,889.000000,857.800000,875.100000,869.300000,3876635,33847.55,97243,
2020-02-20,MUTHOOTFIN,EQ,873.000000,935.450000,866.450000,912.700000,875.100000,9227400,84369.53,153235,
2020-02-24,MUTHOOTFIN,EQ,901.900000,945.000000,893.400000,933.450000,912.700000,6900742,64406.26,134548,
2020-02-25,MUTHOOTFIN,EQ,933.000000,954.500000,926.750000,944.400000,933.450000,4338699,40772.48,85411,
2020-02-26,MUTHOOTFIN,EQ,940.000000,954.050000,935.000000,939.950000,944.400000,2961194,27980.04,56027,
2020-02-27,MUTHOOTFIN,EQ,945.000000,947.700000,906.200000,930.750000,939.950000,3546208,32763.75,60190,
2020-02-28,MUTHOOTFIN,EQ,905.000000,915.950000,871.400000,880.250000,930.750000,2605536,23282.38,50586,
2020-03-02,MUTHOOTFIN,EQ,882.100000,901.800000,850.400000,860.100000,880.250000,2891530,25205.29,54679,
2020-03-03,MUTHOOTFIN,EQ,859.000000,876.900000,846.200000,866.000000,860.100000,2390316,20553.13,54808,
2020-03-04,MUTHOOTFIN,EQ,870.000000,879.000000,851.000000,873.300000,866.000000,2480690,21511.05,62688,
2020-03-05,MUTHOOTFIN,EQ,879.800000,891.250000,869.100000,877.950000,873.300000,1338135,11758.57,25695,
2020-03-06,MUTHOOTFIN,EQ,850.000000,874.800000,840.550000,869.650000,877.950000,1002524,8625.73,25692,
2020-03-09,MUTHOOTFIN,EQ,862.000000,863.750000,818.300000,830.300000,869.650000,2006855,16697.81,63368,
2020-03-11,MUTHOOTFIN,EQ,828.800000,856.950000,825.000000,833.750000,830.300000,2067363,17363.36,69526,
2020-03-12,MUTHOOTFIN,EQ,802.250000,812.600000,750.000000,756.600000,833.750000,2809512,22013.18,76131,
2020-03-13,MUTHOOTFIN,EQ,691.300000,817.450000,650.050000,804.050000,756.600000,2279343,17374.63,54921,
