date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,NESTLEIND,EQ,740.950000,742.467500,735.612500,738.952500,739.267500,477180,3525.05,5858,
2020-01-02,NESTLEIND,EQ,742.445000,742.647500,734.357500,736.467500,738.952500,922320,6798.66,12734,
2020-01-03,NESTLEIND,EQ,737.500000,739.750000,727.805000,729.680000,736.467500,800000,5849.64,12777,
2020-01-06,NESTLEIND,EQ,727.100000,727.100000,713.750000,720.832500,729.680000,1302720,9362.88,22616,
2020-01-07,NESTLEIND,EQ,721.177500,727.337500,713.042500,714.537500,720.832500,1444740,10375.78,17322,
2020-01-08,NESTLEIND,EQ,709.580000,722.500000,706.017500,719.562500,714.537500,789760,5647.04,12492,
2020-01-09,NESTLEIND,EQ,724.750000,733.750000,722.500000,732.172500,719.562500,1114160,8137.66,18285,
2020-01-10,NESTLEIND,EQ,732.172500,735.945000,728.512500,734.292500,732.172500,785480,5747.76,11367,
2020-01-13,NESTLEIND,EQ,737.395000,737.395000,730.050000,732.912500,734.292500,539800,3958.38,9595,
2020-01-14,NESTLEIND,EQ,732.895000,744.750000,730.350000,743.430000,732.912500,1007560,7454.86,15477,
2020-01-15,NESTLEIND,EQ,741.400000,747.500000,735.942500,743.010000,743.430000,829360,6152.83,12078,
2020-01-16,NESTLEIND,EQ,742.550000,769.900000,742.405000,767.745000,743.010000,4064160,30871.38,43878,
2020-01-17,NESTLEIND,EQ,769.950000,780.000000,767.932500,771.972500,767.745000,1927980,14908.44,25802,
2020-01-20,NESTLEIND,EQ,761.507500,773.970000,761.507500,770.862500,771.972500,1375400,10587.79,20790,
2020-01-21,NESTLEIND,EQ,768.052500,775.080000,760.000000,764.037500,770.862500,1265160,9702.42,18689,
2020-01-22,NESTLEIND,EQ,768.450000,779.250000,765.050000,777.435000,764.037500,1112540,8613.75,14173,
2020-01-23,NESTLEIND,EQ,775.000000,781.250000,772.750000,777.442500,777.435000,857220,6663.17,12672,
2020-01-24,NESTLEIND,EQ,780.000000,792.500000,775.007500,787.775000,777.442500,1012640,7957.36,12966,
2020-01-27,NESTLEIND,EQ,785.000000,792.250000,777.997500,783.302500,787.775000,627240,4939.99,10128,
2020-01-28,NESTLEIND,EQ,783.200000,785.500000,768.340000,770.832500,783.302500,1062140,8220.35,20635,
2020-01-29,NESTLEIND,EQ,779.250000,794.997500,772.000000,793.337500,770.832500,1285020,10117.38,19226,
2020-01-30,NESTLEIND,EQ,790.100000,790.542500,773.562500,776.040000,793.337500,945040,7384.27,14481,
2020-01-31,NESTLEIND,EQ,778.000000,781.862500,765.515000,767.972500,776.040000,1192980,9207.53,18075,
2020-02-03,NESTLEIND,EQ,779.450000,825.000000,776.500000,815.050000,776.237500,4075040,33082.32,49666,
2020-02-04,NESTLEIND,EQ,820.000000,825.395000,806.352500,822.780000,815.050000,2328320,19054.40,29932,
2020-02-05,NESTLEIND,EQ,823.800000,824.095000,812.802500,819.242500,822.780000,1150220,9394.86,15347,
2020-02-06,NESTLEIND,EQ,819.950000,827.472500,807.890000,814.247500,819.242500,1481680,12101.53,16534,
2020-02-07,NESTLEIND,EQ,817.000000,819.250000,809.730000,816.390000,814.247500,828140,6756.11,12298,
2020-02-10,NESTLEIND,EQ,815.000000,818.655000,805.600000,808.610000,816.390000,1225400,9926.73,18559,
2020-02-11,NESTLEIND,EQ,812.000000,815.002500,797.500000,799.857500,808.610000,1467000,11786.23,24427,
2020-02-12,NESTLEIND,EQ,801.300000,823.630000,798.422500,814.885000,799.857500,2580220,21045.28,32158,
2020-02-13,NESTLEIND,EQ,816.400000,823.075000,813.867500,820.610000,814.885000,3024560,24783.62,30772,
2020-02-14,NESTLEIND,EQ,825.000000,839.120000,812.500000,817.822500,820.610000,3314160,27282.55,36304,
2020-02-17,NESTLEIND,EQ,820.650000,830.750000,818.650000,829.422500,817.822500,2795760,23106.79,24770,
2020-02-18,NESTLEIND,EQ,828.495000,828.495000,819.252500,820.192500,829.422500,1800260,14798.88,18931,
2020-02-19,NESTLEIND,EQ,826.930000,841.575000,823.790000,839.252500,820.192500,1900000,15891.83,25199,
2020-02-20,NESTLEIND,EQ,837.000000,837.000000,826.270000,826.975000,839.252500,1314640,10914.70,17812,
2020-02-24,NESTLEIND,EQ,824.950000,828.837500,815.850000,816.862500,826.975000,1330320,10923.65,17251,
2020-02-25,NESTLEIND,EQ,818.650000,827.042500,815.467500,819.025000,816.862500,1818320,14922.01,15326,
2020-02-26,NESTLEIND,EQ,827.250000,827.250000,807.502500,812.007500,819.025000,2336780,19071.20,26504,
2020-02-27,NESTLEIND,EQ,815.000000,817.042500,802.875000,813.187500,812.007500,1803980,14599.57,22672,
2020-02-28,NESTLEIND,EQ,802.100000,806.452500,784.000000,788.942500,813.187500,2813460,22251.86,34457,
2020-03-02,NESTLEIND,EQ,797.500000,815.750000,795.050000,805.497500,788.942500,2344640,18951.32,30135,
2020-03-03,NESTLEIND,EQ,806.512500,824.950000,806.512500,817.970000,805.497500,1867440,15266.75,25348,
2020-03-04,NESTLEIND,EQ,819.850000,831.625000,801.000000,827.075000,817.970000,2234220,18248.63,24525,
2020-03-05,NESTLEIND,EQ,827.500000,841.757500,824.125000,828.815000,827.075000,1701800,14150.44,21884,
2020-03-06,NESTLEIND,EQ,817.905000,828.277500,810.005000,821.465000,828.815000,1724240,14145.33,25419,
2020-03-09,NESTLEIND,EQ,812.465000,817.500000,785.055000,801.567500,821.465000,2473680,19776.46,36107,
2020-03-11,NESTLEIND,EQ,800.257500,810.000000,788.640000,802.427500,801.567500,2474640,19777.16,33792,
2020-03-12,NESTLEIND,EQ,793.472500,794.137500,752.250000,778.277500,802.427500,4457320,34349.01,52161,
2020-03-13,NESTLEIND,EQ,767.050000,792.750000,702.500000,749.590000,778.277500,5233400,39011.90,56332,
2020-03-16,NESTLEIND,EQ,740.000000,746.552500,674.632500,719.860000,749.590000,4424560,31496.00,42386,
2020-03-17,NESTLEIND,EQ,725.000000,738.850000,712.500000,727.050000,719.860000,3539600,25721.12,45215,
2020-03-18,NESTLEIND,EQ,727.500000,736.900000,670.000000,676.840000,727.050000,4258840,29643.35,55787,
2020-03-19,NESTLEIND,EQ,650.025000,672.420000,628.852500,656.015000,676.840000,4294200,28002.76,57775,
2020-03-20,NESTLEIND,EQ,659.900000,721.655000,657.500000,707.275000,656.015000,4098500,28655.44,58515,
2020-03-23,NESTLEIND,EQ,637.520000,699.990000,637.502500,647.232500,707.275000,3918540,25889.29,58848,
2020-03-24,NESTLEIND,EQ,694.450000,694.450000,610.000000,673.917500,647.232500,5173720,34903.20,63166,
2020-03-25,NESTLEIND,EQ,640.000000,726.000000,640.000000,722.205000,673.917500,3975180,28236.81,71040,
2020-03-26,NESTLEIND,EQ,734.985000,755.000000,702.577500,745.982500,722.205000,4106880,30181.33,63037,
2020-03-27,NESTLEIND,EQ,770.000000,776.700000,740.000000,755.430000,745.982500,3504940,26610.34,55836,
2020-03-30,NESTLEIND,EQ,749.500000,794.500000,734.385000,782.932500,755.430000,4029400,31010.11,54640,
2020-03-31,NESTLEIND,EQ,792.450000,821.247500,785.062500,815.030000,782.932500,3678380,29845.45,48104,
2020-04-01,NESTLEIND,EQ,815.012500,822.800000,775.000000,782.727500,815.030000,2550240,20202.56,37981,
2020-04-03,NESTLEIND,EQ,796.985000,796.985000,750.250000,755.232500,782.727500,3815600,29167.60,57967,
