date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,NTPC,EQ,119.050000,122.000000,118.250000,121.550000,119.050000,9953746,12011.43,45323,
2020-01-02,NTPC,EQ,121.500000,122.150000,120.600000,121.400000,121.550000,8731299,10611.95,46881,
2020-01-03,NTPC,EQ,121.000000,121.350000,119.100000,119.350000,121.400000,7392962,8881.59,41213,
2020-01-06,NTPC,EQ,119.000000,119.150000,116.500000,118.900000,119.350000,6596841,7794.95,70828,
2020-01-07,NTPC,EQ,119.250000,121.550000,119.250000,120.550000,118.900000,8959942,10790.10,42114,
2020-01-08,NTPC,EQ,119.700000,120.750000,117.550000,119.950000,120.550000,6372683,7617.63,40756,
2020-01-09,NTPC,EQ,120.500000,121.200000,118.900000,119.350000,119.950000,8309627,9938.80,49139,
2020-01-10,NTPC,EQ,119.950000,121.800000,119.050000,120.300000,119.350000,5588344,6755.77,42061,
2020-01-13,NTPC,EQ,120.400000,122.000000,120.100000,121.750000,120.300000,3534313,4283.54,27480,
2020-01-14,NTPC,EQ,121.750000,124.000000,121.350000,123.500000,121.750000,8631692,10587.74,54988,
2020-01-15,NTPC,EQ,123.000000,125.000000,122.350000,123.850000,123.500000,6537916,8082.55,51381,
2020-01-16,NTPC,EQ,123.400000,123.400000,120.950000,121.450000,123.850000,8806007,10720.14,67006,
2020-01-17,NTPC,EQ,121.450000,121.700000,120.600000,121.200000,121.450000,6811534,8249.58,44643,
2020-01-20,NTPC,EQ,121.000000,121.750000,117.800000,118.250000,121.200000,10655638,12757.88,55433,
2020-01-21,NTPC,EQ,118.400000,119.550000,116.950000,117.150000,118.250000,5150830,6095.41,30246,
2020-01-22,NTPC,EQ,114.950000,115.750000,111.500000,112.150000,117.150000,19388739,21919.50,101026,
2020-01-23,NTPC,EQ,112.600000,114.450000,112.300000,113.500000,112.150000,22793170,25863.49,76112,
2020-01-24,NTPC,EQ,114.000000,116.300000,113.550000,114.750000,113.500000,9898052,11417.21,70087,
2020-01-27,NTPC,EQ,115.000000,115.300000,112.600000,113.150000,114.750000,5597365,6374.72,35352,
2020-01-28,NTPC,EQ,113.750000,113.750000,110.900000,112.050000,113.150000,12128081,13569.68,61178,
2020-01-29,NTPC,EQ,112.100000,114.900000,111.750000,113.200000,112.050000,18501507,20930.36,60935,
2020-01-30,NTPC,EQ,113.450000,114.800000,112.050000,113.650000,113.200000,18545239,21088.43,59895,
2020-01-31,NTPC,EQ,113.750000,115.250000,111.500000,112.850000,113.650000,64518347,73140.53,150514,
2020-02-03,NTPC,EQ,109.450000,111.650000,107.200000,110.250000,109.300000,14889516,16410.19,99083,
2020-02-04,NTPC,EQ,110.350000,112.300000,110.250000,112.000000,110.250000,9743806,10855.70,54271,
2020-02-05,NTPC,EQ,111.300000,112.600000,110.500000,111.200000,112.000000,10671590,11929.33,56195,
2020-02-06,NTPC,EQ,110.500000,112.500000,110.500000,112.000000,111.200000,11852617,13211.14,84060,
2020-02-07,NTPC,EQ,112.400000,116.250000,112.300000,115.600000,112.000000,18446803,21199.03,74772,
2020-02-10,NTPC,EQ,115.800000,115.900000,112.050000,113.500000,115.600000,31637511,35942.85,101379,
2020-02-11,NTPC,EQ,114.500000,117.550000,114.100000,116.850000,113.500000,20937033,24311.84,61763,
2020-02-12,NTPC,EQ,117.000000,118.900000,116.400000,116.800000,116.850000,13679292,16094.40,63218,
2020-02-13,NTPC,EQ,116.800000,117.100000,114.700000,115.150000,116.800000,20903696,24136.66,82142,
2020-02-14,NTPC,EQ,114.800000,115.500000,111.900000,112.700000,115.150000,23827224,26992.04,73287,
2020-02-17,NTPC,EQ,113.100000,113.750000,109.200000,110.300000,112.700000,22137354,24524.19,112421,
2020-02-18,NTPC,EQ,109.600000,110.900000,103.800000,109.600000,110.300000,34458578,37217.18,93216,
2020-02-19,NTPC,EQ,112.300000,113.750000,110.400000,112.050000,109.600000,17935374,20066.48,68809,
2020-02-20,NTPC,EQ,111.700000,112.400000,110.950000,111.350000,112.050000,19663654,21940.24,56206,
2020-02-24,NTPC,EQ,110.750000,110.750000,108.850000,109.700000,111.350000,11370193,12460.11,68352,
2020-02-25,NTPC,EQ,110.900000,112.450000,109.650000,110.100000,109.700000,10775289,11943.22,38175,
2020-02-26,NTPC,EQ,110.000000,111.550000,108.250000,109.100000,110.100000,14998071,16471.62,60231,
2020-02-27,NTPC,EQ,109.200000,110.300000,106.650000,109.050000,109.100000,22610691,24438.02,91836,
2020-02-28,NTPC,EQ,106.650000,110.200000,105.350000,106.550000,109.050000,25696761,27570.71,91934,
2020-03-02,NTPC,EQ,109.350000,110.000000,102.700000,103.900000,106.550000,15614944,16805.19,80012,
2020-03-03,NTPC,EQ,104.650000,109.950000,104.300000,108.900000,103.900000,17194661,18400.00,70184,
2020-03-04,NTPC,EQ,108.650000,111.000000,107.500000,107.950000,108.900000,17095867,18582.79,77430,
2020-03-05,NTPC,EQ,108.100000,109.650000,107.050000,107.850000,107.950000,11579256,12510.12,88673,
2020-03-06,NTPC,EQ,104.750000,107.200000,102.900000,105.150000,107.850000,13533444,14329.52,81720,
2020-03-09,NTPC,EQ,104.000000,104.400000,99.550000,102.900000,105.150000,47383260,48442.38,127274,
2020-03-11,NTPC,EQ,103.000000,104.800000,101.500000,103.050000,102.900000,28434592,29232.10,125434,
2020-03-12,NTPC,EQ,99.000000,100.000000,93.250000,94.350000,103.050000,47225243,45235.97,151982,
2020-03-13,NTPC,EQ,90.000000,100.750000,81.250000,98.050000,94.350000,49533058,47462.78,143855,
2020-03-16,NTPC,EQ,96.000000,96.000000,88.250000,90.800000,98.050000,34649741,31864.34,127274,
2020-03-17,NTPC,EQ,91.000000,95.900000,86.350000,88.100000,90.800000,21246111,19418.88,117164,
2020-03-18,NTPC,EQ,89.000000,90.350000,74.900000,80.550000,88.100000,88659790,73027.03,172480,
2020-03-19,NTPC,EQ,78.550000,84.950000,75.050000,78.350000,80.550000,33847230,27150.92,307195,
2020-03-20,NTPC,EQ,78.500000,82.350000,76.350000,81.250000,78.350000,58502396,46475.13,141656,
2020-03-23,NTPC,EQ,74.900000,80.000000,73.200000,76.400000,81.250000,37653590,29033.10,95863,
2020-03-24,NTPC,EQ,78.100000,79.600000,75.050000,77.550000,76.400000,13742935,10631.83,119931,
2020-03-25,NTPC,EQ,78.000000,80.500000,75.300000,79.700000,77.550000,16472741,12867.63,112647,
2020-03-26,NTPC,EQ,82.000000,82.200000,76.400000,79.650000,79.700000,39959622,31507.88,159871,
2020-03-27,NTPC,EQ,82.500000,84.400000,80.250000,83.000000,79.650000,39363397,32218.57,109614,
2020-03-30,NTPC,EQ,79.900000,83.500000,79.200000,81.750000,83.000000,17044016,13952.17,150012,
2020-03-31,NTPC,EQ,82.750000,84.800000,81.150000,84.200000,81.750000,28293281,23489.36,120902,
2020-04-01,NTPC,EQ,84.300000,84.350000,80.600000,81.000000,84.200000,14355481,11739.51,63596,
2020-04-03,NTPC,EQ,82.050000,82.100000,78.850000,79.550000,81.000000,18319674,14673.88,79080,
2020-04-07,NTPC,EQ,81.600000,82.050000,80.100000,81.550000,79.550000,47686689,38585.01,104344,
2020-04-08,NTPC,EQ,81.550000,86.800000,80.300000,85.200000,81.550000,38072780,31844.50,102808,
2020-04-09,NTPC,EQ,88.350000,88.350000,85.300000,87.100000,85.200000,9322497,8102.83,46733,
2020-04-13,NTPC,EQ,87.100000,89.150000,84.750000,88.650000,87.100000,33267122,28869.87,77992,
2020-04-15,NTPC,EQ,88.950000,94.200000,88.700000,89.900000,88.650000,24128026,22128.08,134175,
2020-04-16,NTPC,EQ,87.250000,96.300000,87.000000,95.100000,89.900000,20876392,19439.24,112700,
2020-04-17,NTPC,EQ,101.000000,101.000000,95.000000,95.500000,95.100000,16969678,16493.87,95895,
2020-04-20,NTPC,EQ,97.000000,99.300000,93.400000,98.900000,95.500000,17639176,17108.43,123048,
2020-04-21,NTPC,EQ,96.500000,98.400000,95.550000,97.300000,98.900000,15085297,14700.37,103452,
2020-04-22,NTPC,EQ,97.300000,98.650000,94.900000,97.600000,97.300000,10344379,10083.20,96944,
2020-04-23,NTPC,EQ,97.450000,97.700000,94.550000,95.200000,97.600000,14078729,13612.57,88873,
