date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,ONGC,EQ,128.750000,128.900000,126.850000,127.450000,128.800000,2574894,3290.88,18298,
2020-01-02,ONGC,EQ,127.650000,128.650000,127.100000,128.050000,127.450000,4759843,6085.51,29181,
2020-01-03,ONGC,EQ,131.000000,133.400000,128.050000,128.450000,128.050000,31381588,40924.72,135658,
2020-01-06,ONGC,EQ,129.700000,129.800000,125.100000,126.250000,128.450000,14611204,18584.92,82139,
2020-01-07,ONGC,EQ,125.600000,127.700000,125.400000,125.750000,126.250000,7193304,9086.00,46745,
2020-01-08,ONGC,EQ,125.000000,125.450000,123.200000,123.450000,125.750000,6236192,7740.07,38206,
2020-01-09,ONGC,EQ,124.950000,125.100000,122.800000,123.700000,123.450000,10135017,12541.83,76527,
2020-01-10,ONGC,EQ,124.450000,125.200000,123.700000,124.150000,123.700000,6550218,8151.42,39961,
2020-01-13,ONGC,EQ,124.250000,125.700000,124.250000,125.450000,124.150000,5737187,7176.56,30159,
2020-01-14,ONGC,EQ,125.450000,125.650000,123.800000,125.050000,125.450000,12432511,15494.60,63351,
2020-01-15,ONGC,EQ,125.050000,125.500000,124.250000,124.650000,125.050000,5714614,7127.05,33047,
2020-01-16,ONGC,EQ,125.000000,125.200000,124.050000,124.500000,124.650000,7322878,9115.81,40534,
2020-01-17,ONGC,EQ,124.550000,125.550000,124.000000,125.400000,124.500000,8561603,10683.82,30925,
2020-01-20,ONGC,EQ,126.000000,126.750000,120.000000,122.900000,125.400000,16106541,20137.08,57991,
2020-01-21,ONGC,EQ,123.050000,124.500000,122.400000,122.750000,122.900000,6497799,8013.79,38709,
2020-01-22,ONGC,EQ,122.000000,122.000000,116.000000,116.400000,122.750000,23639592,27881.82,124991,
2020-01-23,ONGC,EQ,117.250000,118.950000,116.400000,117.800000,116.400000,21105999,24858.37,83127,
2020-01-24,ONGC,EQ,118.000000,119.800000,117.300000,118.350000,117.800000,11172364,13276.01,53595,
2020-01-27,ONGC,EQ,118.350000,118.500000,116.800000,117.250000,118.350000,12078165,14205.91,37752,
2020-01-28,ONGC,EQ,117.550000,117.700000,115.600000,116.600000,117.250000,11611352,13543.68,47189,
2020-01-29,ONGC,EQ,117.350000,118.150000,116.450000,117.650000,116.600000,15562740,18292.33,50710,
2020-01-30,ONGC,EQ,117.550000,117.550000,115.000000,115.600000,117.650000,21142714,24585.17,59600,
2020-01-31,ONGC,EQ,115.800000,116.000000,106.750000,108.950000,115.600000,83360147,91732.67,225052,
2020-02-03,ONGC,EQ,104.350000,104.950000,101.550000,103.450000,104.350000,18445537,19123.90,100644,
2020-02-04,ONGC,EQ,104.100000,106.900000,103.800000,106.150000,103.450000,16896688,17827.66,66962,
2020-02-05,ONGC,EQ,106.400000,107.400000,105.100000,106.800000,106.150000,11348275,12070.43,48077,
