date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,PFC,EQ,88.237500,89.137500,87.937500,88.800000,88.425000,5657593,5013.84,16263,
2020-01-02,PFC,EQ,89.025000,90.225000,88.575000,89.887500,88.800000,3767968,3369.72,17065,
2020-01-03,PFC,EQ,89.662500,90.937500,88.575000,89.062500,89.887500,4291245,3854.15,12766,
2020-01-06,PFC,EQ,87.975000,88.575000,83.850000,84.675000,89.062500,6501500,5545.60,21727,
2020-01-07,PFC,EQ,85.500000,89.100000,85.500000,87.712500,84.675000,7326847,6391.22,28598,
2020-01-08,PFC,EQ,85.575000,87.450000,85.200000,87.037500,87.712500,4981916,4297.44,15124,
2020-01-09,PFC,EQ,87.900000,89.925000,87.487500,89.625000,87.037500,4475657,3979.58,20929,
2020-01-10,PFC,EQ,90.000000,92.100000,89.700000,91.237500,89.625000,6302699,5747.35,23597,
2020-01-13,PFC,EQ,91.762500,94.050000,91.387500,93.750000,91.237500,7978439,7431.61,36799,
2020-01-14,PFC,EQ,93.712500,93.712500,91.687500,92.062500,93.750000,4451617,4111.87,23063,
2020-01-15,PFC,EQ,92.175000,94.125000,90.900000,93.487500,92.062500,5943359,5502.73,19732,
2020-01-16,PFC,EQ,93.487500,93.787500,91.650000,92.512500,93.487500,2695463,2493.17,10788,
2020-01-17,PFC,EQ,92.250000,92.550000,91.200000,91.462500,92.512500,2534656,2325.20,9141,
2020-01-20,PFC,EQ,87.712500,87.975000,83.775000,84.262500,91.462500,21712084,18643.59,53495,
2020-01-21,PFC,EQ,84.075000,84.487500,79.650000,79.987500,84.262500,18433939,15106.89,49064,
2020-01-22,PFC,EQ,80.137500,83.925000,77.887500,81.637500,79.987500,59090060,48058.37,99332,
2020-01-23,PFC,EQ,81.750000,87.112500,81.075000,84.825000,81.637500,124851053,105855.50,147743,
2020-01-24,PFC,EQ,86.662500,88.762500,85.650000,87.262500,84.825000,18353064,16081.18,40431,
2020-01-27,PFC,EQ,86.587500,89.025000,86.250000,86.887500,87.262500,8990172,7903.96,30985,
2020-01-28,PFC,EQ,87.225000,88.050000,83.925000,87.000000,86.887500,15399455,13325.92,28930,
2020-01-29,PFC,EQ,87.525000,89.625000,87.450000,88.575000,87.000000,15421407,13689.66,33690,
2020-01-30,PFC,EQ,88.875000,90.225000,87.412500,89.625000,88.575000,14144240,12602.05,41018,
2020-01-31,PFC,EQ,90.000000,90.150000,86.062500,87.487500,89.625000,12607964,11036.44,37776,
2020-02-03,PFC,EQ,82.837500,85.950000,81.262500,85.462500,82.650000,8501719,7156.27,41527,
2020-02-04,PFC,EQ,86.250000,87.750000,85.950000,87.037500,85.462500,6275057,5459.10,26419,
2020-02-05,PFC,EQ,87.975000,93.412500,87.975000,92.175000,87.037500,18759499,17130.66,54354,
2020-02-06,PFC,EQ,92.737500,93.375000,91.275000,92.775000,92.175000,9642896,8917.38,27431,
2020-02-07,PFC,EQ,92.212500,94.500000,91.950000,94.012500,92.775000,8556992,8012.73,21216,
2020-02-10,PFC,EQ,94.237500,95.625000,93.637500,94.312500,94.012500,8142885,7702.10,39363,
2020-02-11,PFC,EQ,94.987500,96.000000,93.187500,94.012500,94.312500,6157312,5834.78,17691,
2020-02-12,PFC,EQ,93.375000,95.512500,91.237500,94.987500,94.012500,22290224,20899.61,45398,
2020-02-13,PFC,EQ,94.875000,95.400000,91.575000,94.537500,94.987500,19165185,17955.48,56040,
2020-02-14,PFC,EQ,94.800000,98.025000,94.500000,94.987500,94.537500,18636959,17949.54,53746,
2020-02-17,PFC,EQ,95.550000,97.612500,94.237500,94.837500,94.987500,10650043,10180.43,31999,
2020-02-18,PFC,EQ,94.537500,96.187500,92.362500,95.737500,94.837500,9587005,9029.73,45066,
2020-02-19,PFC,EQ,96.375000,97.950000,95.437500,97.200000,95.737500,7482204,7245.27,26682,
2020-02-20,PFC,EQ,96.937500,100.050000,96.262500,99.187500,97.200000,11655688,11509.39,35236,
2020-02-24,PFC,EQ,98.737500,99.862500,96.750000,97.050000,99.187500,8100388,7988.51,18970,
2020-02-25,PFC,EQ,97.500000,98.212500,95.587500,96.637500,97.050000,5719664,5542.08,14851,
2020-02-26,PFC,EQ,95.925000,97.687500,95.062500,95.400000,96.637500,9583001,9239.73,20494,
2020-02-27,PFC,EQ,95.587500,95.887500,91.650000,93.825000,95.400000,16360436,15295.90,33288,
2020-02-28,PFC,EQ,84.000000,84.000000,81.487500,82.087500,93.825000,25022973,20696.87,44849,
2020-03-02,PFC,EQ,82.650000,85.725000,82.575000,83.700000,82.087500,15142063,12771.31,37195,
2020-03-03,PFC,EQ,84.150000,86.137500,82.762500,84.937500,83.700000,22630996,19219.30,34286,
2020-03-04,PFC,EQ,84.937500,85.950000,83.287500,85.162500,84.937500,12061067,10212.84,36379,
2020-03-05,PFC,EQ,85.500000,86.625000,84.525000,84.787500,85.162500,6532848,5591.38,17202,
2020-03-06,PFC,EQ,81.750000,84.075000,81.000000,82.875000,84.787500,10141944,8415.48,36005,
2020-03-09,PFC,EQ,80.250000,81.262500,77.025000,78.225000,82.875000,7906979,6221.56,29962,
2020-03-11,PFC,EQ,77.250000,79.687500,76.500000,77.100000,78.225000,9772799,7635.26,38146,
2020-03-12,PFC,EQ,73.500000,74.137500,64.875000,67.800000,77.100000,10151295,6938.29,37730,
2020-03-13,PFC,EQ,63.375000,77.962500,62.100000,76.837500,67.800000,17170539,12319.89,48324,
2020-03-16,PFC,EQ,72.337500,73.125000,68.587500,69.225000,76.837500,5856744,4155.16,33471,
2020-03-17,PFC,EQ,69.450000,74.400000,66.975000,67.687500,69.225000,11858208,8490.21,47788,
2020-03-18,PFC,EQ,69.300000,71.475000,66.075000,70.200000,67.687500,11929833,8250.72,65463,
