date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,PIDILITIND,EQ,694.025000,706.000000,693.500000,702.675000,693.450000,505046,3542.67,8995,
2020-01-02,PIDILITIND,EQ,702.500000,705.500000,697.750000,699.525000,702.675000,412824,2894.20,13354,
2020-01-03,PIDILITIND,EQ,697.750000,701.450000,695.775000,698.825000,699.525000,487864,3405.12,12089,
2020-01-06,PIDILITIND,EQ,693.675000,697.450000,690.975000,693.850000,698.825000,1578998,10956.04,23554,
2020-01-07,PIDILITIND,EQ,695.050000,715.925000,695.000000,699.850000,693.850000,1727370,12188.66,26743,
2020-01-08,PIDILITIND,EQ,696.050000,703.650000,694.500000,701.775000,699.850000,519582,3633.90,17112,
2020-01-09,PIDILITIND,EQ,705.275000,712.725000,703.550000,707.200000,701.775000,1021788,7231.15,16693,
2020-01-10,PIDILITIND,EQ,710.000000,716.425000,704.575000,707.575000,707.200000,5168956,36728.19,23210,
2020-01-13,PIDILITIND,EQ,709.950000,717.200000,707.550000,712.750000,707.575000,594534,4233.10,14440,
2020-01-14,PIDILITIND,EQ,712.750000,715.850000,708.500000,713.600000,712.750000,571640,4070.93,16790,
2020-01-15,PIDILITIND,EQ,713.400000,719.350000,707.550000,716.025000,713.600000,784918,5589.48,15599,
2020-01-16,PIDILITIND,EQ,715.625000,728.000000,715.025000,726.325000,716.025000,1138358,8242.34,24724,
2020-01-17,PIDILITIND,EQ,726.750000,727.600000,717.100000,723.925000,726.325000,979182,7063.59,32716,
2020-01-20,PIDILITIND,EQ,725.000000,732.500000,719.100000,720.200000,723.925000,652618,4736.41,14837,
2020-01-21,PIDILITIND,EQ,719.625000,720.000000,706.250000,707.375000,720.200000,470402,3342.89,17207,
2020-01-22,PIDILITIND,EQ,711.825000,722.475000,709.400000,714.275000,707.375000,697620,4995.98,19706,
2020-01-23,PIDILITIND,EQ,714.525000,723.500000,710.000000,722.200000,714.275000,417130,2987.96,12531,
2020-01-24,PIDILITIND,EQ,720.000000,730.750000,718.050000,728.800000,722.200000,1003996,7273.28,19480,
2020-01-27,PIDILITIND,EQ,729.100000,740.850000,725.500000,738.350000,728.800000,1534176,11295.32,21636,
2020-01-28,PIDILITIND,EQ,737.000000,739.550000,726.050000,730.800000,738.350000,612014,4492.97,24350,
2020-01-29,PIDILITIND,EQ,733.100000,754.950000,733.100000,748.350000,730.800000,1269956,9426.28,25050,
2020-01-30,PIDILITIND,EQ,767.500000,772.500000,747.500000,760.425000,748.350000,5117712,38903.27,80612,
2020-01-31,PIDILITIND,EQ,764.900000,769.000000,752.625000,756.025000,760.425000,1539330,11710.66,38391,
2020-02-03,PIDILITIND,EQ,742.750000,787.200000,742.750000,781.925000,742.750000,2304190,17789.97,45458,
2020-02-04,PIDILITIND,EQ,785.000000,787.000000,772.950000,778.500000,781.925000,1204662,9372.69,31856,
2020-02-05,PIDILITIND,EQ,779.325000,781.000000,771.050000,775.475000,778.500000,906316,7027.55,16297,
2020-02-06,PIDILITIND,EQ,775.650000,779.375000,761.750000,775.200000,775.475000,1468834,11292.66,34365,
2020-02-07,PIDILITIND,EQ,770.500000,789.950000,770.500000,779.450000,775.200000,1064264,8321.67,20746,
2020-02-10,PIDILITIND,EQ,779.450000,790.900000,773.500000,787.975000,779.450000,801762,6287.75,18284,
2020-02-11,PIDILITIND,EQ,793.000000,799.500000,787.025000,791.675000,787.975000,1106824,8776.54,25081,
2020-02-12,PIDILITIND,EQ,791.675000,799.000000,790.200000,794.625000,791.675000,660122,5249.40,17605,
2020-02-13,PIDILITIND,EQ,795.000000,796.500000,787.550000,789.000000,794.625000,491938,3886.40,11857,
2020-02-14,PIDILITIND,EQ,791.050000,803.500000,789.300000,791.675000,789.000000,984192,7858.91,24741,
2020-02-17,PIDILITIND,EQ,791.050000,803.000000,787.550000,789.200000,791.675000,723906,5756.38,15196,
2020-02-18,PIDILITIND,EQ,802.500000,802.500000,783.750000,789.925000,789.200000,744788,5879.75,19285,
2020-02-19,PIDILITIND,EQ,791.450000,799.400000,788.300000,796.875000,789.925000,460266,3654.98,16086,
2020-02-20,PIDILITIND,EQ,795.050000,798.900000,785.850000,787.650000,796.875000,538030,4263.69,18038,
2020-02-24,PIDILITIND,EQ,788.000000,791.975000,775.750000,777.750000,787.650000,584382,4580.04,16748,
2020-02-25,PIDILITIND,EQ,775.050000,788.500000,775.050000,778.075000,777.750000,613882,4793.64,14316,
2020-02-26,PIDILITIND,EQ,775.000000,781.475000,763.100000,767.850000,778.075000,667298,5168.37,17034,
2020-02-27,PIDILITIND,EQ,768.000000,781.900000,762.500000,776.525000,767.850000,1388310,10761.35,33643,
2020-02-28,PIDILITIND,EQ,775.000000,775.000000,747.800000,756.550000,776.525000,1741130,13186.99,51103,
2020-03-02,PIDILITIND,EQ,765.000000,780.000000,755.550000,766.375000,756.550000,1024294,7894.51,25772,
