date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,PNB,EQ,64.500000,65.050000,63.950000,64.700000,64.350000,8568946,5524.66,21453,
2020-01-02,PNB,EQ,65.000000,67.000000,64.550000,66.700000,64.700000,26059066,17239.48,51834,
2020-01-03,PNB,EQ,66.550000,66.550000,64.600000,65.050000,66.700000,14906983,9758.59,31813,
2020-01-06,PNB,EQ,64.900000,64.900000,61.000000,61.400000,65.050000,24078755,14918.27,52853,
2020-01-07,PNB,EQ,62.100000,63.100000,61.000000,61.850000,61.400000,20436567,12669.15,40468,
2020-01-08,PNB,EQ,61.000000,61.600000,60.150000,60.850000,61.850000,22182671,13489.75,40889,
2020-01-09,PNB,EQ,62.300000,63.000000,61.800000,62.600000,60.850000,18885640,11787.63,40649,
2020-01-10,PNB,EQ,62.950000,63.850000,62.050000,62.450000,62.600000,17939103,11286.41,42075,
2020-01-13,PNB,EQ,62.750000,63.350000,62.600000,63.200000,62.450000,13131132,8275.67,25960,
2020-01-14,PNB,EQ,63.200000,64.100000,62.400000,62.800000,63.200000,13837799,8743.61,31878,
2020-01-15,PNB,EQ,62.850000,63.700000,61.900000,63.400000,62.800000,13919689,8754.55,27662,
2020-01-16,PNB,EQ,63.400000,63.950000,62.750000,63.350000,63.400000,12146474,7698.79,23445,
2020-01-17,PNB,EQ,62.900000,63.900000,61.300000,63.250000,63.350000,18351080,11550.15,30827,
2020-01-20,PNB,EQ,64.100000,64.100000,61.350000,61.600000,63.250000,16226531,10085.57,34538,
2020-01-21,PNB,EQ,61.550000,62.300000,61.250000,61.450000,61.600000,13678963,8444.48,26169,
2020-01-22,PNB,EQ,62.100000,62.200000,60.650000,61.000000,61.450000,15241802,9325.85,28743,
2020-01-23,PNB,EQ,61.050000,62.350000,61.000000,61.800000,61.000000,14136138,8725.66,25034,
2020-01-24,PNB,EQ,61.750000,62.800000,61.650000,62.350000,61.800000,10845058,6758.12,20725,
2020-01-27,PNB,EQ,61.950000,62.250000,61.100000,61.350000,62.350000,11436816,7060.53,20346,
2020-01-28,PNB,EQ,61.500000,61.800000,60.250000,60.500000,61.350000,12294470,7519.17,25800,
2020-01-29,PNB,EQ,61.100000,61.500000,60.800000,60.950000,60.500000,11064733,6764.97,19326,
2020-01-30,PNB,EQ,61.100000,61.250000,59.650000,59.950000,60.950000,13591961,8187.54,29591,
2020-01-31,PNB,EQ,60.350000,61.200000,59.800000,60.450000,59.950000,15449355,9344.79,26621,
2020-02-03,PNB,EQ,58.800000,59.150000,57.100000,57.350000,59.000000,18930405,10954.99,40897,
2020-02-04,PNB,EQ,57.900000,58.950000,56.300000,56.800000,57.350000,48174279,27814.87,84745,
2020-02-05,PNB,EQ,56.250000,57.300000,56.100000,56.900000,56.800000,23905101,13555.40,39439,
2020-02-06,PNB,EQ,57.350000,59.300000,56.900000,58.650000,56.900000,26534154,15431.21,44369,
