date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,POWERGRID,EQ,107.184375,110.193750,107.015625,109.968750,107.015625,13620377,14846.13,27168,
2020-01-02,POWERGRID,EQ,109.996875,110.643750,109.321875,109.743750,109.968750,5673694,6227.97,26046,
2020-01-03,POWERGRID,EQ,109.265625,109.575000,107.578125,108.562500,109.743750,7358270,7989.38,38139,
2020-01-06,POWERGRID,EQ,108.000000,109.096875,105.750000,108.618750,108.562500,7355292,7911.03,59715,
2020-01-07,POWERGRID,EQ,108.646875,109.406250,107.521875,107.831250,108.618750,14023716,15216.03,36312,
2020-01-08,POWERGRID,EQ,107.043750,107.409375,106.228125,107.184375,107.831250,9451760,10100.57,29676,
2020-01-09,POWERGRID,EQ,107.971875,108.787500,107.521875,108.534375,107.184375,7714857,8355.04,43492,
2020-01-10,POWERGRID,EQ,108.956250,108.956250,107.437500,108.084375,108.534375,4118640,4456.03,22092,
2020-01-13,POWERGRID,EQ,108.225000,109.687500,107.887500,109.575000,108.084375,27682645,30157.06,31280,
2020-01-14,POWERGRID,EQ,109.575000,110.446875,109.265625,109.828125,109.575000,5994316,6580.91,35338,
2020-01-15,POWERGRID,EQ,109.912500,110.137500,108.506250,109.265625,109.828125,7114592,7767.02,28478,
2020-01-16,POWERGRID,EQ,109.181250,111.206250,109.181250,110.503125,109.265625,8552347,9457.11,31171,
2020-01-17,POWERGRID,EQ,110.221875,111.290625,108.928125,111.037500,110.503125,4698388,5189.93,29672,
2020-01-20,POWERGRID,EQ,114.975000,118.687500,114.328125,115.115625,111.037500,49337840,57033.80,162397,
2020-01-21,POWERGRID,EQ,114.553125,114.918750,111.937500,112.837500,115.115625,17283915,19590.73,96666,
2020-01-22,POWERGRID,EQ,112.781250,113.821875,108.590625,112.528125,112.837500,56787068,63585.10,125793,
2020-01-23,POWERGRID,EQ,110.671875,116.662500,109.068750,113.596875,112.528125,226059317,256388.71,166985,
2020-01-24,POWERGRID,EQ,110.503125,111.459375,109.265625,110.784375,113.596875,16151684,17859.89,72650,
2020-01-27,POWERGRID,EQ,110.475000,110.503125,108.168750,108.562500,110.784375,8213922,8974.47,76355,
2020-01-28,POWERGRID,EQ,108.562500,108.562500,106.368750,107.128125,108.562500,9174578,9836.42,65371,
2020-01-29,POWERGRID,EQ,107.128125,109.012500,106.453125,108.225000,107.128125,17600096,18995.86,71608,
2020-01-30,POWERGRID,EQ,108.225000,109.828125,107.662500,109.350000,108.225000,26386041,28794.83,69866,
2020-01-31,POWERGRID,EQ,109.856250,109.968750,104.118750,105.103125,109.350000,63986379,67476.00,161904,
2020-02-03,POWERGRID,EQ,101.756250,106.312500,99.815625,105.384375,102.600000,16329301,16931.96,62147,
2020-02-04,POWERGRID,EQ,105.946875,109.856250,105.750000,109.321875,105.384375,14207385,15311.60,47585,
2020-02-05,POWERGRID,EQ,109.181250,110.081250,105.750000,106.509375,109.321875,14550348,15760.37,77848,
2020-02-06,POWERGRID,EQ,106.846875,108.984375,106.115625,108.506250,106.509375,9175644,9911.36,58008,
2020-02-07,POWERGRID,EQ,108.450000,108.450000,106.059375,107.100000,108.506250,18058462,19301.28,78987,
2020-02-10,POWERGRID,EQ,107.268750,107.493750,103.921875,104.962500,107.100000,30471819,32199.30,82901,
2020-02-11,POWERGRID,EQ,106.031250,107.550000,105.806250,106.593750,104.962500,32456580,34639.81,139891,
2020-02-12,POWERGRID,EQ,106.903125,107.943750,106.059375,106.509375,106.593750,16386956,17504.16,42903,
2020-02-13,POWERGRID,EQ,106.200000,107.521875,105.581250,107.184375,106.509375,18581118,19849.12,50545,
2020-02-14,POWERGRID,EQ,107.156250,107.662500,103.162500,103.556250,107.184375,23830636,25071.35,93433,
2020-02-17,POWERGRID,EQ,104.062500,104.512500,101.559375,103.275000,103.556250,17670297,18209.66,91130,
2020-02-18,POWERGRID,EQ,102.712500,104.821875,101.728125,104.062500,103.275000,30879888,31799.83,79557,
2020-02-19,POWERGRID,EQ,104.625000,105.721875,102.937500,105.468750,104.062500,22313744,23278.00,61429,
2020-02-20,POWERGRID,EQ,105.468750,107.268750,104.568750,106.453125,105.468750,25907664,27354.32,77993,
2020-02-24,POWERGRID,EQ,106.312500,106.425000,104.090625,104.681250,106.453125,14921456,15627.24,57387,
2020-02-25,POWERGRID,EQ,104.681250,105.581250,104.259375,104.709375,104.681250,17807433,18655.59,61854,
2020-02-26,POWERGRID,EQ,104.062500,105.975000,103.471875,104.540625,104.709375,17113660,17938.34,48232,
2020-02-27,POWERGRID,EQ,104.118750,105.581250,101.981250,104.878125,104.540625,28472053,29519.74,53137,
2020-02-28,POWERGRID,EQ,103.190625,104.231250,100.771875,102.093750,104.878125,28010978,28692.15,68419,
2020-03-02,POWERGRID,EQ,103.359375,105.300000,102.234375,103.218750,102.093750,19540023,20321.53,51460,
2020-03-03,POWERGRID,EQ,103.387500,109.518750,102.403125,107.831250,103.218750,16039310,16970.51,36781,
2020-03-04,POWERGRID,EQ,107.268750,111.375000,106.059375,110.840625,107.831250,16939250,18534.44,77004,
2020-03-05,POWERGRID,EQ,110.278125,112.246875,109.434375,110.221875,110.840625,9715268,10776.59,44139,
2020-03-06,POWERGRID,EQ,107.156250,108.337500,105.834375,107.212500,110.221875,14371986,15444.59,58682,
2020-03-09,POWERGRID,EQ,104.006250,106.087500,100.096875,101.784375,107.212500,69609399,71122.64,168813,
2020-03-11,POWERGRID,EQ,100.968750,103.443750,99.703125,102.037500,101.784375,42604612,43369.25,106763,
2020-03-12,POWERGRID,EQ,99.112500,100.068750,92.671875,93.431250,102.037500,58420423,56117.50,141595,
2020-03-13,POWERGRID,EQ,91.575000,97.087500,84.093750,94.443750,93.431250,44617552,41798.03,178521,
2020-03-16,POWERGRID,EQ,91.350000,91.631250,87.187500,88.846875,94.443750,39669262,35099.71,80171,
2020-03-17,POWERGRID,EQ,88.059375,95.821875,87.609375,91.125000,88.846875,35461113,32892.28,98486,
2020-03-18,POWERGRID,EQ,92.250000,92.756250,68.709375,81.084375,91.125000,119909092,98724.84,125525,
2020-03-19,POWERGRID,EQ,81.787500,85.443750,78.806250,82.771875,81.084375,44039799,36650.86,181433,
2020-03-20,POWERGRID,EQ,83.390625,91.040625,83.390625,88.453125,82.771875,131485972,116082.94,229475,
2020-03-23,POWERGRID,EQ,79.621875,87.665625,79.621875,86.062500,88.453125,39665630,33638.28,86833,
2020-03-24,POWERGRID,EQ,85.528125,88.425000,81.787500,82.856250,86.062500,42303396,36115.35,137499,
2020-03-25,POWERGRID,EQ,83.531250,88.284375,83.446875,84.515625,82.856250,23309691,19914.03,75865,
2020-03-26,POWERGRID,EQ,84.712500,90.956250,82.828125,89.071875,84.515625,25329127,22121.59,85004,
2020-03-27,POWERGRID,EQ,89.212500,93.515625,88.115625,90.000000,89.071875,28883756,26180.32,131687,
