date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,RECLTD,EQ,80.606250,81.168750,79.621875,80.971875,80.493750,3853799,3107.01,8670,
2020-01-02,RECLTD,EQ,80.971875,82.068750,80.718750,81.815625,80.971875,4592964,3742.51,11728,
2020-01-03,RECLTD,EQ,81.562500,82.096875,80.043750,80.437500,81.815625,5219301,4234.50,15960,
2020-01-06,RECLTD,EQ,79.875000,80.690625,77.540625,78.131250,80.437500,4963888,3904.95,12937,
2020-01-07,RECLTD,EQ,78.806250,80.943750,78.018750,79.171875,78.131250,7114364,5649.07,17097,
2020-01-08,RECLTD,EQ,78.243750,79.031250,76.893750,77.962500,79.171875,4557369,3546.87,14637,
2020-01-09,RECLTD,EQ,78.665625,80.465625,78.665625,80.128125,77.962500,4412603,3523.23,18648,
2020-01-10,RECLTD,EQ,80.437500,81.365625,79.565625,80.015625,80.128125,6358944,5127.67,23095,
2020-01-13,RECLTD,EQ,80.465625,81.225000,79.650000,80.662500,80.015625,7118555,5742.97,26692,
2020-01-14,RECLTD,EQ,81.000000,81.196875,79.678125,80.015625,80.662500,5609927,4497.87,25306,
2020-01-15,RECLTD,EQ,79.875000,80.437500,78.159375,80.100000,80.015625,8020981,6363.12,35684,
2020-01-16,RECLTD,EQ,80.128125,80.718750,78.384375,79.340625,80.100000,5912132,4687.55,26063,
2020-01-17,RECLTD,EQ,79.228125,79.875000,78.384375,79.312500,79.340625,4357641,3448.85,10455,
2020-01-20,RECLTD,EQ,79.200000,79.200000,76.893750,77.175000,79.312500,5853250,4556.42,18670,
2020-01-21,RECLTD,EQ,76.500000,77.625000,75.403125,75.600000,77.175000,5500281,4194.55,24692,
2020-01-22,RECLTD,EQ,76.162500,76.612500,72.956250,76.275000,75.600000,12573079,9458.06,34523,
2020-01-23,RECLTD,EQ,76.387500,78.637500,75.937500,78.131250,76.275000,7980516,6214.05,38984,
2020-01-24,RECLTD,EQ,78.187500,80.156250,77.681250,79.565625,78.131250,7539013,5967.45,27888,
2020-01-27,RECLTD,EQ,79.228125,82.237500,79.087500,81.056250,79.565625,9450642,7674.91,35730,
2020-01-28,RECLTD,EQ,81.112500,82.237500,79.537500,81.534375,81.056250,9126917,7419.47,35077,
2020-01-29,RECLTD,EQ,81.675000,83.193750,81.534375,82.715625,81.534375,8970514,7408.95,34480,
2020-01-30,RECLTD,EQ,83.025000,83.700000,81.928125,83.250000,82.715625,9141248,7584.11,31201,
2020-01-31,RECLTD,EQ,83.812500,83.981250,80.071875,80.831250,83.250000,12512233,10167.70,38528,
2020-02-03,RECLTD,EQ,78.271875,79.256250,76.556250,77.512500,78.440625,8312388,6447.11,41920,
2020-02-04,RECLTD,EQ,77.793750,80.325000,77.793750,80.015625,77.512500,7890738,6235.51,32813,
2020-02-05,RECLTD,EQ,82.912500,86.343750,80.550000,84.909375,80.015625,39015113,32614.10,100219,
2020-02-06,RECLTD,EQ,85.753125,86.315625,84.431250,85.893750,84.909375,18342457,15676.96,68703,
2020-02-07,RECLTD,EQ,86.343750,87.468750,85.106250,87.215625,85.893750,11348069,9839.84,30612,
2020-02-10,RECLTD,EQ,87.750000,88.031250,85.275000,86.540625,87.215625,20710942,17963.04,47763,
2020-02-11,RECLTD,EQ,80.634375,81.843750,79.453125,79.818750,86.540625,18571940,14922.37,38386,
2020-02-12,RECLTD,EQ,79.565625,80.296875,77.934375,79.818750,79.818750,14935748,11820.35,42750,
2020-02-13,RECLTD,EQ,79.621875,80.043750,78.693750,79.143750,79.818750,5301028,4201.53,16740,
2020-02-14,RECLTD,EQ,79.312500,80.915625,78.187500,78.553125,79.143750,7470117,5954.27,26078,
2020-02-17,RECLTD,EQ,78.665625,79.481250,77.456250,77.681250,78.553125,4483161,3515.08,13123,
2020-02-18,RECLTD,EQ,77.456250,77.456250,75.431250,77.034375,77.681250,5713515,4369.70,17436,
2020-02-19,RECLTD,EQ,77.259375,78.046875,76.668750,77.175000,77.034375,3571881,2762.65,11020,
2020-02-20,RECLTD,EQ,77.006250,79.537500,76.640625,78.721875,77.175000,6594677,5180.38,23226,
2020-02-24,RECLTD,EQ,77.821875,79.340625,76.443750,76.612500,78.721875,5943870,4635.28,17037,
2020-02-25,RECLTD,EQ,76.781250,77.062500,74.981250,75.290625,76.612500,4710656,3566.70,14068,
2020-02-26,RECLTD,EQ,74.531250,75.234375,72.731250,72.984375,75.290625,6902546,5106.07,18776,
2020-02-27,RECLTD,EQ,72.984375,73.321875,70.565625,71.043750,72.984375,7764773,5574.85,19396,
2020-02-28,RECLTD,EQ,69.468750,69.525000,65.643750,66.262500,71.043750,17350590,11629.33,35935,
2020-03-02,RECLTD,EQ,68.034375,70.087500,65.306250,66.234375,66.262500,13726802,9384.07,27938,
2020-03-03,RECLTD,EQ,67.331250,68.287500,65.503125,67.359375,66.234375,13266524,8898.54,22007,
2020-03-04,RECLTD,EQ,67.865625,67.865625,64.743750,66.009375,67.359375,11352773,7493.65,20571,
2020-03-05,RECLTD,EQ,66.375000,68.175000,66.009375,66.571875,66.009375,12920121,8650.50,26193,
2020-03-06,RECLTD,EQ,64.968750,65.981250,63.562500,64.856250,66.571875,10972492,7121.14,24146,
2020-03-09,RECLTD,EQ,63.675000,63.843750,59.681250,60.525000,64.856250,8461442,5199.13,36568,
2020-03-11,RECLTD,EQ,60.525000,61.481250,58.668750,58.978125,60.525000,9199060,5520.70,39384,
2020-03-12,RECLTD,EQ,56.250000,56.250000,51.328125,52.368750,58.978125,26505346,13969.19,54272,
2020-03-13,RECLTD,EQ,48.150000,57.150000,47.250000,56.728125,52.368750,20929765,11216.10,69716,
2020-03-16,RECLTD,EQ,54.000000,55.603125,52.790625,53.240625,56.728125,10265790,5542.34,35356,
2020-03-17,RECLTD,EQ,53.353125,56.109375,51.834375,52.312500,53.240625,10681950,5760.64,37306,
2020-03-18,RECLTD,EQ,52.734375,55.012500,51.609375,53.943750,52.312500,16113198,8609.42,49378,
2020-03-19,RECLTD,EQ,51.693750,52.453125,46.912500,50.175000,53.943750,21631036,10852.49,81941,
2020-03-20,RECLTD,EQ,50.484375,53.550000,50.006250,51.553125,50.175000,22508324,11660.63,77987,
2020-03-23,RECLTD,EQ,48.375000,56.615625,45.253125,45.646875,51.553125,10087828,4719.95,44223,
2020-03-24,RECLTD,EQ,46.153125,47.756250,44.437500,45.815625,45.646875,13264121,6084.78,52689,
2020-03-25,RECLTD,EQ,45.843750,48.234375,44.803125,47.193750,45.815625,11957675,5584.77,38419,
2020-03-26,RECLTD,EQ,47.531250,50.793750,44.296875,49.359375,47.193750,23076428,10986.45,67157,
2020-03-27,RECLTD,EQ,50.400000,52.087500,47.250000,47.812500,49.359375,13010558,6387.45,75460,
2020-03-30,RECLTD,EQ,46.687500,49.303125,45.365625,47.840625,47.812500,9811648,4692.62,28701,
2020-03-31,RECLTD,EQ,48.937500,50.653125,48.009375,49.921875,47.840625,13189721,6556.57,40422,
2020-04-01,RECLTD,EQ,49.781250,51.300000,48.431250,48.909375,49.921875,7433934,3692.27,24179,
2020-04-03,RECLTD,EQ,49.612500,49.612500,47.615625,47.840625,48.909375,6248741,3021.12,27682,
2020-04-07,RECLTD,EQ,49.500000,49.725000,47.531250,48.937500,47.840625,11746478,5709.13,38178,
2020-04-08,RECLTD,EQ,48.937500,51.553125,48.403125,49.275000,48.937500,15120244,7521.24,37589,
2020-04-09,RECLTD,EQ,49.950000,50.737500,48.965625,50.062500,49.275000,11590692,5765.25,33446,
2020-04-13,RECLTD,EQ,50.062500,50.737500,48.150000,49.443750,50.062500,8902169,4379.91,17442,
2020-04-15,RECLTD,EQ,50.175000,52.565625,49.331250,50.821875,49.443750,14145093,7240.18,46010,
2020-04-16,RECLTD,EQ,50.203125,51.806250,49.584375,51.187500,50.821875,8479477,4327.09,25066,
2020-04-17,RECLTD,EQ,52.593750,55.687500,52.031250,53.718750,51.187500,17629900,9490.79,45710,
2020-04-20,RECLTD,EQ,54.506250,55.209375,52.650000,53.156250,53.718750,11244581,6064.77,35465,
2020-04-21,RECLTD,EQ,52.031250,52.228125,50.371875,51.440625,53.156250,8455772,4326.94,19790,
2020-04-22,RECLTD,EQ,51.187500,51.271875,50.062500,50.821875,51.440625,9431340,4771.30,21336,
2020-04-23,RECLTD,EQ,51.187500,52.678125,50.906250,51.665625,50.821875,7401589,3845.68,20206,
2020-04-24,RECLTD,EQ,50.990625,52.537500,50.118750,50.259375,51.665625,10729815,5464.98,27387,
2020-04-27,RECLTD,EQ,50.821875,51.215625,49.696875,49.950000,50.259375,9724375,4882.06,23117,
2020-04-28,RECLTD,EQ,50.568750,50.793750,49.950000,50.118750,49.950000,7565404,3806.66,21971,
2020-04-29,RECLTD,EQ,51.187500,53.043750,50.765625,52.453125,50.118750,17715712,9273.40,43622,
2020-04-30,RECLTD,EQ,53.240625,54.140625,52.453125,53.746875,52.453125,15356864,8227.97,52964,
2020-05-04,RECLTD,EQ,52.284375,52.284375,50.062500,50.653125,53.746875,22225719,11290.86,46884,
2020-05-05,RECLTD,EQ,51.159375,51.946875,50.484375,50.709375,50.653125,8227332,4199.79,19247,
2020-05-06,RECLTD,EQ,50.793750,51.609375,49.781250,51.468750,50.709375,12650345,6439.41,31335,
2020-05-07,RECLTD,EQ,50.962500,52.228125,50.709375,51.525000,51.468750,10188343,5260.97,25905,
2020-05-08,RECLTD,EQ,52.200000,52.200000,48.881250,49.246875,51.525000,10116644,5069.25,31143,
2020-05-11,RECLTD,EQ,50.006250,51.525000,49.528125,50.146875,49.246875,11138692,5633.92,26842,
2020-05-12,RECLTD,EQ,49.781250,50.934375,49.078125,50.315625,50.146875,12868340,6430.80,42996,
2020-05-13,RECLTD,EQ,52.593750,57.656250,51.693750,56.587500,50.315625,49222350,27346.76,104359,
2020-05-14,RECLTD,EQ,56.812500,58.950000,55.153125,56.165625,56.587500,50072334,28241.78,114106,
2020-05-15,RECLTD,EQ,56.053125,57.571875,54.731250,55.068750,56.165625,18490736,10352.67,44779,
2020-05-18,RECLTD,EQ,55.125000,55.434375,50.625000,50.934375,55.068750,19300572,10045.46,64998,
2020-05-19,RECLTD,EQ,51.946875,52.284375,48.881250,49.134375,50.934375,17139369,8573.56,40521,
2020-05-20,RECLTD,EQ,49.359375,49.950000,48.768750,49.275000,49.134375,8298148,4102.64,24913,
2020-05-21,RECLTD,EQ,49.500000,50.146875,49.162500,49.921875,49.275000,9166484,4561.05,23668,
2020-05-22,RECLTD,EQ,49.893750,50.231250,48.093750,48.318750,49.921875,13112320,6415.00,31288,
2020-05-26,RECLTD,EQ,47.840625,48.571875,47.053125,47.362500,48.318750,11010796,5234.29,30684,
2020-05-27,RECLTD,EQ,47.812500,48.712500,47.334375,48.515625,47.362500,11132233,5356.40,29391,
2020-05-28,RECLTD,EQ,48.853125,50.034375,48.093750,49.443750,48.515625,12080178,5974.83,26544,
2020-05-29,RECLTD,EQ,48.937500,51.525000,48.571875,49.809375,49.443750,26899410,13473.29,41274,
2020-06-01,RECLTD,EQ,50.906250,53.521875,50.512500,52.790625,49.809375,15208299,7988.05,40632,
