date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,SBILIFE,EQ,965.000000,980.000000,961.600000,976.400000,961.600000,349251,3391.83,12529,
2020-01-02,SBILIFE,EQ,975.700000,975.700000,966.000000,969.350000,976.400000,335765,3254.27,19727,
2020-01-03,SBILIFE,EQ,970.000000,982.800000,969.000000,975.100000,969.350000,451217,4399.49,30280,
2020-01-06,SBILIFE,EQ,966.100000,1003.100000,958.000000,983.100000,975.100000,895840,8804.90,47128,
2020-01-07,SBILIFE,EQ,990.000000,1003.000000,980.000000,984.900000,983.100000,570304,5646.14,41261,
2020-01-08,SBILIFE,EQ,978.000000,992.300000,975.200000,987.750000,984.900000,368547,3626.55,30370,
2020-01-09,SBILIFE,EQ,996.800000,998.000000,979.750000,988.500000,987.750000,614382,6075.79,38413,
2020-01-10,SBILIFE,EQ,989.000000,997.000000,983.300000,989.000000,988.500000,351231,3476.44,21548,
2020-01-13,SBILIFE,EQ,993.000000,997.950000,980.000000,989.850000,989.000000,332236,3282.74,22764,
2020-01-14,SBILIFE,EQ,993.000000,994.000000,984.000000,987.800000,989.850000,369532,3653.83,34353,
2020-01-15,SBILIFE,EQ,988.000000,1002.000000,981.000000,998.150000,987.800000,533340,5296.31,26025,
2020-01-16,SBILIFE,EQ,1000.000000,1003.000000,992.000000,999.900000,998.150000,465355,4648.29,34429,
2020-01-17,SBILIFE,EQ,999.800000,1009.800000,985.250000,996.350000,999.900000,372188,3706.08,25450,
2020-01-20,SBILIFE,EQ,1000.000000,1001.000000,975.500000,981.500000,996.350000,341082,3365.50,27166,
2020-01-21,SBILIFE,EQ,980.000000,987.000000,970.200000,972.750000,981.500000,355550,3464.02,35107,
2020-01-22,SBILIFE,EQ,980.000000,992.600000,972.000000,981.700000,972.750000,1299987,12776.59,51797,
2020-01-23,SBILIFE,EQ,985.400000,1004.000000,980.200000,985.950000,981.700000,1151390,11408.09,36265,
2020-01-24,SBILIFE,EQ,986.000000,1020.000000,977.000000,999.800000,985.950000,1388247,13887.42,55074,
2020-01-27,SBILIFE,EQ,999.800000,1014.700000,987.350000,992.150000,999.800000,740311,7424.42,25400,
