date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,SBIN,EQ,334.700000,335.950000,332.150000,334.450000,333.750000,17379320,58051.30,99108,
2020-01-02,SBIN,EQ,334.500000,339.850000,333.350000,339.300000,334.450000,20324236,68453.41,123189,
2020-01-03,SBIN,EQ,337.950000,337.950000,332.000000,333.700000,339.300000,21853208,73226.00,139793,
2020-01-06,SBIN,EQ,331.700000,331.700000,317.700000,319.000000,333.700000,35645325,114788.24,280646,
2020-01-07,SBIN,EQ,324.450000,327.000000,315.400000,318.400000,319.000000,50966826,163286.77,310782,
2020-01-08,SBIN,EQ,312.100000,321.500000,311.000000,319.800000,318.400000,44527485,140652.53,259968,
2020-01-09,SBIN,EQ,326.900000,331.400000,325.000000,330.200000,319.800000,40348407,132576.20,255624,
2020-01-10,SBIN,EQ,331.000000,337.950000,328.100000,332.250000,330.200000,42377838,141386.20,247022,
2020-01-13,SBIN,EQ,334.000000,335.450000,329.050000,330.750000,332.250000,23615129,78338.51,156310,
2020-01-14,SBIN,EQ,329.800000,331.700000,326.500000,328.000000,330.750000,26296117,86390.35,170473,
2020-01-15,SBIN,EQ,329.000000,329.200000,322.350000,324.250000,328.000000,32625740,105805.38,243663,
2020-01-16,SBIN,EQ,324.000000,326.900000,322.350000,323.300000,324.250000,26653623,86486.58,182806,
2020-01-17,SBIN,EQ,313.000000,323.500000,310.100000,318.000000,323.300000,58396326,185639.73,290272,
2020-01-20,SBIN,EQ,321.000000,321.450000,313.400000,314.000000,318.000000,30682902,96932.33,194552,
2020-01-21,SBIN,EQ,313.800000,316.950000,312.000000,313.700000,314.000000,30591772,96158.57,195704,
2020-01-22,SBIN,EQ,317.000000,317.000000,313.700000,316.150000,313.700000,24994911,78809.72,154068,
2020-01-23,SBIN,EQ,316.000000,324.800000,314.150000,323.200000,316.150000,33293610,106621.80,227748,
2020-01-24,SBIN,EQ,323.500000,327.300000,321.150000,324.050000,323.200000,22706879,73832.47,146667,
2020-01-27,SBIN,EQ,320.900000,322.000000,315.800000,316.200000,324.050000,23309355,74315.58,148768,
2020-01-28,SBIN,EQ,317.950000,320.000000,311.050000,315.100000,316.200000,26488426,83880.15,173879,
2020-01-29,SBIN,EQ,317.850000,319.700000,315.550000,316.450000,315.100000,23914114,75987.04,143297,
2020-01-30,SBIN,EQ,316.750000,316.750000,305.650000,310.700000,316.450000,35802330,111410.18,227687,
2020-01-31,SBIN,EQ,313.700000,321.700000,308.600000,318.450000,310.700000,92656638,293026.66,457787,
2020-02-03,SBIN,EQ,303.000000,306.850000,295.350000,298.100000,302.600000,56060158,168529.47,340547,
