date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,SHREECEM,EQ,20375.000000,20489.000000,20287.050000,20319.900000,20363.950000,4879,994.28,1595,
2020-01-02,SHREECEM,EQ,20320.000000,21279.900000,20320.000000,21232.150000,20319.900000,31788,6677.65,9022,
2020-01-03,SHREECEM,EQ,21200.000000,21398.950000,20950.000000,21122.250000,21232.150000,19053,4029.92,5781,
2020-01-06,SHREECEM,EQ,21124.800000,21219.950000,20591.400000,21064.400000,21122.250000,25717,5367.87,7823,
2020-01-07,SHREECEM,EQ,21097.150000,22050.000000,20951.000000,21963.150000,21064.400000,83884,18202.25,18173,
2020-01-08,SHREECEM,EQ,21849.000000,22691.650000,21710.300000,22441.300000,21963.150000,68506,15373.30,21132,
2020-01-09,SHREECEM,EQ,22521.800000,22959.850000,22327.250000,22814.550000,22441.300000,40252,9108.52,14362,
2020-01-10,SHREECEM,EQ,22866.500000,23409.500000,22723.650000,23345.400000,22814.550000,41458,9621.35,14521,
2020-01-13,SHREECEM,EQ,23270.000000,24263.050000,23227.050000,23829.200000,23345.400000,55253,13074.63,12886,
2020-01-14,SHREECEM,EQ,23670.000000,23820.200000,23424.750000,23560.000000,23829.200000,22816,5377.77,9281,
2020-01-15,SHREECEM,EQ,23670.000000,23800.000000,23351.500000,23728.550000,23560.000000,24055,5673.80,10222,
2020-01-16,SHREECEM,EQ,23750.000000,24100.000000,23065.650000,23290.850000,23728.550000,59132,13795.58,16656,
2020-01-17,SHREECEM,EQ,23335.000000,23646.400000,23205.000000,23325.900000,23290.850000,32537,7617.89,7016,
2020-01-20,SHREECEM,EQ,23333.200000,23508.800000,23039.950000,23133.100000,23325.900000,26423,6130.47,6483,
2020-01-21,SHREECEM,EQ,23160.100000,23398.700000,22831.550000,22953.500000,23133.100000,29652,6831.96,6831,
2020-01-22,SHREECEM,EQ,22960.000000,23299.950000,22887.000000,23016.700000,22953.500000,28102,6493.20,4761,
2020-01-23,SHREECEM,EQ,23016.700000,23200.000000,22911.100000,23079.050000,23016.700000,15181,3505.53,3303,
2020-01-24,SHREECEM,EQ,23011.100000,23302.000000,22870.000000,23134.650000,23079.050000,31218,7204.35,6313,
2020-01-27,SHREECEM,EQ,23099.900000,23766.000000,22960.150000,23598.450000,23134.650000,35307,8310.81,8596,
