date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2022-12-20,SHRIRAMFIN,EQ,273.980000,279.800000,270.480000,277.850000,274.450000,2851545,7816.96,27503,
2022-12-21,SHRIRAMFIN,EQ,277.360000,283.900000,272.050000,273.880000,277.850000,4286630,11918.79,38689,
2022-12-22,SHRIRAMFIN,EQ,275.000000,277.400000,265.670000,267.880000,273.880000,1549960,4184.43,14511,
2022-12-23,SHRIRAMFIN,EQ,265.390000,265.390000,258.120000,260.300000,267.880000,1564975,4085.82,14998,
2022-12-26,SHRIRAMFIN,EQ,260.310000,273.400000,259.010000,270.230000,260.300000,1606850,4314.97,14892,
2022-12-27,SHRIRAMFIN,EQ,272.400000,278.000000,265.910000,275.780000,270.230000,2420365,6603.31,26536,
2022-12-28,SHRIRAMFIN,EQ,272.710000,279.400000,270.500000,277.720000,275.780000,2201075,6031.66,18170,
2022-12-29,SHRIRAMFIN,EQ,269.800000,269.800000,250.270000,262.450000,277.720000,19945730,51527.90,87415,
2022-12-30,SHRIRAMFIN,EQ,266.000000,276.960000,265.030000,275.380000,262.450000,7329350,19998.21,38247,
2023-01-02,SHRIRAMFIN,EQ,276.200000,278.000000,272.400000,277.160000,275.380000,2184945,6026.80,18891,
2023-01-03,SHRIRAMFIN,EQ,273.760000,275.390000,267.120000,269.930000,277.160000,2678225,7276.65,26822,
2023-01-04,SHRIRAMFIN,EQ,269.600000,270.580000,263.570000,265.670000,269.930000,2709675,7234.33,24534,
2023-01-05,SHRIRAMFIN,EQ,267.190000,268.000000,262.250000,263.980000,265.670000,2309935,6117.02,20972,
2023-01-06,SHRIRAMFIN,EQ,264.980000,265.150000,257.400000,258.930000,263.980000,1599915,4172.81,18463,
2023-01-09,SHRIRAMFIN,EQ,260.000000,264.940000,259.900000,263.720000,258.930000,2348255,6180.22,41318,
2023-01-10,SHRIRAMFIN,EQ,264.530000,267.520000,263.720000,266.780000,263.720000,2849300,7569.67,34667,
2023-01-11,SHRIRAMFIN,EQ,266.800000,268.770000,263.820000,266.900000,266.780000,1445245,3856.98,17242,
2023-01-12,SHRIRAMFIN,EQ,268.300000,268.450000,261.040000,262.530000,266.900000,2259350,5973.09,19840,
2023-01-13,SHRIRAMFIN,EQ,262.000000,262.600000,253.520000,256.640000,262.530000,4597480,11834.91,37236,
2023-01-16,SHRIRAMFIN,EQ,257.800000,260.310000,253.800000,254.540000,256.640000,2549280,6543.25,22729,
2023-01-17,SHRIRAMFIN,EQ,255.550000,256.130000,252.580000,254.330000,254.540000,3167635,8055.48,45297,
2023-01-18,SHRIRAMFIN,EQ,255.600000,258.350000,251.230000,256.800000,254.330000,2375830,6052.08,22463,
2023-01-19,SHRIRAMFIN,EQ,256.800000,259.470000,254.460000,258.960000,256.800000,2489795,6433.95,35934,
2023-01-20,SHRIRAMFIN,EQ,258.800000,258.800000,253.280000,255.460000,258.960000,1984570,5071.63,39011,
2023-01-23,SHRIRAMFIN,EQ,256.420000,259.390000,254.980000,256.920000,255.460000,1269830,3270.61,17180,
2023-01-24,SHRIRAMFIN,EQ,257.580000,258.560000,252.600000,253.060000,256.920000,1061495,2704.40,13559,
2023-01-25,SHRIRAMFIN,EQ,253.710000,254.130000,246.000000,250.840000,253.060000,2130930,5331.21,21709,
2023-01-27,SHRIRAMFIN,EQ,251.000000,256.800000,246.010000,248.210000,250.840000,2410525,6045.79,21594,
2023-01-30,SHRIRAMFIN,EQ,247.800000,252.980000,245.480000,248.770000,248.210000,5905675,14628.34,20913,
2023-01-31,SHRIRAMFIN,EQ,249.520000,259.080000,246.680000,257.320000,248.770000,6053500,15393.56,58221,
2023-02-01,SHRIRAMFIN,EQ,265.600000,273.380000,255.640000,259.470000,257.320000,7936630,21064.43,56723,
2023-02-02,SHRIRAMFIN,EQ,258.580000,259.920000,250.600000,252.900000,259.470000,2552580,6499.33,35027,
2023-02-03,SHRIRAMFIN,EQ,254.240000,256.840000,250.000000,255.810000,252.900000,2600590,6581.13,27176,
2023-02-06,SHRIRAMFIN,EQ,252.000000,259.520000,252.000000,258.730000,255.810000,2088355,5378.24,33205,
2023-02-07,SHRIRAMFIN,EQ,258.780000,260.600000,255.800000,258.260000,258.730000,1940780,5011.11,21917,
2023-02-08,SHRIRAMFIN,EQ,259.560000,262.160000,258.010000,261.530000,258.260000,1715770,4465.52,16705,
2023-02-09,SHRIRAMFIN,EQ,261.700000,263.490000,259.710000,263.010000,261.530000,1437655,3771.71,19547,
2023-02-10,SHRIRAMFIN,EQ,264.000000,264.000000,253.540000,255.720000,263.010000,3358630,8613.26,48464,
2023-02-13,SHRIRAMFIN,EQ,255.720000,256.940000,250.600000,251.220000,255.720000,1789390,4512.47,19741,
2023-02-14,SHRIRAMFIN,EQ,252.400000,254.900000,249.980000,254.040000,251.220000,1050085,2651.92,18113,
2023-02-15,SHRIRAMFIN,EQ,253.100000,255.580000,251.400000,254.540000,254.040000,1236070,3140.21,12866,
2023-02-16,SHRIRAMFIN,EQ,256.400000,256.460000,249.270000,251.740000,254.540000,3304915,8307.10,33760,
2023-02-17,SHRIRAMFIN,EQ,249.980000,252.260000,246.100000,246.820000,251.740000,2077315,5166.27,20168,
2023-02-20,SHRIRAMFIN,EQ,251.760000,251.760000,246.840000,247.440000,246.820000,2309105,5746.70,18941,
2023-02-21,SHRIRAMFIN,EQ,249.400000,250.530000,242.200000,242.990000,247.440000,2163550,5324.71,22257,
2023-02-22,SHRIRAMFIN,EQ,242.200000,244.260000,239.020000,241.610000,242.990000,3253235,7838.69,37462,
2023-02-23,SHRIRAMFIN,EQ,241.990000,243.050000,239.020000,240.060000,241.610000,1641205,3946.17,20933,
2023-02-24,SHRIRAMFIN,EQ,240.560000,244.400000,240.180000,243.690000,240.060000,2464105,5978.36,32973,
2023-02-27,SHRIRAMFIN,EQ,243.690000,244.120000,238.400000,240.580000,243.690000,1437525,3465.32,20270,
2023-02-28,SHRIRAMFIN,EQ,241.000000,242.530000,238.000000,240.670000,240.580000,13260610,31902.89,60337,
2023-03-01,SHRIRAMFIN,EQ,241.400000,246.290000,241.000000,244.330000,240.670000,2913235,7117.87,35139,
2023-03-02,SHRIRAMFIN,EQ,244.600000,244.980000,238.600000,241.920000,244.330000,2720640,6554.19,26260,
2023-03-03,SHRIRAMFIN,EQ,243.130000,245.800000,242.070000,243.380000,241.920000,1836725,4481.67,15075,
2023-03-06,SHRIRAMFIN,EQ,244.000000,249.810000,244.000000,249.370000,243.380000,3145920,7805.44,26668,
2023-03-08,SHRIRAMFIN,EQ,249.000000,258.980000,244.220000,254.090000,249.370000,51702925,127507.26,65352,
2023-03-09,SHRIRAMFIN,EQ,255.990000,262.940000,255.000000,258.080000,254.090000,8022010,20825.74,54529,
2023-03-10,SHRIRAMFIN,EQ,256.990000,257.000000,251.690000,253.930000,258.080000,1446625,3674.29,22157,
2023-03-13,SHRIRAMFIN,EQ,254.150000,256.770000,250.340000,251.610000,253.930000,3683830,9340.20,29890,
2023-03-14,SHRIRAMFIN,EQ,250.210000,251.600000,244.600000,247.800000,251.610000,3141790,7781.47,27506,
2023-03-15,SHRIRAMFIN,EQ,250.200000,250.810000,245.080000,245.910000,247.800000,1987050,4918.29,25336,
2023-03-16,SHRIRAMFIN,EQ,246.400000,252.170000,245.740000,250.040000,245.910000,3988570,9945.03,45959,
2023-03-17,SHRIRAMFIN,EQ,251.300000,253.590000,247.360000,249.200000,250.040000,4182610,10447.62,28133,
2023-03-20,SHRIRAMFIN,EQ,254.980000,254.980000,240.710000,243.940000,249.200000,3402415,8324.89,30550,
2023-03-21,SHRIRAMFIN,EQ,246.680000,257.730000,243.620000,252.100000,243.940000,5079360,12653.28,73347,
2023-03-22,SHRIRAMFIN,EQ,252.390000,252.960000,248.340000,249.230000,252.100000,1814750,4549.23,15723,
2023-03-23,SHRIRAMFIN,EQ,248.400000,252.830000,246.800000,252.110000,249.230000,2141185,5382.53,30257,
2023-03-24,SHRIRAMFIN,EQ,250.860000,251.860000,245.000000,246.640000,252.110000,4290270,10623.24,33792,
2023-03-27,SHRIRAMFIN,EQ,246.400000,246.600000,241.130000,241.880000,246.640000,1948390,4733.58,30922,
2023-03-28,SHRIRAMFIN,EQ,242.210000,246.860000,240.430000,245.180000,241.880000,2605125,6339.07,29609,
2023-03-29,SHRIRAMFIN,EQ,245.180000,252.000000,244.300000,250.360000,245.180000,1649135,4107.34,23409,
2023-03-31,SHRIRAMFIN,EQ,250.600000,256.380000,250.600000,251.880000,250.360000,4489935,11394.55,50159,
2023-04-03,SHRIRAMFIN,EQ,253.200000,258.200000,253.200000,257.290000,251.880000,2297460,5873.19,29769,
2023-04-05,SHRIRAMFIN,EQ,256.200000,258.840000,254.890000,257.810000,257.290000,1710530,4392.43,21672,
2023-04-06,SHRIRAMFIN,EQ,257.200000,261.400000,256.030000,260.770000,257.810000,1428390,3710.86,19318,
2023-04-10,SHRIRAMFIN,EQ,260.770000,261.400000,257.010000,260.950000,260.770000,630385,1641.58,11614,
2023-04-11,SHRIRAMFIN,EQ,260.950000,262.000000,255.400000,259.060000,260.950000,2316150,5986.53,23535,
2023-04-12,SHRIRAMFIN,EQ,259.800000,262.400000,257.710000,261.800000,259.060000,2680600,6988.11,18538,
2023-04-13,SHRIRAMFIN,EQ,261.790000,261.790000,258.400000,259.320000,261.800000,774615,2010.41,20642,
2023-04-17,SHRIRAMFIN,EQ,260.000000,265.400000,259.180000,264.270000,259.320000,2927410,7713.11,30510,
2023-04-18,SHRIRAMFIN,EQ,265.450000,269.000000,263.800000,267.840000,264.270000,2602290,6955.55,29202,
2023-04-19,SHRIRAMFIN,EQ,269.470000,273.980000,267.510000,273.310000,267.840000,2649705,7203.37,26851,
2023-04-20,SHRIRAMFIN,EQ,274.010000,274.710000,267.170000,267.870000,273.310000,1972785,5333.61,22196,
2023-04-21,SHRIRAMFIN,EQ,271.080000,272.350000,268.210000,271.770000,267.870000,1533610,4144.11,13696,
2023-04-24,SHRIRAMFIN,EQ,272.200000,282.360000,271.240000,278.520000,271.770000,3484290,9668.09,37188,
2023-04-25,SHRIRAMFIN,EQ,279.940000,293.860000,279.020000,286.550000,278.520000,11463135,32493.77,74739,
2023-04-26,SHRIRAMFIN,EQ,287.970000,287.970000,276.400000,281.230000,286.550000,4680385,13153.59,41122,
2023-04-27,SHRIRAMFIN,EQ,280.000000,282.400000,276.400000,281.110000,281.230000,5355815,14998.37,37989,
2023-04-28,SHRIRAMFIN,EQ,270.000000,273.000000,261.800000,266.520000,281.110000,15378245,40857.66,102038,
2023-05-02,SHRIRAMFIN,EQ,269.780000,270.660000,264.330000,265.060000,266.520000,4445290,11882.57,41278,
2023-05-03,SHRIRAMFIN,EQ,264.610000,267.140000,263.250000,263.810000,265.060000,2404405,6355.91,26696,
2023-05-04,SHRIRAMFIN,EQ,265.200000,266.200000,263.200000,265.540000,263.810000,2605540,6901.77,36806,
2023-05-05,SHRIRAMFIN,EQ,265.600000,269.470000,263.250000,263.770000,265.540000,1867575,4962.61,18705,
2023-05-08,SHRIRAMFIN,EQ,265.800000,271.000000,263.770000,269.580000,263.770000,3146345,8462.92,28415,
2023-05-09,SHRIRAMFIN,EQ,271.740000,280.000000,269.140000,269.650000,269.580000,4717955,12914.61,40883,
2023-05-10,SHRIRAMFIN,EQ,272.200000,272.200000,266.100000,270.610000,269.650000,2721495,7334.16,29354,
