date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,SIEMENS,EQ,748.350000,753.950000,743.550000,745.625000,748.350000,316322,2364.67,9173,
2020-01-02,SIEMENS,EQ,749.500000,759.450000,742.800000,756.850000,745.625000,676680,5078.90,13781,
2020-01-03,SIEMENS,EQ,758.000000,758.750000,746.325000,755.575000,756.850000,637400,4800.23,22062,
2020-01-06,SIEMENS,EQ,745.050000,752.325000,729.775000,737.250000,755.575000,503476,3720.20,17382,
2020-01-07,SIEMENS,EQ,739.975000,748.675000,737.500000,742.575000,737.250000,374584,2780.26,13984,
2020-01-08,SIEMENS,EQ,735.275000,741.500000,731.550000,736.550000,742.575000,430076,3163.28,10448,
2020-01-09,SIEMENS,EQ,754.700000,755.925000,743.025000,754.700000,736.550000,417702,3132.43,11702,
2020-01-10,SIEMENS,EQ,756.000000,766.000000,751.425000,755.125000,754.700000,1436134,10905.37,25680,
2020-01-13,SIEMENS,EQ,756.000000,759.100000,744.775000,750.900000,755.125000,673200,5051.00,15065,
2020-01-14,SIEMENS,EQ,751.500000,758.500000,750.275000,755.500000,750.900000,602640,4553.46,15170,
2020-01-15,SIEMENS,EQ,753.900000,761.000000,750.025000,754.125000,755.500000,929204,7020.45,16931,
2020-01-16,SIEMENS,EQ,755.000000,773.400000,755.000000,767.725000,754.125000,1406864,10800.18,27816,
2020-01-17,SIEMENS,EQ,768.500000,798.850000,768.500000,794.000000,767.725000,2081910,16356.22,33930,
2020-01-20,SIEMENS,EQ,797.450000,804.500000,790.275000,795.875000,794.000000,913370,7274.22,22446,
2020-01-21,SIEMENS,EQ,795.850000,805.500000,787.550000,791.550000,795.875000,1163856,9284.53,25907,
2020-01-22,SIEMENS,EQ,794.000000,797.500000,782.750000,788.825000,791.550000,468692,3708.61,14467,
2020-01-23,SIEMENS,EQ,789.175000,797.400000,784.575000,791.350000,788.825000,705880,5596.74,16187,
2020-01-24,SIEMENS,EQ,791.500000,813.950000,791.500000,812.475000,791.350000,1351606,10892.11,26125,
2020-01-27,SIEMENS,EQ,814.500000,819.500000,775.275000,778.550000,812.475000,1963534,15662.03,42091,
2020-01-28,SIEMENS,EQ,779.300000,787.725000,750.525000,753.400000,778.550000,1366770,10418.62,30120,
2020-01-29,SIEMENS,EQ,756.500000,769.700000,745.150000,764.100000,753.400000,1254026,9519.10,38394,
2020-01-30,SIEMENS,EQ,765.000000,767.200000,751.750000,754.900000,764.100000,711504,5394.42,19322,
2020-01-31,SIEMENS,EQ,757.500000,762.150000,741.150000,750.125000,754.900000,668526,5018.78,25083,
2020-02-03,SIEMENS,EQ,709.825000,729.800000,707.750000,718.625000,708.150000,880548,6333.37,31248,
2020-02-04,SIEMENS,EQ,723.300000,744.900000,723.225000,738.700000,718.625000,584576,4299.93,20571,
2020-02-05,SIEMENS,EQ,743.500000,754.325000,740.000000,748.825000,738.700000,546916,4087.62,19511,
2020-02-06,SIEMENS,EQ,751.000000,760.500000,746.875000,755.575000,748.825000,538078,4062.82,18222,
2020-02-07,SIEMENS,EQ,755.000000,757.500000,742.775000,753.550000,755.575000,412468,3095.45,13130,
2020-02-10,SIEMENS,EQ,753.000000,753.000000,735.275000,737.975000,753.550000,467802,3470.88,14178,
2020-02-11,SIEMENS,EQ,741.250000,761.000000,730.050000,747.375000,737.975000,2802798,20967.74,79951,
2020-02-12,SIEMENS,EQ,745.000000,745.000000,704.625000,711.850000,747.375000,3333758,23903.70,90435,
2020-02-13,SIEMENS,EQ,715.000000,725.000000,705.925000,710.150000,711.850000,1440810,10285.35,28322,
2020-02-14,SIEMENS,EQ,713.700000,718.475000,696.500000,698.950000,710.150000,1042396,7333.29,27071,
2020-02-17,SIEMENS,EQ,703.275000,703.275000,687.150000,691.375000,698.950000,1085922,7516.52,31421,
2020-02-18,SIEMENS,EQ,689.825000,699.450000,681.050000,697.050000,691.375000,561154,3873.29,19049,
2020-02-19,SIEMENS,EQ,701.250000,712.500000,699.950000,710.950000,697.050000,603342,4267.61,18203,
2020-02-20,SIEMENS,EQ,707.725000,715.125000,704.375000,706.350000,710.950000,539532,3829.50,20216,
2020-02-24,SIEMENS,EQ,702.500000,709.625000,684.075000,686.900000,706.350000,577730,4037.70,17726,
2020-02-25,SIEMENS,EQ,691.000000,702.475000,682.500000,691.375000,686.900000,985732,6858.42,28380,
2020-02-26,SIEMENS,EQ,688.075000,698.825000,670.000000,673.200000,691.375000,1109390,7608.18,30583,
2020-02-27,SIEMENS,EQ,674.000000,681.500000,659.350000,676.200000,673.200000,1360120,9093.70,32331,
2020-02-28,SIEMENS,EQ,667.450000,672.475000,643.225000,651.875000,676.200000,1631606,10729.74,30282,
2020-03-02,SIEMENS,EQ,660.000000,677.850000,648.500000,655.325000,651.875000,835516,5565.79,30333,
2020-03-03,SIEMENS,EQ,659.575000,681.375000,650.575000,678.225000,655.325000,1112142,7406.40,37818,
2020-03-04,SIEMENS,EQ,684.500000,684.500000,655.325000,666.925000,678.225000,973178,6483.10,26331,
2020-03-05,SIEMENS,EQ,668.050000,676.500000,660.000000,667.700000,666.925000,922900,6162.82,23140,
2020-03-06,SIEMENS,EQ,650.500000,671.375000,645.275000,669.500000,667.700000,762808,5058.74,25390,
2020-03-09,SIEMENS,EQ,657.400000,659.975000,634.100000,643.300000,669.500000,1153130,7439.49,21713,
2020-03-11,SIEMENS,EQ,637.500000,647.525000,630.250000,642.800000,643.300000,1601740,10248.59,32126,
2020-03-12,SIEMENS,EQ,627.500000,629.000000,575.025000,590.125000,642.800000,1564094,9323.23,31584,
2020-03-13,SIEMENS,EQ,541.100000,645.000000,501.625000,606.825000,590.125000,1156278,6758.28,29126,
2020-03-16,SIEMENS,EQ,582.500000,592.025000,569.725000,574.125000,606.825000,1354848,7894.12,35670,
2020-03-17,SIEMENS,EQ,576.500000,603.900000,562.525000,567.975000,574.125000,932908,5456.72,45971,
2020-03-18,SIEMENS,EQ,572.000000,584.200000,542.175000,558.975000,567.975000,1192742,6672.72,49818,
2020-03-19,SIEMENS,EQ,543.000000,578.400000,520.700000,556.600000,558.975000,759706,4190.37,37375,
2020-03-20,SIEMENS,EQ,560.275000,589.400000,542.500000,584.775000,556.600000,937072,5340.75,65362,
2020-03-23,SIEMENS,EQ,542.500000,578.725000,473.950000,498.025000,584.775000,627710,3219.43,15117,
2020-03-24,SIEMENS,EQ,495.500000,534.950000,495.500000,509.400000,498.025000,640416,3312.57,50165,
2020-03-25,SIEMENS,EQ,509.400000,533.325000,505.075000,524.625000,509.400000,753376,3920.36,52931,
2020-03-26,SIEMENS,EQ,535.000000,569.500000,534.950000,545.300000,524.625000,661016,3653.60,53290,
2020-03-27,SIEMENS,EQ,574.000000,583.400000,515.675000,522.075000,545.300000,668142,3638.56,52806,
2020-03-30,SIEMENS,EQ,519.225000,546.775000,510.325000,540.475000,522.075000,714778,3822.65,35495,
2020-03-31,SIEMENS,EQ,547.500000,571.500000,544.450000,556.700000,540.475000,1710856,9605.76,44537,
