date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,SOLARINDS,EQ,1060.000000,1076.000000,1060.000000,1070.700000,1060.350000,2091,22.40,251,
2020-01-02,SOLARINDS,EQ,1079.000000,1125.050000,1066.600000,1097.150000,1070.700000,14707,160.83,1240,
2020-01-03,SOLARINDS,EQ,1119.000000,1120.100000,1100.200000,1118.350000,1097.150000,19915,221.82,907,
2020-01-06,SOLARINDS,EQ,1120.000000,1129.950000,1094.000000,1113.700000,1118.350000,20215,224.73,1510,
2020-01-07,SOLARINDS,EQ,1114.000000,1123.000000,1095.100000,1106.700000,1113.700000,4594,51.15,442,
2020-01-08,SOLARINDS,EQ,1095.050000,1134.950000,1095.050000,1104.000000,1106.700000,9474,105.73,1028,
2020-01-09,SOLARINDS,EQ,1119.600000,1128.350000,1105.000000,1111.550000,1104.000000,5331,59.45,639,
2020-01-10,SOLARINDS,EQ,1113.800000,1126.300000,1095.000000,1102.100000,1111.550000,23743,261.51,458,
2020-01-13,SOLARINDS,EQ,1102.000000,1111.400000,1090.000000,1096.900000,1102.100000,12201,134.26,684,
2020-01-14,SOLARINDS,EQ,1096.000000,1101.100000,1082.950000,1096.500000,1096.900000,50716,555.25,1665,
2020-01-15,SOLARINDS,EQ,1100.600000,1123.950000,1097.000000,1119.750000,1096.500000,5563,61.90,544,
2020-01-16,SOLARINDS,EQ,1111.600000,1125.000000,1093.500000,1120.500000,1119.750000,5685,63.23,941,
2020-01-17,SOLARINDS,EQ,1125.000000,1140.000000,1110.550000,1134.900000,1120.500000,5865,66.09,540,
2020-01-20,SOLARINDS,EQ,1134.900000,1159.750000,1118.050000,1145.200000,1134.900000,10531,119.53,722,
2020-01-21,SOLARINDS,EQ,1127.200000,1165.000000,1125.000000,1160.850000,1145.200000,6681,77.15,602,
2020-01-22,SOLARINDS,EQ,1173.000000,1179.950000,1155.000000,1161.650000,1160.850000,4375,51.17,544,
2020-01-23,SOLARINDS,EQ,1184.000000,1184.000000,1148.300000,1151.000000,1161.650000,2620,30.45,309,
2020-01-24,SOLARINDS,EQ,1151.350000,1190.650000,1151.350000,1179.950000,1151.000000,67932,799.21,1615,
2020-01-27,SOLARINDS,EQ,1183.500000,1206.750000,1180.000000,1197.800000,1179.950000,16601,198.18,1795,
2020-01-28,SOLARINDS,EQ,1202.500000,1238.200000,1190.700000,1223.400000,1197.800000,21091,257.81,1069,
2020-01-29,SOLARINDS,EQ,1244.950000,1280.000000,1217.550000,1272.850000,1223.400000,107292,1360.97,2264,
2020-01-30,SOLARINDS,EQ,1279.900000,1300.000000,1278.000000,1294.450000,1272.850000,330440,4278.13,1608,
2020-01-31,SOLARINDS,EQ,1297.000000,1317.050000,1260.000000,1267.200000,1294.450000,44230,565.23,2045,
2020-02-03,SOLARINDS,EQ,1270.000000,1314.350000,1245.150000,1280.750000,1275.300000,76824,982.32,1361,
2020-02-04,SOLARINDS,EQ,1292.000000,1299.000000,1255.000000,1278.500000,1280.750000,6383,82.26,870,
