date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2025-10-13,TATACAP,EQ,330.000000,333.000000,326.250000,330.500000,326.000000,117611923,387795.28,894793,
2025-10-14,TATACAP,EQ,330.500000,331.900000,319.050000,319.800000,330.500000,28551748,92811.62,324012,
2025-10-15,TATACAP,EQ,320.000000,330.800000,320.000000,329.700000,319.800000,15881677,51778.59,179156,
2025-10-16,TATACAP,EQ,330.000000,336.000000,329.700000,335.100000,329.700000,19938421,66535.56,195127,
2025-10-17,TATACAP,EQ,335.100000,336.650000,329.400000,330.700000,335.100000,7576158,25137.59,94525,
2025-10-20,TATACAP,EQ,330.750000,331.650000,323.950000,325.350000,330.700000,5691141,18558.41,73289,
2025-10-21,TATACAP,EQ,326.000000,331.350000,326.000000,329.950000,325.350000,3052727,10064.33,37782,
2025-10-23,TATACAP,EQ,329.550000,330.000000,324.450000,325.050000,329.950000,9542377,31188.02,64534,
2025-10-24,TATACAP,EQ,324.500000,327.700000,323.400000,324.150000,325.050000,4136601,13441.15,38215,
2025-10-27,TATACAP,EQ,325.000000,330.450000,324.900000,328.900000,324.150000,5948900,19555.11,108940,
2025-10-28,TATACAP,EQ,328.900000,333.700000,327.600000,331.100000,328.900000,6925054,22917.17,61767,
2025-10-29,TATACAP,EQ,331.900000,331.900000,325.800000,326.400000,331.100000,6776721,22156.26,59477,
2025-10-30,TATACAP,EQ,325.400000,327.800000,324.850000,326.950000,326.400000,2482953,8103.71,56934,
2025-10-31,TATACAP,EQ,330.000000,330.000000,325.300000,327.300000,326.950000,3745921,12256.87,54538,
2025-11-03,TATACAP,EQ,325.600000,331.500000,325.250000,328.800000,327.300000,4791323,15757.90,66945,
2025-11-04,TATACAP,EQ,326.400000,330.700000,326.400000,329.300000,328.800000,6353144,20911.25,84836,
2025-11-06,TATACAP,EQ,327.650000,328.150000,325.000000,326.450000,329.300000,3528292,11512.06,72399,
2025-11-07,TATACAP,EQ,325.100000,326.000000,320.300000,322.850000,326.450000,5369467,17319.15,96830,
2025-11-10,TATACAP,EQ,322.000000,325.950000,318.350000,324.750000,322.850000,3851564,12456.46,74213,
2025-11-11,TATACAP,EQ,324.000000,326.250000,321.200000,325.650000,324.750000,3341820,10865.43,118550,
2025-11-12,TATACAP,EQ,325.750000,326.250000,323.600000,325.200000,325.650000,2278725,7408.20,34940,
2025-11-13,TATACAP,EQ,325.000000,327.500000,322.950000,323.800000,325.200000,3583700,11637.61,51229,
2025-11-14,TATACAP,EQ,324.000000,325.950000,322.450000,325.500000,323.800000,2102955,6826.84,22294,
2025-11-17,TATACAP,EQ,325.000000,325.700000,324.450000,325.000000,325.500000,2148716,6983.59,44950,
2025-11-18,TATACAP,EQ,324.000000,324.900000,320.050000,320.950000,325.000000,1522492,4901.39,22228,
2025-11-19,TATACAP,EQ,322.400000,323.350000,317.950000,320.250000,320.950000,4399133,14081.12,32518,
2025-11-20,TATACAP,EQ,320.950000,321.450000,317.800000,318.600000,320.250000,2060273,6565.81,32899,
2025-11-21,TATACAP,EQ,318.600000,319.400000,315.100000,316.900000,318.600000,1648418,5222.65,40339,
2025-11-24,TATACAP,EQ,316.800000,323.750000,316.500000,319.050000,316.900000,3567815,11417.41,47356,
2025-11-25,TATACAP,EQ,319.650000,326.500000,319.650000,325.000000,319.050000,2021744,6564.01,51555,
2025-11-26,TATACAP,EQ,325.950000,327.900000,323.600000,324.550000,325.000000,2150276,6988.34,48494,
2025-11-27,TATACAP,EQ,324.950000,326.950000,323.600000,324.800000,324.550000,875769,2844.19,29515,
2025-11-28,TATACAP,EQ,324.000000,330.900000,324.000000,327.900000,324.800000,6654492,21865.14,61611,
2025-12-01,TATACAP,EQ,327.000000,327.700000,322.100000,323.000000,327.900000,1231244,3994.17,20079,
2025-12-02,TATACAP,EQ,322.950000,324.400000,320.700000,321.900000,323.000000,1073653,3455.80,18570,
