date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-02-27,TATACONSUM,EQ,364.100000,365.650000,360.250000,363.300000,365.650000,1827751,6631.72,25087,
2020-02-28,TATACONSUM,EQ,357.950000,357.950000,341.550000,346.150000,363.300000,4494646,15574.23,36885,
2020-03-02,TATACONSUM,EQ,351.050000,355.250000,333.600000,338.800000,346.150000,3837169,13353.81,48165,
2020-03-03,TATACONSUM,EQ,340.600000,357.700000,340.600000,355.300000,338.800000,4204156,14762.70,76287,
2020-03-04,TATACONSUM,EQ,356.200000,357.600000,339.000000,349.200000,355.300000,2331888,8091.52,49946,
2020-03-05,TATACONSUM,EQ,353.750000,357.100000,347.000000,348.500000,349.200000,1890082,6652.53,52394,
2020-03-06,TATACONSUM,EQ,340.000000,346.900000,334.150000,344.500000,348.500000,4469801,15331.55,63442,
2020-03-09,TATACONSUM,EQ,338.000000,340.850000,319.150000,330.100000,344.500000,5653412,18749.85,47319,
2020-03-11,TATACONSUM,EQ,326.850000,337.750000,325.000000,327.850000,330.100000,3475868,11508.13,28129,
2020-03-12,TATACONSUM,EQ,320.000000,320.000000,297.200000,303.450000,327.850000,5405030,16492.20,76325,
2020-03-13,TATACONSUM,EQ,273.550000,327.800000,258.000000,324.250000,303.450000,7428604,22871.97,67999,
2020-03-16,TATACONSUM,EQ,305.300000,314.300000,296.600000,300.300000,324.250000,3695163,11262.65,98388,
2020-03-17,TATACONSUM,EQ,305.000000,308.700000,282.000000,283.850000,300.300000,3307865,9657.04,86334,
2020-03-18,TATACONSUM,EQ,285.000000,288.600000,262.000000,267.450000,283.850000,4038726,10914.22,80378,
2020-03-19,TATACONSUM,EQ,258.000000,265.500000,232.250000,250.750000,267.450000,6319923,15743.22,115205,
2020-03-20,TATACONSUM,EQ,247.000000,273.400000,244.500000,264.200000,250.750000,3907691,10161.71,52348,
2020-03-23,TATACONSUM,EQ,240.000000,247.900000,225.000000,226.500000,264.200000,2922955,6912.08,55578,
2020-03-24,TATACONSUM,EQ,249.150000,256.100000,213.700000,249.050000,226.500000,6054692,14508.90,73889,
2020-03-25,TATACONSUM,EQ,248.100000,282.450000,246.900000,277.150000,249.050000,3964419,10691.33,84168,
2020-03-26,TATACONSUM,EQ,279.500000,293.550000,263.450000,279.050000,277.150000,3335026,9404.72,55305,
2020-03-27,TATACONSUM,EQ,290.000000,294.950000,279.250000,284.750000,279.050000,2980927,8569.34,67462,
2020-03-30,TATACONSUM,EQ,282.500000,284.000000,272.650000,281.400000,284.750000,2901726,8092.26,85070,
2020-03-31,TATACONSUM,EQ,291.500000,297.000000,284.850000,294.850000,281.400000,3270034,9546.19,87485,
2020-04-01,TATACONSUM,EQ,292.850000,304.000000,277.350000,280.000000,294.850000,5532600,15713.39,105227,
2020-04-03,TATACONSUM,EQ,286.000000,286.000000,264.000000,267.150000,280.000000,5990376,16117.28,118890,
2020-04-07,TATACONSUM,EQ,280.000000,286.750000,271.000000,284.550000,267.150000,6492026,18148.60,114263,
2020-04-08,TATACONSUM,EQ,282.700000,296.000000,276.700000,294.400000,284.550000,5331494,15537.41,78114,
2020-04-09,TATACONSUM,EQ,301.400000,319.000000,300.200000,309.050000,294.400000,7699408,23741.34,151296,
2020-04-13,TATACONSUM,EQ,315.000000,315.000000,301.100000,305.050000,309.050000,3699875,11382.33,127468,
2020-04-15,TATACONSUM,EQ,311.100000,322.750000,305.000000,315.650000,305.050000,5721837,17990.36,181704,
2020-04-16,TATACONSUM,EQ,317.850000,333.700000,315.650000,324.050000,315.650000,8211111,26549.81,212380,
2020-04-17,TATACONSUM,EQ,334.950000,336.400000,316.850000,324.500000,324.050000,4845929,15797.60,154935,
2020-04-20,TATACONSUM,EQ,324.600000,332.850000,321.150000,324.700000,324.500000,3621444,11815.03,126402,
2020-04-21,TATACONSUM,EQ,318.000000,320.000000,311.000000,312.400000,324.700000,3462477,10910.05,104334,
2020-04-22,TATACONSUM,EQ,314.650000,335.450000,310.000000,330.150000,312.400000,4645157,14924.31,112395,
2020-04-23,TATACONSUM,EQ,338.000000,339.800000,325.300000,329.950000,330.150000,3747888,12497.74,65023,
2020-04-24,TATACONSUM,EQ,323.000000,336.850000,323.000000,326.100000,329.950000,5438859,17930.90,145139,
2020-04-27,TATACONSUM,EQ,331.950000,351.350000,331.250000,349.350000,326.100000,7426428,25498.10,139971,
2020-04-28,TATACONSUM,EQ,352.850000,355.600000,340.450000,342.900000,349.350000,3767231,13007.04,96506,
2020-04-29,TATACONSUM,EQ,343.000000,356.000000,343.000000,354.000000,342.900000,3653520,12871.00,85376,
2020-04-30,TATACONSUM,EQ,359.950000,361.400000,349.850000,351.600000,354.000000,4760235,16905.11,63824,
2020-05-04,TATACONSUM,EQ,340.000000,347.200000,333.000000,334.950000,351.600000,3385502,11473.26,117378,
2020-05-05,TATACONSUM,EQ,339.000000,342.900000,327.850000,329.500000,334.950000,2833278,9417.23,61029,
2020-05-06,TATACONSUM,EQ,331.450000,341.200000,325.650000,335.550000,329.500000,3642689,12182.76,36958,
2020-05-07,TATACONSUM,EQ,335.950000,344.600000,328.800000,341.300000,335.550000,3605559,12226.38,73442,
2020-05-08,TATACONSUM,EQ,347.000000,355.500000,344.100000,348.750000,341.300000,3247803,11361.17,63670,
2020-05-11,TATACONSUM,EQ,353.850000,365.000000,349.050000,355.000000,348.750000,4792046,17241.58,104386,
2020-05-12,TATACONSUM,EQ,354.450000,363.300000,346.650000,358.700000,355.000000,3258000,11590.21,92237,
2020-05-13,TATACONSUM,EQ,375.000000,375.000000,348.500000,356.350000,358.700000,8536960,30461.23,231357,
2020-05-14,TATACONSUM,EQ,350.000000,364.500000,350.000000,362.800000,356.350000,5120949,18450.22,166438,
2020-05-15,TATACONSUM,EQ,353.100000,367.750000,349.100000,352.200000,362.800000,9452903,33731.54,170087,
2020-05-18,TATACONSUM,EQ,351.200000,355.800000,343.400000,347.100000,352.200000,4181455,14609.68,84886,
2020-05-19,TATACONSUM,EQ,350.900000,363.000000,349.250000,358.050000,347.100000,5696557,20379.85,132251,
2020-05-20,TATACONSUM,EQ,359.600000,363.800000,356.550000,360.750000,358.050000,3489683,12559.76,86913,
2020-05-21,TATACONSUM,EQ,363.900000,366.400000,355.300000,360.300000,360.750000,3883273,14011.68,90164,
2020-05-22,TATACONSUM,EQ,361.550000,366.950000,356.200000,362.450000,360.300000,3958853,14385.38,87379,
2020-05-26,TATACONSUM,EQ,366.800000,376.450000,360.000000,371.950000,362.450000,7728762,28674.35,222372,
2020-05-27,TATACONSUM,EQ,374.600000,375.700000,362.200000,368.550000,371.950000,3384200,12442.07,92233,
2020-05-28,TATACONSUM,EQ,367.950000,373.400000,366.000000,371.150000,368.550000,3390919,12575.27,157993,
2020-05-29,TATACONSUM,EQ,370.550000,382.800000,357.350000,366.900000,371.150000,63552596,234317.69,415763,
2020-06-01,TATACONSUM,EQ,368.500000,369.400000,359.500000,362.850000,366.900000,9637219,35004.96,157699,
2020-06-02,TATACONSUM,EQ,362.850000,370.000000,361.300000,367.450000,362.850000,2638814,9701.02,58250,
2020-06-03,TATACONSUM,EQ,372.000000,372.000000,364.550000,366.650000,367.450000,4027688,14801.33,125808,
2020-06-04,TATACONSUM,EQ,369.500000,383.500000,366.000000,381.500000,366.650000,4535656,17036.91,97143,
2020-06-05,TATACONSUM,EQ,384.000000,387.800000,377.000000,379.750000,381.500000,3140726,11963.46,45451,
2020-06-08,TATACONSUM,EQ,384.000000,385.950000,377.550000,379.450000,379.750000,1565959,5971.27,40773,
2020-06-09,TATACONSUM,EQ,382.000000,388.850000,379.500000,384.250000,379.450000,2635662,10150.31,47054,
2020-06-10,TATACONSUM,EQ,385.950000,393.950000,380.200000,384.650000,384.250000,3409853,13177.76,59943,
2020-06-11,TATACONSUM,EQ,386.000000,386.500000,374.400000,375.800000,384.650000,2856042,10843.74,44440,
2020-06-12,TATACONSUM,EQ,365.100000,373.050000,365.100000,371.000000,375.800000,3179903,11751.37,50177,
2020-06-15,TATACONSUM,EQ,371.500000,379.950000,366.400000,370.000000,371.000000,2293579,8527.90,47464,
2020-06-16,TATACONSUM,EQ,376.000000,377.950000,360.250000,369.050000,370.000000,2343185,8649.13,35821,
2020-06-17,TATACONSUM,EQ,366.000000,373.250000,366.000000,369.600000,369.050000,2556996,9455.17,39041,
2020-06-18,TATACONSUM,EQ,367.800000,374.000000,365.000000,372.150000,369.600000,1929542,7123.50,21059,
2020-06-19,TATACONSUM,EQ,373.850000,383.000000,373.350000,377.300000,372.150000,4249130,16023.58,35476,
2020-06-22,TATACONSUM,EQ,383.000000,385.150000,377.600000,381.100000,377.300000,2623145,9993.66,47377,
2020-06-23,TATACONSUM,EQ,383.900000,391.900000,382.000000,390.850000,381.100000,3834537,14905.36,61984,
2020-06-24,TATACONSUM,EQ,391.900000,394.900000,379.350000,383.100000,390.850000,3889495,14973.53,92441,
2020-06-25,TATACONSUM,EQ,380.000000,389.400000,377.600000,384.000000,383.100000,1961942,7541.20,24227,
2020-06-26,TATACONSUM,EQ,387.100000,388.950000,382.500000,385.650000,384.000000,1759164,6771.81,19822,
2020-06-29,TATACONSUM,EQ,387.050000,392.300000,382.150000,386.550000,385.650000,2764410,10715.69,35381,
2020-06-30,TATACONSUM,EQ,388.000000,391.800000,385.900000,387.450000,386.550000,1861565,7240.48,28759,
2020-07-01,TATACONSUM,EQ,385.000000,388.500000,380.500000,384.500000,387.450000,1611560,6207.63,21543,
2020-07-02,TATACONSUM,EQ,385.000000,395.000000,384.550000,390.800000,384.500000,2607208,10136.28,45083,
2020-07-03,TATACONSUM,EQ,395.000000,402.300000,392.650000,396.450000,390.800000,3223338,12812.43,62872,
2020-07-06,TATACONSUM,EQ,400.050000,408.450000,397.300000,405.700000,396.450000,4073356,16463.73,85665,
2020-07-07,TATACONSUM,EQ,408.400000,414.400000,403.700000,412.700000,405.700000,4088132,16792.37,69815,
2020-07-08,TATACONSUM,EQ,416.150000,436.300000,414.850000,432.400000,412.700000,6978409,29933.87,97532,
2020-07-09,TATACONSUM,EQ,433.050000,437.300000,428.850000,433.350000,432.400000,2808388,12159.50,66200,
2020-07-10,TATACONSUM,EQ,429.550000,437.750000,428.650000,430.100000,433.350000,3765369,16272.80,48495,
2020-07-13,TATACONSUM,EQ,430.100000,433.550000,422.000000,424.450000,430.100000,2552387,10918.67,65897,
2020-07-14,TATACONSUM,EQ,420.000000,426.450000,417.500000,419.350000,424.450000,3232206,13643.32,37363,
2020-07-15,TATACONSUM,EQ,422.850000,423.100000,411.350000,413.050000,419.350000,2076567,8678.84,38576,
2020-07-16,TATACONSUM,EQ,415.400000,415.800000,407.150000,410.300000,413.050000,2027081,8311.29,40155,
2020-07-17,TATACONSUM,EQ,411.400000,424.500000,411.000000,423.000000,410.300000,2740799,11436.04,45301,
2020-07-20,TATACONSUM,EQ,426.700000,426.700000,417.950000,423.100000,423.000000,1680913,7089.09,38007,
2020-07-21,TATACONSUM,EQ,424.000000,424.750000,408.400000,409.450000,423.100000,2752464,11422.28,51568,
2020-07-22,TATACONSUM,EQ,410.000000,417.400000,404.000000,407.000000,409.450000,2620408,10782.70,32532,
2020-07-23,TATACONSUM,EQ,409.600000,412.350000,402.700000,404.400000,407.000000,2992497,12148.71,33741,
2020-07-24,TATACONSUM,EQ,404.700000,415.000000,402.350000,408.450000,404.400000,3124083,12797.11,55630,
2020-07-27,TATACONSUM,EQ,408.450000,414.000000,404.300000,408.450000,408.450000,3132821,12843.46,33059,
2020-07-28,TATACONSUM,EQ,409.950000,416.400000,409.000000,413.050000,408.450000,3500424,14437.00,48979,
2020-07-29,TATACONSUM,EQ,417.000000,429.900000,417.000000,427.700000,413.050000,5938179,25245.77,71893,
2020-07-30,TATACONSUM,EQ,430.400000,432.000000,421.550000,424.900000,427.700000,1866344,7968.27,24286,
2020-07-31,TATACONSUM,EQ,425.000000,434.000000,425.000000,428.050000,424.900000,3115208,13393.89,56399,
2020-08-03,TATACONSUM,EQ,428.950000,440.000000,427.700000,434.100000,428.050000,2917293,12665.81,42612,
2020-08-04,TATACONSUM,EQ,439.400000,452.300000,436.000000,449.750000,434.100000,6816093,30369.10,111668,
2020-08-05,TATACONSUM,EQ,465.000000,471.800000,440.300000,447.600000,449.750000,20178367,91931.25,203373,
2020-08-06,TATACONSUM,EQ,450.000000,489.000000,449.050000,484.750000,447.600000,15882667,74919.98,187087,
2020-08-07,TATACONSUM,EQ,487.600000,529.950000,482.700000,518.600000,484.750000,30560093,156840.92,317227,
2020-08-10,TATACONSUM,EQ,520.950000,526.000000,510.700000,520.300000,518.600000,6832826,35455.30,93863,
2020-08-11,TATACONSUM,EQ,524.500000,527.900000,514.300000,515.900000,520.300000,4690415,24382.23,53872,
2020-08-12,TATACONSUM,EQ,515.200000,522.000000,509.150000,517.550000,515.900000,3883868,20085.38,59789,
2020-08-13,TATACONSUM,EQ,520.000000,543.000000,518.550000,539.050000,517.550000,7877240,42241.17,113930,
2020-08-14,TATACONSUM,EQ,541.950000,544.500000,530.550000,537.500000,539.050000,5922027,31904.13,79932,
2020-08-17,TATACONSUM,EQ,541.150000,548.000000,538.300000,543.750000,537.500000,5044208,27388.72,59987,
2020-08-18,TATACONSUM,EQ,545.550000,553.400000,542.500000,545.750000,543.750000,3328165,18240.01,49311,
2020-08-19,TATACONSUM,EQ,547.450000,551.100000,542.350000,548.200000,545.750000,3597625,19659.20,37633,
2020-08-20,TATACONSUM,EQ,541.400000,553.200000,540.050000,549.250000,548.200000,4812376,26277.15,50921,
2020-08-21,TATACONSUM,EQ,553.000000,556.950000,544.150000,545.800000,549.250000,2953395,16202.15,45633,
2020-08-24,TATACONSUM,EQ,546.500000,550.000000,543.550000,545.550000,545.800000,2123227,11587.55,47262,
2020-08-25,TATACONSUM,EQ,547.400000,547.700000,541.250000,545.550000,545.550000,1850495,10062.70,43048,
2020-08-26,TATACONSUM,EQ,544.900000,561.400000,544.700000,549.150000,545.550000,5778039,32002.32,84180,
2020-08-27,TATACONSUM,EQ,552.800000,553.850000,543.500000,544.650000,549.150000,2572198,14047.41,29927,
2020-08-28,TATACONSUM,EQ,547.900000,555.850000,544.000000,547.050000,544.650000,2692947,14790.59,31808,
2020-08-31,TATACONSUM,EQ,549.000000,552.350000,528.200000,532.350000,547.050000,5543930,29750.97,74850,
2020-09-01,TATACONSUM,EQ,526.000000,549.800000,526.000000,548.500000,532.350000,3854981,20897.32,82066,
2020-09-02,TATACONSUM,EQ,552.000000,556.000000,542.100000,549.850000,548.500000,4042692,22167.06,68739,
2020-09-03,TATACONSUM,EQ,548.500000,591.950000,548.500000,578.500000,549.850000,12052262,69447.75,182293,
2020-09-04,TATACONSUM,EQ,568.950000,587.400000,566.600000,569.050000,578.500000,6464047,37311.58,87216,
2020-09-07,TATACONSUM,EQ,570.000000,572.000000,542.000000,545.300000,569.050000,5254308,28837.23,94903,
2020-09-08,TATACONSUM,EQ,547.200000,548.700000,533.650000,538.350000,545.300000,3891955,21145.48,85572,
2020-09-09,TATACONSUM,EQ,534.000000,540.900000,529.150000,534.750000,538.350000,4392057,23448.49,71117,
2020-09-10,TATACONSUM,EQ,538.000000,548.900000,534.150000,546.550000,534.750000,3787088,20523.83,58573,
2020-09-11,TATACONSUM,EQ,549.800000,553.000000,540.950000,548.400000,546.550000,3451646,18901.60,72007,
2020-09-14,TATACONSUM,EQ,552.000000,555.200000,543.400000,546.500000,548.400000,2809333,15438.91,51007,
2020-09-15,TATACONSUM,EQ,547.000000,550.500000,540.500000,542.350000,546.500000,1813411,9872.27,56147,
2020-09-16,TATACONSUM,EQ,541.950000,546.350000,537.550000,542.400000,542.350000,2127939,11542.97,54598,
2020-09-17,TATACONSUM,EQ,542.000000,552.000000,533.150000,548.300000,542.400000,3725336,20320.97,61060,
2020-09-18,TATACONSUM,EQ,551.050000,553.250000,537.300000,540.600000,548.300000,9395458,50993.77,81634,
2020-09-21,TATACONSUM,EQ,540.600000,542.300000,502.000000,507.750000,540.600000,3886373,20339.86,76708,
2020-09-22,TATACONSUM,EQ,504.450000,511.700000,490.400000,504.400000,507.750000,5113531,25765.82,71116,
2020-09-23,TATACONSUM,EQ,506.000000,510.900000,490.000000,493.550000,504.400000,4284384,21354.34,79437,
2020-09-24,TATACONSUM,EQ,489.900000,492.850000,478.000000,488.650000,493.550000,9647490,46941.64,88567,
2020-09-25,TATACONSUM,EQ,498.800000,512.000000,495.300000,509.800000,488.650000,5153485,26128.92,75038,
