date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,TATAPOWER,EQ,56.800000,57.850000,56.650000,57.600000,56.500000,3878107,2221.39,10437,
2020-01-02,TATAPOWER,EQ,57.900000,58.150000,56.800000,58.000000,57.600000,12142359,6978.76,43097,
2020-01-03,TATAPOWER,EQ,58.000000,58.550000,57.300000,57.750000,58.000000,9746134,5638.95,23266,
2020-01-06,TATAPOWER,EQ,57.050000,57.500000,55.950000,56.750000,57.750000,3833784,2174.38,9317,
2020-01-07,TATAPOWER,EQ,57.100000,57.550000,56.050000,56.600000,56.750000,3974582,2257.97,10388,
2020-01-08,TATAPOWER,EQ,56.000000,56.750000,55.700000,56.250000,56.600000,3078686,1730.25,8892,
2020-01-09,TATAPOWER,EQ,56.550000,58.200000,56.550000,57.800000,56.250000,6282472,3627.22,15350,
2020-01-10,TATAPOWER,EQ,57.750000,59.500000,57.350000,58.950000,57.800000,10571670,6206.97,29046,
2020-01-13,TATAPOWER,EQ,59.200000,59.850000,58.850000,59.400000,58.950000,5570014,3302.51,24512,
2020-01-14,TATAPOWER,EQ,59.500000,60.350000,59.200000,60.200000,59.400000,5841008,3499.71,19301,
2020-01-15,TATAPOWER,EQ,60.300000,61.100000,59.900000,60.900000,60.200000,5808570,3518.39,22324,
2020-01-16,TATAPOWER,EQ,61.100000,61.350000,60.350000,61.000000,60.900000,14551255,8839.95,16425,
2020-01-17,TATAPOWER,EQ,61.100000,62.100000,60.800000,61.550000,61.000000,6414265,3949.60,17951,
2020-01-20,TATAPOWER,EQ,61.550000,61.700000,59.900000,60.250000,61.550000,8384043,5085.41,18164,
2020-01-21,TATAPOWER,EQ,59.600000,60.300000,59.350000,59.550000,60.250000,6250007,3733.70,20400,
2020-01-22,TATAPOWER,EQ,59.900000,60.000000,58.900000,59.150000,59.550000,8871316,5256.19,29180,
2020-01-23,TATAPOWER,EQ,59.000000,60.250000,58.900000,60.150000,59.150000,8476777,5066.41,18359,
2020-01-24,TATAPOWER,EQ,60.000000,61.950000,59.750000,61.200000,60.150000,6085340,3730.20,16447,
2020-01-27,TATAPOWER,EQ,60.800000,62.000000,60.350000,60.700000,61.200000,7343803,4494.64,19063,
