date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,TATASTEEL,EQ,47.300000,47.650000,46.480000,46.775000,47.205000,121005300,56847.09,80242,
2020-01-02,TATASTEEL,EQ,47.200000,48.780000,47.200000,48.485000,46.775000,216749610,104230.60,188842,
2020-01-03,TATASTEEL,EQ,48.300000,48.620000,47.945000,48.370000,48.485000,129568630,62530.74,124603,
2020-01-06,TATASTEEL,EQ,48.000000,48.000000,47.055000,47.325000,48.370000,96016080,45602.45,93838,
2020-01-07,TATASTEEL,EQ,47.550000,48.460000,47.355000,47.610000,47.325000,131957880,63258.95,116893,
2020-01-08,TATASTEEL,EQ,47.165000,47.815000,46.700000,47.525000,47.610000,133048410,62825.34,122527,
2020-01-09,TATASTEEL,EQ,48.500000,48.600000,47.910000,48.315000,47.525000,101311520,48917.67,104492,
2020-01-10,TATASTEEL,EQ,48.550000,49.385000,48.000000,48.620000,48.315000,159276340,77676.27,171547,
2020-01-13,TATASTEEL,EQ,49.110000,49.700000,48.775000,49.575000,48.620000,109427500,53909.19,98957,
2020-01-14,TATASTEEL,EQ,49.645000,50.600000,49.575000,49.860000,49.575000,156608220,78415.41,139782,
2020-01-15,TATASTEEL,EQ,49.190000,50.355000,48.915000,50.210000,49.860000,121179480,60308.00,99986,
2020-01-16,TATASTEEL,EQ,50.200000,50.405000,49.210000,49.440000,50.210000,104383690,51666.07,92004,
2020-01-17,TATASTEEL,EQ,49.330000,49.890000,49.190000,49.525000,49.440000,56824600,28171.22,57841,
2020-01-20,TATASTEEL,EQ,49.700000,49.980000,48.915000,49.065000,49.525000,72918780,35942.31,83357,
2020-01-21,TATASTEEL,EQ,48.780000,48.780000,47.350000,47.615000,49.065000,113158030,54431.60,123037,
2020-01-22,TATASTEEL,EQ,47.865000,47.985000,47.320000,47.505000,47.615000,76621710,36515.20,87905,
2020-01-23,TATASTEEL,EQ,47.590000,48.185000,47.315000,48.025000,47.505000,72000200,34487.60,90210,
2020-01-24,TATASTEEL,EQ,48.030000,48.510000,47.645000,48.340000,48.025000,74811300,36090.61,98666,
2020-01-27,TATASTEEL,EQ,47.775000,47.775000,46.010000,46.245000,48.340000,129631190,60500.40,135612,
2020-01-28,TATASTEEL,EQ,46.000000,46.200000,44.200000,44.625000,46.245000,180152830,81348.40,174202,
2020-01-29,TATASTEEL,EQ,45.280000,45.970000,44.960000,45.220000,44.625000,110818340,50388.52,107296,
2020-01-30,TATASTEEL,EQ,45.190000,45.445000,44.140000,44.855000,45.220000,146520160,65548.33,131714,
2020-01-31,TATASTEEL,EQ,45.300000,45.425000,43.645000,43.870000,44.855000,107387270,47735.21,105534,
2020-02-03,TATASTEEL,EQ,41.800000,43.900000,41.660000,43.605000,42.380000,162371260,69388.96,158028,
2020-02-04,TATASTEEL,EQ,44.200000,45.340000,43.345000,45.190000,43.605000,133362630,59521.88,126255,
2020-02-05,TATASTEEL,EQ,45.225000,47.970000,44.800000,47.505000,45.190000,160567650,74280.94,167240,
2020-02-06,TATASTEEL,EQ,47.800000,48.725000,47.160000,47.760000,47.505000,166660740,80175.50,170741,
2020-02-07,TATASTEEL,EQ,47.570000,47.970000,46.885000,47.100000,47.760000,116499090,55121.86,146151,
2020-02-10,TATASTEEL,EQ,46.025000,46.325000,44.000000,44.380000,47.100000,267960480,119968.14,249715,
2020-02-11,TATASTEEL,EQ,44.835000,45.770000,44.270000,44.410000,44.380000,168243710,75886.14,150061,
2020-02-12,TATASTEEL,EQ,45.000000,45.450000,44.255000,44.795000,44.410000,117858580,52807.97,120023,
2020-02-13,TATASTEEL,EQ,44.875000,45.170000,43.935000,44.125000,44.795000,99652210,44188.99,92151,
2020-02-14,TATASTEEL,EQ,44.100000,44.555000,43.335000,43.455000,44.125000,94848170,41761.86,91279,
2020-02-17,TATASTEEL,EQ,43.550000,44.090000,43.300000,43.685000,43.455000,97247650,42524.83,90008,
2020-02-18,TATASTEEL,EQ,43.400000,43.515000,42.130000,43.140000,43.685000,115024230,49089.56,120480,
2020-02-19,TATASTEEL,EQ,43.645000,43.850000,42.815000,43.320000,43.140000,84651090,36670.58,83669,
2020-02-20,TATASTEEL,EQ,42.900000,44.770000,42.800000,44.355000,43.320000,129802370,57239.70,110855,
2020-02-24,TATASTEEL,EQ,43.485000,43.485000,41.335000,41.545000,44.355000,175231420,74293.34,154878,
2020-02-25,TATASTEEL,EQ,41.900000,42.555000,41.440000,42.130000,41.545000,145581760,61200.92,148263,
2020-02-26,TATASTEEL,EQ,41.130000,41.940000,41.130000,41.630000,42.130000,142707060,59342.50,146854,
2020-02-27,TATASTEEL,EQ,41.490000,41.590000,40.705000,41.280000,41.630000,102263790,42043.95,123126,
2020-02-28,TATASTEEL,EQ,39.870000,39.895000,37.500000,38.175000,41.280000,245328330,94104.52,209662,
2020-03-02,TATASTEEL,EQ,39.370000,39.400000,35.800000,36.405000,38.175000,202207720,76805.64,149142,
2020-03-03,TATASTEEL,EQ,37.350000,39.100000,37.010000,38.755000,36.405000,186489330,70560.30,170252,
