date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,TECHM,EQ,766.000000,766.800000,760.350000,762.100000,762.300000,746371,5697.75,17126,
2020-01-02,TECHM,EQ,762.100000,769.150000,761.000000,766.050000,762.100000,1133488,8686.30,50776,
2020-01-03,TECHM,EQ,766.000000,779.900000,763.550000,775.100000,766.050000,2121704,16446.08,54537,
2020-01-06,TECHM,EQ,774.850000,778.800000,768.150000,770.400000,775.100000,1734439,13419.37,52469,
2020-01-07,TECHM,EQ,770.000000,778.500000,760.600000,777.100000,770.400000,1937143,14933.39,36396,
2020-01-08,TECHM,EQ,770.100000,784.900000,767.100000,769.800000,777.100000,2596664,20158.74,56014,
2020-01-09,TECHM,EQ,770.500000,776.450000,762.200000,773.650000,769.800000,1678891,12930.41,49933,
2020-01-10,TECHM,EQ,779.000000,781.900000,772.450000,776.250000,773.650000,1105725,8588.12,35828,
2020-01-13,TECHM,EQ,779.900000,788.700000,775.050000,785.850000,776.250000,1393509,10936.15,26980,
2020-01-14,TECHM,EQ,785.850000,797.800000,783.700000,796.250000,785.850000,1628535,12879.72,53736,
2020-01-15,TECHM,EQ,796.150000,803.650000,788.500000,795.150000,796.250000,1759644,14007.64,44354,
2020-01-16,TECHM,EQ,793.000000,795.700000,781.100000,782.850000,795.150000,1110008,8717.17,53657,
2020-01-17,TECHM,EQ,783.500000,786.750000,775.500000,778.450000,782.850000,989312,7718.05,49622,
2020-01-20,TECHM,EQ,778.500000,785.450000,774.550000,778.200000,778.450000,1620105,12635.89,52213,
2020-01-21,TECHM,EQ,777.250000,783.400000,775.000000,778.900000,778.200000,976954,7612.44,54605,
2020-01-22,TECHM,EQ,780.000000,790.450000,776.200000,778.750000,778.900000,1192201,9320.07,42351,
2020-01-23,TECHM,EQ,777.250000,780.450000,766.900000,768.950000,778.750000,2018777,15572.61,82067,
2020-01-24,TECHM,EQ,765.100000,788.750000,763.300000,787.300000,768.950000,2364265,18371.62,76417,
2020-01-27,TECHM,EQ,786.000000,796.250000,779.650000,791.500000,787.300000,1175606,9292.52,26671,
2020-01-28,TECHM,EQ,792.500000,795.750000,784.600000,794.250000,791.500000,1506685,11923.32,61577,
2020-01-29,TECHM,EQ,796.900000,807.200000,793.550000,804.150000,794.250000,2565136,20580.92,122141,
2020-01-30,TECHM,EQ,805.600000,807.950000,784.000000,791.350000,804.150000,2493688,19770.92,70718,
