date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,TITAN,EQ,1194.450000,1199.000000,1152.200000,1154.750000,1187.950000,3137636,36666.82,91203,
2020-01-02,TITAN,EQ,1157.000000,1159.900000,1140.000000,1155.600000,1154.750000,3286436,37818.80,120035,
2020-01-03,TITAN,EQ,1156.000000,1156.000000,1132.000000,1139.700000,1155.600000,2695237,30790.27,105909,
2020-01-06,TITAN,EQ,1162.000000,1171.400000,1150.100000,1158.600000,1139.700000,4494752,52132.82,175806,
2020-01-07,TITAN,EQ,1170.950000,1173.850000,1152.050000,1159.950000,1158.600000,2363578,27408.86,92867,
2020-01-08,TITAN,EQ,1145.000000,1156.300000,1138.000000,1143.300000,1159.950000,2370166,27112.84,78303,
2020-01-09,TITAN,EQ,1155.000000,1168.000000,1148.500000,1163.450000,1143.300000,1764131,20446.69,75574,
2020-01-10,TITAN,EQ,1167.000000,1170.700000,1150.750000,1154.050000,1163.450000,1517311,17579.49,61571,
2020-01-13,TITAN,EQ,1155.000000,1162.450000,1148.500000,1158.950000,1154.050000,1135936,13136.32,65561,
2020-01-14,TITAN,EQ,1162.000000,1168.650000,1157.150000,1167.100000,1158.950000,1324743,15413.66,54792,
2020-01-15,TITAN,EQ,1173.500000,1191.500000,1170.600000,1184.850000,1167.100000,2665214,31508.00,84788,
2020-01-16,TITAN,EQ,1184.850000,1195.500000,1174.100000,1192.900000,1184.850000,1644541,19483.77,65751,
2020-01-17,TITAN,EQ,1194.800000,1196.850000,1184.000000,1188.750000,1192.900000,1034774,12313.39,54577,
2020-01-20,TITAN,EQ,1190.000000,1195.000000,1179.100000,1187.850000,1188.750000,1139858,13549.63,69133,
2020-01-21,TITAN,EQ,1183.450000,1183.900000,1161.000000,1176.200000,1187.850000,925998,10870.15,54553,
2020-01-22,TITAN,EQ,1181.800000,1185.950000,1172.000000,1177.650000,1176.200000,902471,10628.98,47890,
2020-01-23,TITAN,EQ,1176.000000,1206.650000,1175.000000,1204.100000,1177.650000,2101116,25148.10,69730,
2020-01-24,TITAN,EQ,1208.900000,1230.000000,1206.050000,1227.850000,1204.100000,2841654,34656.29,83003,
2020-01-27,TITAN,EQ,1228.000000,1240.350000,1208.850000,1213.800000,1227.850000,2332864,28576.10,85733,
2020-01-28,TITAN,EQ,1215.000000,1223.500000,1188.300000,1195.000000,1213.800000,1703068,20580.86,72839,
2020-01-29,TITAN,EQ,1198.500000,1207.900000,1181.600000,1186.200000,1195.000000,1380266,16453.89,70904,
2020-01-30,TITAN,EQ,1191.000000,1191.500000,1176.200000,1179.250000,1186.200000,1859283,21964.84,87927,
2020-01-31,TITAN,EQ,1185.500000,1194.800000,1180.000000,1187.750000,1179.250000,1809101,21496.03,93386,
2020-02-03,TITAN,EQ,1170.000000,1192.300000,1162.550000,1186.400000,1173.250000,3595537,42288.07,107255,
2020-02-04,TITAN,EQ,1195.000000,1287.800000,1185.000000,1275.800000,1186.400000,7875930,98126.10,212243,
2020-02-05,TITAN,EQ,1284.750000,1297.700000,1255.000000,1279.850000,1275.800000,5459816,69795.74,239396,
2020-02-06,TITAN,EQ,1284.950000,1294.200000,1252.050000,1259.300000,1279.850000,2463971,31210.03,96125,
2020-02-07,TITAN,EQ,1264.050000,1279.500000,1258.400000,1275.000000,1259.300000,2277867,28962.87,102527,
2020-02-10,TITAN,EQ,1270.900000,1275.000000,1253.350000,1257.200000,1275.000000,1021943,12862.36,80696,
2020-02-11,TITAN,EQ,1263.000000,1278.900000,1258.550000,1270.700000,1257.200000,1351413,17179.18,68623,
2020-02-12,TITAN,EQ,1276.950000,1288.950000,1265.850000,1269.000000,1270.700000,1195516,15201.88,47039,
2020-02-13,TITAN,EQ,1270.000000,1308.000000,1270.000000,1298.100000,1269.000000,4458645,57864.81,102681,
2020-02-14,TITAN,EQ,1306.950000,1310.700000,1290.000000,1293.450000,1298.100000,1416212,18413.91,38783,
2020-02-17,TITAN,EQ,1293.050000,1321.600000,1288.350000,1316.050000,1293.450000,2347399,30851.43,70254,
2020-02-18,TITAN,EQ,1314.000000,1318.900000,1301.250000,1311.000000,1316.050000,1761012,23080.77,45020,
2020-02-19,TITAN,EQ,1317.000000,1332.900000,1312.050000,1329.600000,1311.000000,1445826,19123.85,44803,
2020-02-20,TITAN,EQ,1330.000000,1341.050000,1320.000000,1322.850000,1329.600000,1513648,20123.65,62941,
2020-02-24,TITAN,EQ,1310.000000,1317.800000,1273.850000,1279.900000,1322.850000,1341317,17402.14,64257,
2020-02-25,TITAN,EQ,1285.000000,1286.750000,1256.800000,1260.100000,1279.900000,1358874,17254.36,69450,
2020-02-26,TITAN,EQ,1256.000000,1267.000000,1245.100000,1255.100000,1260.100000,1506693,18912.03,64939,
2020-02-27,TITAN,EQ,1250.000000,1286.000000,1250.000000,1277.900000,1255.100000,4569014,58149.68,140554,
2020-02-28,TITAN,EQ,1255.000000,1270.700000,1235.650000,1254.500000,1277.900000,2728105,34237.65,99872,
2020-03-02,TITAN,EQ,1275.000000,1294.000000,1228.000000,1244.150000,1254.500000,2773593,35372.96,105276,
2020-03-03,TITAN,EQ,1248.200000,1272.000000,1225.000000,1247.000000,1244.150000,2660100,33053.90,123087,
2020-03-04,TITAN,EQ,1251.950000,1265.650000,1217.300000,1250.950000,1247.000000,3007393,37283.44,119632,
2020-03-05,TITAN,EQ,1253.500000,1265.150000,1242.200000,1259.150000,1250.950000,1555538,19538.13,85503,
2020-03-06,TITAN,EQ,1229.000000,1246.950000,1219.700000,1242.600000,1259.150000,1678642,20740.39,81570,
2020-03-09,TITAN,EQ,1225.000000,1241.850000,1175.000000,1203.450000,1242.600000,2285790,27537.89,96508,
