date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2025-11-26,TMCV,EQ,320.000000,325.500000,317.750000,324.050000,317.850000,9984230,32192.42,115860,
2025-11-27,TMCV,EQ,322.500000,347.700000,322.000000,343.900000,324.050000,22672738,77203.68,231466,
2025-11-28,TMCV,EQ,340.550000,359.900000,331.100000,352.000000,343.900000,18549631,65079.39,210931,
2025-12-01,TMCV,EQ,352.450000,365.000000,351.150000,359.050000,352.000000,12843866,46071.70,290906,
2025-12-02,TMCV,EQ,360.000000,368.000000,352.150000,354.800000,359.050000,8297661,29688.15,113391,
2025-12-03,TMCV,EQ,354.000000,362.250000,346.500000,360.400000,354.800000,11412231,40730.28,156299,
2025-12-04,TMCV,EQ,357.750000,361.500000,354.150000,356.450000,360.400000,7199260,25781.17,124467,
2025-12-05,TMCV,EQ,355.000000,361.450000,349.350000,359.550000,356.450000,6652749,23726.71,109379,
2025-12-08,TMCV,EQ,358.000000,364.200000,357.100000,360.350000,359.550000,6936051,24987.38,125763,
2025-12-09,TMCV,EQ,357.100000,381.950000,353.500000,373.100000,360.350000,16119717,59705.72,273830,
2025-12-10,TMCV,EQ,378.050000,382.950000,368.350000,377.800000,373.100000,16089720,60435.54,190294,
2025-12-11,TMCV,EQ,378.200000,379.900000,370.150000,372.800000,377.800000,9667951,36280.14,108283,
2025-12-12,TMCV,EQ,371.500000,379.000000,366.350000,373.450000,372.800000,12391574,46169.63,144798,
2025-12-15,TMCV,EQ,372.500000,379.150000,365.200000,377.950000,373.450000,7033258,26274.22,121798,
2025-12-16,TMCV,EQ,377.950000,390.000000,374.500000,387.350000,377.950000,10329070,39619.46,165544,
2025-12-17,TMCV,EQ,389.000000,397.500000,383.550000,386.900000,387.350000,10044939,38937.54,114783,
2025-12-18,TMCV,EQ,391.000000,406.800000,390.200000,401.050000,386.900000,18688147,74787.80,267146,
2025-12-19,TMCV,EQ,402.050000,403.300000,385.250000,394.350000,401.050000,22075008,87486.27,227745,
2025-12-22,TMCV,EQ,396.350000,414.000000,394.350000,411.700000,394.350000,12081781,49371.02,139402,
2025-12-23,TMCV,EQ,412.850000,428.200000,412.500000,426.100000,411.700000,13800012,58292.83,194339,
2025-12-24,TMCV,EQ,427.150000,432.300000,408.000000,408.750000,426.100000,19626872,81703.21,229029,
2025-12-26,TMCV,EQ,410.000000,416.500000,403.400000,408.650000,408.750000,9030231,37057.70,114144,
2025-12-29,TMCV,EQ,410.000000,418.000000,406.550000,409.500000,408.650000,7173718,29417.60,94029,
2025-12-30,TMCV,EQ,409.950000,415.500000,406.000000,409.650000,409.500000,6416425,26305.99,98166,
2025-12-31,TMCV,EQ,411.850000,418.000000,409.700000,415.500000,409.650000,6269208,25976.83,81800,
2026-01-01,TMCV,EQ,419.200000,430.000000,417.550000,427.750000,415.500000,10096081,42972.92,158871,
2026-01-02,TMCV,EQ,433.100000,448.000000,432.750000,442.250000,427.750000,15267178,67275.82,306582,
2026-01-05,TMCV,EQ,433.850000,437.800000,422.500000,426.450000,442.250000,15748095,67605.43,213231,
2026-01-06,TMCV,EQ,429.950000,437.450000,427.200000,432.650000,426.450000,8271070,35689.55,111048,
2026-01-07,TMCV,EQ,435.000000,440.650000,430.150000,435.750000,432.650000,13125259,57182.78,151853,
2026-01-08,TMCV,EQ,436.850000,441.500000,430.500000,435.200000,435.750000,11209566,48923.57,196238,
2026-01-09,TMCV,EQ,431.000000,446.150000,428.200000,431.550000,435.200000,15300641,67041.44,170912,
2026-01-12,TMCV,EQ,430.000000,430.050000,414.700000,424.900000,431.550000,10323536,43547.88,156724,
2026-01-13,TMCV,EQ,425.300000,432.500000,422.150000,424.150000,424.900000,7174148,30497.87,89547,
2026-01-14,TMCV,EQ,426.050000,436.000000,422.650000,433.750000,424.150000,9765782,42219.78,118383,
2026-01-16,TMCV,EQ,431.950000,446.650000,427.500000,438.500000,433.750000,12641260,55678.11,154945,
2026-01-19,TMCV,EQ,442.000000,451.200000,434.500000,441.400000,438.500000,11049623,48675.27,137479,
2026-01-20,TMCV,EQ,441.400000,446.400000,426.550000,432.450000,441.400000,9845662,43337.72,150594,
2026-01-21,TMCV,EQ,431.350000,449.550000,421.100000,434.850000,432.450000,13056494,56692.25,174799,
2026-01-22,TMCV,EQ,436.100000,453.800000,435.850000,444.900000,434.850000,13509687,60030.66,159172,
2026-01-23,TMCV,EQ,446.950000,456.400000,439.350000,449.200000,444.900000,11557765,51905.02,155112,
2026-01-27,TMCV,EQ,450.000000,454.750000,438.500000,443.900000,449.200000,12074561,53941.96,136543,
2026-01-28,TMCV,EQ,450.000000,470.250000,448.000000,467.950000,443.900000,12636077,58113.49,240355,
