date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2025-10-24,TMPV,EQ,406.950000,408.500000,401.000000,403.300000,405.850000,6311744,25528.55,93358,
2025-10-27,TMPV,EQ,404.000000,411.400000,403.650000,410.050000,403.300000,10699376,43797.64,154558,
2025-10-28,TMPV,EQ,411.300000,414.150000,408.550000,411.500000,410.050000,10332279,42486.67,161021,
2025-10-29,TMPV,EQ,412.500000,415.000000,407.050000,411.350000,411.500000,8485023,34978.13,112896,
2025-10-30,TMPV,EQ,412.700000,419.000000,408.100000,412.450000,411.350000,8783965,36138.83,130267,
2025-10-31,TMPV,EQ,414.050000,417.500000,409.050000,410.000000,412.450000,8012169,33090.77,110426,
2025-11-03,TMPV,EQ,414.000000,417.850000,410.100000,417.000000,410.000000,8952229,37054.58,116167,
2025-11-04,TMPV,EQ,417.400000,417.500000,405.100000,406.500000,417.000000,8889004,36386.12,121609,
2025-11-06,TMPV,EQ,407.150000,409.700000,405.400000,407.850000,406.500000,6862359,27985.66,112326,
2025-11-07,TMPV,EQ,406.700000,407.200000,401.450000,405.700000,407.850000,6930046,28050.99,135368,
2025-11-10,TMPV,EQ,406.000000,412.950000,406.000000,410.450000,405.700000,7913640,32461.71,133206,
2025-11-11,TMPV,EQ,412.550000,413.700000,402.650000,407.600000,410.450000,8120946,32951.67,125989,
2025-11-12,TMPV,EQ,407.600000,411.400000,401.900000,402.150000,407.600000,12940220,52330.29,159229,
2025-11-13,TMPV,EQ,404.000000,404.000000,397.400000,397.950000,402.150000,13165727,52597.74,159478,
2025-11-14,TMPV,EQ,397.950000,399.600000,387.300000,391.200000,397.950000,21834856,85575.14,191160,
2025-11-17,TMPV,EQ,380.000000,380.000000,363.000000,372.700000,391.200000,32393346,120778.17,365825,
2025-11-18,TMPV,EQ,373.100000,374.000000,369.150000,371.300000,372.700000,17484757,64981.13,187800,
2025-11-19,TMPV,EQ,371.200000,371.250000,360.350000,360.850000,371.300000,17854517,64962.31,254289,
2025-11-20,TMPV,EQ,362.000000,364.400000,359.250000,359.800000,360.850000,15999034,57801.52,193006,
2025-11-21,TMPV,EQ,359.000000,364.250000,358.000000,362.250000,359.800000,10829322,39172.06,133734,
2025-11-24,TMPV,EQ,362.500000,362.850000,356.800000,358.300000,362.250000,12671925,45447.59,159958,
2025-11-25,TMPV,EQ,358.000000,358.100000,352.000000,352.450000,358.300000,12577566,44632.89,176255,
2025-11-26,TMPV,EQ,354.450000,362.850000,354.300000,359.250000,352.450000,13130211,47114.21,155509,
2025-11-27,TMPV,EQ,362.000000,362.800000,356.450000,357.800000,359.250000,8871759,31842.98,136972,
2025-11-28,TMPV,EQ,358.000000,359.750000,355.100000,356.800000,357.800000,10905212,38927.80,125408,
2025-12-01,TMPV,EQ,359.000000,365.000000,358.700000,363.800000,356.800000,12714139,46045.68,163903,
2025-12-02,TMPV,EQ,364.000000,364.000000,359.600000,361.750000,363.800000,8576018,30983.78,124642,
2025-12-03,TMPV,EQ,361.700000,361.700000,354.100000,356.850000,361.750000,9504331,33898.86,182012,
2025-12-04,TMPV,EQ,357.000000,359.500000,354.300000,356.450000,356.850000,9173145,32693.16,132488,
2025-12-05,TMPV,EQ,355.000000,356.550000,353.000000,353.600000,356.450000,5667381,20090.34,113172,
2025-12-08,TMPV,EQ,353.950000,356.200000,345.800000,348.300000,353.600000,7186158,25172.20,142693,
2025-12-09,TMPV,EQ,348.500000,348.650000,341.700000,344.700000,348.300000,9143402,31566.76,135669,
2025-12-10,TMPV,EQ,347.000000,347.500000,341.950000,343.400000,344.700000,8705054,29955.42,153819,
2025-12-11,TMPV,EQ,343.400000,348.200000,341.400000,346.650000,343.400000,6756893,23319.16,102158,
2025-12-12,TMPV,EQ,348.000000,349.350000,344.750000,347.450000,346.650000,7241621,25133.38,100793,
2025-12-15,TMPV,EQ,347.450000,348.750000,343.050000,347.150000,347.450000,8169383,28264.17,158931,
2025-12-16,TMPV,EQ,347.150000,349.350000,343.900000,345.450000,347.150000,8391226,29037.06,178496,
2025-12-17,TMPV,EQ,346.450000,350.000000,345.400000,346.350000,345.450000,7045390,24464.90,134403,
2025-12-18,TMPV,EQ,346.350000,347.450000,337.700000,345.800000,346.350000,15417506,52826.36,207631,
2025-12-19,TMPV,EQ,347.400000,354.800000,347.000000,352.650000,345.800000,74052760,261005.57,254504,
2025-12-22,TMPV,EQ,356.250000,360.950000,353.600000,359.150000,352.650000,10798315,38693.90,202003,
2025-12-23,TMPV,EQ,361.000000,366.750000,357.650000,363.250000,359.150000,11885576,43160.63,138274,
2025-12-24,TMPV,EQ,364.000000,364.900000,358.550000,359.200000,363.250000,9212351,33201.63,184509,
2025-12-26,TMPV,EQ,359.200000,360.400000,354.700000,358.800000,359.200000,8589856,30693.60,97598,
2025-12-29,TMPV,EQ,358.500000,362.800000,357.850000,358.600000,358.800000,10050266,36154.25,99849,
2025-12-30,TMPV,EQ,358.600000,363.950000,358.450000,361.750000,358.600000,13807060,49905.55,125229,
2025-12-31,TMPV,EQ,361.750000,368.500000,360.650000,367.350000,361.750000,10439184,38177.15,98599,
2026-01-01,TMPV,EQ,368.850000,371.000000,365.550000,367.550000,367.350000,7214281,26543.34,71670,
2026-01-02,TMPV,EQ,369.200000,372.900000,368.550000,370.350000,367.550000,7077536,26236.81,109207,
2026-01-05,TMPV,EQ,370.350000,375.000000,369.100000,373.550000,370.350000,9591926,35703.10,124850,
2026-01-06,TMPV,EQ,371.500000,371.500000,360.000000,368.900000,373.550000,17493345,64061.81,170731,
2026-01-07,TMPV,EQ,367.050000,367.250000,359.200000,363.350000,368.900000,10682229,38662.70,130101,
2026-01-08,TMPV,EQ,363.300000,365.350000,358.000000,359.450000,363.350000,7353203,26534.48,129887,
2026-01-09,TMPV,EQ,358.000000,359.750000,352.200000,354.150000,359.450000,8018768,28516.98,138083,
2026-01-12,TMPV,EQ,352.950000,354.150000,347.650000,350.550000,354.150000,9771562,34267.31,135928,
2026-01-13,TMPV,EQ,350.650000,351.900000,345.600000,349.750000,350.550000,7527115,26224.70,103315,
2026-01-14,TMPV,EQ,349.000000,354.000000,347.100000,349.800000,349.750000,6249594,21948.10,89759,
2026-01-16,TMPV,EQ,349.700000,359.700000,349.650000,353.600000,349.800000,10735620,38167.79,161518,
2026-01-19,TMPV,EQ,353.600000,353.600000,338.350000,344.000000,353.600000,14364958,49348.56,252371,
2026-01-20,TMPV,EQ,344.850000,346.600000,336.750000,337.850000,344.000000,11541904,39196.57,155485,
2026-01-21,TMPV,EQ,336.000000,343.700000,335.950000,339.250000,337.850000,9873473,33601.14,137689,
2026-01-22,TMPV,EQ,344.450000,351.750000,343.100000,347.300000,339.250000,10714263,37251.92,122161,
2026-01-23,TMPV,EQ,347.100000,351.000000,342.150000,344.450000,347.300000,8354700,28910.75,108772,
2026-01-27,TMPV,EQ,340.000000,345.000000,335.900000,340.550000,344.450000,12510469,42531.10,168648,
2026-01-28,TMPV,EQ,341.900000,346.600000,337.050000,340.450000,340.550000,9425163,32116.10,103188,
2026-01-29,TMPV,EQ,340.500000,352.650000,335.600000,351.800000,340.450000,13586977,46955.97,138064,
2026-01-30,TMPV,EQ,350.800000,353.000000,348.400000,350.050000,351.800000,9910289,34718.27,135196,
2026-02-02,TMPV,EQ,344.650000,364.500000,341.100000,362.900000,344.650000,19654613,70109.86,217734,
2026-02-03,TMPV,EQ,381.150000,384.600000,366.000000,372.050000,362.900000,16720225,62289.72,192145,
2026-02-04,TMPV,EQ,372.500000,377.600000,368.450000,375.450000,372.050000,10142353,37871.47,110390,
2026-02-05,TMPV,EQ,375.000000,375.600000,364.300000,374.150000,375.450000,14013838,51881.42,121022,
2026-02-06,TMPV,EQ,365.000000,381.800000,361.000000,369.500000,374.150000,23116970,86082.15,244742,
2026-02-09,TMPV,EQ,370.300000,379.900000,369.600000,377.400000,369.500000,8800284,33112.77,133652,
2026-02-10,TMPV,EQ,378.000000,382.500000,376.750000,379.350000,377.400000,8921719,33902.28,123404,
2026-02-11,TMPV,EQ,382.500000,387.350000,382.100000,384.700000,379.350000,10933658,42081.98,112379,
2026-02-12,TMPV,EQ,385.000000,386.900000,380.150000,383.450000,384.700000,8324442,31936.11,102778,
2026-02-13,TMPV,EQ,379.000000,387.500000,374.400000,380.250000,383.450000,15565868,59303.48,121721,
2026-02-16,TMPV,EQ,378.300000,379.600000,375.100000,377.250000,380.250000,5004467,18877.64,72990,
2026-02-17,TMPV,EQ,376.100000,383.600000,373.550000,382.850000,377.250000,7843059,29793.93,82474,
2026-02-18,TMPV,EQ,382.850000,385.500000,379.000000,382.850000,382.850000,4796850,18325.13,78078,
2026-02-19,TMPV,EQ,381.950000,386.800000,374.000000,375.700000,382.850000,6910527,26328.32,85587,
2026-02-20,TMPV,EQ,375.700000,379.700000,374.500000,378.000000,375.700000,6324165,23884.83,86008,
2026-02-23,TMPV,EQ,378.800000,384.000000,376.050000,379.950000,378.000000,11701520,44373.53,91273,
2026-02-24,TMPV,EQ,376.850000,380.300000,371.650000,377.550000,379.950000,7213746,27228.96,87436,
2026-02-25,TMPV,EQ,378.000000,385.600000,376.100000,381.850000,377.550000,7748663,29582.32,100090,
2026-02-26,TMPV,EQ,381.700000,393.300000,380.100000,391.550000,381.850000,14697484,57190.16,164892,
2026-02-27,TMPV,EQ,393.650000,394.050000,380.950000,382.650000,391.550000,15951041,61514.16,129158,
2026-03-02,TMPV,EQ,358.000000,378.400000,355.500000,370.600000,382.650000,11804909,43892.55,186718,
2026-03-04,TMPV,EQ,363.150000,363.900000,350.100000,351.200000,370.600000,17733124,62806.10,311500,
2026-03-05,TMPV,EQ,353.100000,357.150000,347.950000,355.150000,351.200000,10574236,37259.93,157419,
2026-03-06,TMPV,EQ,354.000000,354.350000,349.350000,350.750000,355.150000,6929668,24372.67,102529,
2026-03-09,TMPV,EQ,342.000000,342.900000,328.650000,332.000000,350.750000,17240937,57270.98,252967,
2026-03-10,TMPV,EQ,338.000000,345.800000,334.250000,345.200000,332.000000,13770080,46925.43,140116,
2026-03-11,TMPV,EQ,344.800000,347.000000,334.650000,335.350000,345.200000,5949596,20195.13,131900,
2026-03-12,TMPV,EQ,332.500000,333.000000,323.350000,324.550000,335.350000,9707654,31686.45,180161,
2026-03-13,TMPV,EQ,323.000000,324.150000,308.500000,314.100000,324.550000,17073811,53627.29,261796,
2026-03-16,TMPV,EQ,313.000000,316.450000,306.900000,314.400000,314.100000,10394023,32475.24,134847,
2026-03-17,TMPV,EQ,315.000000,321.000000,313.000000,319.200000,314.400000,7953108,25209.62,105843,
2026-03-18,TMPV,EQ,321.000000,330.200000,319.900000,324.750000,319.200000,7533727,24542.41,94169,
2026-03-19,TMPV,EQ,318.000000,318.950000,307.500000,309.300000,324.750000,10146164,31629.00,168351,
2026-03-20,TMPV,EQ,311.000000,316.900000,310.800000,314.100000,309.300000,13905760,43671.82,109330,
2026-03-23,TMPV,EQ,311.050000,311.050000,303.500000,305.250000,314.100000,10816349,33117.94,144969,
2026-03-24,TMPV,EQ,312.950000,314.200000,305.500000,311.200000,305.250000,8524890,26416.93,104244,
2026-03-25,TMPV,EQ,316.000000,322.250000,314.600000,317.950000,311.200000,7857557,25071.92,105144,
2026-03-27,TMPV,EQ,312.500000,312.850000,301.050000,303.200000,317.950000,19009638,57820.38,239488,
2026-03-30,TMPV,EQ,297.250000,303.500000,294.300000,296.200000,303.200000,16410266,48958.37,176251,
2026-04-01,TMPV,EQ,310.000000,310.000000,302.050000,302.950000,296.200000,8911554,27098.06,111874,
2026-04-02,TMPV,EQ,298.000000,304.300000,295.050000,303.300000,302.950000,9098035,27238.81,116298,
2026-04-06,TMPV,EQ,303.300000,308.100000,299.850000,307.400000,303.300000,6425909,19596.27,88846,
2026-04-07,TMPV,EQ,306.500000,309.350000,301.850000,308.700000,307.400000,8543428,26149.65,114819,
2026-04-08,TMPV,EQ,321.000000,337.000000,318.950000,334.750000,308.700000,20930060,69405.34,195660,
2026-04-09,TMPV,EQ,334.500000,339.200000,330.450000,333.250000,334.750000,11110200,37251.63,104025,
2026-04-10,TMPV,EQ,336.600000,343.800000,335.000000,342.600000,333.250000,10666149,36218.05,118971,
2026-04-13,TMPV,EQ,332.000000,346.800000,332.000000,345.500000,342.600000,13113105,44948.54,139147,
2026-04-15,TMPV,EQ,352.050000,362.100000,349.250000,357.900000,345.500000,12495093,44574.10,118033,
2026-04-16,TMPV,EQ,360.000000,360.000000,354.100000,356.300000,357.900000,6871023,24502.21,81356,
2026-04-17,TMPV,EQ,352.050000,361.350000,352.000000,360.100000,356.300000,7314044,26247.92,92134,
2026-04-20,TMPV,EQ,357.300000,359.800000,352.500000,355.700000,360.100000,7216605,25699.34,112808,
2026-04-21,TMPV,EQ,354.000000,358.900000,353.450000,355.900000,355.700000,5922373,21132.68,115721,
2026-04-22,TMPV,EQ,355.450000,367.950000,353.400000,361.850000,355.900000,14994313,54369.24,138917,
2026-04-23,TMPV,EQ,359.950000,361.200000,350.000000,351.950000,361.850000,11374109,40362.95,186159,
2026-04-24,TMPV,EQ,353.650000,355.850000,347.500000,350.500000,351.950000,5722477,20022.55,91468,
2026-04-27,TMPV,EQ,351.000000,356.800000,350.250000,354.350000,350.500000,9713765,34334.38,126920,
2026-04-28,TMPV,EQ,354.350000,356.000000,349.350000,350.800000,354.350000,7247106,25544.85,98814,
2026-04-29,TMPV,EQ,351.000000,363.650000,351.000000,352.700000,350.800000,10581537,37841.73,115991,
2026-04-30,TMPV,EQ,352.000000,352.000000,337.500000,341.550000,352.700000,12670807,43303.46,133524,
2026-05-04,TMPV,EQ,338.400000,345.900000,338.000000,343.050000,341.550000,7734863,26532.15,85720,
2026-05-05,TMPV,EQ,341.900000,344.000000,339.000000,340.150000,343.050000,6084755,20770.60,85119,
2026-05-06,TMPV,EQ,345.350000,358.950000,343.650000,358.150000,340.150000,11036464,38797.76,97401,
2026-05-07,TMPV,EQ,360.200000,361.450000,357.050000,359.250000,358.150000,6975162,25055.26,78792,
2026-05-08,TMPV,EQ,356.000000,357.450000,353.700000,355.450000,359.250000,4615800,16411.90,61257,
2026-05-11,TMPV,EQ,352.300000,352.300000,345.200000,346.000000,355.450000,4283236,14924.53,75708,
2026-05-12,TMPV,EQ,343.850000,345.700000,336.000000,336.850000,346.000000,5758949,19558.90,93519,
2026-05-13,TMPV,EQ,335.000000,342.400000,334.000000,336.850000,336.850000,5692558,19286.82,78227,
2026-05-14,TMPV,EQ,340.050000,340.600000,333.650000,338.750000,336.850000,7975089,26901.33,100961,
2026-05-15,TMPV,EQ,352.000000,366.950000,352.000000,356.550000,338.750000,51689818,185237.66,365480,
2026-05-18,TMPV,EQ,354.800000,358.250000,351.100000,353.150000,356.550000,10409685,36771.25,111107,
2026-05-19,TMPV,EQ,352.900000,365.800000,352.900000,361.200000,353.150000,15119605,54707.78,145073,
2026-05-20,TMPV,EQ,358.650000,365.000000,356.100000,361.250000,361.200000,9875276,35720.55,116671,
2026-05-21,TMPV,EQ,364.000000,366.000000,359.000000,361.350000,361.250000,10834385,39239.71,85440,
2026-05-22,TMPV,EQ,364.500000,365.650000,361.750000,363.350000,361.350000,6934910,25196.71,72637,
2026-05-25,TMPV,EQ,366.150000,374.300000,366.150000,373.250000,363.350000,10356089,38519.67,91716,
2026-05-26,TMPV,EQ,373.750000,387.300000,371.800000,385.600000,373.250000,21346890,81620.54,181299,
2026-05-27,TMPV,EQ,385.800000,404.000000,383.700000,400.950000,385.600000,16294686,64297.09,155608,
2026-05-29,TMPV,EQ,400.950000,408.000000,390.700000,393.900000,400.950000,31210075,123959.08,188800,
2026-06-01,TMPV,EQ,395.000000,398.850000,383.850000,384.900000,393.900000,8626860,33565.49,105839,
2026-06-02,TMPV,EQ,379.600000,391.900000,377.300000,390.200000,384.900000,12789321,49187.52,138223,
2026-06-03,TMPV,EQ,392.050000,399.800000,384.850000,398.150000,390.200000,8638483,33951.17,78515,
2026-06-04,TMPV,EQ,396.200000,401.200000,391.000000,399.700000,398.150000,12067304,47958.87,98912,
2026-06-05,TMPV,EQ,401.000000,403.050000,393.600000,397.800000,399.700000,9554051,38010.06,91389,
2026-06-08,TMPV,EQ,392.000000,392.900000,387.000000,389.000000,397.800000,7585986,29567.71,105168,
2026-06-09,TMPV,EQ,393.950000,395.450000,386.800000,387.800000,389.000000,8550946,33280.68,87064,
2026-06-10,TMPV,EQ,388.000000,388.800000,380.000000,381.000000,387.800000,7251442,27842.77,67197,
2026-06-11,TMPV,EQ,375.000000,378.400000,372.350000,375.900000,381.000000,6508792,24479.52,70920,
2026-06-12,TMPV,EQ,380.250000,392.950000,379.000000,390.000000,375.900000,7787586,30015.69,91780,
2026-06-15,TMPV,EQ,398.200000,407.800000,395.250000,396.400000,390.000000,11097635,44518.18,106453,
2026-06-16,TMPV,EQ,398.300000,398.650000,387.550000,393.600000,396.400000,6432360,25251.29,71477,
2026-06-17,TMPV,EQ,395.500000,395.600000,355.000000,360.950000,393.600000,51987488,190605.45,468983,
