date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,TORNTPHARM,EQ,927.450000,930.000000,920.025000,921.850000,924.525000,44954,415.64,1775,
2020-01-02,TORNTPHARM,EQ,922.025000,936.000000,922.025000,932.825000,921.850000,173060,1609.73,4092,
2020-01-03,TORNTPHARM,EQ,935.000000,959.900000,930.525000,950.050000,932.825000,1008842,9563.06,18306,
2020-01-06,TORNTPHARM,EQ,952.500000,953.050000,928.475000,943.100000,950.050000,330866,3113.04,11054,
2020-01-07,TORNTPHARM,EQ,942.750000,955.000000,932.950000,936.375000,943.100000,266930,2510.10,7002,
2020-01-08,TORNTPHARM,EQ,932.500000,943.775000,926.800000,933.175000,936.375000,224722,2101.42,6713,
2020-01-09,TORNTPHARM,EQ,936.000000,948.150000,933.050000,939.400000,933.175000,196244,1845.72,10975,
2020-01-10,TORNTPHARM,EQ,950.600000,956.000000,940.000000,949.525000,939.400000,377616,3582.62,7405,
2020-01-13,TORNTPHARM,EQ,953.500000,954.250000,944.000000,949.700000,949.525000,258008,2448.10,9569,
2020-01-14,TORNTPHARM,EQ,950.000000,954.000000,940.650000,942.650000,949.700000,99086,937.42,5653,
2020-01-15,TORNTPHARM,EQ,942.550000,951.150000,935.125000,949.100000,942.650000,218450,2064.31,8508,
2020-01-16,TORNTPHARM,EQ,953.000000,983.975000,951.500000,962.200000,949.100000,1110982,10733.78,23634,
2020-01-17,TORNTPHARM,EQ,968.200000,1014.000000,964.350000,1003.175000,962.200000,2238044,22276.31,45879,
2020-01-20,TORNTPHARM,EQ,1003.175000,1036.825000,992.775000,1013.850000,1003.175000,1779728,18132.22,38450,
2020-01-21,TORNTPHARM,EQ,1012.500000,1028.425000,996.000000,1010.075000,1013.850000,1040806,10577.25,22271,
2020-01-22,TORNTPHARM,EQ,1015.000000,1022.475000,996.050000,1000.475000,1010.075000,832380,8421.83,15111,
2020-01-23,TORNTPHARM,EQ,1001.975000,1017.775000,1000.500000,1010.250000,1000.475000,352494,3559.93,11103,
2020-01-24,TORNTPHARM,EQ,1014.500000,1031.000000,1012.500000,1018.475000,1010.250000,539668,5525.22,19193,
2020-01-27,TORNTPHARM,EQ,1018.475000,1027.975000,1002.750000,1013.575000,1018.475000,487088,4950.43,16719,
2020-01-28,TORNTPHARM,EQ,1000.000000,1000.000000,950.300000,958.200000,1013.575000,3587828,34611.37,63482,
2020-01-29,TORNTPHARM,EQ,953.500000,978.150000,953.500000,968.750000,958.200000,713352,6918.25,22112,
2020-01-30,TORNTPHARM,EQ,974.000000,977.975000,961.250000,968.150000,968.750000,1627536,15807.91,9818,
2020-01-31,TORNTPHARM,EQ,974.500000,976.075000,960.500000,965.550000,968.150000,335526,3242.60,7585,
2020-02-03,TORNTPHARM,EQ,953.450000,958.800000,943.900000,953.050000,953.725000,212296,2021.54,11714,
2020-02-04,TORNTPHARM,EQ,958.050000,968.250000,956.000000,964.375000,953.050000,339238,3272.86,6194,
2020-02-05,TORNTPHARM,EQ,970.175000,1013.450000,964.400000,1000.625000,964.375000,986082,9866.82,34710,
2020-02-06,TORNTPHARM,EQ,990.000000,1014.400000,988.450000,1000.700000,1000.625000,1376464,13768.27,14890,
2020-02-07,TORNTPHARM,EQ,1000.500000,1020.000000,997.800000,1010.400000,1000.700000,455200,4603.56,16627,
2020-02-10,TORNTPHARM,EQ,1012.000000,1014.300000,993.500000,1004.600000,1010.400000,245928,2465.46,12321,
2020-02-11,TORNTPHARM,EQ,1007.025000,1027.475000,1002.025000,1006.875000,1004.600000,710024,7213.65,20256,
2020-02-12,TORNTPHARM,EQ,1007.500000,1011.750000,1000.000000,1005.200000,1006.875000,410712,4129.68,13734,
2020-02-13,TORNTPHARM,EQ,1001.500000,1044.950000,990.000000,1040.100000,1005.200000,1178252,12073.00,31399,
2020-02-14,TORNTPHARM,EQ,1046.575000,1060.000000,1032.000000,1056.250000,1040.100000,1273910,13302.41,28266,
2020-02-17,TORNTPHARM,EQ,1057.500000,1077.500000,1051.125000,1071.675000,1056.250000,760822,8129.57,25114,
2020-02-18,TORNTPHARM,EQ,1071.500000,1079.000000,1056.700000,1065.950000,1071.675000,336606,3585.79,21165,
2020-02-19,TORNTPHARM,EQ,1070.950000,1143.625000,1067.550000,1121.075000,1065.950000,1619504,18029.85,53160,
