date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,TRENT,EQ,351.333333,356.500000,349.333333,353.100000,351.433333,161774,572.50,4279,
2020-01-02,TRENT,EQ,353.000000,363.933333,352.466667,360.900000,353.100000,237960,856.90,8740,
2020-01-03,TRENT,EQ,361.600000,361.866667,356.000000,357.266667,360.900000,95134,340.82,3215,
2020-01-06,TRENT,EQ,355.333333,356.600000,347.600000,353.300000,357.266667,158955,559.69,5332,
2020-01-07,TRENT,EQ,354.666667,360.566667,352.266667,355.300000,353.300000,230940,827.46,4262,
2020-01-08,TRENT,EQ,351.066667,356.366667,347.600000,354.633333,355.300000,244772,865.34,11475,
2020-01-09,TRENT,EQ,356.666667,371.900000,354.666667,364.966667,354.633333,300814,1099.20,7843,
2020-01-10,TRENT,EQ,365.833333,372.666667,362.000000,367.033333,364.966667,235182,867.55,7841,
2020-01-13,TRENT,EQ,367.333333,371.933333,360.666667,363.633333,367.033333,119187,437.07,5855,
2020-01-14,TRENT,EQ,364.733333,376.666667,361.466667,374.100000,363.633333,228050,846.87,4340,
2020-01-15,TRENT,EQ,374.100000,391.000000,370.000000,389.300000,374.100000,852729,3278.90,14919,
2020-01-16,TRENT,EQ,389.933333,400.000000,389.333333,394.333333,389.300000,484515,1918.86,13973,
2020-01-17,TRENT,EQ,397.200000,399.966667,377.100000,394.266667,394.333333,269098,1046.39,7167,
2020-01-20,TRENT,EQ,396.666667,407.966667,396.300000,400.200000,394.266667,691476,2773.03,7395,
2020-01-21,TRENT,EQ,399.500000,402.266667,392.233333,396.200000,400.200000,326966,1297.69,4014,
2020-01-22,TRENT,EQ,402.633333,403.333333,388.133333,390.800000,396.200000,107932,426.33,3358,
2020-01-23,TRENT,EQ,393.366667,396.166667,388.200000,393.000000,390.800000,123932,486.45,3482,
2020-01-24,TRENT,EQ,394.533333,397.333333,384.066667,388.866667,393.000000,192488,750.17,6191,
2020-01-27,TRENT,EQ,384.666667,389.500000,380.000000,381.833333,388.866667,106672,410.65,4179,
2020-01-28,TRENT,EQ,382.033333,398.533333,378.666667,391.966667,381.833333,424926,1645.71,16185,
2020-01-29,TRENT,EQ,394.266667,400.000000,385.333333,388.166667,391.966667,201524,792.69,5567,
2020-01-30,TRENT,EQ,390.800000,396.633333,385.900000,388.000000,388.166667,133450,523.16,4247,
2020-01-31,TRENT,EQ,390.666667,396.666667,386.666667,393.866667,388.000000,162314,636.67,5258,
2020-02-03,TRENT,EQ,386.733333,397.833333,386.566667,396.033333,383.100000,504225,1992.70,13271,
2020-02-04,TRENT,EQ,397.433333,404.666667,396.666667,400.500000,396.033333,335528,1345.57,15093,
2020-02-05,TRENT,EQ,401.166667,401.866667,390.000000,395.066667,400.500000,271581,1073.75,9183,
2020-02-06,TRENT,EQ,397.333333,399.333333,393.400000,395.400000,395.066667,241278,956.31,5485,
2020-02-07,TRENT,EQ,413.333333,452.266667,413.333333,441.700000,395.400000,3892514,16758.74,79294,
2020-02-10,TRENT,EQ,443.333333,467.766667,428.100000,463.833333,441.700000,1658132,7561.48,41899,
2020-02-11,TRENT,EQ,467.000000,476.400000,446.600000,451.300000,463.833333,1451738,6682.86,47112,
2020-02-12,TRENT,EQ,450.566667,483.333333,449.000000,470.200000,451.300000,1852080,8742.08,48327,
2020-02-13,TRENT,EQ,472.000000,494.666667,468.000000,489.600000,470.200000,1312742,6359.83,43639,
2020-02-14,TRENT,EQ,491.066667,509.333333,475.066667,505.533333,489.600000,1602494,8006.90,56564,
2020-02-17,TRENT,EQ,502.000000,521.833333,490.700000,499.866667,505.533333,1272082,6448.23,32974,
2020-02-18,TRENT,EQ,500.666667,509.733333,477.200000,484.933333,499.866667,808245,3945.78,31650,
2020-02-19,TRENT,EQ,487.900000,519.333333,487.900000,516.766667,484.933333,985384,4996.51,22940,
2020-02-20,TRENT,EQ,517.266667,529.333333,510.000000,517.366667,516.766667,1614882,8438.00,25577,
2020-02-24,TRENT,EQ,517.266667,535.300000,511.400000,530.633333,517.366667,815048,4285.08,23382,
2020-02-25,TRENT,EQ,528.000000,536.466667,506.666667,509.400000,530.633333,696910,3610.65,36385,
2020-02-26,TRENT,EQ,503.333333,508.000000,490.000000,492.000000,509.400000,870194,4321.74,34509,
2020-02-27,TRENT,EQ,488.733333,499.133333,485.333333,489.400000,492.000000,424946,2086.87,15962,
2020-02-28,TRENT,EQ,476.600000,506.666667,453.333333,491.466667,489.400000,1111616,5360.75,31525,
2020-03-02,TRENT,EQ,500.333333,518.666667,482.100000,487.866667,491.466667,555038,2778.24,17542,
2020-03-03,TRENT,EQ,489.966667,502.666667,480.000000,483.966667,487.866667,507939,2480.90,17256,
2020-03-04,TRENT,EQ,490.000000,491.133333,449.266667,455.766667,483.966667,1129304,5197.63,38531,
2020-03-05,TRENT,EQ,463.300000,471.133333,453.333333,456.566667,455.766667,485452,2245.12,20106,
2020-03-06,TRENT,EQ,440.000000,466.533333,432.666667,462.533333,456.566667,625149,2846.64,22696,
2020-03-09,TRENT,EQ,450.000000,453.333333,414.166667,440.233333,462.533333,882951,3885.42,25355,
2020-03-11,TRENT,EQ,442.966667,465.333333,430.100000,439.633333,440.233333,524670,2338.32,22686,
2020-03-12,TRENT,EQ,413.333333,423.333333,378.000000,398.100000,439.633333,1404586,5578.30,33111,
2020-03-13,TRENT,EQ,353.666667,433.333333,353.666667,400.300000,398.100000,1315478,5066.31,33741,
2020-03-16,TRENT,EQ,380.000000,392.000000,353.333333,381.333333,400.300000,1003644,3774.39,34475,
2020-03-17,TRENT,EQ,377.333333,386.666667,350.000000,357.900000,381.333333,840543,3159.41,12661,
2020-03-18,TRENT,EQ,360.000000,368.033333,304.666667,326.000000,357.900000,1295162,4223.02,32664,
2020-03-19,TRENT,EQ,300.666667,322.266667,281.400000,313.933333,326.000000,1502230,4691.74,26385,
