date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,TVSMOTOR,EQ,469.900000,471.750000,464.300000,468.600000,468.450000,902225,4221.64,9860,
2020-01-02,TVSMOTOR,EQ,467.850000,469.600000,456.000000,459.350000,468.600000,1474570,6813.08,31749,
2020-01-03,TVSMOTOR,EQ,457.950000,457.950000,447.000000,452.600000,459.350000,1890542,8524.99,34091,
2020-01-06,TVSMOTOR,EQ,450.000000,451.900000,440.250000,447.100000,452.600000,1673703,7463.19,29728,
2020-01-07,TVSMOTOR,EQ,450.000000,454.350000,443.000000,448.100000,447.100000,1309468,5858.93,17621,
2020-01-08,TVSMOTOR,EQ,443.800000,449.400000,438.500000,448.250000,448.100000,1186784,5265.94,16232,
2020-01-09,TVSMOTOR,EQ,450.650000,463.700000,450.650000,462.300000,448.250000,1127745,5163.66,16362,
2020-01-10,TVSMOTOR,EQ,462.050000,471.500000,459.650000,470.400000,462.300000,1177820,5496.66,18991,
2020-01-13,TVSMOTOR,EQ,471.000000,471.650000,464.100000,468.550000,470.400000,1067092,4996.81,21302,
2020-01-14,TVSMOTOR,EQ,468.100000,474.450000,465.700000,471.700000,468.550000,911176,4287.06,12451,
2020-01-15,TVSMOTOR,EQ,470.950000,489.950000,468.200000,484.200000,471.700000,1222665,5846.00,21994,
2020-01-16,TVSMOTOR,EQ,488.000000,493.400000,484.550000,488.350000,484.200000,1423802,6958.54,21843,
2020-01-17,TVSMOTOR,EQ,490.000000,499.500000,481.850000,485.100000,488.350000,2613095,12866.61,50760,
2020-01-20,TVSMOTOR,EQ,485.500000,486.900000,468.650000,470.250000,485.100000,1227450,5813.68,11796,
2020-01-21,TVSMOTOR,EQ,467.850000,470.350000,458.750000,461.400000,470.250000,1139830,5269.00,15261,
2020-01-22,TVSMOTOR,EQ,462.500000,468.500000,455.450000,464.550000,461.400000,1201196,5569.03,18856,
2020-01-23,TVSMOTOR,EQ,464.100000,469.500000,459.500000,464.400000,464.550000,1172659,5457.04,19176,
2020-01-24,TVSMOTOR,EQ,464.400000,473.800000,462.700000,468.900000,464.400000,1446483,6786.08,22885,
2020-01-27,TVSMOTOR,EQ,468.900000,476.850000,462.850000,465.100000,468.900000,1354540,6384.77,33087,
