date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,ULTRACEMCO,EQ,4060.000000,4071.950000,4045.000000,4065.000000,4046.050000,163949,6654.88,9451,
2020-01-02,ULTRACEMCO,EQ,4069.900000,4256.300000,4068.150000,4244.800000,4065.000000,1458328,61265.22,94709,
2020-01-03,ULTRACEMCO,EQ,4237.000000,4258.000000,4185.850000,4219.200000,4244.800000,635983,26852.49,46789,
2020-01-06,ULTRACEMCO,EQ,4191.000000,4199.750000,4131.000000,4157.100000,4219.200000,462841,19298.40,39868,
2020-01-07,ULTRACEMCO,EQ,4199.550000,4254.000000,4164.050000,4242.100000,4157.100000,524372,22135.67,41214,
2020-01-08,ULTRACEMCO,EQ,4224.850000,4332.000000,4183.800000,4318.950000,4242.100000,1032268,44320.27,72733,
2020-01-09,ULTRACEMCO,EQ,4337.000000,4400.000000,4331.600000,4388.000000,4318.950000,698429,30540.28,47576,
2020-01-10,ULTRACEMCO,EQ,4388.100000,4464.050000,4366.900000,4444.600000,4388.000000,735887,32599.83,54585,
2020-01-13,ULTRACEMCO,EQ,4457.550000,4492.000000,4450.050000,4468.700000,4444.600000,403937,18068.66,32808,
2020-01-14,ULTRACEMCO,EQ,4465.000000,4502.950000,4422.700000,4483.300000,4468.700000,438651,19536.25,36958,
2020-01-15,ULTRACEMCO,EQ,4451.050000,4525.250000,4410.000000,4506.500000,4483.300000,416924,18581.51,32862,
2020-01-16,ULTRACEMCO,EQ,4520.000000,4554.900000,4433.250000,4472.350000,4506.500000,467980,21077.70,38904,
2020-01-17,ULTRACEMCO,EQ,4440.000000,4522.400000,4411.300000,4486.750000,4472.350000,360682,16181.62,33498,
2020-01-20,ULTRACEMCO,EQ,4500.000000,4509.450000,4452.000000,4467.650000,4486.750000,204026,9128.96,17123,
2020-01-21,ULTRACEMCO,EQ,4455.000000,4520.000000,4440.000000,4483.550000,4467.650000,283173,12695.53,33184,
2020-01-22,ULTRACEMCO,EQ,4505.000000,4540.000000,4463.000000,4476.950000,4483.550000,359444,16191.55,23405,
2020-01-23,ULTRACEMCO,EQ,4470.000000,4540.000000,4446.050000,4526.400000,4476.950000,401079,18035.82,35389,
2020-01-24,ULTRACEMCO,EQ,4554.000000,4679.700000,4452.650000,4642.750000,4526.400000,2127667,97332.73,131929,
2020-01-27,ULTRACEMCO,EQ,4624.900000,4754.100000,4622.000000,4676.950000,4642.750000,1058884,49705.46,84765,
2020-01-28,ULTRACEMCO,EQ,4670.000000,4715.800000,4584.500000,4609.050000,4676.950000,711517,33002.54,48737,
2020-01-29,ULTRACEMCO,EQ,4625.000000,4653.500000,4559.500000,4568.200000,4609.050000,595287,27375.41,45661,
2020-01-30,ULTRACEMCO,EQ,4569.000000,4588.500000,4464.150000,4486.000000,4568.200000,422335,19055.12,38631,
2020-01-31,ULTRACEMCO,EQ,4502.300000,4507.300000,4405.000000,4416.100000,4486.000000,451630,20091.94,40501,
2020-02-03,ULTRACEMCO,EQ,4265.000000,4386.850000,4236.150000,4370.650000,4265.250000,537373,23244.12,48595,
2020-02-04,ULTRACEMCO,EQ,4394.950000,4498.850000,4379.050000,4474.250000,4370.650000,387466,17299.06,36447,
2020-02-05,ULTRACEMCO,EQ,4477.000000,4528.600000,4397.600000,4471.800000,4474.250000,521783,23302.28,37704,
2020-02-06,ULTRACEMCO,EQ,4480.000000,4519.050000,4442.000000,4464.900000,4471.800000,385744,17255.61,39005,
2020-02-07,ULTRACEMCO,EQ,4476.400000,4547.000000,4449.650000,4471.800000,4464.900000,547874,24705.55,48152,
2020-02-10,ULTRACEMCO,EQ,4487.000000,4492.600000,4390.750000,4413.750000,4471.800000,271700,12026.07,30543,
2020-02-11,ULTRACEMCO,EQ,4447.700000,4519.500000,4433.000000,4466.450000,4413.750000,296451,13295.74,27746,
