date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,UNIONBANK,EQ,55.050000,55.600000,54.150000,54.550000,54.800000,4807629,2638.70,11001,
2020-01-02,UNIONBANK,EQ,54.450000,55.450000,54.450000,55.150000,54.550000,5754393,3170.66,12002,
2020-01-03,UNIONBANK,EQ,55.100000,55.500000,54.350000,54.750000,55.150000,5525524,3035.30,12305,
2020-01-06,UNIONBANK,EQ,54.150000,54.300000,52.800000,52.950000,54.750000,5204531,2766.76,13182,
2020-01-07,UNIONBANK,EQ,53.600000,54.300000,52.250000,52.700000,52.950000,5527537,2936.71,13641,
2020-01-08,UNIONBANK,EQ,51.900000,52.600000,51.000000,51.950000,52.700000,4490512,2329.15,11467,
2020-01-09,UNIONBANK,EQ,52.900000,53.400000,52.250000,52.550000,51.950000,5088100,2686.15,14327,
2020-01-10,UNIONBANK,EQ,52.450000,53.450000,52.300000,52.650000,52.550000,4761614,2514.38,11603,
2020-01-13,UNIONBANK,EQ,53.300000,53.300000,52.150000,52.550000,52.650000,3714041,1953.82,9145,
2020-01-14,UNIONBANK,EQ,52.250000,52.950000,51.850000,52.500000,52.550000,3239557,1700.47,9403,
2020-01-15,UNIONBANK,EQ,52.500000,52.900000,52.200000,52.650000,52.500000,2829991,1487.18,7755,
2020-01-16,UNIONBANK,EQ,52.800000,53.150000,52.400000,52.750000,52.650000,3704771,1952.74,12565,
2020-01-17,UNIONBANK,EQ,52.500000,53.100000,52.200000,52.600000,52.750000,3655362,1925.31,13002,
2020-01-20,UNIONBANK,EQ,52.750000,52.850000,51.600000,52.000000,52.600000,2391889,1249.39,7169,
2020-01-21,UNIONBANK,EQ,51.800000,52.300000,51.500000,51.750000,52.000000,2308022,1198.88,7198,
2020-01-22,UNIONBANK,EQ,52.000000,52.200000,51.300000,51.500000,51.750000,1736721,896.21,5888,
2020-01-23,UNIONBANK,EQ,51.500000,52.850000,51.350000,52.400000,51.500000,3343402,1744.03,10827,
2020-01-24,UNIONBANK,EQ,52.400000,53.000000,52.150000,52.350000,52.400000,2862184,1505.27,9103,
2020-01-27,UNIONBANK,EQ,52.000000,52.350000,51.600000,51.850000,52.350000,1991306,1034.49,9634,
2020-01-28,UNIONBANK,EQ,51.900000,52.100000,51.000000,51.500000,51.850000,2011311,1038.04,8622,
2020-01-29,UNIONBANK,EQ,51.800000,51.950000,51.200000,51.500000,51.500000,1710263,882.65,4700,
2020-01-30,UNIONBANK,EQ,51.250000,51.500000,50.200000,50.600000,51.500000,1971860,1002.14,7121,
2020-01-31,UNIONBANK,EQ,50.900000,51.400000,49.100000,49.900000,50.600000,2160583,1088.14,7261,
2020-02-03,UNIONBANK,EQ,48.250000,48.900000,47.350000,47.650000,48.550000,2917775,1395.36,9684,
2020-02-04,UNIONBANK,EQ,47.900000,48.400000,47.500000,48.000000,47.650000,2484469,1191.19,8888,
2020-02-05,UNIONBANK,EQ,48.200000,48.700000,48.000000,48.500000,48.000000,1708093,825.75,6133,
2020-02-06,UNIONBANK,EQ,48.500000,50.650000,48.450000,49.000000,48.500000,4266040,2107.77,12072,
2020-02-07,UNIONBANK,EQ,49.250000,49.500000,48.550000,48.950000,49.000000,2122619,1042.09,5763,
2020-02-10,UNIONBANK,EQ,49.000000,52.400000,47.650000,50.950000,48.950000,6161761,3092.66,18964,
2020-02-11,UNIONBANK,EQ,51.900000,51.900000,49.200000,49.750000,50.950000,5602045,2840.50,17450,
