date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2024-06-07,UNITDSPR,EQ,1306.450000,1320.000000,1294.650000,1307.550000,1305.450000,1151764,15018.00,37661,
2024-06-10,UNITDSPR,EQ,1327.000000,1327.000000,1307.150000,1315.100000,1307.550000,654963,8613.91,20675,
2024-06-11,UNITDSPR,EQ,1316.100000,1334.850000,1312.000000,1317.700000,1315.100000,625503,8257.33,31745,
2024-06-12,UNITDSPR,EQ,1318.700000,1318.700000,1284.350000,1290.850000,1317.700000,1374418,17826.02,41821,
2024-06-13,UNITDSPR,EQ,1292.000000,1300.000000,1272.400000,1275.450000,1290.850000,1049119,13430.23,39515,
2024-06-14,UNITDSPR,EQ,1282.550000,1282.550000,1258.200000,1269.000000,1275.450000,1574896,19996.11,48177,
2024-06-18,UNITDSPR,EQ,1265.000000,1274.850000,1237.000000,1252.600000,1269.000000,3609667,44884.53,72132,
2024-06-19,UNITDSPR,EQ,1255.000000,1281.250000,1245.750000,1272.850000,1252.600000,1292892,16421.12,65620,
2024-06-20,UNITDSPR,EQ,1272.950000,1278.750000,1259.000000,1265.550000,1272.850000,388681,4914.99,17586,
2024-06-21,UNITDSPR,EQ,1275.000000,1275.950000,1255.000000,1260.650000,1265.550000,580871,7337.40,28576,
2024-06-24,UNITDSPR,EQ,1255.000000,1301.850000,1245.750000,1298.350000,1260.650000,1700427,21879.65,38116,
2024-06-25,UNITDSPR,EQ,1309.750000,1309.750000,1275.550000,1281.900000,1298.350000,612621,7893.46,28109,
2024-06-26,UNITDSPR,EQ,1279.700000,1291.200000,1270.000000,1276.800000,1281.900000,370291,4739.83,23979,
2024-06-27,UNITDSPR,EQ,1265.050000,1294.850000,1263.850000,1287.800000,1276.800000,619542,7936.78,31650,
2024-06-28,UNITDSPR,EQ,1287.000000,1298.000000,1272.750000,1276.500000,1287.800000,632972,8117.06,39221,
2024-07-01,UNITDSPR,EQ,1261.100000,1276.650000,1255.250000,1267.800000,1276.500000,533705,6758.16,29819,
2024-07-02,UNITDSPR,EQ,1274.000000,1292.000000,1263.950000,1274.950000,1267.800000,749206,9577.25,53502,
2024-07-03,UNITDSPR,EQ,1280.000000,1286.150000,1268.100000,1271.500000,1274.950000,420654,5355.65,25234,
2024-07-04,UNITDSPR,EQ,1265.250000,1281.950000,1257.000000,1259.400000,1271.500000,375289,4743.02,23694,
2024-07-05,UNITDSPR,EQ,1259.400000,1267.750000,1249.300000,1254.150000,1259.400000,779976,9810.58,31441,
2024-07-08,UNITDSPR,EQ,1257.000000,1279.000000,1257.000000,1272.100000,1254.150000,2122654,26964.36,73898,
2024-07-09,UNITDSPR,EQ,1279.000000,1306.850000,1276.100000,1288.250000,1272.100000,2432990,31490.83,48537,
2024-07-10,UNITDSPR,EQ,1289.750000,1295.450000,1267.000000,1281.050000,1288.250000,854243,10924.23,40586,
2024-07-11,UNITDSPR,EQ,1280.000000,1294.100000,1274.700000,1284.500000,1281.050000,682041,8744.59,30612,
2024-07-12,UNITDSPR,EQ,1284.500000,1292.700000,1273.200000,1289.650000,1284.500000,703819,9045.05,32932,
2024-07-15,UNITDSPR,EQ,1289.650000,1308.000000,1275.950000,1303.700000,1289.650000,551101,7137.32,30545,
2024-07-16,UNITDSPR,EQ,1308.000000,1317.450000,1292.300000,1298.600000,1303.700000,1048505,13671.10,43931,
2024-07-18,UNITDSPR,EQ,1298.000000,1302.000000,1282.850000,1299.450000,1298.600000,558296,7231.83,35184,
2024-07-19,UNITDSPR,EQ,1306.000000,1314.650000,1288.850000,1297.750000,1299.450000,1365917,17806.83,89670,
2024-07-22,UNITDSPR,EQ,1295.050000,1315.000000,1292.500000,1308.100000,1297.750000,1066896,13949.26,45584,
2024-07-23,UNITDSPR,EQ,1317.500000,1335.650000,1263.550000,1332.000000,1308.100000,1093010,14301.43,75043,
2024-07-24,UNITDSPR,EQ,1360.000000,1417.300000,1342.000000,1382.850000,1332.000000,6354785,88625.53,181178,
2024-07-25,UNITDSPR,EQ,1374.000000,1450.000000,1337.850000,1443.800000,1382.850000,3367113,47853.24,129300,
2024-07-26,UNITDSPR,EQ,1441.050000,1442.700000,1410.750000,1415.400000,1443.800000,892506,12689.36,42904,
2024-07-29,UNITDSPR,EQ,1430.000000,1434.950000,1406.300000,1421.100000,1415.400000,860229,12205.16,62506,
2024-07-30,UNITDSPR,EQ,1410.000000,1430.000000,1404.400000,1409.250000,1421.100000,394332,5590.08,38659,
2024-07-31,UNITDSPR,EQ,1413.850000,1424.500000,1406.250000,1413.300000,1409.250000,940385,13286.66,50890,
2024-08-01,UNITDSPR,EQ,1411.000000,1421.000000,1406.050000,1413.750000,1413.300000,489925,6919.65,28748,
2024-08-02,UNITDSPR,EQ,1400.000000,1431.000000,1394.100000,1421.000000,1413.750000,1436552,20409.84,43302,
2024-08-05,UNITDSPR,EQ,1386.000000,1435.850000,1382.650000,1400.250000,1421.000000,1199119,16898.08,63992,
2024-08-06,UNITDSPR,EQ,1400.300000,1428.450000,1391.000000,1411.100000,1400.250000,396031,5606.79,28802,
2024-08-07,UNITDSPR,EQ,1425.100000,1466.000000,1421.250000,1462.800000,1411.100000,1689987,24560.46,89064,
2024-08-08,UNITDSPR,EQ,1470.000000,1470.400000,1455.300000,1459.800000,1462.800000,552871,8083.44,46628,
2024-08-09,UNITDSPR,EQ,1459.900000,1480.400000,1446.100000,1454.950000,1459.800000,528351,7756.83,46062,
2024-08-12,UNITDSPR,EQ,1449.950000,1450.000000,1414.000000,1418.000000,1454.950000,1029967,14725.62,37020,
2024-08-13,UNITDSPR,EQ,1424.900000,1429.250000,1400.000000,1403.200000,1418.000000,778303,10989.15,31960,
2024-08-14,UNITDSPR,EQ,1406.000000,1407.950000,1391.200000,1404.550000,1403.200000,363536,5091.42,31204,
2024-08-16,UNITDSPR,EQ,1405.000000,1417.450000,1395.400000,1406.300000,1404.550000,904222,12678.95,44579,
