date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,VBL,EQ,62.755556,63.426667,62.044444,62.151111,62.986667,844886,527.34,3510,
2020-01-02,VBL,EQ,62.457778,63.235556,62.120000,62.764444,62.151111,1154295,725.97,6163,
2020-01-03,VBL,EQ,62.586667,63.066667,62.142222,62.435556,62.764444,1022659,639.60,8559,
2020-01-06,VBL,EQ,62.400000,62.400000,60.866667,62.208889,62.435556,754358,467.08,2979,
2020-01-07,VBL,EQ,61.871111,62.600000,61.311111,61.635556,62.208889,1285448,794.17,6926,
2020-01-08,VBL,EQ,61.333333,63.111111,61.044444,62.453333,61.635556,1729384,1075.78,10164,
2020-01-09,VBL,EQ,62.933333,64.177778,62.653333,63.622222,62.453333,1669298,1058.49,10655,
2020-01-10,VBL,EQ,63.644444,66.222222,63.644444,65.320000,63.622222,3552548,2317.39,11964,
2020-01-13,VBL,EQ,65.902222,66.635556,65.035556,65.368889,65.320000,1591571,1044.22,7324,
2020-01-14,VBL,EQ,65.777778,65.955556,64.000000,65.431111,65.368889,1017450,660.53,10994,
2020-01-15,VBL,EQ,65.564444,67.093333,65.000000,65.715556,65.431111,2232135,1482.50,8657,
2020-01-16,VBL,EQ,65.866667,66.844444,64.848889,66.231111,65.715556,801079,527.05,6260,
2020-01-17,VBL,EQ,66.346667,67.911111,66.346667,66.817778,66.231111,2139345,1437.69,12646,
2020-01-20,VBL,EQ,66.755556,68.533333,66.266667,67.684444,66.817778,2075006,1402.11,9421,
2020-01-21,VBL,EQ,67.822222,70.400000,67.715556,70.053333,67.684444,4740390,3292.26,23086,
2020-01-22,VBL,EQ,70.648889,71.466667,69.071111,70.626667,70.053333,3885120,2744.49,15193,
2020-01-23,VBL,EQ,70.800000,75.822222,70.324444,74.368889,70.626667,7197008,5237.24,24091,
2020-01-24,VBL,EQ,74.400000,75.902222,74.400000,75.528889,74.368889,2632050,1986.44,14175,
2020-01-27,VBL,EQ,75.368889,77.333333,75.111111,75.408889,75.528889,2476271,1891.71,14557,
2020-01-28,VBL,EQ,74.777778,75.373333,72.000000,73.937778,75.408889,1459001,1074.96,14307,
2020-01-29,VBL,EQ,74.075556,74.653333,69.662222,71.831111,73.937778,1885478,1349.85,10954,
2020-01-30,VBL,EQ,72.000000,72.800000,66.666667,67.075556,71.831111,3479760,2370.58,18756,
2020-01-31,VBL,EQ,67.288889,69.293333,66.337778,68.186667,67.075556,2902140,1965.27,14218,
2020-02-03,VBL,EQ,67.555556,71.288889,67.551111,70.795556,68.040000,1763955,1227.19,11765,
2020-02-04,VBL,EQ,71.906667,73.777778,71.404444,73.266667,70.795556,4458150,3217.32,12205,
2020-02-05,VBL,EQ,72.622222,73.422222,70.671111,71.533333,73.266667,2011230,1442.50,9308,
2020-02-06,VBL,EQ,71.128889,71.924444,68.551111,69.000000,71.533333,3370129,2346.19,8899,
2020-02-07,VBL,EQ,69.333333,75.555556,69.333333,74.955556,69.000000,16685483,12278.40,43622,
2020-02-10,VBL,EQ,74.955556,76.706667,72.266667,73.786667,74.955556,3566869,2656.40,18647,
2020-02-11,VBL,EQ,74.288889,75.462222,71.555556,71.977778,73.786667,2400986,1743.69,10678,
2020-02-12,VBL,EQ,71.644444,72.888889,71.377778,72.417778,71.977778,1528110,1103.10,7209,
2020-02-13,VBL,EQ,72.666667,74.480000,71.515556,73.417778,72.417778,1815480,1332.69,7360,
2020-02-14,VBL,EQ,73.688889,74.204444,72.453333,72.840000,73.417778,815254,598.04,5716,
2020-02-17,VBL,EQ,73.324444,73.324444,71.111111,71.586667,72.840000,901080,646.20,4430,
2020-02-18,VBL,EQ,71.644444,73.044444,69.426667,71.835556,71.586667,1135620,804.38,8249,
2020-02-19,VBL,EQ,72.520000,72.871111,70.511111,70.946667,71.835556,3320291,2373.80,14649,
2020-02-20,VBL,EQ,71.284444,74.368889,71.115556,72.804444,70.946667,2782215,2028.44,17237,
2020-02-24,VBL,EQ,72.426667,72.888889,71.555556,71.897778,72.804444,2551455,1836.71,22556,
2020-02-25,VBL,EQ,72.444444,73.195556,71.564444,72.040000,71.897778,2099756,1514.88,19775,
2020-02-26,VBL,EQ,71.715556,75.542222,71.711111,74.502222,72.040000,7253156,5306.82,20217,
2020-02-27,VBL,EQ,74.666667,76.355556,72.462222,72.666667,74.502222,3510180,2599.25,16463,
2020-02-28,VBL,EQ,71.653333,73.240000,70.231111,72.275556,72.666667,4315646,3100.87,23425,
2020-03-02,VBL,EQ,72.888889,74.040000,71.564444,71.915556,72.275556,4296038,3120.54,22896,
2020-03-03,VBL,EQ,71.911111,73.777778,71.737778,73.057778,71.915556,2697064,1966.87,20378,
2020-03-04,VBL,EQ,72.911111,73.275556,68.444444,69.671111,73.057778,8188391,5800.40,19853,
2020-03-05,VBL,EQ,70.400000,70.400000,67.582222,67.884444,69.671111,2561378,1746.99,23980,
2020-03-06,VBL,EQ,65.955556,70.577778,65.955556,69.773333,67.884444,1600403,1088.37,8794,
2020-03-09,VBL,EQ,66.777778,69.155556,64.533333,66.088889,69.773333,6511658,4291.09,18117,
2020-03-11,VBL,EQ,66.111111,70.813333,64.542222,69.573333,66.088889,4693354,3211.03,32496,
2020-03-12,VBL,EQ,68.515556,68.515556,62.760000,67.173333,69.573333,3435795,2266.43,18099,
2020-03-13,VBL,EQ,62.320000,69.333333,53.786667,68.920000,67.173333,1452859,961.60,9144,
2020-03-16,VBL,EQ,66.222222,66.484444,61.826667,62.613333,68.920000,1667363,1073.70,12250,
