date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,VEDL,EQ,50.933333,51.716667,50.483333,51.533333,50.816667,42799572,21911.05,67844,
2020-01-02,VEDL,EQ,51.766667,53.283333,51.766667,53.150000,51.533333,51413691,27054.21,88006,
2020-01-03,VEDL,EQ,52.800000,53.633333,52.233333,52.583333,53.150000,36326061,19206.29,52394,
2020-01-06,VEDL,EQ,52.300000,52.566667,50.016667,50.183333,52.583333,33655065,17203.94,53420,
2020-01-07,VEDL,EQ,50.933333,52.266667,50.850000,52.000000,50.183333,73253922,37927.44,104963,
2020-01-08,VEDL,EQ,51.083333,52.733333,50.816667,52.450000,52.000000,54286125,28209.18,66403,
2020-01-09,VEDL,EQ,53.133333,53.400000,52.466667,52.716667,52.450000,35175906,18593.53,54557,
2020-01-10,VEDL,EQ,53.166667,54.433333,52.533333,53.316667,52.716667,62987589,33819.06,92376,
2020-01-13,VEDL,EQ,53.500000,53.816667,52.750000,53.483333,53.316667,27994476,14945.43,41829,
2020-01-14,VEDL,EQ,53.800000,55.366667,53.666667,55.000000,53.483333,59184273,32443.00,92637,
2020-01-15,VEDL,EQ,55.000000,55.150000,53.933333,54.883333,55.000000,34900794,19076.48,52909,
2020-01-16,VEDL,EQ,54.300000,54.566667,53.466667,54.083333,54.883333,35972901,19407.44,49793,
2020-01-17,VEDL,EQ,54.233333,54.233333,53.000000,53.166667,54.083333,28556106,15293.51,42760,
2020-01-20,VEDL,EQ,53.116667,53.300000,52.066667,52.300000,53.166667,23833302,12495.85,36352,
2020-01-21,VEDL,EQ,52.333333,52.800000,51.183333,51.300000,52.300000,31443024,16298.27,46124,
2020-01-22,VEDL,EQ,51.950000,52.750000,50.933333,51.066667,51.300000,46511883,24117.86,81461,
2020-01-23,VEDL,EQ,51.200000,51.800000,50.783333,51.383333,51.066667,36261087,18617.89,63288,
2020-01-24,VEDL,EQ,51.666667,52.366667,51.250000,51.966667,51.383333,24036045,12489.28,41537,
2020-01-27,VEDL,EQ,51.133333,51.133333,49.366667,49.616667,51.966667,40071117,20109.32,76627,
2020-01-28,VEDL,EQ,49.250000,49.250000,47.183333,47.400000,49.616667,67315791,32333.74,122737,
2020-01-29,VEDL,EQ,48.150000,48.466667,47.300000,47.400000,47.400000,37810332,18120.22,65583,
2020-01-30,VEDL,EQ,47.383333,47.800000,46.600000,46.983333,47.400000,46875828,22104.31,71238,
2020-01-31,VEDL,EQ,46.950000,47.233333,45.833333,45.966667,46.983333,41942304,19465.41,58677,
2020-02-03,VEDL,EQ,44.783333,45.600000,44.283333,44.716667,44.966667,40975149,18368.44,66261,
2020-02-04,VEDL,EQ,45.300000,46.300000,44.933333,46.183333,44.716667,34112733,15620.56,54605,
2020-02-05,VEDL,EQ,46.433333,47.966667,45.866667,47.700000,46.183333,51914301,24316.11,72721,
2020-02-06,VEDL,EQ,48.283333,48.933333,47.566667,47.950000,47.700000,47209608,22784.67,69080,
2020-02-07,VEDL,EQ,47.950000,48.433333,47.250000,48.200000,47.950000,29013318,13954.00,35383,
