date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,WIPRO,EQ,123.250000,124.325000,123.100000,123.850000,122.900000,2827732,3502.93,14240,
2020-01-02,WIPRO,EQ,123.300000,124.950000,123.175000,124.150000,123.850000,2887932,3586.71,19476,
2020-01-03,WIPRO,EQ,124.750000,126.350000,123.675000,125.550000,124.150000,6762808,8486.89,38677,
2020-01-06,WIPRO,EQ,125.500000,127.225000,125.075000,126.075000,125.550000,9133390,11526.37,42374,
2020-01-07,WIPRO,EQ,126.625000,128.175000,125.100000,127.600000,126.075000,8805574,11183.30,39798,
2020-01-08,WIPRO,EQ,127.000000,128.075000,126.275000,127.400000,127.600000,5588820,7113.76,33853,
2020-01-09,WIPRO,EQ,127.125000,128.250000,126.325000,126.825000,127.400000,4990046,6345.52,28366,
2020-01-10,WIPRO,EQ,126.975000,127.600000,125.500000,125.875000,126.825000,4113154,5206.22,31607,
2020-01-13,WIPRO,EQ,127.000000,128.950000,126.425000,127.400000,125.875000,13927198,17782.62,56180,
2020-01-14,WIPRO,EQ,128.425000,129.175000,127.275000,128.600000,127.400000,14593554,18718.50,62567,
2020-01-15,WIPRO,EQ,127.000000,128.000000,123.300000,124.125000,128.600000,20280902,25235.42,82450,
2020-01-16,WIPRO,EQ,124.000000,126.300000,123.500000,125.225000,124.125000,17623672,22041.92,63303,
2020-01-17,WIPRO,EQ,126.000000,126.950000,124.825000,125.550000,125.225000,8281636,10428.22,38092,
2020-01-20,WIPRO,EQ,125.400000,125.400000,123.600000,124.000000,125.550000,3817166,4742.51,19877,
2020-01-21,WIPRO,EQ,123.950000,124.100000,123.000000,123.550000,124.000000,3015884,3726.61,26134,
2020-01-22,WIPRO,EQ,124.300000,125.975000,122.700000,122.925000,123.550000,6800848,8429.48,51607,
2020-01-23,WIPRO,EQ,123.225000,124.550000,122.675000,124.350000,122.925000,3393088,4202.83,30500,
2020-01-24,WIPRO,EQ,124.325000,124.725000,123.125000,123.800000,124.350000,3421554,4242.70,23039,
2020-01-27,WIPRO,EQ,123.950000,123.950000,122.375000,122.675000,123.800000,3306994,4059.69,19616,
2020-01-28,WIPRO,EQ,122.950000,123.050000,120.900000,122.025000,122.675000,4272362,5199.84,38147,
2020-01-29,WIPRO,EQ,122.300000,123.700000,121.625000,123.375000,122.025000,4009378,4936.01,33122,
2020-01-30,WIPRO,EQ,123.800000,123.800000,120.100000,120.350000,123.375000,4294930,5205.57,29602,
2020-01-31,WIPRO,EQ,119.000000,119.575000,117.500000,118.400000,120.350000,11107276,13152.99,58779,
2020-02-03,WIPRO,EQ,118.850000,120.075000,117.625000,118.700000,118.400000,8463660,10045.75,47901,
2020-02-04,WIPRO,EQ,119.500000,120.625000,118.950000,120.125000,118.700000,6329512,7581.92,36774,
2020-02-05,WIPRO,EQ,120.800000,121.500000,118.650000,121.125000,120.125000,7751206,9324.09,44897,
2020-02-06,WIPRO,EQ,121.375000,122.975000,120.825000,121.825000,121.125000,6112396,7453.29,32387,
2020-02-07,WIPRO,EQ,123.500000,123.500000,121.475000,121.975000,121.825000,5519024,6746.65,31057,
2020-02-10,WIPRO,EQ,122.700000,122.825000,119.725000,120.450000,121.975000,4517992,5444.47,25746,
2020-02-11,WIPRO,EQ,120.275000,121.450000,119.900000,120.625000,120.450000,5460620,6584.27,29387,
2020-02-12,WIPRO,EQ,120.850000,123.575000,120.850000,122.225000,120.625000,6838800,8372.21,30707,
2020-02-13,WIPRO,EQ,122.900000,122.900000,121.250000,121.875000,122.225000,4829910,5886.07,23979,
2020-02-14,WIPRO,EQ,121.900000,122.675000,121.000000,121.450000,121.875000,3619586,4404.67,23737,
2020-02-17,WIPRO,EQ,121.450000,122.500000,120.975000,121.900000,121.450000,2035556,2476.93,12576,
2020-02-18,WIPRO,EQ,121.875000,122.425000,120.625000,122.025000,121.900000,2505274,3043.10,16527,
