date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,YESBANK,EQ,44.015625,44.531250,43.593750,43.734375,44.015625,109111297,47956.95,175825,
2020-01-02,YESBANK,EQ,43.875000,45.468750,43.500000,44.390625,43.734375,130392361,57856.42,217958,
2020-01-03,YESBANK,EQ,44.390625,45.234375,43.921875,44.156250,44.390625,101149431,44988.59,184973,
2020-01-06,YESBANK,EQ,43.828125,43.828125,42.187500,42.328125,44.156250,109738902,46982.68,236834,
2020-01-07,YESBANK,EQ,42.843750,43.500000,41.203125,42.234375,42.328125,118500990,50236.95,219523,
2020-01-08,YESBANK,EQ,43.359375,44.250000,42.468750,43.171875,42.234375,149412573,64425.72,248762,
2020-01-09,YESBANK,EQ,44.062500,45.468750,43.406250,44.343750,43.171875,162160740,71996.88,257559,
2020-01-10,YESBANK,EQ,44.953125,45.328125,41.062500,41.953125,44.343750,323277254,138465.63,479220,
2020-01-13,YESBANK,EQ,40.687500,41.156250,38.484375,39.468750,41.953125,207716294,82173.08,349447,
2020-01-14,YESBANK,EQ,39.140625,39.140625,34.265625,36.140625,39.468750,335973791,122919.64,559224,
2020-01-15,YESBANK,EQ,36.046875,38.531250,34.359375,37.265625,36.140625,427407716,157246.25,625585,
2020-01-16,YESBANK,EQ,37.640625,38.343750,37.265625,37.453125,37.265625,134778259,50785.29,224735,
2020-01-17,YESBANK,EQ,35.250000,37.078125,34.687500,36.796875,37.453125,134011555,48651.12,227752,
2020-01-20,YESBANK,EQ,37.031250,37.687500,36.046875,36.234375,36.796875,95683398,35085.36,168290,
2020-01-21,YESBANK,EQ,36.187500,36.750000,35.718750,35.953125,36.234375,71696998,25916.90,139699,
2020-01-22,YESBANK,EQ,36.281250,36.562500,35.625000,36.046875,35.953125,66560848,23997.36,127519,
2020-01-23,YESBANK,EQ,36.140625,38.812500,35.953125,38.390625,36.046875,190693282,72073.22,305126,
2020-01-24,YESBANK,EQ,38.625000,42.187500,38.531250,40.125000,38.390625,309177707,125711.55,477591,
2020-01-27,YESBANK,EQ,39.656250,40.734375,39.234375,39.750000,40.125000,143191438,57331.68,226392,
2020-01-28,YESBANK,EQ,39.843750,40.593750,38.671875,39.046875,39.750000,113245193,44889.58,182227,
2020-01-29,YESBANK,EQ,39.234375,39.703125,38.437500,38.625000,39.046875,150907364,58815.95,187608,
2020-01-30,YESBANK,EQ,38.250000,38.296875,36.140625,36.609375,38.625000,160593315,58996.73,241098,
2020-01-31,YESBANK,EQ,36.843750,37.687500,36.281250,36.796875,36.609375,125478819,46369.57,177036,
2020-02-03,YESBANK,EQ,35.578125,36.000000,33.468750,33.750000,35.531250,157899053,54150.19,247342,
2020-02-04,YESBANK,EQ,33.890625,34.125000,32.296875,32.765625,33.750000,147446019,48581.05,245916,
2020-02-05,YESBANK,EQ,32.906250,37.218750,31.921875,35.250000,32.765625,299840655,104565.24,426598,
2020-02-06,YESBANK,EQ,35.531250,37.031250,35.437500,36.140625,35.250000,144286178,52382.16,233539,
2020-02-07,YESBANK,EQ,36.375000,37.453125,35.765625,36.281250,36.140625,135640695,49553.70,218909,
2020-02-10,YESBANK,EQ,37.500000,38.203125,34.781250,35.203125,36.281250,151729025,54967.97,236617,
2020-02-11,YESBANK,EQ,35.390625,35.718750,34.406250,34.546875,35.203125,103244425,36121.59,161061,
2020-02-12,YESBANK,EQ,34.453125,34.453125,32.859375,33.000000,34.546875,108130938,35969.60,182954,
2020-02-13,YESBANK,EQ,34.640625,35.625000,33.750000,34.875000,33.000000,179562628,62555.17,301814,
2020-02-14,YESBANK,EQ,35.156250,37.687500,35.156250,36.468750,34.875000,200424893,73687.34,287678,
2020-02-17,YESBANK,EQ,37.031250,37.593750,34.312500,34.828125,36.468750,123814391,43727.53,202087,
2020-02-18,YESBANK,EQ,35.015625,35.156250,31.546875,32.859375,34.828125,244341573,79608.59,345039,
2020-02-19,YESBANK,EQ,31.875000,33.937500,31.500000,33.093750,32.859375,136214540,44649.80,223661,
2020-02-20,YESBANK,EQ,33.093750,34.218750,32.484375,33.234375,33.093750,127399358,42784.90,212172,
2020-02-24,YESBANK,EQ,33.281250,33.656250,32.015625,32.765625,33.234375,112908503,37170.54,180344,
2020-02-25,YESBANK,EQ,33.046875,33.750000,32.578125,32.953125,32.765625,94063567,31071.20,150768,
2020-02-26,YESBANK,EQ,32.718750,34.734375,32.296875,34.265625,32.953125,159178100,53711.19,237216,
2020-02-27,YESBANK,EQ,34.968750,35.578125,33.750000,34.500000,34.265625,175269728,61202.04,239935,
2020-02-28,YESBANK,EQ,32.953125,33.609375,32.156250,32.437500,34.500000,151168001,49503.41,210153,
2020-03-02,YESBANK,EQ,33.000000,33.328125,27.937500,29.578125,32.437500,136267650,42983.32,213681,
2020-03-03,YESBANK,EQ,30.421875,31.218750,28.593750,29.250000,29.578125,175219580,52201.85,243059,
2020-03-04,YESBANK,EQ,29.531250,29.718750,26.906250,27.468750,29.250000,216374700,60396.25,311010,
2020-03-05,YESBANK,EQ,22.050000,28.387500,21.000000,27.600000,21.975000,1046271080,273217.15,1215263,
2020-03-06,YESBANK,EQ,62.156250,62.156250,10.593750,30.281250,69.000000,674622783,186599.66,1657599,
2020-03-09,YESBANK,EQ,25.500000,34.200000,24.300000,31.875000,24.225000,485047877,147246.50,1070599,
2020-03-11,YESBANK,EQ,35.025000,44.400000,35.025000,43.200000,31.875000,275784351,112960.48,680533,
2020-03-12,YESBANK,EQ,43.050000,43.050000,26.175000,37.575000,43.200000,225208347,85074.38,610137,
2020-03-13,YESBANK,EQ,33.825000,41.550000,32.025000,38.325000,37.575000,184442636,70331.77,466852,
2020-03-16,YESBANK,EQ,26.700000,40.400000,26.050000,37.100000,25.550000,166521851,59880.14,550545,
2020-03-17,YESBANK,EQ,40.800000,64.900000,40.800000,58.650000,37.100000,223463025,123761.39,784729,
2020-03-18,YESBANK,EQ,64.500000,87.300000,49.900000,60.450000,58.650000,364152383,249502.79,1477010,
2020-03-19,YESBANK,EQ,61.650000,61.800000,42.800000,53.850000,60.450000,147327988,77121.16,683223,
2020-03-20,YESBANK,EQ,59.200000,67.300000,41.250000,45.850000,53.850000,118192981,59530.99,506135,
2020-03-23,YESBANK,EQ,41.300000,49.500000,39.250000,39.750000,45.850000,93894255,41270.10,338588,
2020-03-24,YESBANK,EQ,43.650000,43.700000,34.550000,35.000000,39.750000,79664287,29255.34,306641,
2020-03-25,YESBANK,EQ,35.300000,35.500000,28.500000,29.600000,35.000000,95160537,29059.51,320674,
2020-03-26,YESBANK,EQ,29.350000,31.000000,25.200000,26.600000,29.600000,119575530,34154.65,426188,
2020-03-27,YESBANK,EQ,29.050000,33.250000,26.000000,26.350000,26.600000,118572207,33545.73,529306,
2020-03-30,YESBANK,EQ,27.650000,27.700000,24.550000,24.900000,26.350000,54983098,13793.10,211710,
2020-03-31,YESBANK,EQ,25.550000,25.550000,22.050000,22.450000,24.900000,75272601,17305.17,278607,
2020-04-01,YESBANK,EQ,22.000000,24.650000,20.250000,23.950000,22.450000,90387201,21037.90,272183,
2020-04-03,YESBANK,EQ,24.500000,24.950000,22.800000,24.100000,23.950000,45326980,10894.11,169289,
2020-04-07,YESBANK,EQ,25.400000,25.400000,23.800000,24.550000,24.100000,35071970,8562.07,171680,
2020-04-08,YESBANK,EQ,24.500000,25.500000,23.300000,24.750000,24.550000,37250348,9222.18,182575,
2020-04-09,YESBANK,EQ,25.000000,25.300000,24.500000,24.900000,24.750000,26334529,6568.31,122722,
2020-04-13,YESBANK,EQ,25.000000,25.000000,23.550000,24.100000,24.900000,26107072,6287.73,135252,
2020-04-15,YESBANK,EQ,24.100000,25.950000,23.850000,24.500000,24.100000,39619400,9844.99,152405,
2020-04-16,YESBANK,EQ,24.300000,24.950000,24.050000,24.600000,24.500000,18765964,4608.05,127321,
2020-04-17,YESBANK,EQ,25.100000,25.500000,24.700000,25.100000,24.600000,26605391,6659.29,137991,
2020-04-20,YESBANK,EQ,25.600000,30.100000,25.100000,29.450000,25.100000,114977373,33002.81,332695,
2020-04-21,YESBANK,EQ,29.400000,30.450000,27.550000,29.650000,29.450000,76224557,22472.28,239510,
2020-04-22,YESBANK,EQ,29.000000,30.300000,28.800000,29.600000,29.650000,35026262,10327.38,156808,
2020-04-23,YESBANK,EQ,29.600000,29.900000,27.850000,28.300000,29.600000,33488476,9685.90,145896,
2020-04-24,YESBANK,EQ,28.050000,28.150000,26.300000,26.600000,28.300000,34135568,9201.13,123302,
2020-04-27,YESBANK,EQ,26.800000,27.700000,25.900000,27.050000,26.600000,32510645,8725.61,126513,
2020-04-28,YESBANK,EQ,27.250000,27.800000,26.850000,27.250000,27.050000,18704468,5099.68,65001,
2020-04-29,YESBANK,EQ,27.000000,29.350000,26.600000,28.050000,27.250000,42492004,11996.47,145468,
2020-04-30,YESBANK,EQ,28.700000,28.950000,27.700000,27.900000,28.050000,32094929,9103.99,106821,
2020-05-04,YESBANK,EQ,27.500000,27.650000,26.600000,27.050000,27.900000,22743110,6153.61,96193,
2020-05-05,YESBANK,EQ,27.400000,27.650000,26.500000,26.600000,27.050000,16870245,4532.14,83154,
2020-05-06,YESBANK,EQ,26.400000,26.750000,25.000000,26.300000,26.600000,22891215,5980.63,84502,
2020-05-07,YESBANK,EQ,25.750000,31.550000,25.550000,28.100000,26.300000,99686585,28887.33,227237,
2020-05-08,YESBANK,EQ,28.100000,28.800000,26.650000,27.050000,28.100000,28714694,7882.03,95719,
2020-05-11,YESBANK,EQ,27.250000,28.050000,26.700000,27.800000,27.050000,29809727,8224.60,83625,
2020-05-12,YESBANK,EQ,27.700000,28.400000,26.850000,27.950000,27.800000,21395834,5939.96,74548,
2020-05-13,YESBANK,EQ,29.000000,29.450000,28.100000,28.650000,27.950000,25829898,7389.97,97833,
2020-05-14,YESBANK,EQ,28.400000,28.800000,27.900000,28.200000,28.650000,13377407,3788.97,45799,
2020-05-15,YESBANK,EQ,28.200000,29.000000,27.300000,28.700000,28.200000,23447394,6681.70,72060,
2020-05-18,YESBANK,EQ,28.650000,28.650000,26.800000,27.550000,28.700000,20466695,5662.98,61339,
2020-05-19,YESBANK,EQ,27.700000,28.000000,27.100000,27.400000,27.550000,16161651,4463.27,51088,
2020-05-20,YESBANK,EQ,27.150000,27.600000,27.100000,27.150000,27.400000,9932936,2705.33,41038,
2020-05-21,YESBANK,EQ,27.200000,27.600000,26.800000,26.900000,27.150000,12109506,3279.71,52210,
2020-05-22,YESBANK,EQ,26.950000,27.000000,26.000000,26.550000,26.900000,14604827,3870.89,51172,
2020-05-26,YESBANK,EQ,26.950000,28.150000,26.350000,27.400000,26.550000,19431968,5301.09,51815,
2020-05-27,YESBANK,EQ,27.450000,27.900000,27.350000,27.600000,27.400000,12273293,3389.70,33879,
2020-05-28,YESBANK,EQ,27.850000,28.800000,26.850000,27.000000,27.600000,27673481,7646.36,72303,
2020-05-29,YESBANK,EQ,26.500000,27.400000,26.500000,26.850000,27.000000,15150164,4090.53,41967,
