date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2022-03-07,ZYDUSLIFE,EQ,343.700000,345.750000,331.550000,342.100000,345.950000,969180,3287.73,23948,
2022-03-08,ZYDUSLIFE,EQ,342.100000,347.000000,335.750000,344.500000,342.100000,978348,3353.08,18860,
2022-03-09,ZYDUSLIFE,EQ,350.000000,363.000000,348.050000,359.350000,344.500000,3946522,14152.28,71517,
2022-03-10,ZYDUSLIFE,EQ,368.000000,368.000000,361.500000,365.750000,359.350000,2097821,7647.44,32686,
2022-03-11,ZYDUSLIFE,EQ,363.100000,374.600000,362.400000,370.650000,365.750000,1365084,5058.46,30209,
2022-03-14,ZYDUSLIFE,EQ,373.000000,374.150000,363.100000,365.350000,370.650000,840970,3080.37,20014,
2022-03-15,ZYDUSLIFE,EQ,368.000000,373.650000,366.550000,369.600000,365.350000,1707534,6316.70,26537,
2022-03-16,ZYDUSLIFE,EQ,372.150000,376.000000,369.550000,375.150000,369.600000,1078307,4021.35,18603,
2022-03-17,ZYDUSLIFE,EQ,378.000000,378.600000,371.400000,373.300000,375.150000,994040,3721.73,18814,
2022-03-21,ZYDUSLIFE,EQ,375.000000,377.900000,365.500000,366.400000,373.300000,1058349,3935.53,19761,
2022-03-22,ZYDUSLIFE,EQ,368.000000,368.000000,358.300000,360.100000,366.400000,1459296,5278.63,18319,
2022-03-23,ZYDUSLIFE,EQ,360.900000,369.000000,360.500000,367.800000,360.100000,1283159,4694.87,22155,
2022-03-24,ZYDUSLIFE,EQ,365.000000,373.350000,364.000000,367.100000,367.800000,1188562,4383.08,20694,
2022-03-25,ZYDUSLIFE,EQ,368.250000,368.700000,355.100000,359.150000,367.100000,1215354,4385.24,21733,
2022-03-28,ZYDUSLIFE,EQ,361.000000,366.850000,350.100000,353.050000,359.150000,2335329,8332.97,33834,
2022-03-29,ZYDUSLIFE,EQ,355.000000,357.900000,353.500000,356.000000,353.050000,1395003,4963.84,18342,
2022-03-30,ZYDUSLIFE,EQ,357.000000,358.500000,353.750000,355.850000,356.000000,1064497,3785.26,23571,
2022-03-31,ZYDUSLIFE,EQ,355.900000,357.500000,347.000000,348.500000,355.850000,1235444,4333.06,23299,
2022-04-01,ZYDUSLIFE,EQ,350.500000,355.150000,346.050000,354.400000,348.500000,1081594,3803.89,18256,
2022-04-04,ZYDUSLIFE,EQ,356.000000,365.900000,355.100000,363.400000,354.400000,1143878,4140.67,20317,
2022-04-05,ZYDUSLIFE,EQ,365.000000,369.800000,363.500000,365.450000,363.400000,925396,3395.55,17783,
2022-04-06,ZYDUSLIFE,EQ,365.000000,372.900000,363.600000,369.500000,365.450000,1595289,5898.14,31934,
2022-04-07,ZYDUSLIFE,EQ,369.500000,376.700000,367.600000,369.150000,369.500000,948403,3530.24,20804,
2022-04-08,ZYDUSLIFE,EQ,369.900000,372.550000,347.000000,369.250000,369.150000,1179004,4329.11,18628,
2022-04-11,ZYDUSLIFE,EQ,370.100000,374.700000,370.000000,371.950000,369.250000,618319,2300.63,15073,
2022-04-12,ZYDUSLIFE,EQ,371.950000,372.000000,361.900000,363.350000,371.950000,689297,2515.35,18552,
