date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-06,ABB,EQ,1321.95,1340.00,1275.00,1287.00,1322.25,31293,404.73,2997,
2020-01-07,ABB,EQ,1298.00,1315.00,1289.00,1306.75,1287.00,27246,354.99,2127,
2020-01-08,ABB,EQ,1300.00,1318.00,1285.05,1310.70,1306.75,16798,218.49,2054,
2020-01-09,ABB,EQ,1319.00,1339.00,1285.00,1322.10,1310.70,49113,645.08,2834,
2020-01-10,ABB,EQ,1337.40,1405.80,1331.50,1372.40,1322.10,147240,2029.92,10878,
2020-01-13,ABB,EQ,1379.40,1411.00,1370.10,1376.85,1372.40,37463,519.17,3647,
2020-01-14,ABB,EQ,1372.00,1411.00,1362.00,1369.20,1376.85,96552,1339.77,5496,
2020-01-15,ABB,EQ,1373.80,1373.80,1315.00,1327.05,1369.20,89843,1197.50,12396,
2020-01-16,ABB,EQ,1332.00,1345.00,1295.10,1306.35,1327.05,68577,903.20,9011,
2020-01-17,ABB,EQ,1307.15,1314.75,1292.05,1302.75,1306.35,35098,457.76,4454,
2020-01-20,ABB,EQ,1303.00,1316.00,1280.00,1290.60,1302.75,38416,499.53,3317,
2020-01-21,ABB,EQ,1290.00,1319.45,1286.00,1310.15,1290.60,37591,492.43,2047,
2020-01-22,ABB,EQ,1315.00,1315.35,1295.00,1303.30,1310.15,14625,190.83,1351,
2020-01-23,ABB,EQ,1309.00,1320.00,1302.00,1316.40,1303.30,13495,177.09,1082,
2020-01-24,ABB,EQ,1318.00,1364.85,1301.45,1329.05,1316.40,198401,2645.31,5750,
2020-01-27,ABB,EQ,1312.00,1360.00,1312.00,1339.60,1329.05,45579,612.44,3895,
2020-01-28,ABB,EQ,1340.85,1352.00,1324.00,1329.75,1339.60,18818,251.86,2073,
2020-01-29,ABB,EQ,1331.00,1355.15,1331.00,1342.25,1329.75,17111,229.95,1338,
2020-01-30,ABB,EQ,1323.00,1346.85,1323.00,1331.75,1342.25,22645,301.39,2198,
2020-01-31,ABB,EQ,1349.00,1349.00,1295.00,1310.70,1331.75,16129,213.42,2299,
2020-02-03,ABB,EQ,1282.00,1315.00,1282.00,1292.30,1281.25,20304,263.03,3495,
2020-02-04,ABB,EQ,1301.00,1324.00,1293.80,1311.30,1292.30,21892,286.51,1867,
2020-02-05,ABB,EQ,1318.00,1348.00,1313.95,1338.50,1311.30,38870,519.08,3713,
2020-02-06,ABB,EQ,1339.70,1360.95,1324.30,1339.45,1338.50,25507,342.09,2070,
2020-02-07,ABB,EQ,1333.00,1340.00,1316.00,1328.95,1339.45,35789,474.64,1913,
2020-02-10,ABB,EQ,1332.00,1379.00,1317.00,1341.95,1328.95,186488,2537.60,8704,
2020-02-11,ABB,EQ,1349.00,1365.00,1322.00,1334.20,1341.95,45537,612.04,3611,
2020-02-12,ABB,EQ,1339.80,1344.00,1255.20,1274.45,1334.20,290668,3758.11,16576,
2020-02-13,ABB,EQ,1273.00,1278.15,1226.15,1268.65,1274.45,208984,2601.43,12735,
2020-02-14,ABB,EQ,1268.85,1280.00,1229.35,1233.10,1268.65,56198,699.31,4186,
2020-02-17,ABB,EQ,1254.00,1254.00,1213.00,1223.50,1233.10,85129,1041.51,5258,
2020-02-18,ABB,EQ,1220.50,1227.00,1200.70,1205.10,1223.50,41542,501.90,3432,
2020-02-19,ABB,EQ,1210.00,1229.00,1202.00,1209.75,1205.10,40075,488.15,2924,
2020-02-20,ABB,EQ,1213.90,1246.90,1213.35,1230.90,1209.75,48608,598.88,4641,
2020-02-24,ABB,EQ,1225.00,1225.00,1190.00,1191.95,1230.90,44916,539.64,4395,
2020-02-25,ABB,EQ,1192.00,1217.90,1192.00,1200.20,1191.95,24401,293.71,1956,
2020-02-26,ABB,EQ,1195.00,1212.35,1190.00,1201.40,1200.20,25367,304.99,2002,
2020-02-27,ABB,EQ,1198.00,1203.00,1189.00,1198.60,1201.40,40112,480.21,2688,
2020-02-28,ABB,EQ,1188.00,1195.00,1175.00,1185.00,1198.60,39171,464.82,2436,
2020-03-02,ABB,EQ,1185.00,1198.90,1182.05,1190.20,1185.00,99510,1185.16,2500,
2020-03-03,ABB,EQ,1199.00,1204.85,1154.00,1161.00,1190.20,45482,530.34,3437,
2020-03-04,ABB,EQ,1168.95,1178.65,1150.00,1157.15,1161.00,41444,479.77,4791,
2020-03-05,ABB,EQ,1167.80,1185.00,1160.00,1180.55,1157.15,27103,318.84,2360,
2020-03-06,ABB,EQ,1168.00,1221.00,1155.00,1191.90,1180.55,36939,432.08,2225,
2020-03-09,ABB,EQ,1180.00,1192.75,1096.70,1129.85,1191.90,81699,936.15,9472,
2020-03-11,ABB,EQ,1130.00,1143.00,1096.50,1109.45,1129.85,55300,613.86,5344,
2020-03-12,ABB,EQ,1087.95,1087.95,1000.00,1038.60,1109.45,57759,591.99,5968,
2020-03-13,ABB,EQ,1008.70,1029.95,830.90,1006.80,1038.60,113247,1127.43,9113,
2020-03-16,ABB,EQ,1000.00,1018.45,947.00,963.85,1006.80,492097,4721.14,7345,
2020-03-17,ABB,EQ,980.00,980.00,920.00,948.80,963.85,48674,460.86,8810,
2020-03-18,ABB,EQ,974.00,974.00,899.30,905.10,948.80,32597,298.57,3746,
2020-03-19,ABB,EQ,880.00,925.00,835.00,895.90,905.10,280603,2374.34,5218,
2020-03-20,ABB,EQ,898.50,969.95,851.05,949.55,895.90,42124,385.96,4482,
2020-03-23,ABB,EQ,825.00,999.00,805.00,863.05,949.55,58987,493.16,4831,
2020-03-24,ABB,EQ,900.00,900.00,821.20,830.15,863.05,34599,290.95,2929,
2020-03-25,ABB,EQ,801.00,850.00,801.00,834.55,830.15,58627,486.99,6063,
2020-03-26,ABB,EQ,835.70,870.20,829.55,861.30,834.55,29477,252.90,2814,
2020-03-27,ABB,EQ,915.15,915.15,835.00,852.50,861.30,34666,298.32,3979,
2020-03-30,ABB,EQ,839.55,889.00,826.00,881.40,852.50,30325,257.25,4139,
2020-03-31,ABB,EQ,910.00,949.00,866.75,935.40,881.40,141102,1254.13,3370,
2020-04-01,ABB,EQ,935.40,949.00,904.90,929.65,935.40,14021,129.15,1785,
2020-04-03,ABB,EQ,914.30,949.00,893.00,934.15,929.65,40418,372.34,3299,
2020-04-07,ABB,EQ,969.90,1050.00,911.00,931.35,934.15,162985,1583.07,8967,
2020-04-08,ABB,EQ,935.00,965.00,910.00,930.70,931.35,87757,823.59,4699,
2020-04-09,ABB,EQ,943.00,948.00,916.35,926.85,930.70,75668,707.07,5078,
2020-04-13,ABB,EQ,930.00,934.00,897.50,907.20,926.85,63007,575.90,3007,
2020-04-15,ABB,EQ,915.00,934.40,901.00,915.85,907.20,32470,299.03,2806,
2020-04-16,ABB,EQ,914.80,928.05,898.95,900.15,915.85,140790,1272.93,3294,
2020-04-17,ABB,EQ,918.40,933.00,913.80,924.90,900.15,40359,372.57,2785,
2020-04-20,ABB,EQ,936.30,972.75,900.35,906.75,924.90,165835,1556.84,9005,
2020-04-21,ABB,EQ,900.00,929.00,887.55,894.50,906.75,99664,902.69,9076,
2020-04-22,ABB,EQ,900.85,921.80,887.05,908.05,894.50,158811,1431.27,4137,
2020-04-23,ABB,EQ,905.00,921.95,896.20,901.80,908.05,86093,782.80,5236,
2020-04-24,ABB,EQ,901.80,906.55,890.00,893.45,901.80,62329,558.60,2677,
2020-04-27,ABB,EQ,900.00,907.00,880.05,883.35,893.45,47484,423.64,4101,
2020-04-28,ABB,EQ,892.50,906.45,868.00,873.40,883.35,138324,1218.22,6352,
2020-04-29,ABB,EQ,881.00,891.75,875.00,880.15,873.40,60897,537.39,5175,
2020-04-30,ABB,EQ,900.00,913.15,890.10,900.55,880.15,145626,1316.55,5060,
2020-05-04,ABB,EQ,895.00,895.00,870.00,879.50,900.55,47419,416.85,2953,
2020-05-05,ABB,EQ,893.80,896.05,870.05,873.20,879.50,24433,215.45,1688,
2020-05-06,ABB,EQ,871.00,887.95,866.05,869.55,873.20,45865,400.72,2951,
2020-05-07,ABB,EQ,864.50,872.00,856.00,858.50,869.55,30256,261.52,2002,
2020-05-08,ABB,EQ,863.95,868.45,841.00,846.60,858.50,35936,307.01,2882,
2020-05-11,ABB,EQ,849.60,872.00,846.55,866.90,846.60,83321,719.70,5865,
2020-05-12,ABB,EQ,860.00,860.35,850.00,852.00,866.90,18231,155.50,1590,
2020-05-13,ABB,EQ,868.75,876.80,852.00,855.65,852.00,62961,541.77,2556,
2020-05-14,ABB,EQ,840.05,864.00,833.00,836.10,855.65,90247,760.89,6255,
2020-05-15,ABB,EQ,840.00,846.00,821.00,822.70,836.10,62463,519.05,4015,
2020-05-18,ABB,EQ,822.70,828.30,797.05,799.80,822.70,90489,727.27,6092,
2020-05-19,ABB,EQ,818.95,818.95,780.00,784.50,799.80,132009,1047.23,6737,
2020-05-20,ABB,EQ,788.90,788.90,773.00,774.35,784.50,64779,502.78,4371,
2020-05-21,ABB,EQ,774.00,800.00,745.65,749.75,774.35,191499,1457.34,12375,
2020-05-22,ABB,EQ,750.00,758.85,729.00,730.10,749.75,126840,933.81,13500,
2020-05-26,ABB,EQ,737.30,749.00,723.30,725.95,730.10,524000,3850.81,8899,
2020-05-27,ABB,EQ,735.00,741.00,722.00,736.65,725.95,109664,801.59,7073,
2020-05-28,ABB,EQ,741.95,772.00,737.25,739.85,736.65,268525,2009.10,13487,
2020-05-29,ABB,EQ,741.00,753.90,739.00,744.25,739.85,214976,1604.23,13936,
2020-06-01,ABB,EQ,757.00,834.00,754.40,821.40,744.25,541641,4309.83,18694,
2020-06-02,ABB,EQ,828.40,844.50,817.30,824.90,821.40,321593,2680.37,16354,
2020-06-03,ABB,EQ,830.00,843.90,825.00,835.85,824.90,245789,2049.57,6210,
2020-06-04,ABB,EQ,836.00,842.50,829.00,835.00,835.85,317234,2645.52,5109,
2020-06-05,ABB,EQ,840.00,889.90,838.05,877.50,835.00,357760,3125.36,10674,
2020-06-08,ABB,EQ,900.15,913.95,870.00,878.45,877.50,256663,2260.18,10376,
2020-06-09,ABB,EQ,886.00,886.80,833.00,852.80,878.45,232007,1982.20,9613,
2020-06-10,ABB,EQ,838.00,847.00,825.00,830.35,852.80,101930,847.86,7746,
2020-06-11,ABB,EQ,834.00,839.95,808.00,810.05,830.35,123269,1010.54,7359,
2020-06-12,ABB,EQ,786.00,815.00,780.00,807.40,810.05,116248,931.41,8196,
2020-06-15,ABB,EQ,813.40,822.55,801.95,806.10,807.40,66773,540.94,3934,
2020-06-16,ABB,EQ,819.95,824.00,789.65,794.95,806.10,107848,865.11,5555,
2020-06-17,ABB,EQ,798.40,801.00,781.00,784.65,794.95,139461,1100.75,6646,
2020-06-18,ABB,EQ,787.85,800.00,784.55,787.50,784.65,107018,847.86,7063,
2020-06-19,ABB,EQ,789.50,830.00,788.00,813.00,787.50,1355781,10790.18,13410,
2020-06-22,ABB,EQ,825.00,839.80,822.05,832.30,813.00,175107,1456.27,7729,
2020-06-23,ABB,EQ,838.00,859.90,832.15,854.85,832.30,226768,1917.12,7563,
2020-06-24,ABB,EQ,861.00,888.50,855.25,867.85,854.85,569892,4937.71,15826,
2020-06-25,ABB,EQ,871.00,896.00,871.00,880.50,867.85,455476,4014.51,15436,
2020-06-26,ABB,EQ,895.25,927.00,891.25,914.35,880.50,603502,5519.96,23952,
2020-06-29,ABB,EQ,920.00,929.00,885.60,922.35,914.35,224329,2038.76,10471,
2020-06-30,ABB,EQ,927.00,948.75,903.10,941.15,922.35,259932,2419.57,10434,
2020-07-01,ABB,EQ,939.05,964.00,919.05,954.30,941.15,174485,1644.39,7968,
2020-07-02,ABB,EQ,966.00,979.00,955.10,963.40,954.30,161482,1558.07,7188,
2020-07-03,ABB,EQ,965.00,988.00,940.00,979.50,963.40,320566,3096.05,12155,
2020-07-06,ABB,EQ,982.00,1017.00,976.20,983.40,979.50,398732,3968.01,21554,
2020-07-07,ABB,EQ,987.50,988.95,957.25,961.40,983.40,298468,2879.57,10437,
2020-07-08,ABB,EQ,968.00,971.50,942.00,944.65,961.40,194584,1852.54,9548,
2020-07-09,ABB,EQ,947.00,955.00,926.05,928.50,944.65,124766,1167.53,6337,
2020-07-10,ABB,EQ,930.00,936.75,914.90,916.95,928.50,109164,1007.16,7829,
2020-07-13,ABB,EQ,922.00,925.35,910.00,914.90,916.95,76574,701.20,3977,
2020-07-14,ABB,EQ,913.00,915.00,901.05,908.15,914.90,53845,489.76,3409,
2020-07-15,ABB,EQ,916.00,933.00,900.90,905.80,908.15,137247,1256.59,5927,
2020-07-16,ABB,EQ,909.90,919.00,894.00,905.85,905.80,144234,1308.13,7217,
2020-07-17,ABB,EQ,914.00,923.25,907.00,912.15,905.85,101310,926.15,5658,
2020-07-20,ABB,EQ,913.50,932.70,894.00,898.95,912.15,286602,2603.45,17148,
2020-07-21,ABB,EQ,903.00,913.95,901.15,906.85,898.95,126509,1147.65,5811,
2020-07-22,ABB,EQ,910.00,930.00,902.00,925.65,906.85,145317,1335.38,6929,
2020-07-23,ABB,EQ,930.00,945.00,925.00,934.80,925.65,161417,1513.46,6655,
2020-07-24,ABB,EQ,910.00,919.00,895.00,912.60,934.80,242177,2201.03,9051,
2020-07-27,ABB,EQ,912.10,912.10,890.00,893.55,912.60,106000,949.27,7021,
2020-07-28,ABB,EQ,898.50,899.40,891.00,894.50,893.55,52148,466.68,3802,
2020-07-29,ABB,EQ,897.00,902.00,875.00,880.95,894.50,118544,1051.77,6568,
2020-07-30,ABB,EQ,873.80,892.95,862.60,865.15,880.95,108002,943.12,5732,
2020-07-31,ABB,EQ,870.50,897.40,865.50,894.95,865.15,151890,1346.26,5640,
2020-08-03,ABB,EQ,900.10,919.40,869.45,881.60,894.95,119427,1077.24,5590,
2020-08-04,ABB,EQ,882.60,909.70,881.60,905.30,881.60,294577,2632.75,4821,
2020-08-05,ABB,EQ,910.00,922.00,896.00,900.10,905.30,92645,843.95,5023,
2020-08-06,ABB,EQ,904.00,904.00,886.15,889.40,900.10,62322,555.38,3279,
2020-08-07,ABB,EQ,889.40,904.35,879.40,881.80,889.40,95492,844.55,4433,
2020-08-10,ABB,EQ,886.65,899.00,874.60,892.00,881.80,199349,1767.55,8286,
2020-08-11,ABB,EQ,896.85,917.60,892.00,903.40,892.00,165785,1504.36,8744,
2020-08-12,ABB,EQ,903.45,924.80,903.45,908.15,903.40,192428,1759.54,8599,
2020-08-13,ABB,EQ,909.50,939.25,908.55,932.40,908.15,220454,2036.70,7816,
2020-08-14,ABB,EQ,945.00,959.00,933.55,949.40,932.40,370866,3521.02,15626,
2020-08-17,ABB,EQ,954.00,960.00,923.00,929.80,949.40,129446,1209.87,6609,
2020-08-18,ABB,EQ,935.00,939.50,930.05,933.10,929.80,45097,421.63,2435,
2020-08-19,ABB,EQ,933.90,965.55,933.90,961.85,933.10,189052,1807.37,11661,
2020-08-20,ABB,EQ,959.00,974.20,949.50,968.80,961.85,120158,1156.44,6408,
2020-08-21,ABB,EQ,977.00,998.00,975.00,982.85,968.80,306358,3031.20,10726,
2020-08-24,ABB,EQ,986.00,996.50,966.25,971.25,982.85,92187,907.43,5441,
2020-08-25,ABB,EQ,972.00,988.10,963.45,969.25,971.25,202487,1968.05,5662,
2020-08-26,ABB,EQ,973.00,979.00,950.00,959.25,969.25,450210,4313.64,5412,
2020-08-27,ABB,EQ,964.00,985.00,961.90,970.90,959.25,515635,4993.30,6550,
2020-08-28,ABB,EQ,972.00,994.70,972.00,985.60,970.90,248761,2454.59,8938,
2020-08-31,ABB,EQ,993.00,1009.00,941.45,950.75,985.60,297129,2914.12,14142,
2020-09-01,ABB,EQ,952.20,961.15,936.30,945.60,950.75,82705,781.95,4709,
2020-09-02,ABB,EQ,952.35,985.00,951.00,974.75,945.60,106159,1035.35,10345,
2020-09-03,ABB,EQ,979.90,990.80,971.75,981.35,974.75,56835,557.17,2881,
2020-09-04,ABB,EQ,960.25,968.90,945.05,947.60,981.35,142693,1366.98,7115,
2020-09-07,ABB,EQ,955.85,957.35,920.60,925.05,947.60,712824,6600.48,7972,
2020-09-08,ABB,EQ,928.70,943.70,900.00,901.15,925.05,183592,1684.56,9502,
2020-09-09,ABB,EQ,899.00,914.50,894.70,901.80,901.15,366227,3300.97,5083,
2020-09-10,ABB,EQ,907.00,912.00,895.95,899.25,901.80,230526,2076.88,5113,
2020-09-11,ABB,EQ,903.00,903.00,893.55,898.40,899.25,172447,1550.53,3758,
2020-09-14,ABB,EQ,902.70,913.00,902.00,907.55,898.40,357451,3248.61,7969,
2020-09-15,ABB,EQ,913.70,923.00,912.00,915.00,907.55,142131,1304.44,7812,
2020-09-16,ABB,EQ,919.20,920.95,906.45,908.55,915.00,70043,639.68,7048,
2020-09-17,ABB,EQ,907.65,922.50,902.00,916.30,908.55,155361,1415.18,8688,
2020-09-18,ABB,EQ,922.90,924.80,898.45,900.80,916.30,79802,724.22,6441,
2020-09-21,ABB,EQ,904.00,905.90,896.30,898.75,900.80,98225,883.88,4005,
2020-09-22,ABB,EQ,892.00,900.25,866.00,892.95,898.75,69644,619.34,4207,
2020-09-23,ABB,EQ,897.30,900.05,882.05,884.30,892.95,76188,677.99,5209,
2020-09-24,ABB,EQ,880.00,884.90,855.25,858.60,884.30,107682,932.51,10307,
2020-09-25,ABB,EQ,864.95,875.95,846.60,852.30,858.60,174158,1496.22,8261,
2020-09-28,ABB,EQ,855.00,872.90,849.90,861.25,852.30,79765,688.41,6721,
2020-09-29,ABB,EQ,867.90,874.85,853.00,854.95,861.25,532383,4563.23,8517,
2020-09-30,ABB,EQ,861.30,864.85,855.05,859.50,854.95,340893,2931.90,4650,
2020-10-01,ABB,EQ,866.05,873.00,859.90,861.00,859.50,226679,1964.01,8731,
2020-10-05,ABB,EQ,865.00,878.00,865.00,870.75,861.00,59775,520.70,5257,
2020-10-06,ABB,EQ,872.00,879.90,870.15,872.10,870.75,82327,720.37,2494,
2020-10-07,ABB,EQ,875.70,886.75,865.00,876.75,872.10,85730,751.88,3939,
2020-10-08,ABB,EQ,878.95,887.00,860.00,864.95,876.75,79361,693.42,7700,
2020-10-09,ABB,EQ,864.00,880.90,863.90,870.70,864.95,642606,5596.18,6822,
2020-10-12,ABB,EQ,874.90,885.00,864.45,866.45,870.70,176524,1533.26,4643,
2020-10-13,ABB,EQ,867.00,872.40,857.00,861.55,866.45,188240,1627.89,4854,
2020-10-14,ABB,EQ,859.95,867.70,848.00,859.20,861.55,82812,710.74,4587,
2020-10-15,ABB,EQ,860.50,868.05,853.00,858.55,859.20,163287,1403.96,3536,
2020-10-16,ABB,EQ,855.10,867.00,850.70,863.80,858.55,32896,282.16,2671,
2020-10-19,ABB,EQ,866.00,900.40,857.05,896.45,863.80,130070,1153.40,8125,
2020-10-20,ABB,EQ,895.00,895.90,882.00,884.85,896.45,33587,299.13,3143,
2020-10-21,ABB,EQ,882.00,904.50,882.00,901.65,884.85,150828,1356.50,7609,
2020-10-22,ABB,EQ,901.65,923.30,898.00,917.20,901.65,113581,1038.12,8496,
2020-10-23,ABB,EQ,919.90,924.45,905.20,918.00,917.20,45456,416.59,3565,
