date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2023-08-24,ADANIENSOL,EQ,907.95,934.00,892.05,895.15,890.40,1134578,10321.84,37263,
2023-08-25,ADANIENSOL,EQ,895.15,898.85,865.00,874.55,895.15,983333,8648.71,35611,
2023-08-28,ADANIENSOL,EQ,895.00,899.00,860.00,864.95,874.55,995290,8696.68,32281,
2023-08-29,ADANIENSOL,EQ,869.10,875.10,852.60,857.15,864.95,1218219,10514.56,32322,
2023-08-30,ADANIENSOL,EQ,861.85,864.85,840.00,841.70,857.15,857053,7283.72,26966,
2023-08-31,ADANIENSOL,EQ,820.00,830.75,800.10,811.95,841.70,1636383,13390.80,48876,
2023-09-01,ADANIENSOL,EQ,803.85,835.85,791.05,824.90,811.95,1204025,9837.53,38962,
2023-09-04,ADANIENSOL,EQ,830.00,834.90,815.00,817.60,824.90,825805,6784.73,26358,
2023-09-05,ADANIENSOL,EQ,821.65,825.85,811.50,813.45,817.60,684436,5593.85,25455,
2023-09-06,ADANIENSOL,EQ,815.05,859.45,809.00,855.95,813.45,8646350,72273.86,113875,
2023-09-07,ADANIENSOL,EQ,858.90,858.90,833.10,839.40,855.95,6099751,51641.62,78843,
2023-09-08,ADANIENSOL,EQ,843.80,846.00,831.00,833.00,839.40,937304,7865.23,25814,
2023-09-11,ADANIENSOL,EQ,843.40,877.00,838.00,874.90,833.00,6691473,57315.89,98345,
2023-09-12,ADANIENSOL,EQ,880.00,888.75,834.20,852.30,874.90,5946118,51178.30,87912,
2023-09-13,ADANIENSOL,EQ,852.30,854.90,832.00,836.90,852.30,703403,5913.32,24446,
2023-09-14,ADANIENSOL,EQ,840.90,855.10,835.00,851.75,836.90,4528205,38288.67,60858,
2023-09-15,ADANIENSOL,EQ,853.20,859.90,839.05,846.10,851.75,7152425,60626.36,80190,
2023-09-18,ADANIENSOL,EQ,873.85,873.85,846.20,855.10,846.10,6408916,54856.71,78911,
2023-09-20,ADANIENSOL,EQ,859.00,860.00,843.95,855.20,855.10,4608210,39275.38,60967,
2023-09-21,ADANIENSOL,EQ,853.50,857.00,844.65,847.35,855.20,771656,6570.02,18783,
2023-09-22,ADANIENSOL,EQ,855.00,858.00,835.00,839.10,847.35,543417,4590.04,15581,
2023-09-25,ADANIENSOL,EQ,838.00,844.00,827.60,830.40,839.10,404295,3374.26,16695,
2023-09-26,ADANIENSOL,EQ,825.00,837.25,811.65,817.85,830.40,584558,4821.13,24000,
2023-09-27,ADANIENSOL,EQ,822.60,822.75,812.55,816.20,817.85,443309,3624.86,15224,
2023-09-28,ADANIENSOL,EQ,817.00,839.65,816.40,830.50,816.20,861650,7141.30,29394,
2023-09-29,ADANIENSOL,EQ,825.05,825.90,807.20,810.25,830.50,1106739,9006.50,36014,
2023-10-03,ADANIENSOL,EQ,815.90,816.80,806.70,807.75,810.25,506021,4099.13,21880,
2023-10-04,ADANIENSOL,EQ,807.70,826.95,801.05,808.10,807.75,711980,5798.26,23436,
2023-10-05,ADANIENSOL,EQ,812.50,815.50,805.30,807.70,808.10,252701,2047.18,12203,
2023-10-06,ADANIENSOL,EQ,810.35,815.90,804.50,806.00,807.70,265517,2147.77,10586,
2023-10-09,ADANIENSOL,EQ,806.00,806.00,772.40,778.90,806.00,559255,4389.16,25509,
2023-10-10,ADANIENSOL,EQ,778.00,790.30,777.15,786.00,778.90,360806,2833.40,13335,
2023-10-11,ADANIENSOL,EQ,792.00,807.00,791.20,798.20,786.00,655215,5232.65,17275,
2023-10-12,ADANIENSOL,EQ,801.10,806.95,792.00,793.70,798.20,230980,1840.96,11180,
2023-10-13,ADANIENSOL,EQ,792.85,793.70,783.00,785.20,793.70,269417,2120.24,16917,
2023-10-16,ADANIENSOL,EQ,786.00,786.65,773.00,774.75,785.20,312993,2432.21,16769,
2023-10-17,ADANIENSOL,EQ,778.00,787.00,771.00,774.90,774.75,351835,2743.21,15793,
2023-10-18,ADANIENSOL,EQ,775.00,779.45,762.15,764.90,774.90,346049,2662.34,14519,
2023-10-19,ADANIENSOL,EQ,764.90,765.90,755.55,759.40,764.90,356701,2708.98,16400,
2023-10-20,ADANIENSOL,EQ,760.95,776.95,759.40,764.35,759.40,516923,3958.83,21690,
2023-10-23,ADANIENSOL,EQ,768.70,768.70,734.05,735.80,764.35,485683,3621.19,24240,
2023-10-25,ADANIENSOL,EQ,740.00,750.95,712.65,718.90,735.80,455111,3330.48,20712,
2023-10-26,ADANIENSOL,EQ,719.95,748.00,686.00,739.10,718.90,1134296,8113.70,48359,
2023-10-27,ADANIENSOL,EQ,748.00,772.90,742.05,764.50,739.10,741463,5619.14,20169,
2023-10-30,ADANIENSOL,EQ,764.50,773.35,751.35,759.25,764.50,414510,3164.32,18303,
2023-10-31,ADANIENSOL,EQ,768.95,772.00,758.05,769.80,759.25,327996,2513.58,11700,
2023-11-01,ADANIENSOL,EQ,769.80,771.85,742.00,749.95,769.80,405088,3062.20,19475,
2023-11-02,ADANIENSOL,EQ,755.00,770.00,749.55,752.25,749.95,247056,1869.08,11252,
2023-11-03,ADANIENSOL,EQ,756.00,772.90,756.00,765.50,752.25,351531,2693.20,13072,
2023-11-06,ADANIENSOL,EQ,777.05,779.95,767.75,771.85,765.50,299026,2309.72,10250,
2023-11-07,ADANIENSOL,EQ,784.40,785.00,757.30,762.05,771.85,515017,3966.28,19130,
2023-11-08,ADANIENSOL,EQ,765.00,768.95,755.50,757.95,762.05,338861,2573.85,13153,
2023-11-09,ADANIENSOL,EQ,763.95,765.00,748.00,750.20,757.95,226089,1706.55,9983,
2023-11-10,ADANIENSOL,EQ,748.00,763.00,744.10,760.45,750.20,278461,2107.71,9527,
2023-11-13,ADANIENSOL,EQ,768.40,768.40,757.00,759.00,768.40,179475,1362.90,9910,
2023-11-15,ADANIENSOL,EQ,767.00,768.25,751.50,754.35,759.00,273699,2073.72,13944,
2023-11-16,ADANIENSOL,EQ,754.00,757.35,737.85,747.20,754.35,388858,2918.36,16436,
2023-11-17,ADANIENSOL,EQ,746.75,747.45,739.10,741.20,747.20,318597,2365.59,15079,
2023-11-20,ADANIENSOL,EQ,741.05,741.10,720.05,727.50,741.20,406832,2965.21,23041,
2023-11-21,ADANIENSOL,EQ,737.00,744.95,728.80,731.80,727.50,383315,2825.11,18100,
2023-11-22,ADANIENSOL,EQ,731.80,734.55,722.20,726.95,731.80,151126,1099.98,10799,
2023-11-23,ADANIENSOL,EQ,729.00,731.95,720.00,723.05,726.95,180553,1309.09,10919,
2023-11-24,ADANIENSOL,EQ,723.00,740.00,720.15,729.10,723.05,479763,3494.75,22518,
2023-11-28,ADANIENSOL,EQ,748.00,874.90,746.00,865.10,729.10,9792184,81884.75,219920,
2023-11-29,ADANIENSOL,EQ,899.00,954.90,860.00,875.70,865.10,13627653,124503.87,253056,
2023-11-30,ADANIENSOL,EQ,873.95,883.00,846.10,872.65,875.70,3418249,29434.12,77200,
2023-12-01,ADANIENSOL,EQ,872.65,887.65,848.00,854.70,872.65,2088092,18202.00,52290,
2023-12-04,ADANIENSOL,EQ,969.00,969.00,896.15,903.70,854.70,4277939,39143.95,111790,
2023-12-05,ADANIENSOL,EQ,903.00,1084.40,882.50,1084.40,903.70,24514379,247991.60,471800,
2023-12-06,ADANIENSOL,EQ,1137.00,1246.00,1102.15,1164.30,1084.40,29839084,356717.75,766790,
2023-12-07,ADANIENSOL,EQ,1164.30,1240.00,1154.95,1198.70,1164.30,13902767,167327.87,371233,
2023-12-08,ADANIENSOL,EQ,1208.70,1235.00,1070.55,1131.50,1198.70,9599418,109861.89,265282,
2023-12-11,ADANIENSOL,EQ,1137.95,1158.00,1090.50,1129.95,1131.50,3107570,34907.60,95721,
2023-12-12,ADANIENSOL,EQ,1132.00,1135.65,1085.00,1089.15,1129.95,3107531,34276.75,79486,
2023-12-13,ADANIENSOL,EQ,1093.95,1095.90,1008.10,1030.90,1089.15,2756868,28584.94,89433,
2023-12-14,ADANIENSOL,EQ,1041.00,1094.95,1035.85,1074.75,1030.90,3933857,42050.76,77132,
2023-12-15,ADANIENSOL,EQ,1089.85,1091.90,1036.00,1047.25,1074.75,3821111,40940.02,66668,
2023-12-18,ADANIENSOL,EQ,1060.00,1062.00,1031.75,1043.05,1047.25,3042841,32040.01,44466,
2023-12-19,ADANIENSOL,EQ,1051.00,1088.70,1031.15,1076.20,1043.05,3356750,35859.63,63626,
2023-12-20,ADANIENSOL,EQ,1078.20,1128.00,993.80,998.90,1076.20,4060611,42946.67,97893,
2023-12-21,ADANIENSOL,EQ,984.95,1038.35,981.00,1026.55,998.90,1449502,14729.51,44386,
2023-12-22,ADANIENSOL,EQ,1040.00,1044.80,1026.00,1027.90,1026.55,2494643,25783.45,34585,
2023-12-26,ADANIENSOL,EQ,1035.50,1047.85,1011.90,1041.60,1027.90,2391693,24896.99,33605,
2023-12-27,ADANIENSOL,EQ,1070.00,1083.00,1047.20,1058.70,1041.60,2801997,29608.52,40220,
2023-12-28,ADANIENSOL,EQ,1063.00,1073.35,1011.55,1022.55,1058.70,2617618,27359.18,48389,
2023-12-29,ADANIENSOL,EQ,1037.00,1058.00,1018.20,1045.75,1022.55,2752398,28781.83,34774,
2024-01-01,ADANIENSOL,EQ,1040.00,1073.00,1036.05,1055.05,1045.75,676574,7141.17,22207,
2024-01-02,ADANIENSOL,EQ,1060.00,1072.00,1034.00,1062.45,1055.05,2716805,28658.18,37281,
2024-01-03,ADANIENSOL,EQ,1150.00,1250.00,1072.00,1183.20,1062.45,13493682,159643.35,318761,
2024-01-04,ADANIENSOL,EQ,1210.00,1219.70,1150.00,1179.80,1183.20,2693790,32047.50,79490,
2024-01-05,ADANIENSOL,EQ,1180.00,1186.85,1155.45,1164.00,1179.80,1343094,15704.73,41790,
2024-01-08,ADANIENSOL,EQ,1170.85,1172.35,1140.00,1143.50,1164.00,896113,10313.14,31188,
2024-01-09,ADANIENSOL,EQ,1151.00,1199.00,1145.00,1164.10,1143.50,1347686,15829.16,43330,
2024-01-10,ADANIENSOL,EQ,1171.00,1184.00,1156.65,1170.30,1164.10,1302889,15283.46,48471,
2024-01-11,ADANIENSOL,EQ,1179.70,1184.00,1154.75,1159.70,1170.30,689920,8055.47,28063,
2024-01-12,ADANIENSOL,EQ,1167.00,1174.45,1150.10,1152.20,1159.70,729133,8463.38,30675,
2024-01-15,ADANIENSOL,EQ,1158.40,1164.65,1127.05,1148.00,1152.20,3399085,38676.69,79836,
2024-01-16,ADANIENSOL,EQ,1148.00,1148.00,1118.95,1126.35,1148.00,3851854,43522.06,69529,
2024-01-17,ADANIENSOL,EQ,1124.95,1128.75,1082.45,1087.15,1126.35,1456313,15985.12,72307,
2024-01-18,ADANIENSOL,EQ,1087.00,1097.90,1040.60,1065.50,1087.15,1168724,12467.06,58373,
2024-01-19,ADANIENSOL,EQ,1070.90,1083.55,1041.05,1050.55,1065.50,1485408,15663.93,60093,
2024-01-23,ADANIENSOL,EQ,1138.00,1145.65,1050.00,1056.15,1129.05,2133688,23194.78,91505,
2024-01-24,ADANIENSOL,EQ,1059.65,1059.65,1028.50,1036.25,1056.15,5163858,53551.88,95975,
2024-01-25,ADANIENSOL,EQ,1041.85,1077.00,1038.00,1061.80,1036.25,1505572,15957.76,57710,
2024-01-29,ADANIENSOL,EQ,1085.00,1136.00,1074.80,1098.05,1061.80,3298520,36533.64,117860,
2024-01-30,ADANIENSOL,EQ,1096.00,1096.00,1064.00,1072.70,1098.05,1393051,14991.34,51725,
2024-01-31,ADANIENSOL,EQ,1072.95,1081.90,1062.60,1067.85,1072.70,793833,8506.89,29218,
2024-02-01,ADANIENSOL,EQ,1073.00,1088.00,1052.95,1067.70,1067.85,1320318,14090.05,54182,
2024-02-02,ADANIENSOL,EQ,1073.70,1094.35,1046.00,1052.05,1067.70,1391014,14917.31,49776,
2024-02-05,ADANIENSOL,EQ,1051.05,1059.00,1016.00,1022.60,1052.05,1194592,12402.98,54686,
2024-02-06,ADANIENSOL,EQ,1033.00,1054.00,1001.20,1029.00,1022.60,1134575,11727.45,44694,
2024-02-07,ADANIENSOL,EQ,1038.60,1113.95,1029.75,1065.85,1029.00,4195919,45160.83,135868,
2024-02-08,ADANIENSOL,EQ,1074.80,1078.80,1045.00,1049.90,1065.85,2293556,24217.81,55785,
2024-02-09,ADANIENSOL,EQ,1051.90,1077.15,1037.50,1054.70,1049.90,2739850,28905.14,68392,
2024-02-12,ADANIENSOL,EQ,1059.00,1096.20,1045.75,1069.45,1054.70,3927219,42010.23,106739,
2024-02-13,ADANIENSOL,EQ,1078.70,1078.70,1028.00,1044.80,1069.45,3427849,35798.61,80889,
2024-02-14,ADANIENSOL,EQ,1027.05,1064.95,1025.00,1036.95,1044.80,3245478,34084.29,69023,
2024-02-15,ADANIENSOL,EQ,1054.70,1066.95,1042.50,1052.00,1036.95,3334357,35067.86,59817,
2024-02-16,ADANIENSOL,EQ,1056.45,1065.00,1045.55,1061.60,1052.00,3787369,40040.44,60758,
2024-02-19,ADANIENSOL,EQ,1065.00,1084.95,1061.20,1074.45,1061.60,3007240,32240.66,50678,
2024-02-20,ADANIENSOL,EQ,1079.70,1079.70,1061.00,1069.80,1074.45,2662527,28486.26,41159,
2024-02-21,ADANIENSOL,EQ,1075.05,1084.00,1055.05,1064.80,1069.80,3038030,32588.75,51884,
2024-02-22,ADANIENSOL,EQ,1069.90,1069.90,1052.55,1058.90,1064.80,2172437,23017.30,35752,
2024-02-23,ADANIENSOL,EQ,1062.70,1094.75,1055.20,1081.80,1058.90,3057010,32782.75,49346,
2024-02-26,ADANIENSOL,EQ,1084.95,1190.60,1081.00,1176.15,1081.80,8951837,103437.91,225426,
2024-02-27,ADANIENSOL,EQ,1182.00,1186.70,1117.20,1122.70,1176.15,3235084,37076.25,94104,
2024-02-28,ADANIENSOL,EQ,1129.95,1136.80,1068.65,1076.45,1122.70,2098024,23087.18,71860,
2024-02-29,ADANIENSOL,EQ,1083.00,1092.65,1060.00,1064.85,1076.45,1571955,16868.81,53522,
2024-03-01,ADANIENSOL,EQ,1075.00,1095.00,1064.85,1072.40,1064.85,1335964,14427.52,38508,
2024-03-04,ADANIENSOL,EQ,1084.00,1085.65,1062.10,1064.35,1080.80,661629,7087.26,24522,
2024-03-05,ADANIENSOL,EQ,1067.00,1075.60,1060.00,1070.30,1064.35,688430,7363.75,24299,
2024-03-06,ADANIENSOL,EQ,1071.85,1080.00,1045.50,1069.50,1070.30,2717505,28883.97,54952,
2024-03-07,ADANIENSOL,EQ,1074.90,1078.60,1059.00,1069.60,1069.50,2691523,28704.63,45008,
2024-03-11,ADANIENSOL,EQ,1077.00,1087.30,1060.00,1063.75,1069.60,2901619,31226.42,48469,
2024-03-12,ADANIENSOL,EQ,1065.00,1069.00,1027.05,1037.25,1063.75,2895201,30463.22,55419,
2024-03-13,ADANIENSOL,EQ,1039.75,1047.00,915.30,947.95,1037.25,2854959,27829.28,124980,
2024-03-14,ADANIENSOL,EQ,950.00,1065.90,918.75,1054.55,947.95,6083924,62322.56,145056,
2024-03-15,ADANIENSOL,EQ,1048.05,1077.00,1023.85,1045.85,1054.55,3987648,41711.26,84183,
2024-03-18,ADANIENSOL,EQ,1008.00,1030.95,971.50,1008.85,1045.85,3008345,30495.45,81885,
2024-03-19,ADANIENSOL,EQ,1022.85,1039.20,1000.00,1006.30,1008.85,3736272,38015.44,76803,
2024-03-20,ADANIENSOL,EQ,1024.90,1029.00,997.60,1011.45,1006.30,3577635,36173.77,67641,
2024-03-21,ADANIENSOL,EQ,1030.90,1030.90,1005.20,1008.90,1011.45,642213,6519.39,19861,
2024-03-22,ADANIENSOL,EQ,1012.05,1022.05,1005.20,1015.60,1008.90,2738168,27817.25,45414,
2024-03-26,ADANIENSOL,EQ,1003.00,1064.50,1002.60,1045.90,1015.60,4087621,42813.36,94341,
2024-03-27,ADANIENSOL,EQ,1049.50,1057.50,1005.90,1014.85,1045.90,3815101,39690.79,74742,
2024-03-28,ADANIENSOL,EQ,1030.00,1041.80,1015.20,1026.70,1014.85,3159446,32530.02,61536,
2024-04-01,ADANIENSOL,EQ,1047.10,1125.00,1036.15,1112.00,1026.70,3995373,43446.56,99125,
2024-04-02,ADANIENSOL,EQ,1114.00,1128.85,1090.00,1098.35,1112.00,1716219,19048.28,51855,
2024-04-03,ADANIENSOL,EQ,1098.55,1105.00,1090.00,1094.75,1098.35,887319,9738.07,29333,
2024-04-04,ADANIENSOL,EQ,1103.45,1119.00,1082.20,1102.00,1094.75,2011840,22236.87,49725,
2024-04-05,ADANIENSOL,EQ,1103.00,1109.95,1086.00,1096.30,1102.00,747341,8196.20,28237,
2024-04-08,ADANIENSOL,EQ,1105.00,1117.75,1065.00,1075.85,1096.30,794510,8669.56,30414,
2024-04-09,ADANIENSOL,EQ,1081.25,1088.60,1066.00,1071.25,1075.85,432564,4655.84,19338,
2024-04-10,ADANIENSOL,EQ,1075.80,1076.00,1056.00,1064.25,1071.25,450543,4797.46,21550,
2024-04-12,ADANIENSOL,EQ,1066.15,1097.55,1053.00,1068.90,1064.25,1283700,13882.38,50216,
2024-04-15,ADANIENSOL,EQ,1036.40,1049.90,1012.85,1039.45,1068.90,1053977,10918.65,45342,
2024-04-16,ADANIENSOL,EQ,1038.95,1060.65,1035.55,1051.75,1039.45,655917,6851.15,23494,
2024-04-18,ADANIENSOL,EQ,1059.65,1068.90,1036.05,1038.75,1051.75,497046,5235.86,21033,
