date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,ADANIENT,EQ,209.00,210.45,206.65,207.85,208.35,1553127,3233.77,10641,
2020-01-02,ADANIENT,EQ,208.00,213.20,207.50,211.20,207.85,2991937,6305.94,19649,
2020-01-03,ADANIENT,EQ,210.25,212.35,205.80,208.30,211.20,2512421,5246.74,14792,
2020-01-06,ADANIENT,EQ,207.75,207.75,197.75,199.55,208.30,4353179,8742.54,25330,
2020-01-07,ADANIENT,EQ,200.55,205.70,200.55,204.05,199.55,2966120,6034.38,17757,
2020-01-08,ADANIENT,EQ,201.00,203.55,194.55,201.50,204.05,5762654,11490.29,35823,
2020-01-09,ADANIENT,EQ,201.90,208.90,201.90,208.00,201.50,3496063,7198.31,20369,
2020-01-10,ADANIENT,EQ,208.00,213.00,205.90,209.10,208.00,2769132,5777.50,16595,
2020-01-13,ADANIENT,EQ,210.65,216.25,209.60,213.60,209.10,3527267,7534.32,20596,
2020-01-14,ADANIENT,EQ,213.45,215.50,211.85,214.35,213.60,1775182,3795.06,10469,
2020-01-15,ADANIENT,EQ,214.50,218.00,212.50,216.60,214.35,1982079,4269.38,11161,
2020-01-16,ADANIENT,EQ,217.70,222.50,217.00,220.00,216.60,4280379,9421.80,27655,
2020-01-17,ADANIENT,EQ,216.00,229.25,213.70,228.40,220.00,10810744,24047.53,48991,
2020-01-20,ADANIENT,EQ,229.55,232.25,224.15,226.55,228.40,4546367,10340.66,31281,
2020-01-21,ADANIENT,EQ,224.35,227.00,220.50,224.25,226.55,2813526,6303.69,19279,
2020-01-22,ADANIENT,EQ,224.80,228.00,221.15,225.90,224.25,2939366,6628.59,19573,
2020-01-23,ADANIENT,EQ,226.00,231.20,225.75,229.60,225.90,2650092,6069.62,15737,
2020-01-24,ADANIENT,EQ,225.50,232.40,219.00,229.75,229.60,7154795,16229.49,41155,
2020-01-27,ADANIENT,EQ,229.50,236.45,226.05,230.55,229.75,5293975,12343.87,36646,
2020-01-28,ADANIENT,EQ,232.25,234.50,229.10,229.90,230.55,2161711,5009.71,16321,
2020-01-29,ADANIENT,EQ,231.70,238.35,231.00,232.30,229.90,3738186,8772.51,23294,
2020-01-30,ADANIENT,EQ,232.30,232.75,228.20,231.50,232.30,2192123,5054.17,12795,
2020-01-31,ADANIENT,EQ,231.00,234.55,227.15,229.45,231.50,2720308,6296.00,18857,
2020-02-03,ADANIENT,EQ,221.70,224.65,215.60,220.90,222.80,2720614,6007.92,16315,
2020-02-04,ADANIENT,EQ,222.65,227.15,222.05,225.45,220.90,2028088,4567.12,11967,
2020-02-05,ADANIENT,EQ,226.75,239.30,222.55,236.25,225.45,8985919,20781.27,58565,
2020-02-06,ADANIENT,EQ,237.40,243.60,234.10,236.50,236.25,8852675,21157.80,55491,
