date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,ADANIGREEN,EQ,169.35,174.75,168.10,174.75,166.45,5417952,9395.12,35158,
2020-01-02,ADANIGREEN,EQ,179.15,183.45,177.55,183.45,174.75,3087009,5593.24,23173,
2020-01-03,ADANIGREEN,EQ,187.80,192.60,183.00,192.60,183.45,3670040,6996.43,23947,
2020-01-06,ADANIGREEN,EQ,200.00,202.20,185.55,200.60,192.60,9497209,18785.20,73862,
2020-01-07,ADANIGREEN,EQ,208.00,210.60,203.00,210.60,200.60,2126797,4454.80,15650,
2020-01-08,ADANIGREEN,EQ,215.80,221.10,214.45,221.10,210.60,1181338,2597.32,7085,
2020-01-09,ADANIGREEN,EQ,232.15,232.15,232.15,232.15,221.10,273048,633.88,1276,
2020-01-10,ADANIGREEN,EQ,243.75,243.75,220.55,220.55,232.15,3337546,7835.77,24049,
2020-01-13,ADANIGREEN,EQ,209.55,209.55,209.55,209.55,220.55,118786,248.92,1642,
2020-01-14,ADANIGREEN,EQ,199.10,199.10,199.10,199.10,209.55,80682,160.64,1425,
2020-01-15,ADANIGREEN,EQ,189.15,189.15,189.15,189.15,199.10,52323,98.97,1191,
2020-01-16,ADANIGREEN,EQ,179.70,179.70,179.70,179.70,189.15,60474,108.67,2210,
2020-01-17,ADANIGREEN,EQ,175.10,188.65,172.30,188.65,179.70,6703516,12210.71,40912,
2020-01-20,ADANIGREEN,EQ,198.05,198.05,185.00,198.05,188.65,2840614,5537.84,28053,
2020-01-21,ADANIGREEN,EQ,199.00,207.00,192.00,202.25,198.05,3506909,7085.35,39015,
2020-01-22,ADANIGREEN,EQ,204.00,208.95,194.55,197.65,202.25,1754417,3533.89,21152,
2020-01-23,ADANIGREEN,EQ,199.20,199.90,190.00,192.20,197.65,1336193,2583.08,17717,
2020-01-24,ADANIGREEN,EQ,187.50,194.90,182.60,190.25,192.20,2518115,4710.20,28679,
2020-01-27,ADANIGREEN,EQ,189.00,194.10,186.50,190.75,190.25,881601,1692.42,9913,
2020-01-28,ADANIGREEN,EQ,191.50,196.50,186.10,187.65,190.75,957274,1826.68,11900,
2020-01-29,ADANIGREEN,EQ,188.00,191.00,185.05,186.30,187.65,631830,1179.78,10351,
2020-01-30,ADANIGREEN,EQ,186.90,187.90,177.65,180.45,186.30,1024133,1850.60,13500,
2020-01-31,ADANIGREEN,EQ,182.50,189.45,176.85,189.45,180.45,862006,1602.73,10219,
2020-02-03,ADANIGREEN,EQ,186.85,196.15,186.00,196.15,186.85,1171000,2252.51,15053,
2020-02-04,ADANIGREEN,EQ,201.90,205.95,190.10,198.00,196.15,3984199,7947.37,57318,
2020-02-05,ADANIGREEN,EQ,196.00,203.80,190.80,193.25,198.00,1320812,2586.48,19187,
2020-02-06,ADANIGREEN,EQ,193.00,202.90,190.50,202.90,193.25,2711020,5415.43,19713,
2020-02-07,ADANIGREEN,EQ,208.95,213.00,206.25,213.00,202.90,2674856,5674.67,13050,
2020-02-10,ADANIGREEN,EQ,219.90,221.65,207.00,213.35,213.00,2063806,4426.13,26793,
2020-02-11,ADANIGREEN,EQ,215.90,217.00,208.15,211.25,213.35,1102243,2346.25,15173,
2020-02-12,ADANIGREEN,EQ,212.10,213.45,204.85,207.65,211.25,879583,1831.35,12339,
2020-02-13,ADANIGREEN,EQ,208.00,208.95,198.00,199.95,207.65,929657,1875.40,14455,
2020-02-14,ADANIGREEN,EQ,201.00,209.90,201.00,206.80,199.95,1474525,3047.83,18610,
2020-02-17,ADANIGREEN,EQ,208.40,208.40,198.00,198.35,206.80,773097,1550.31,10575,
2020-02-18,ADANIGREEN,EQ,200.80,200.80,188.45,189.25,198.35,839722,1604.35,15907,
2020-02-19,ADANIGREEN,EQ,191.90,198.70,191.75,197.85,189.25,2501070,4944.04,24827,
2020-02-20,ADANIGREEN,EQ,197.85,198.15,193.00,194.85,197.85,911195,1774.47,15542,
2020-02-24,ADANIGREEN,EQ,191.45,191.45,185.20,185.90,194.85,959369,1804.20,29523,
2020-02-25,ADANIGREEN,EQ,184.75,188.80,178.15,180.55,185.90,861686,1569.31,26004,
2020-02-26,ADANIGREEN,EQ,175.55,177.85,171.55,171.55,180.55,996786,1731.83,23285,
2020-02-27,ADANIGREEN,EQ,165.30,167.95,163.00,163.00,171.55,727993,1192.11,6066,
2020-02-28,ADANIGREEN,EQ,154.85,160.00,154.85,154.95,163.00,1655841,2580.64,14645,
2020-03-02,ADANIGREEN,EQ,156.60,162.65,150.00,156.05,154.95,1127956,1810.73,12138,
2020-03-03,ADANIGREEN,EQ,162.90,163.00,157.00,159.50,156.05,534459,850.16,7648,
2020-03-04,ADANIGREEN,EQ,159.25,159.50,151.55,152.00,159.50,480121,736.57,5785,
2020-03-05,ADANIGREEN,EQ,151.55,158.75,145.45,152.50,152.00,1252377,1894.30,21779,
2020-03-06,ADANIGREEN,EQ,144.90,147.20,144.90,144.90,152.50,425088,617.08,4263,
2020-03-09,ADANIGREEN,EQ,137.70,137.80,137.70,137.70,144.90,112896,155.46,1379,
2020-03-11,ADANIGREEN,EQ,131.10,136.40,130.85,130.85,137.70,1132428,1496.83,9572,
2020-03-12,ADANIGREEN,EQ,124.35,124.35,124.35,124.35,130.85,26822,33.35,836,
2020-03-13,ADANIGREEN,EQ,118.15,130.55,118.15,123.40,124.35,2367027,2871.93,10297,
2020-03-16,ADANIGREEN,EQ,120.00,128.00,117.25,117.70,123.40,1305459,1567.28,12835,
2020-03-17,ADANIGREEN,EQ,115.00,123.55,111.90,123.40,117.70,1650022,1999.25,10823,
2020-03-18,ADANIGREEN,EQ,125.10,129.55,124.00,129.40,123.40,1137426,1445.46,9369,
2020-03-19,ADANIGREEN,EQ,125.00,135.85,122.95,135.65,129.40,920137,1210.40,10818,
2020-03-20,ADANIGREEN,EQ,142.40,142.40,138.40,142.35,135.65,417369,589.80,5490,
2020-03-23,ADANIGREEN,EQ,135.25,138.95,135.25,135.25,142.35,255497,346.20,1963,
2020-03-24,ADANIGREEN,EQ,128.50,141.80,128.50,141.30,135.25,981069,1316.23,7685,
2020-03-25,ADANIGREEN,EQ,140.00,148.35,136.95,148.10,141.30,436890,632.56,5976,
2020-03-26,ADANIGREEN,EQ,154.00,155.40,144.25,152.10,148.10,637211,963.71,8202,
2020-03-27,ADANIGREEN,EQ,154.50,157.00,144.50,148.75,152.10,567761,855.22,7334,
2020-03-30,ADANIGREEN,EQ,142.10,148.30,141.35,146.95,148.75,490699,706.39,5012,
2020-03-31,ADANIGREEN,EQ,147.30,154.25,146.95,153.25,146.95,452205,687.87,7084,
2020-04-01,ADANIGREEN,EQ,155.50,159.00,151.00,152.90,153.25,226224,347.83,3792,
2020-04-03,ADANIGREEN,EQ,152.90,154.85,150.45,151.90,152.90,259616,393.86,3215,
2020-04-07,ADANIGREEN,EQ,153.50,159.45,151.55,158.95,151.90,425190,668.48,5289,
2020-04-08,ADANIGREEN,EQ,166.85,166.85,162.00,166.45,158.95,702014,1162.49,10187,
2020-04-09,ADANIGREEN,EQ,172.40,174.75,166.25,174.75,166.45,542554,931.36,8167,
2020-04-13,ADANIGREEN,EQ,180.00,183.45,167.05,183.35,174.75,769348,1375.11,9174,
2020-04-15,ADANIGREEN,EQ,188.00,190.95,184.00,187.80,183.35,747409,1407.05,9060,
2020-04-16,ADANIGREEN,EQ,182.30,195.00,182.30,193.85,187.80,431500,828.58,6620,
2020-04-17,ADANIGREEN,EQ,199.00,201.00,197.00,198.95,193.85,432615,860.62,9375,
2020-04-20,ADANIGREEN,EQ,200.05,204.90,197.00,200.75,198.95,493261,985.33,11123,
2020-04-21,ADANIGREEN,EQ,191.00,195.90,190.75,191.30,200.75,661617,1267.01,8511,
2020-04-22,ADANIGREEN,EQ,191.20,198.00,184.75,197.20,191.30,568003,1089.92,6819,
2020-04-23,ADANIGREEN,EQ,202.80,202.80,196.00,200.00,197.20,529475,1056.84,5260,
2020-04-24,ADANIGREEN,EQ,199.10,199.10,194.90,195.95,200.00,232558,455.68,3716,
2020-04-27,ADANIGREEN,EQ,193.00,201.00,192.00,200.65,195.95,391809,778.50,5320,
2020-04-28,ADANIGREEN,EQ,201.00,204.65,198.10,203.65,200.65,339070,686.18,4506,
2020-04-29,ADANIGREEN,EQ,205.00,209.40,202.35,207.95,203.65,442718,910.60,4486,
2020-04-30,ADANIGREEN,EQ,211.10,212.85,208.00,210.45,207.95,488630,1028.19,4561,
2020-05-04,ADANIGREEN,EQ,199.95,218.00,199.95,209.55,210.45,1698451,3560.92,25272,
2020-05-05,ADANIGREEN,EQ,215.00,216.00,209.05,210.80,209.55,594712,1263.35,11281,
2020-05-06,ADANIGREEN,EQ,211.00,214.20,205.30,211.85,210.80,604880,1275.13,8814,
2020-05-07,ADANIGREEN,EQ,207.45,213.00,206.50,210.55,211.85,188208,395.99,4417,
2020-05-08,ADANIGREEN,EQ,211.00,213.50,208.00,212.25,210.55,289416,612.51,5494,
2020-05-11,ADANIGREEN,EQ,214.85,222.85,211.00,222.60,212.25,1063341,2335.53,12041,
2020-05-12,ADANIGREEN,EQ,222.00,229.90,219.10,226.05,222.60,667224,1508.49,19946,
2020-05-13,ADANIGREEN,EQ,233.00,235.95,228.00,231.00,226.05,563566,1304.11,8039,
2020-05-14,ADANIGREEN,EQ,229.40,232.80,220.55,228.55,231.00,416147,950.44,10030,
2020-05-15,ADANIGREEN,EQ,228.60,231.50,225.70,230.25,228.55,325461,742.75,5274,
2020-05-18,ADANIGREEN,EQ,229.00,235.00,218.75,229.25,230.25,651936,1480.56,12089,
2020-05-19,ADANIGREEN,EQ,230.00,235.05,230.00,233.65,229.25,477713,1112.62,9465,
2020-05-20,ADANIGREEN,EQ,231.00,235.50,227.00,234.70,233.65,354733,822.35,10036,
2020-05-21,ADANIGREEN,EQ,233.95,244.35,233.00,235.10,234.70,365834,869.23,9347,
2020-05-22,ADANIGREEN,EQ,237.00,242.00,232.00,239.65,235.10,495551,1179.60,8183,
2020-05-26,ADANIGREEN,EQ,240.00,243.95,236.50,239.90,239.65,281221,674.28,9290,
2020-05-27,ADANIGREEN,EQ,240.00,243.20,237.05,242.60,239.90,316188,762.09,7363,
