date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,ADANIPORTS,EQ,368.00,379.25,366.00,377.65,366.00,11377167,42744.59,89107,
2020-01-02,ADANIPORTS,EQ,377.95,384.70,376.50,383.15,377.65,5919760,22593.37,54749,
2020-01-03,ADANIPORTS,EQ,382.70,384.35,379.20,382.50,383.15,3684824,14076.36,41829,
2020-01-06,ADANIPORTS,EQ,388.00,388.00,374.75,380.20,382.50,12482680,47650.71,97444,
2020-01-07,ADANIPORTS,EQ,384.05,389.75,382.40,384.80,380.20,8091465,31191.78,58470,
2020-01-08,ADANIPORTS,EQ,379.00,387.60,378.25,385.65,384.80,4620991,17729.22,37166,
2020-01-09,ADANIPORTS,EQ,389.15,394.00,386.05,391.80,385.65,4186783,16382.84,45704,
2020-01-10,ADANIPORTS,EQ,391.80,394.30,390.00,392.05,391.80,2405154,9438.08,26327,
2020-01-13,ADANIPORTS,EQ,391.90,393.90,389.30,390.35,392.05,1516112,5931.68,19174,
2020-01-14,ADANIPORTS,EQ,391.00,392.60,386.00,389.20,390.35,1963128,7647.22,33582,
2020-01-15,ADANIPORTS,EQ,389.30,391.40,386.00,390.80,389.20,1536571,5974.71,24601,
2020-01-16,ADANIPORTS,EQ,392.00,394.60,389.80,390.95,390.80,1340762,5256.74,16681,
2020-01-17,ADANIPORTS,EQ,390.90,392.40,386.00,387.60,390.95,1644832,6398.91,25587,
2020-01-20,ADANIPORTS,EQ,387.65,389.20,378.80,380.05,387.60,1760945,6729.89,27756,
2020-01-21,ADANIPORTS,EQ,378.80,382.00,375.30,379.95,380.05,2005178,7592.76,28978,
2020-01-22,ADANIPORTS,EQ,379.95,385.00,379.00,383.60,379.95,1817459,6958.98,24026,
2020-01-23,ADANIPORTS,EQ,384.45,386.75,380.75,385.85,383.60,1202104,4620.87,22112,
2020-01-24,ADANIPORTS,EQ,383.00,387.40,380.30,384.75,385.85,1572385,6040.84,23068,
2020-01-27,ADANIPORTS,EQ,383.70,386.25,379.80,381.25,384.75,1076027,4118.76,21136,
2020-01-28,ADANIPORTS,EQ,380.70,381.50,370.20,372.95,381.25,2220618,8335.46,42216,
2020-01-29,ADANIPORTS,EQ,377.50,387.75,373.75,383.35,372.95,3588224,13772.05,46533,
2020-01-30,ADANIPORTS,EQ,381.00,383.70,376.85,378.00,383.35,1526892,5798.86,21621,
2020-01-31,ADANIPORTS,EQ,380.05,381.55,368.25,369.40,378.00,2912256,10831.86,41584,
2020-02-03,ADANIPORTS,EQ,364.00,370.00,355.50,367.35,362.30,2857926,10429.29,28177,
2020-02-04,ADANIPORTS,EQ,370.10,376.00,366.35,372.50,367.35,3061868,11400.64,37727,
2020-02-05,ADANIPORTS,EQ,372.00,372.50,361.10,366.60,372.50,3441871,12586.01,36629,
2020-02-06,ADANIPORTS,EQ,370.00,373.20,367.65,370.20,366.60,4172547,15470.64,27386,
2020-02-07,ADANIPORTS,EQ,370.20,373.70,367.20,369.55,370.20,2197903,8130.02,21700,
2020-02-10,ADANIPORTS,EQ,370.05,373.45,366.15,368.25,369.55,1537598,5671.64,19031,
2020-02-11,ADANIPORTS,EQ,370.50,378.40,369.05,374.20,368.25,2836917,10629.21,38209,
2020-02-12,ADANIPORTS,EQ,376.95,378.90,371.60,374.10,374.20,1873710,7026.71,26698,
2020-02-13,ADANIPORTS,EQ,374.00,374.70,367.00,369.10,374.10,1602247,5912.34,24356,
2020-02-14,ADANIPORTS,EQ,370.30,372.00,366.00,366.85,369.10,1012713,3735.09,18539,
2020-02-17,ADANIPORTS,EQ,366.85,366.85,359.40,362.80,366.85,1979626,7163.34,26024,
2020-02-18,ADANIPORTS,EQ,362.50,368.45,358.35,366.60,362.80,1693616,6142.03,19816,
2020-02-19,ADANIPORTS,EQ,371.00,374.45,367.35,371.30,366.60,2057811,7622.53,21684,
2020-02-20,ADANIPORTS,EQ,371.00,374.50,370.00,370.85,371.30,1799254,6698.22,20182,
2020-02-24,ADANIPORTS,EQ,367.65,371.40,361.50,362.25,370.85,2070656,7599.88,24653,
2020-02-25,ADANIPORTS,EQ,362.30,364.70,355.60,358.40,362.25,2530137,9058.19,48185,
2020-02-26,ADANIPORTS,EQ,356.90,362.50,352.90,358.40,358.40,4164401,14897.01,40532,
2020-02-27,ADANIPORTS,EQ,358.70,360.75,351.50,353.70,358.40,1977795,6999.98,37054,
2020-02-28,ADANIPORTS,EQ,347.00,348.65,339.20,342.20,353.70,4299292,14788.98,39508,
2020-03-02,ADANIPORTS,EQ,346.10,351.05,338.30,340.65,342.20,2510491,8687.60,38730,
2020-03-03,ADANIPORTS,EQ,344.00,349.05,342.00,347.30,340.65,3671071,12706.66,63872,
2020-03-04,ADANIPORTS,EQ,347.80,349.80,339.90,345.95,347.30,3490806,12054.11,64937,
2020-03-05,ADANIPORTS,EQ,347.30,351.90,346.50,349.15,345.95,2709900,9468.76,34540,
2020-03-06,ADANIPORTS,EQ,339.80,343.20,331.25,341.40,349.15,3966036,13386.11,37831,
2020-03-09,ADANIPORTS,EQ,334.70,334.70,316.85,321.90,341.40,3230319,10541.77,34510,
2020-03-11,ADANIPORTS,EQ,322.80,326.35,316.20,320.20,321.90,5634636,18121.73,46713,
2020-03-12,ADANIPORTS,EQ,288.20,301.90,284.00,287.65,320.20,9895077,28680.55,111634,
2020-03-13,ADANIPORTS,EQ,260.00,300.70,232.00,292.75,287.65,21079070,58787.11,154916,
2020-03-16,ADANIPORTS,EQ,273.00,276.85,252.00,261.40,292.75,7727956,20052.11,80189,
2020-03-17,ADANIPORTS,EQ,265.00,283.35,265.00,267.15,261.40,9691227,26537.57,73505,
2020-03-18,ADANIPORTS,EQ,270.00,273.00,256.00,260.40,267.15,5581367,14651.14,47683,
2020-03-19,ADANIPORTS,EQ,248.00,264.15,241.00,258.35,260.40,8727962,22336.96,64991,
2020-03-20,ADANIPORTS,EQ,257.60,264.50,247.20,256.40,258.35,7028925,17953.81,68662,
2020-03-23,ADANIPORTS,EQ,235.00,235.80,203.00,207.80,256.40,5716818,12096.58,56925,
2020-03-24,ADANIPORTS,EQ,216.00,238.75,212.60,231.75,207.80,9694177,22061.40,93631,
2020-03-25,ADANIPORTS,EQ,222.30,266.50,222.30,255.60,231.75,11745146,28516.43,92389,
2020-03-26,ADANIPORTS,EQ,257.65,260.10,241.50,248.20,255.60,8701776,22080.12,82755,
2020-03-27,ADANIPORTS,EQ,259.00,259.60,244.00,251.30,248.20,4871655,12276.19,52370,
2020-03-30,ADANIPORTS,EQ,248.00,254.85,237.00,251.65,251.30,8946439,22258.91,75897,
2020-03-31,ADANIPORTS,EQ,255.00,259.60,247.05,251.30,251.65,6401288,16203.64,55793,
2020-04-01,ADANIPORTS,EQ,246.05,247.80,235.05,244.80,251.30,4034211,9707.47,46902,
2020-04-03,ADANIPORTS,EQ,246.00,252.80,238.90,244.80,244.80,7210453,17914.16,43535,
2020-04-07,ADANIPORTS,EQ,254.20,255.85,245.60,248.10,244.80,7360798,18360.85,64968,
2020-04-08,ADANIPORTS,EQ,248.00,255.85,242.75,250.85,248.10,6897883,17248.31,81499,
2020-04-09,ADANIPORTS,EQ,254.00,254.60,247.45,251.90,250.85,5290672,13291.36,46427,
2020-04-13,ADANIPORTS,EQ,252.00,265.50,247.50,262.85,251.90,6979354,17703.69,37483,
2020-04-15,ADANIPORTS,EQ,265.00,279.40,265.00,268.90,262.85,7606729,20766.44,101002,
2020-04-16,ADANIPORTS,EQ,267.00,271.30,260.30,267.60,268.90,3267294,8711.84,63906,
2020-04-17,ADANIPORTS,EQ,275.00,275.90,263.60,268.15,267.60,3470271,9270.95,49815,
2020-04-20,ADANIPORTS,EQ,273.50,273.50,266.55,270.50,268.15,2234365,6032.67,44339,
2020-04-21,ADANIPORTS,EQ,266.05,269.60,260.90,265.20,270.50,2562045,6761.80,28728,
2020-04-22,ADANIPORTS,EQ,260.00,273.85,258.50,271.90,265.20,3229099,8661.75,38557,
2020-04-23,ADANIPORTS,EQ,273.50,279.70,268.50,277.60,271.90,3594118,9887.92,41781,
2020-04-24,ADANIPORTS,EQ,273.95,276.95,269.55,270.65,277.60,2515755,6845.49,18327,
2020-04-27,ADANIPORTS,EQ,273.30,277.10,269.50,271.15,270.65,1845577,5032.71,27930,
2020-04-28,ADANIPORTS,EQ,271.15,274.70,270.00,272.95,271.15,1808291,4928.44,23592,
2020-04-29,ADANIPORTS,EQ,274.00,293.20,272.70,287.65,272.95,4058322,11489.17,52514,
2020-04-30,ADANIPORTS,EQ,295.05,296.00,285.10,290.10,287.65,4675412,13563.23,65200,
