date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,ADANIPOWER,EQ,61.80,64.30,61.55,63.90,61.80,16415397,10382.71,35031,
2020-01-02,ADANIPOWER,EQ,64.00,64.85,63.40,64.45,63.90,10996418,7058.18,26941,
2020-01-03,ADANIPOWER,EQ,64.40,64.95,62.70,63.25,64.45,8114232,5183.30,18570,
2020-01-06,ADANIPOWER,EQ,63.00,63.25,59.50,60.10,63.25,9700870,5891.09,19296,
2020-01-07,ADANIPOWER,EQ,60.35,61.75,59.65,61.00,60.10,8704020,5299.84,18340,
2020-01-08,ADANIPOWER,EQ,60.40,60.55,58.00,59.85,61.00,11149419,6648.68,21635,
2020-01-09,ADANIPOWER,EQ,60.35,61.60,60.10,61.15,59.85,9268945,5641.69,17962,
2020-01-10,ADANIPOWER,EQ,61.25,62.50,60.95,61.20,61.15,6911234,4261.94,16153,
2020-01-13,ADANIPOWER,EQ,61.30,62.70,60.75,62.30,61.20,11404017,7054.10,15823,
2020-01-14,ADANIPOWER,EQ,62.40,63.25,62.10,62.45,62.30,5833027,3658.42,14382,
2020-01-15,ADANIPOWER,EQ,62.20,64.05,61.70,63.30,62.45,9760457,6170.29,18975,
2020-01-16,ADANIPOWER,EQ,63.10,65.25,62.80,64.95,63.30,8761628,5628.87,17843,
2020-01-17,ADANIPOWER,EQ,64.50,65.95,64.20,64.60,64.95,8843288,5745.30,24948,
2020-01-20,ADANIPOWER,EQ,64.60,65.20,62.95,63.35,64.60,6195478,3956.37,12128,
2020-01-21,ADANIPOWER,EQ,62.90,63.55,62.40,62.75,63.35,4651073,2929.06,11527,
2020-01-22,ADANIPOWER,EQ,62.90,63.40,62.25,62.50,62.75,3354431,2105.14,9138,
2020-01-23,ADANIPOWER,EQ,62.60,63.70,62.30,63.35,62.50,4473067,2825.22,11974,
2020-01-24,ADANIPOWER,EQ,63.20,64.45,62.55,63.55,63.35,5429840,3456.85,15573,
2020-01-27,ADANIPOWER,EQ,63.35,65.25,62.70,64.70,63.55,8398543,5389.80,19422,
2020-01-28,ADANIPOWER,EQ,64.65,65.40,63.55,63.80,64.70,7444387,4803.92,20371,
2020-01-29,ADANIPOWER,EQ,64.10,65.10,63.85,64.05,63.80,5907232,3806.62,12018,
2020-01-30,ADANIPOWER,EQ,64.15,64.15,62.20,62.70,64.05,4508995,2843.11,9981,
2020-01-31,ADANIPOWER,EQ,62.80,63.20,60.50,61.05,62.70,5754033,3545.63,11499,
2020-02-03,ADANIPOWER,EQ,60.00,60.05,58.30,59.00,59.85,6340354,3742.02,12971,
2020-02-04,ADANIPOWER,EQ,59.05,60.70,59.05,60.45,59.00,5643410,3398.42,10899,
2020-02-05,ADANIPOWER,EQ,60.60,62.65,60.50,62.00,60.45,4945952,3040.53,16839,
2020-02-06,ADANIPOWER,EQ,62.30,62.35,60.50,60.80,62.00,10491714,6428.39,32478,
2020-02-07,ADANIPOWER,EQ,60.70,61.80,60.20,60.85,60.80,4877776,2976.24,10460,
2020-02-10,ADANIPOWER,EQ,61.00,61.00,59.20,59.90,60.85,6218372,3724.80,17927,
2020-02-11,ADANIPOWER,EQ,59.80,61.00,59.50,60.15,59.90,5724445,3441.78,17046,
2020-02-12,ADANIPOWER,EQ,60.15,61.10,59.80,60.45,60.15,4788293,2890.34,17631,
2020-02-13,ADANIPOWER,EQ,60.60,61.15,59.60,60.10,60.45,6296965,3812.99,11298,
2020-02-14,ADANIPOWER,EQ,60.25,60.50,58.90,59.60,60.10,7427284,4426.08,10606,
2020-02-17,ADANIPOWER,EQ,59.30,59.45,56.55,57.55,59.60,4879254,2845.70,11523,
2020-02-18,ADANIPOWER,EQ,56.10,57.00,55.25,56.75,57.55,9016531,5081.90,16258,
2020-02-19,ADANIPOWER,EQ,57.25,59.10,56.45,58.45,56.75,7146637,4124.81,11967,
2020-02-20,ADANIPOWER,EQ,58.25,58.90,57.20,57.65,58.45,4518689,2623.04,9164,
2020-02-24,ADANIPOWER,EQ,57.00,57.75,55.80,56.05,57.65,2857286,1623.75,8385,
2020-02-25,ADANIPOWER,EQ,56.10,57.10,55.70,56.05,56.05,4336908,2443.16,8916,
