date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,AMBUJACEM,EQ,197.20,197.75,195.80,197.00,196.25,1459556,2874.55,9803,
2020-01-02,AMBUJACEM,EQ,197.35,206.40,197.20,205.35,197.00,8633553,17655.24,52407,
2020-01-03,AMBUJACEM,EQ,204.95,205.80,202.25,203.40,205.35,2007973,4091.78,14470,
2020-01-06,AMBUJACEM,EQ,202.85,202.85,196.35,196.90,203.40,2119702,4207.11,15192,
2020-01-07,AMBUJACEM,EQ,198.10,202.55,196.70,199.00,196.90,3557312,7082.67,24608,
2020-01-08,AMBUJACEM,EQ,196.00,204.60,195.65,201.65,199.00,4943334,9979.37,33909,
2020-01-09,AMBUJACEM,EQ,203.90,209.30,203.85,207.95,201.65,5537880,11456.22,58179,
2020-01-10,AMBUJACEM,EQ,208.55,214.00,206.80,211.75,207.95,5362463,11339.57,44689,
2020-01-13,AMBUJACEM,EQ,212.60,214.80,210.65,211.50,211.75,2628821,5576.27,20328,
2020-01-14,AMBUJACEM,EQ,212.20,212.45,208.80,209.30,211.50,3725008,7847.58,26631,
2020-01-15,AMBUJACEM,EQ,209.00,212.90,206.65,212.05,209.30,3359831,7054.21,20657,
2020-01-16,AMBUJACEM,EQ,213.50,214.40,209.10,209.75,212.05,3126006,6591.36,23505,
2020-01-17,AMBUJACEM,EQ,209.65,212.40,208.60,210.40,209.75,1968147,4148.54,11442,
2020-01-20,AMBUJACEM,EQ,211.40,211.75,206.65,207.05,210.40,1743715,3633.96,9487,
2020-01-21,AMBUJACEM,EQ,206.00,209.90,205.70,207.60,207.05,3142796,6538.28,19722,
2020-01-22,AMBUJACEM,EQ,208.90,212.20,208.30,210.35,207.60,3780055,7973.03,29406,
2020-01-23,AMBUJACEM,EQ,210.00,214.95,209.45,213.65,210.35,4656562,9894.09,29130,
2020-01-24,AMBUJACEM,EQ,214.10,216.90,212.60,215.95,213.65,3540793,7617.27,32606,
2020-01-27,AMBUJACEM,EQ,214.60,218.90,214.30,215.55,215.95,2903622,6280.19,32711,
2020-01-28,AMBUJACEM,EQ,215.80,220.25,214.05,216.15,215.55,5093967,11105.89,70614,
2020-01-29,AMBUJACEM,EQ,216.75,218.25,213.25,214.05,216.15,3410299,7379.34,18535,
2020-01-30,AMBUJACEM,EQ,214.15,214.20,208.70,209.90,214.05,2971434,6273.36,21919,
2020-01-31,AMBUJACEM,EQ,210.55,211.75,203.50,204.50,209.90,2906515,6009.31,21962,
2020-02-03,AMBUJACEM,EQ,196.05,202.45,196.05,200.75,195.35,4031740,8061.21,30424,
2020-02-04,AMBUJACEM,EQ,202.80,210.00,202.45,206.80,200.75,3761981,7748.10,28428,
2020-02-05,AMBUJACEM,EQ,206.90,208.75,205.20,206.40,206.80,4000586,8283.24,19840,
2020-02-06,AMBUJACEM,EQ,207.25,209.25,204.55,207.50,206.40,3569538,7391.72,19303,
2020-02-07,AMBUJACEM,EQ,207.60,212.00,207.15,209.80,207.50,1957283,4112.53,20083,
2020-02-10,AMBUJACEM,EQ,209.80,210.80,206.15,207.10,209.80,1734578,3601.29,16148,
2020-02-11,AMBUJACEM,EQ,208.10,213.45,208.00,212.00,207.10,4444457,9406.00,30814,
2020-02-12,AMBUJACEM,EQ,212.00,214.00,210.25,211.40,212.00,3036372,6442.10,18975,
2020-02-13,AMBUJACEM,EQ,210.60,211.45,207.90,208.55,211.40,1177002,2464.40,10065,
2020-02-14,AMBUJACEM,EQ,208.40,212.25,205.00,205.65,208.55,3183445,6628.51,28279,
2020-02-17,AMBUJACEM,EQ,205.35,206.35,202.30,203.80,205.65,1397181,2857.69,13465,
2020-02-18,AMBUJACEM,EQ,203.25,203.60,197.75,200.85,203.80,4007197,8032.81,16801,
2020-02-19,AMBUJACEM,EQ,202.25,206.40,201.70,205.80,200.85,1630613,3326.99,14219,
2020-02-20,AMBUJACEM,EQ,204.95,210.25,200.10,205.40,205.80,3826080,7927.05,28420,
2020-02-24,AMBUJACEM,EQ,206.85,212.70,202.00,209.90,205.40,7946307,16654.10,67085,
2020-02-25,AMBUJACEM,EQ,211.00,214.00,209.30,211.60,209.90,6147428,13013.42,38191,
2020-02-26,AMBUJACEM,EQ,211.90,216.05,210.05,213.60,211.60,6034979,12905.98,54065,
2020-02-27,AMBUJACEM,EQ,213.60,215.15,210.50,211.60,213.60,3753324,7984.16,44286,
2020-02-28,AMBUJACEM,EQ,207.75,209.40,203.25,205.05,211.60,7650031,15755.12,35084,
2020-03-02,AMBUJACEM,EQ,208.60,216.55,199.80,202.25,205.05,5187934,10868.80,32395,
2020-03-03,AMBUJACEM,EQ,203.90,212.20,203.65,211.15,202.25,4549626,9497.20,98294,
2020-03-04,AMBUJACEM,EQ,211.35,213.00,204.70,208.10,211.15,3541106,7399.60,44205,
2020-03-05,AMBUJACEM,EQ,208.20,211.90,203.65,204.40,208.10,2414347,5014.05,20559,
2020-03-06,AMBUJACEM,EQ,198.75,206.55,195.40,205.10,204.40,2587514,5249.72,20604,
2020-03-09,AMBUJACEM,EQ,199.80,203.25,191.45,193.70,205.10,3910317,7689.62,47277,
2020-03-11,AMBUJACEM,EQ,194.10,196.45,189.80,190.45,193.70,3553048,6838.85,40356,
2020-03-12,AMBUJACEM,EQ,183.00,183.75,169.10,175.50,190.45,8015858,14031.87,120971,
2020-03-13,AMBUJACEM,EQ,166.00,190.70,152.05,187.75,175.50,3970888,7180.65,76455,
2020-03-16,AMBUJACEM,EQ,180.00,184.05,172.15,179.45,187.75,5362750,9600.47,53927,
2020-03-17,AMBUJACEM,EQ,180.50,181.75,170.10,171.40,179.45,6785874,12015.65,50865,
2020-03-18,AMBUJACEM,EQ,174.40,174.85,158.15,159.65,171.40,5655132,9334.55,65894,
2020-03-19,AMBUJACEM,EQ,154.00,161.15,149.40,153.95,159.65,11032807,17193.06,77949,
2020-03-20,AMBUJACEM,EQ,153.95,168.55,151.40,160.40,153.95,14150719,22722.81,73908,
2020-03-23,AMBUJACEM,EQ,145.00,150.90,139.55,145.85,160.40,4517269,6601.78,45098,
2020-03-24,AMBUJACEM,EQ,145.10,155.80,140.10,142.15,145.85,3874329,5716.84,42642,
2020-03-25,AMBUJACEM,EQ,139.00,144.45,138.00,139.35,142.15,6937627,9761.03,52559,
2020-03-26,AMBUJACEM,EQ,141.25,146.60,136.55,144.05,139.35,14408540,20387.87,66317,
2020-03-27,AMBUJACEM,EQ,148.55,152.00,141.00,141.55,144.05,7706575,11183.40,59570,
2020-03-30,AMBUJACEM,EQ,140.00,154.70,137.40,148.25,141.55,6410821,9212.50,39511,
2020-03-31,AMBUJACEM,EQ,152.00,157.00,146.70,155.70,148.25,3948069,6048.49,42874,
2020-04-01,AMBUJACEM,EQ,155.40,158.40,150.70,156.65,155.70,2690175,4159.33,28992,
2020-04-03,AMBUJACEM,EQ,156.60,156.65,151.55,153.00,156.65,3738943,5750.39,47048,
2020-04-07,AMBUJACEM,EQ,154.00,160.50,153.50,159.00,153.00,6642891,10460.56,81347,
2020-04-08,AMBUJACEM,EQ,158.50,159.50,148.20,149.70,159.00,10421438,15976.18,84074,
2020-04-09,AMBUJACEM,EQ,151.20,160.60,150.75,158.80,149.70,8828432,13827.14,128653,
2020-04-13,AMBUJACEM,EQ,158.95,172.35,157.25,165.00,158.80,12551506,20694.12,96135,
2020-04-15,AMBUJACEM,EQ,167.10,173.95,167.10,168.55,165.00,9909062,16905.43,112182,
2020-04-16,AMBUJACEM,EQ,167.10,174.65,163.85,169.70,168.55,6792496,11576.37,54768,
2020-04-17,AMBUJACEM,EQ,174.00,175.50,169.40,172.95,169.70,3706603,6401.17,53998,
2020-04-20,AMBUJACEM,EQ,175.90,175.90,169.95,170.30,172.95,2682037,4614.65,39190,
2020-04-21,AMBUJACEM,EQ,167.75,169.45,164.10,167.55,170.30,2369603,3969.37,24669,
2020-04-22,AMBUJACEM,EQ,167.40,177.70,166.35,176.50,167.55,5333081,9176.24,41565,
2020-04-23,AMBUJACEM,EQ,178.50,179.50,170.40,171.45,176.50,4629630,8069.50,38673,
2020-04-24,AMBUJACEM,EQ,169.90,171.60,166.20,167.95,171.45,2729060,4608.85,34544,
2020-04-27,AMBUJACEM,EQ,170.40,174.00,168.60,172.30,167.95,4140719,7120.21,44562,
2020-04-28,AMBUJACEM,EQ,179.00,179.00,166.85,167.70,172.30,13325718,22996.46,85543,
2020-04-29,AMBUJACEM,EQ,166.90,170.75,165.65,169.50,167.70,3900474,6605.47,39779,
2020-04-30,AMBUJACEM,EQ,171.20,174.85,170.55,171.65,169.50,4691798,8109.05,42385,
2020-05-04,AMBUJACEM,EQ,167.25,169.80,161.50,162.35,171.65,4949252,8161.53,64277,
2020-05-05,AMBUJACEM,EQ,165.00,168.85,163.75,164.80,162.35,4097025,6816.33,43037,
2020-05-06,AMBUJACEM,EQ,165.60,170.55,164.50,167.85,164.80,7032456,11846.52,60382,
2020-05-07,AMBUJACEM,EQ,167.90,170.80,166.80,168.60,167.85,4497992,7584.54,53864,
2020-05-08,AMBUJACEM,EQ,170.70,172.95,168.75,169.35,168.60,3874980,6596.31,53968,
2020-05-11,AMBUJACEM,EQ,170.15,174.70,170.15,173.95,169.35,4258713,7378.35,59815,
2020-05-12,AMBUJACEM,EQ,173.50,176.30,170.65,175.20,173.95,3911751,6816.73,38966,
2020-05-13,AMBUJACEM,EQ,182.10,191.00,182.00,183.00,175.20,14928663,27856.78,128154,
2020-05-14,AMBUJACEM,EQ,181.20,184.20,178.65,182.50,183.00,2893550,5246.25,33321,
2020-05-15,AMBUJACEM,EQ,184.00,184.70,179.85,181.80,182.50,6194865,11260.25,64664,
2020-05-18,AMBUJACEM,EQ,182.00,182.45,171.00,172.15,181.80,3640919,6362.60,58004,
2020-05-19,AMBUJACEM,EQ,173.90,176.80,170.25,174.60,172.15,3512226,6122.16,36355,
2020-05-20,AMBUJACEM,EQ,174.50,181.55,172.35,179.65,174.60,2833520,5028.57,35330,
2020-05-21,AMBUJACEM,EQ,180.70,183.70,177.50,181.00,179.65,5097416,9225.70,43709,
2020-05-22,AMBUJACEM,EQ,180.00,187.85,177.20,186.95,181.00,6953579,12869.89,61803,
2020-05-26,AMBUJACEM,EQ,187.80,190.00,185.55,188.55,186.95,5800498,10915.94,73145,
2020-05-27,AMBUJACEM,EQ,189.90,189.90,185.10,187.45,188.55,3151133,5899.46,23439,
2020-05-28,AMBUJACEM,EQ,187.25,192.00,185.40,191.30,187.45,3704033,7029.22,30935,
2020-05-29,AMBUJACEM,EQ,191.00,194.90,187.00,191.55,191.30,8514156,16316.51,56554,
2020-06-01,AMBUJACEM,EQ,191.80,195.65,188.30,188.95,191.55,6737201,12917.54,55341,
2020-06-02,AMBUJACEM,EQ,189.50,193.75,188.20,191.20,188.95,4978019,9528.60,56914,
2020-06-03,AMBUJACEM,EQ,193.25,194.00,186.75,187.75,191.20,4719425,8973.85,35940,
2020-06-04,AMBUJACEM,EQ,188.15,189.25,182.05,186.75,187.75,5769947,10698.37,49253,
2020-06-05,AMBUJACEM,EQ,188.00,196.35,186.30,195.10,186.75,7431679,14321.15,50142,
2020-06-08,AMBUJACEM,EQ,198.95,198.95,190.40,191.45,195.10,4469783,8711.60,37192,
2020-06-09,AMBUJACEM,EQ,192.20,195.25,186.85,187.80,191.45,4252087,8145.82,54309,
2020-06-10,AMBUJACEM,EQ,188.10,194.35,188.10,192.00,187.80,4235763,8147.19,62451,
2020-06-11,AMBUJACEM,EQ,191.50,194.25,189.00,189.50,192.00,3397620,6510.98,46222,
2020-06-12,AMBUJACEM,EQ,181.90,194.95,181.65,193.70,189.50,5199081,9915.65,59537,
2020-06-15,AMBUJACEM,EQ,192.85,194.40,190.10,191.50,193.70,1996945,3827.37,21095,
2020-06-16,AMBUJACEM,EQ,192.60,198.40,187.80,190.60,191.50,5481825,10615.23,58155,
2020-06-17,AMBUJACEM,EQ,188.55,191.50,185.35,187.15,190.60,3190009,6024.66,32775,
2020-06-18,AMBUJACEM,EQ,187.20,189.00,185.70,187.35,187.15,3259969,6107.61,30743,
2020-06-19,AMBUJACEM,EQ,188.40,194.00,187.55,190.80,187.35,7723563,14727.45,33865,
2020-06-22,AMBUJACEM,EQ,191.45,193.30,190.55,191.10,190.80,2478247,4748.59,27149,
2020-06-23,AMBUJACEM,EQ,191.80,196.20,191.10,193.25,191.10,4619623,8961.40,40164,
2020-06-24,AMBUJACEM,EQ,194.25,198.20,186.40,188.70,193.25,6600983,12718.58,47938,
2020-06-25,AMBUJACEM,EQ,188.10,191.35,185.35,186.25,188.70,4479141,8432.70,40353,
2020-06-26,AMBUJACEM,EQ,188.00,188.70,186.15,188.00,186.25,3304712,6192.17,33888,
2020-06-29,AMBUJACEM,EQ,188.00,188.65,183.20,187.55,188.00,3555861,6617.93,25018,
2020-06-30,AMBUJACEM,EQ,187.65,194.95,187.65,193.60,187.55,6482253,12490.69,42923,
2020-07-01,AMBUJACEM,EQ,194.15,195.70,190.40,192.20,193.60,2867676,5526.77,21561,
2020-07-02,AMBUJACEM,EQ,192.70,196.40,192.05,193.70,192.20,2693250,5220.46,25386,
2020-07-03,AMBUJACEM,EQ,194.60,196.25,192.05,195.80,193.70,4168369,8091.53,44640,
2020-07-06,AMBUJACEM,EQ,197.75,198.00,193.35,193.90,195.80,2632304,5144.39,32718,
2020-07-07,AMBUJACEM,EQ,194.60,194.60,191.10,193.25,193.90,2551746,4921.44,38281,
2020-07-08,AMBUJACEM,EQ,194.25,196.60,192.80,195.55,193.25,3253882,6344.22,37396,
2020-07-09,AMBUJACEM,EQ,196.40,202.90,195.60,202.00,195.55,8857515,17750.16,66225,
2020-07-10,AMBUJACEM,EQ,202.20,204.35,196.50,197.20,202.00,6643796,13304.25,49466,
2020-07-13,AMBUJACEM,EQ,197.20,199.70,193.75,198.45,197.20,5213446,10277.57,38823,
2020-07-14,AMBUJACEM,EQ,197.85,199.20,190.00,190.50,198.45,4391974,8477.10,36760,
2020-07-15,AMBUJACEM,EQ,192.50,193.25,187.70,188.65,190.50,4521290,8613.36,32892,
2020-07-16,AMBUJACEM,EQ,189.45,193.00,185.70,192.50,188.65,3137669,5953.23,40285,
2020-07-17,AMBUJACEM,EQ,193.10,195.60,191.30,193.45,192.50,3254870,6309.71,23978,
2020-07-20,AMBUJACEM,EQ,195.00,197.00,194.50,195.70,193.45,2204860,4312.44,20538,
2020-07-21,AMBUJACEM,EQ,201.00,208.00,200.00,204.95,195.70,12976657,26655.54,136495,
2020-07-22,AMBUJACEM,EQ,204.95,204.95,199.10,200.90,204.95,3320086,6696.24,24293,
2020-07-23,AMBUJACEM,EQ,201.50,202.25,197.25,197.95,200.90,3302917,6569.75,22643,
2020-07-24,AMBUJACEM,EQ,197.95,202.50,196.50,200.95,197.95,5135305,10269.59,41614,
2020-07-27,AMBUJACEM,EQ,205.90,208.95,202.05,207.15,200.95,11855464,24430.96,97096,
