date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,APOLLOHOSP,EQ,1440.00,1442.00,1422.20,1426.35,1442.00,268255,3833.54,8723,
2020-01-02,APOLLOHOSP,EQ,1428.00,1509.20,1428.00,1494.65,1426.35,2000143,29699.65,67435,
2020-01-03,APOLLOHOSP,EQ,1494.65,1505.00,1481.55,1486.10,1494.65,629443,9393.64,20969,
2020-01-06,APOLLOHOSP,EQ,1480.00,1480.00,1458.15,1462.50,1486.10,378702,5549.12,11908,
2020-01-07,APOLLOHOSP,EQ,1475.00,1498.95,1472.55,1478.70,1462.50,365266,5421.75,16282,
2020-01-08,APOLLOHOSP,EQ,1464.00,1479.60,1458.00,1473.65,1478.70,190163,2799.22,7029,
2020-01-09,APOLLOHOSP,EQ,1490.00,1498.70,1473.00,1479.60,1473.65,254798,3780.66,8768,
2020-01-10,APOLLOHOSP,EQ,1484.00,1502.00,1476.00,1485.90,1479.60,364434,5433.61,12668,
2020-01-13,APOLLOHOSP,EQ,1493.30,1504.00,1479.45,1483.45,1485.90,374704,5584.83,11062,
2020-01-14,APOLLOHOSP,EQ,1485.10,1502.00,1483.90,1493.30,1483.45,308514,4612.24,15016,
2020-01-15,APOLLOHOSP,EQ,1488.30,1529.00,1488.00,1511.95,1493.30,932167,14119.07,41892,
2020-01-16,APOLLOHOSP,EQ,1519.70,1607.00,1518.05,1591.55,1511.95,2305288,36563.67,70656,
2020-01-17,APOLLOHOSP,EQ,1595.55,1624.00,1580.00,1618.60,1591.55,893254,14320.45,32640,
2020-01-20,APOLLOHOSP,EQ,1620.00,1659.00,1616.50,1629.55,1618.60,1047368,17179.15,30547,
2020-01-21,APOLLOHOSP,EQ,1629.85,1642.50,1621.00,1626.20,1629.55,317357,5179.59,14834,
2020-01-22,APOLLOHOSP,EQ,1643.65,1664.00,1626.50,1634.45,1626.20,736367,12079.33,26130,
2020-01-23,APOLLOHOSP,EQ,1638.80,1699.90,1631.25,1686.90,1634.45,764590,12736.48,30485,
2020-01-24,APOLLOHOSP,EQ,1690.00,1697.55,1649.10,1668.70,1686.90,1023849,17032.91,49149,
2020-01-27,APOLLOHOSP,EQ,1668.00,1713.00,1662.00,1696.05,1668.70,791549,13456.68,30929,
2020-01-28,APOLLOHOSP,EQ,1695.90,1704.80,1673.80,1677.75,1696.05,681671,11523.42,25790,
2020-01-29,APOLLOHOSP,EQ,1687.00,1694.95,1671.05,1688.00,1677.75,230705,3887.46,10779,
2020-01-30,APOLLOHOSP,EQ,1685.00,1709.75,1680.25,1690.80,1688.00,634505,10778.94,32036,
2020-01-31,APOLLOHOSP,EQ,1699.20,1699.25,1656.45,1660.20,1690.80,377299,6303.85,19866,
2020-02-03,APOLLOHOSP,EQ,1616.00,1717.60,1616.00,1695.85,1654.45,584886,9836.57,25319,
2020-02-04,APOLLOHOSP,EQ,1695.85,1704.90,1661.00,1671.05,1695.85,384789,6493.02,24610,
2020-02-05,APOLLOHOSP,EQ,1681.00,1681.00,1650.00,1657.45,1671.05,438855,7291.76,27902,
2020-02-06,APOLLOHOSP,EQ,1665.70,1665.70,1622.20,1645.05,1657.45,552992,9065.08,30614,
2020-02-07,APOLLOHOSP,EQ,1649.80,1678.50,1628.00,1663.15,1645.05,554048,9190.90,22197,
2020-02-10,APOLLOHOSP,EQ,1663.00,1701.60,1634.50,1665.70,1663.15,778081,12994.90,29360,
2020-02-11,APOLLOHOSP,EQ,1670.50,1702.90,1669.00,1697.95,1665.70,606839,10246.48,29409,
2020-02-12,APOLLOHOSP,EQ,1705.00,1716.95,1670.55,1683.60,1697.95,728165,12322.93,22165,
2020-02-13,APOLLOHOSP,EQ,1675.00,1707.00,1655.00,1695.50,1683.60,902548,15200.33,31563,
2020-02-14,APOLLOHOSP,EQ,1721.00,1747.70,1674.45,1704.40,1695.50,3179224,54487.79,104934,
2020-02-17,APOLLOHOSP,EQ,1727.00,1737.00,1700.10,1715.05,1704.40,808709,13892.86,37542,
2020-02-18,APOLLOHOSP,EQ,1716.00,1784.40,1704.80,1774.90,1715.05,1860803,32633.68,59294,
2020-02-19,APOLLOHOSP,EQ,1774.90,1792.60,1750.70,1780.50,1774.90,1029649,18234.45,37863,
2020-02-20,APOLLOHOSP,EQ,1790.00,1813.45,1778.25,1800.70,1780.50,799535,14388.00,32126,
2020-02-24,APOLLOHOSP,EQ,1796.00,1813.55,1764.25,1797.45,1800.70,708469,12699.44,52734,
2020-02-25,APOLLOHOSP,EQ,1798.00,1810.00,1778.00,1790.45,1797.45,459592,8243.80,22589,
2020-02-26,APOLLOHOSP,EQ,1785.95,1796.95,1763.00,1767.20,1790.45,494854,8824.74,28373,
2020-02-27,APOLLOHOSP,EQ,1765.00,1803.00,1755.10,1795.40,1767.20,919960,16443.94,37874,
2020-02-28,APOLLOHOSP,EQ,1780.50,1799.75,1726.10,1735.80,1795.40,1234826,21913.27,51695,
2020-03-02,APOLLOHOSP,EQ,1750.00,1777.90,1711.20,1728.55,1735.80,980080,17037.21,51371,
2020-03-03,APOLLOHOSP,EQ,1738.90,1753.20,1695.00,1725.70,1728.55,672514,11561.81,33264,
2020-03-04,APOLLOHOSP,EQ,1727.00,1772.00,1711.65,1755.25,1725.70,1164850,20359.35,59940,
2020-03-05,APOLLOHOSP,EQ,1764.95,1768.85,1718.60,1727.20,1755.25,661463,11548.85,38733,
2020-03-06,APOLLOHOSP,EQ,1700.00,1710.00,1673.00,1688.90,1727.20,498503,8427.21,27249,
2020-03-09,APOLLOHOSP,EQ,1650.00,1671.75,1606.10,1640.90,1688.90,486073,7957.35,33229,
2020-03-11,APOLLOHOSP,EQ,1629.00,1642.80,1611.00,1629.25,1640.90,617559,10065.56,52928,
2020-03-12,APOLLOHOSP,EQ,1580.00,1590.05,1480.30,1508.00,1629.25,1279868,19527.61,76623,
2020-03-13,APOLLOHOSP,EQ,1380.10,1598.50,1379.00,1513.65,1508.00,828569,12361.89,52946,
2020-03-16,APOLLOHOSP,EQ,1431.00,1540.90,1363.35,1472.80,1513.65,1197701,17732.16,101480,
2020-03-17,APOLLOHOSP,EQ,1492.80,1518.95,1415.45,1426.75,1472.80,610719,8925.88,70953,
2020-03-18,APOLLOHOSP,EQ,1454.00,1454.00,1233.55,1282.70,1426.75,1731138,22459.28,67497,
2020-03-19,APOLLOHOSP,EQ,1195.10,1248.25,1052.35,1180.10,1282.70,2412020,27757.63,140798,
2020-03-20,APOLLOHOSP,EQ,1190.25,1400.40,1150.00,1362.95,1180.10,2002361,25416.23,149394,
2020-03-23,APOLLOHOSP,EQ,1226.70,1299.35,1149.00,1158.65,1362.95,816579,9807.05,77668,
2020-03-24,APOLLOHOSP,EQ,1250.00,1265.00,1124.15,1156.00,1158.65,1641799,19402.25,148701,
2020-03-25,APOLLOHOSP,EQ,1180.00,1222.20,1072.05,1183.75,1156.00,2323541,26369.73,196390,
2020-03-26,APOLLOHOSP,EQ,1190.00,1336.30,1132.00,1215.85,1183.75,2809837,34336.40,238206,
2020-03-27,APOLLOHOSP,EQ,1259.00,1259.00,1130.30,1167.00,1215.85,2480908,29277.86,193885,
2020-03-30,APOLLOHOSP,EQ,1139.00,1167.00,1080.15,1098.25,1167.00,1207572,13420.43,128374,
2020-03-31,APOLLOHOSP,EQ,1122.00,1155.10,1047.05,1139.05,1098.25,1882578,20833.36,147751,
2020-04-01,APOLLOHOSP,EQ,1136.00,1139.00,1080.05,1088.85,1139.05,1017298,11240.60,101574,
2020-04-03,APOLLOHOSP,EQ,1094.20,1239.45,1088.05,1189.55,1088.85,2397409,28036.64,128015,
2020-04-07,APOLLOHOSP,EQ,1236.00,1278.65,1212.50,1225.95,1189.55,1473098,18253.24,138401,
2020-04-08,APOLLOHOSP,EQ,1225.90,1338.40,1211.00,1263.95,1225.95,2070270,26541.41,156926,
