date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,ASIANPAINT,EQ,1790.20,1802.55,1783.20,1793.20,1784.95,397285,7128.46,15386,
2020-01-02,ASIANPAINT,EQ,1791.00,1799.90,1783.40,1790.65,1793.20,411266,7369.17,22042,
2020-01-03,ASIANPAINT,EQ,1779.80,1779.80,1747.05,1751.40,1790.65,1318628,23181.57,66172,
2020-01-06,ASIANPAINT,EQ,1737.95,1738.00,1694.00,1707.15,1751.40,1871804,31986.89,70558,
2020-01-07,ASIANPAINT,EQ,1711.00,1740.50,1711.00,1724.40,1707.15,1033650,17874.40,70683,
2020-01-08,ASIANPAINT,EQ,1696.00,1736.00,1695.00,1728.80,1724.40,1006057,17271.18,45401,
2020-01-09,ASIANPAINT,EQ,1763.00,1775.00,1741.00,1772.55,1728.80,1781733,31324.11,72574,
2020-01-10,ASIANPAINT,EQ,1772.00,1797.30,1760.00,1792.55,1772.55,1256612,22415.07,44862,
2020-01-13,ASIANPAINT,EQ,1799.00,1807.95,1794.35,1804.90,1792.55,823821,14840.39,38516,
2020-01-14,ASIANPAINT,EQ,1805.00,1821.65,1804.80,1819.15,1804.90,775629,14090.23,37999,
2020-01-15,ASIANPAINT,EQ,1817.50,1845.00,1810.10,1842.25,1819.15,1252925,22921.14,49053,
2020-01-16,ASIANPAINT,EQ,1835.95,1848.00,1828.75,1835.15,1842.25,1031569,18944.37,55042,
2020-01-17,ASIANPAINT,EQ,1835.60,1838.90,1815.00,1830.05,1835.15,862204,15750.59,44885,
2020-01-20,ASIANPAINT,EQ,1838.00,1862.25,1833.60,1848.75,1830.05,1091453,20205.49,60609,
2020-01-21,ASIANPAINT,EQ,1839.95,1842.55,1793.85,1810.75,1848.75,2101561,38058.39,79182,
2020-01-22,ASIANPAINT,EQ,1815.00,1818.70,1766.85,1779.25,1810.75,3415306,61187.37,118628,
2020-01-23,ASIANPAINT,EQ,1779.00,1789.00,1757.10,1776.10,1779.25,1885275,33352.10,84213,
2020-01-24,ASIANPAINT,EQ,1783.65,1799.90,1780.25,1786.80,1776.10,1195596,21417.29,48875,
2020-01-27,ASIANPAINT,EQ,1787.00,1805.75,1780.00,1788.35,1786.80,969054,17377.52,46103,
2020-01-28,ASIANPAINT,EQ,1794.00,1794.00,1773.00,1779.10,1788.35,873291,15545.23,55125,
2020-01-29,ASIANPAINT,EQ,1787.00,1803.85,1781.00,1796.95,1779.10,873805,15682.67,55308,
2020-01-30,ASIANPAINT,EQ,1800.00,1808.90,1786.00,1805.00,1796.95,1005975,18069.86,56855,
2020-01-31,ASIANPAINT,EQ,1810.00,1824.00,1788.70,1795.65,1805.00,1169614,21149.17,61384,
2020-02-03,ASIANPAINT,EQ,1768.80,1872.90,1765.00,1867.65,1755.35,2854532,52301.27,118212,
2020-02-04,ASIANPAINT,EQ,1870.00,1896.75,1855.05,1891.30,1867.65,1830049,34361.13,90719,
2020-02-05,ASIANPAINT,EQ,1889.00,1890.00,1866.15,1873.50,1891.30,1344016,25216.70,86175,
2020-02-06,ASIANPAINT,EQ,1878.00,1882.40,1845.00,1856.80,1873.50,995386,18552.89,59310,
2020-02-07,ASIANPAINT,EQ,1856.80,1876.50,1850.60,1858.70,1856.80,632858,11788.74,46788,
2020-02-10,ASIANPAINT,EQ,1867.00,1872.75,1837.20,1869.50,1858.70,747711,13906.58,35773,
2020-02-11,ASIANPAINT,EQ,1880.00,1894.50,1872.75,1878.10,1869.50,1093021,20585.75,60453,
2020-02-12,ASIANPAINT,EQ,1880.00,1916.70,1878.20,1893.70,1878.10,1616826,30743.17,63869,
2020-02-13,ASIANPAINT,EQ,1889.00,1901.95,1868.05,1874.05,1893.70,638878,12001.41,26852,
2020-02-14,ASIANPAINT,EQ,1876.50,1899.65,1870.00,1877.05,1874.05,771464,14539.72,32866,
2020-02-17,ASIANPAINT,EQ,1879.90,1893.50,1870.60,1881.40,1877.05,676579,12746.89,26042,
2020-02-18,ASIANPAINT,EQ,1879.90,1879.90,1861.00,1863.65,1881.40,683421,12753.61,21209,
2020-02-19,ASIANPAINT,EQ,1870.10,1892.75,1851.35,1884.90,1863.65,723351,13523.03,33694,
2020-02-20,ASIANPAINT,EQ,1883.00,1886.00,1839.05,1842.25,1884.90,1401879,26032.31,78276,
2020-02-24,ASIANPAINT,EQ,1845.25,1853.00,1814.00,1818.95,1842.25,1310832,24032.33,70546,
2020-02-25,ASIANPAINT,EQ,1838.40,1843.55,1820.20,1826.10,1818.95,897257,16434.88,50468,
2020-02-26,ASIANPAINT,EQ,1826.00,1845.00,1820.00,1826.65,1826.10,1909619,34994.31,77766,
