date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,AUBANK,EQ,804.00,809.85,792.00,797.70,803.10,89721,716.47,7416,
2020-01-02,AUBANK,EQ,793.50,801.05,793.05,795.90,797.70,63607,507.27,3923,
2020-01-03,AUBANK,EQ,796.80,802.50,792.00,797.95,795.90,90898,724.15,6087,
2020-01-06,AUBANK,EQ,793.00,800.15,786.25,791.50,797.95,113478,897.73,8550,
2020-01-07,AUBANK,EQ,792.00,808.05,788.00,800.70,791.50,2846702,22666.61,31900,
2020-01-08,AUBANK,EQ,794.00,845.95,790.50,835.90,800.70,2468402,20309.83,53227,
2020-01-09,AUBANK,EQ,843.75,851.00,826.35,836.35,835.90,1015164,8546.34,27396,
2020-01-10,AUBANK,EQ,833.90,841.50,821.00,824.65,836.35,302585,2525.00,12193,
2020-01-13,AUBANK,EQ,830.00,843.00,825.20,838.50,824.65,232878,1953.02,7359,
2020-01-14,AUBANK,EQ,841.00,850.00,837.00,847.60,838.50,330755,2785.31,10448,
2020-01-15,AUBANK,EQ,850.05,864.95,844.05,857.45,847.60,522094,4470.65,15762,
2020-01-16,AUBANK,EQ,859.40,884.70,859.40,877.45,857.45,592539,5160.32,13300,
2020-01-17,AUBANK,EQ,883.00,888.50,865.55,877.75,877.45,353839,3113.63,16456,
2020-01-20,AUBANK,EQ,884.00,892.00,875.00,885.90,877.75,448322,3962.39,9027,
2020-01-21,AUBANK,EQ,884.00,892.00,875.50,888.35,885.90,255520,2266.24,7539,
2020-01-22,AUBANK,EQ,892.15,899.40,882.25,887.05,888.35,255835,2271.64,12494,
2020-01-23,AUBANK,EQ,911.00,1008.00,911.00,974.55,887.05,4978519,48352.71,129369,
2020-01-24,AUBANK,EQ,980.00,1097.90,972.00,1070.70,974.55,4188396,43394.49,135331,
2020-01-27,AUBANK,EQ,1080.00,1105.00,999.00,1022.05,1070.70,2719116,28820.70,118500,
2020-01-28,AUBANK,EQ,1009.80,1050.00,1005.00,1043.80,1022.05,829489,8567.25,47175,
2020-01-29,AUBANK,EQ,1060.00,1069.00,1033.00,1046.65,1043.80,284068,2979.06,16915,
2020-01-30,AUBANK,EQ,1047.95,1076.85,1024.00,1047.65,1046.65,602135,6320.76,27951,
2020-01-31,AUBANK,EQ,1055.00,1073.90,1040.00,1064.35,1047.65,421839,4478.39,17165,
2020-02-03,AUBANK,EQ,1038.00,1060.00,991.00,1043.95,1030.90,410925,4280.26,24723,
2020-02-04,AUBANK,EQ,1051.80,1061.40,1044.00,1051.80,1043.95,260618,2738.38,18530,
2020-02-05,AUBANK,EQ,1060.00,1142.75,1050.85,1095.65,1051.80,1271682,14090.29,61161,
2020-02-06,AUBANK,EQ,1105.00,1114.30,1080.00,1093.55,1095.65,489724,5358.46,30492,
2020-02-07,AUBANK,EQ,1086.90,1147.60,1080.55,1128.10,1093.55,658358,7421.09,49139,
2020-02-10,AUBANK,EQ,1130.00,1138.00,1101.00,1125.75,1128.10,426689,4800.00,26774,
2020-02-11,AUBANK,EQ,1133.00,1178.00,1117.00,1162.90,1125.75,856286,9865.09,45042,
2020-02-12,AUBANK,EQ,1160.00,1175.00,1132.00,1151.55,1162.90,427012,4935.21,42063,
2020-02-13,AUBANK,EQ,1135.05,1158.00,1101.00,1148.25,1151.55,548020,6277.21,35256,
2020-02-14,AUBANK,EQ,1160.00,1165.15,1133.35,1146.05,1148.25,255773,2931.86,19173,
2020-02-17,AUBANK,EQ,1159.70,1176.40,1129.00,1140.25,1146.05,480200,5522.62,38621,
