date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,AXISBANK,EQ,754.90,759.95,747.20,748.70,754.10,4917748,36972.21,80824,
2020-01-02,AXISBANK,EQ,750.00,759.00,747.60,756.95,748.70,5156046,38867.39,88337,
2020-01-03,AXISBANK,EQ,753.15,756.25,740.50,742.95,756.95,8489729,63361.65,139161,
2020-01-06,AXISBANK,EQ,739.45,739.60,721.70,723.25,742.95,6356198,46315.02,117943,
2020-01-07,AXISBANK,EQ,728.00,738.00,721.05,725.75,723.25,9103360,66309.07,123724,
2020-01-08,AXISBANK,EQ,715.25,725.75,709.10,724.50,725.75,8973215,64556.44,139364,
2020-01-09,AXISBANK,EQ,733.55,745.00,731.00,742.85,724.50,7559853,55998.31,92453,
2020-01-10,AXISBANK,EQ,743.00,751.80,734.80,740.05,742.85,8550490,63475.53,108489,
2020-01-13,AXISBANK,EQ,740.00,746.75,735.35,737.40,740.05,6423758,47553.50,91988,
2020-01-14,AXISBANK,EQ,740.00,751.40,734.20,747.90,737.40,7237665,53763.79,140321,
2020-01-15,AXISBANK,EQ,747.05,749.00,738.00,746.30,747.90,7911661,58768.64,121234,
2020-01-16,AXISBANK,EQ,746.50,750.40,735.10,737.30,746.30,6487613,48086.40,83509,
2020-01-17,AXISBANK,EQ,734.85,742.45,730.85,739.90,737.30,7678864,56697.34,117330,
2020-01-20,AXISBANK,EQ,742.95,746.20,725.00,727.20,739.90,10677371,78216.98,115171,
2020-01-21,AXISBANK,EQ,726.35,729.60,716.05,717.60,727.20,8242803,59550.91,104303,
2020-01-22,AXISBANK,EQ,717.00,722.75,706.60,712.60,717.60,13321307,94895.38,164845,
2020-01-23,AXISBANK,EQ,725.05,737.55,719.40,723.00,712.60,20643257,150121.24,254963,
2020-01-24,AXISBANK,EQ,723.40,741.70,720.40,737.40,723.00,9541490,69858.18,116304,
2020-01-27,AXISBANK,EQ,732.45,748.45,731.00,740.25,737.40,9170435,68020.81,131972,
2020-01-28,AXISBANK,EQ,738.40,746.50,735.00,737.15,740.25,7836737,58118.49,107517,
2020-01-29,AXISBANK,EQ,740.00,745.50,733.55,735.25,737.15,7985274,59058.50,120322,
2020-01-30,AXISBANK,EQ,735.75,736.40,727.30,730.90,735.25,6041343,44164.43,97869,
2020-01-31,AXISBANK,EQ,734.70,737.25,725.20,729.30,730.90,8345819,60956.30,92273,
2020-02-03,AXISBANK,EQ,704.70,712.80,695.55,708.95,705.45,11594991,81660.04,420772,
2020-02-04,AXISBANK,EQ,712.45,720.60,710.00,715.00,708.95,9653925,69074.08,122548,
2020-02-05,AXISBANK,EQ,719.45,725.65,715.20,724.05,715.00,7975101,57449.94,116758,
2020-02-06,AXISBANK,EQ,727.45,745.00,723.00,736.95,724.05,9627252,70880.79,166598,
2020-02-07,AXISBANK,EQ,736.70,749.20,734.00,748.15,736.95,8438354,62676.98,93643,
2020-02-10,AXISBANK,EQ,746.30,746.80,739.00,741.10,748.15,4713339,34974.56,66263,
2020-02-11,AXISBANK,EQ,743.00,757.10,742.00,749.95,741.10,7845657,58905.95,108614,
2020-02-12,AXISBANK,EQ,752.00,760.70,751.00,755.25,749.95,6190440,46837.09,102021,
2020-02-13,AXISBANK,EQ,751.10,753.45,742.30,747.80,755.25,5031706,37542.51,104948,
2020-02-14,AXISBANK,EQ,748.10,752.55,732.10,736.50,747.80,6155000,45537.41,84125,
2020-02-17,AXISBANK,EQ,737.40,743.10,730.20,738.40,736.50,4275465,31479.81,68454,
2020-02-18,AXISBANK,EQ,737.75,737.75,724.70,733.65,738.40,5215502,38103.90,83149,
2020-02-19,AXISBANK,EQ,740.65,745.10,735.35,741.05,733.65,4372673,32377.37,85398,
2020-02-20,AXISBANK,EQ,742.75,754.00,737.60,744.30,741.05,7529403,56260.55,126586,
2020-02-24,AXISBANK,EQ,737.95,738.40,723.00,725.45,744.30,6589087,48217.94,114364,
2020-02-25,AXISBANK,EQ,729.40,732.00,722.05,728.75,725.45,5419596,39457.56,86168,
2020-02-26,AXISBANK,EQ,725.30,735.75,722.00,729.40,728.75,7136975,52066.73,115827,
2020-02-27,AXISBANK,EQ,728.70,739.45,716.55,735.85,729.40,8867328,64599.09,157080,
2020-02-28,AXISBANK,EQ,718.90,724.70,691.00,697.30,735.85,16428944,115987.25,184431,
2020-03-02,AXISBANK,EQ,709.30,713.25,675.30,684.20,697.30,13854352,96421.90,177926,
2020-03-03,AXISBANK,EQ,689.90,695.80,675.00,687.15,684.20,11198145,76781.90,161760,
2020-03-04,AXISBANK,EQ,690.00,696.00,668.30,682.20,687.15,14802724,101013.86,229199,
2020-03-05,AXISBANK,EQ,686.50,694.00,675.25,677.90,682.20,10508008,72008.58,145360,
2020-03-06,AXISBANK,EQ,650.00,660.80,641.05,657.65,677.90,12969235,84742.20,220341,
2020-03-09,AXISBANK,EQ,639.00,641.85,615.10,623.55,657.65,14336439,90233.67,182268,
2020-03-11,AXISBANK,EQ,613.65,634.40,612.10,619.35,623.55,11021533,68673.67,171462,
2020-03-12,AXISBANK,EQ,592.00,594.00,528.15,543.25,619.35,29369628,163543.53,265199,
2020-03-13,AXISBANK,EQ,516.95,585.65,451.10,568.80,543.25,25599380,138746.21,305539,
2020-03-16,AXISBANK,EQ,542.35,545.00,502.35,508.60,568.80,21543626,112418.83,329445,
2020-03-17,AXISBANK,EQ,515.15,531.30,477.45,488.35,508.60,20594426,105422.20,251239,
2020-03-18,AXISBANK,EQ,490.00,506.05,392.10,473.45,488.35,36268578,165539.76,495613,
2020-03-19,AXISBANK,EQ,441.05,464.95,423.75,428.25,473.45,33244422,146494.92,397399,
2020-03-20,AXISBANK,EQ,431.40,449.70,414.20,428.15,428.25,30764380,132259.93,389335,
2020-03-23,AXISBANK,EQ,385.35,392.00,302.00,308.65,428.15,37622791,125356.37,563041,
2020-03-24,AXISBANK,EQ,331.95,337.50,291.00,303.15,308.65,50683611,157831.35,767331,
2020-03-25,AXISBANK,EQ,293.50,363.75,286.00,326.80,303.15,51994332,166172.93,741163,
2020-03-26,AXISBANK,EQ,335.95,399.00,332.00,341.40,326.80,62971676,228578.67,746077,
2020-03-27,AXISBANK,EQ,370.00,409.45,354.05,359.75,341.40,71043359,269171.74,990737,
2020-03-30,AXISBANK,EQ,345.00,382.00,340.35,368.15,359.75,61772934,225069.73,661071,
2020-03-31,AXISBANK,EQ,384.40,389.80,372.65,379.00,368.15,34637418,131506.98,380850,
2020-04-01,AXISBANK,EQ,376.25,379.80,354.00,358.65,379.00,27745001,101660.36,334884,
2020-04-03,AXISBANK,EQ,360.20,362.30,324.00,325.45,358.65,41317685,141761.80,407312,
2020-04-07,AXISBANK,EQ,347.40,405.75,342.35,388.85,325.45,48093870,176515.19,522716,
2020-04-08,AXISBANK,EQ,383.75,427.70,373.50,391.35,388.85,64930772,257597.46,769506,
2020-04-09,AXISBANK,EQ,405.00,423.00,398.65,420.15,391.35,44090829,180431.23,470749,
2020-04-13,AXISBANK,EQ,417.95,427.90,402.00,418.95,420.15,33432493,138461.37,423296,
2020-04-15,AXISBANK,EQ,434.00,451.65,412.45,417.30,418.95,48315084,209862.40,482534,
2020-04-16,AXISBANK,EQ,408.60,427.00,400.70,422.55,417.30,42344581,175889.73,490756,
2020-04-17,AXISBANK,EQ,450.00,485.90,432.40,478.80,422.55,47831855,214106.39,501888,
2020-04-20,AXISBANK,EQ,482.00,483.45,451.25,455.95,478.80,42163860,196336.35,508117,
2020-04-21,AXISBANK,EQ,436.00,439.95,412.95,420.65,455.95,33572228,141649.15,389708,
2020-04-22,AXISBANK,EQ,418.55,434.55,412.00,431.15,420.65,36619626,155449.13,407478,
2020-04-23,AXISBANK,EQ,434.60,439.85,426.05,430.05,431.15,29418033,127380.47,338254,
2020-04-24,AXISBANK,EQ,416.00,419.65,401.25,403.95,430.05,35773432,146814.62,351689,
2020-04-27,AXISBANK,EQ,415.00,429.50,409.10,427.30,403.95,35987021,151933.09,381495,
2020-04-28,AXISBANK,EQ,438.00,458.40,435.25,455.45,427.30,43938651,196100.96,471905,
2020-04-29,AXISBANK,EQ,430.75,448.85,425.95,439.10,455.45,61500039,269966.44,676631,
2020-04-30,AXISBANK,EQ,451.00,461.90,440.40,444.90,439.10,40383418,182825.08,419141,
2020-05-04,AXISBANK,EQ,424.00,424.00,399.70,402.80,444.90,37854079,155081.38,484430,
2020-05-05,AXISBANK,EQ,414.00,418.75,386.50,389.00,402.80,50982763,204164.34,558582,
2020-05-06,AXISBANK,EQ,385.00,394.45,368.05,388.85,389.00,67511657,258015.59,701599,
2020-05-07,AXISBANK,EQ,387.00,402.25,382.70,397.35,388.85,41339427,163218.79,482183,
2020-05-08,AXISBANK,EQ,403.50,409.45,379.65,382.05,397.35,33506610,132655.18,353592,
2020-05-11,AXISBANK,EQ,391.00,393.50,376.85,379.55,382.05,30143521,115816.74,335987,
2020-05-12,AXISBANK,EQ,376.30,391.80,370.00,386.85,379.55,38411667,145257.43,379557,
2020-05-13,AXISBANK,EQ,411.00,416.45,399.60,414.00,386.85,48206377,197149.48,493525,
2020-05-14,AXISBANK,EQ,405.05,411.00,397.65,401.95,414.00,31604457,127902.77,301403,
2020-05-15,AXISBANK,EQ,402.75,403.90,386.80,388.55,401.95,25435045,99572.98,274054,
2020-05-18,AXISBANK,EQ,389.00,389.00,352.30,358.80,388.55,47864793,174249.89,460935,
2020-05-19,AXISBANK,EQ,368.80,372.50,350.10,354.50,358.80,42889862,154870.75,423289,
2020-05-20,AXISBANK,EQ,353.00,366.30,350.00,362.50,354.50,30722038,109897.12,325563,
2020-05-21,AXISBANK,EQ,363.00,369.00,355.70,357.20,362.50,24794934,89997.52,250995,
2020-05-22,AXISBANK,EQ,352.10,359.75,332.85,336.95,357.20,48368474,165809.22,475509,
2020-05-26,AXISBANK,EQ,342.00,347.70,336.35,341.30,336.95,30693404,104993.76,305066,
2020-05-27,AXISBANK,EQ,346.10,392.45,341.50,387.00,341.30,72445794,267280.53,587020,
2020-05-28,AXISBANK,EQ,390.00,407.65,387.00,390.95,387.00,72694994,289163.22,644499,
2020-05-29,AXISBANK,EQ,382.00,389.25,375.35,384.95,390.95,51056884,195504.72,470861,
2020-06-01,AXISBANK,EQ,394.30,409.50,392.55,396.95,384.95,44253432,177808.12,379354,
2020-06-02,AXISBANK,EQ,398.00,415.00,391.55,410.10,396.95,37509637,150947.72,351376,
2020-06-03,AXISBANK,EQ,422.00,432.00,405.25,409.55,410.10,49057169,207742.41,435889,
2020-06-04,AXISBANK,EQ,407.60,413.90,391.55,394.35,409.55,45553928,182530.11,418486,
2020-06-05,AXISBANK,EQ,399.00,409.90,390.50,405.30,394.35,39004703,155650.68,347847,
2020-06-08,AXISBANK,EQ,415.00,444.75,414.00,430.25,405.30,60387850,260259.00,574895,
2020-06-09,AXISBANK,EQ,434.95,442.50,416.50,420.05,430.25,46274196,199456.65,377255,
2020-06-10,AXISBANK,EQ,422.20,432.70,415.30,427.45,420.05,36163767,152284.61,306681,
2020-06-11,AXISBANK,EQ,426.50,435.55,408.70,413.45,427.45,45563053,192290.27,394557,
2020-06-12,AXISBANK,EQ,390.00,412.50,389.15,408.00,413.45,47814513,191880.24,425792,
2020-06-15,AXISBANK,EQ,405.95,405.95,383.65,389.60,408.00,39578304,154947.82,383057,
2020-06-16,AXISBANK,EQ,404.90,405.00,360.40,381.55,389.60,96190274,365406.59,781976,
2020-06-17,AXISBANK,EQ,377.45,397.75,375.30,389.60,381.55,56950626,221957.31,458252,
2020-06-18,AXISBANK,EQ,386.00,408.05,384.00,405.40,389.60,43774453,173558.19,352937,
2020-06-19,AXISBANK,EQ,407.50,422.30,407.50,417.05,405.40,52085893,216923.75,428871,
2020-06-22,AXISBANK,EQ,420.00,435.90,418.10,430.15,417.05,40454158,173531.92,374532,
2020-06-23,AXISBANK,EQ,430.50,445.00,430.40,443.65,430.15,30757921,134652.67,304611,
2020-06-24,AXISBANK,EQ,448.00,448.50,422.20,424.65,443.65,33577340,146117.25,304342,
