date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,BAJAJ-AUTO,EQ,3183.00,3193.75,3142.10,3150.10,3185.00,320021,10143.99,16092,
2020-01-02,BAJAJ-AUTO,EQ,3154.95,3172.50,3112.05,3121.00,3150.10,452413,14158.70,25354,
2020-01-03,BAJAJ-AUTO,EQ,3125.50,3128.25,3065.00,3072.05,3121.00,424311,13112.63,27302,
2020-01-06,BAJAJ-AUTO,EQ,3070.00,3071.60,3028.05,3037.65,3072.05,355754,10813.66,23989,
2020-01-07,BAJAJ-AUTO,EQ,3045.50,3072.00,3030.10,3037.95,3037.65,225535,6863.21,15131,
2020-01-08,BAJAJ-AUTO,EQ,3000.00,3073.40,3000.00,3059.25,3037.95,393614,12001.00,26250,
2020-01-09,BAJAJ-AUTO,EQ,3076.00,3110.00,3066.05,3085.70,3059.25,333029,10294.00,31766,
2020-01-10,BAJAJ-AUTO,EQ,3098.00,3117.00,3085.75,3101.20,3085.70,455081,14104.12,28270,
2020-01-13,BAJAJ-AUTO,EQ,3106.00,3119.95,3080.20,3094.05,3101.20,154993,4804.16,10523,
2020-01-14,BAJAJ-AUTO,EQ,3091.10,3118.00,3074.00,3101.60,3094.05,278534,8636.22,19552,
2020-01-15,BAJAJ-AUTO,EQ,3101.00,3138.00,3092.00,3123.55,3101.60,553613,17264.33,21233,
2020-01-16,BAJAJ-AUTO,EQ,3129.80,3150.00,3101.50,3112.10,3123.55,287553,8977.15,15600,
2020-01-17,BAJAJ-AUTO,EQ,3112.00,3138.00,3098.00,3118.10,3112.10,272072,8494.82,17769,
2020-01-20,BAJAJ-AUTO,EQ,3130.00,3144.65,3083.15,3103.70,3118.10,365554,11365.06,21352,
2020-01-21,BAJAJ-AUTO,EQ,3096.00,3119.00,3085.50,3097.05,3103.70,215722,6692.27,15113,
2020-01-22,BAJAJ-AUTO,EQ,3105.00,3110.00,3070.10,3076.40,3097.05,269339,8303.03,18843,
2020-01-23,BAJAJ-AUTO,EQ,3072.00,3089.95,3051.10,3065.20,3076.40,256329,7867.94,16401,
2020-01-24,BAJAJ-AUTO,EQ,3068.00,3092.95,3064.00,3074.15,3065.20,209961,6463.56,16960,
2020-01-27,BAJAJ-AUTO,EQ,3069.80,3122.95,3044.05,3082.60,3074.15,308445,9516.56,18096,
2020-01-28,BAJAJ-AUTO,EQ,3089.80,3109.60,3048.00,3060.90,3082.60,239986,7380.63,26462,
2020-01-29,BAJAJ-AUTO,EQ,3079.00,3099.00,3060.00,3091.85,3060.90,243945,7531.36,24785,
2020-01-30,BAJAJ-AUTO,EQ,3108.50,3185.00,3041.10,3145.50,3091.85,2400831,75109.32,119163,
2020-01-31,BAJAJ-AUTO,EQ,3150.00,3239.95,3150.00,3180.05,3145.50,1141144,36592.57,67911,
2020-02-03,BAJAJ-AUTO,EQ,3143.00,3315.15,3115.10,3284.50,3143.30,921166,29854.50,70132,
2020-02-04,BAJAJ-AUTO,EQ,3270.00,3313.00,3151.00,3162.80,3284.50,1546450,49821.58,86685,
2020-02-05,BAJAJ-AUTO,EQ,3185.00,3220.90,3150.00,3161.50,3162.80,646723,20567.84,40416,
2020-02-06,BAJAJ-AUTO,EQ,3170.00,3211.00,3141.40,3149.80,3161.50,514236,16322.48,31289,
2020-02-07,BAJAJ-AUTO,EQ,3164.80,3189.00,3106.60,3134.85,3149.80,454698,14312.09,25566,
2020-02-10,BAJAJ-AUTO,EQ,3138.00,3150.85,3091.70,3103.30,3134.85,386072,12037.91,19938,
2020-02-11,BAJAJ-AUTO,EQ,3125.00,3150.00,3100.00,3145.45,3103.30,274244,8616.75,21710,
2020-02-12,BAJAJ-AUTO,EQ,3164.70,3184.65,3136.85,3146.30,3145.45,345354,10918.80,23469,
2020-02-13,BAJAJ-AUTO,EQ,3149.00,3172.20,3120.40,3136.40,3146.30,268031,8427.23,16457,
2020-02-14,BAJAJ-AUTO,EQ,3145.00,3205.00,3136.80,3146.40,3136.40,381580,12102.82,30267,
2020-02-17,BAJAJ-AUTO,EQ,3152.55,3159.45,3070.00,3075.60,3146.40,269986,8371.33,19486,
2020-02-18,BAJAJ-AUTO,EQ,3064.70,3090.55,3033.50,3082.50,3075.60,337054,10329.21,20730,
2020-02-19,BAJAJ-AUTO,EQ,3092.00,3111.95,3072.40,3090.90,3082.50,220584,6823.98,14082,
2020-02-20,BAJAJ-AUTO,EQ,3091.00,3100.05,3057.65,3065.50,3090.90,256115,7881.81,25529,
2020-02-24,BAJAJ-AUTO,EQ,3077.00,3084.65,2970.05,2980.50,3065.50,499562,15072.65,36970,
2020-02-25,BAJAJ-AUTO,EQ,2992.00,3007.00,2931.00,2947.40,2980.50,527499,15605.56,41447,
2020-02-26,BAJAJ-AUTO,EQ,2937.00,2974.00,2920.00,2946.60,2947.40,445577,13108.63,25379,
2020-02-27,BAJAJ-AUTO,EQ,2944.80,2969.95,2913.50,2936.60,2946.60,416726,12274.31,32846,
2020-02-28,BAJAJ-AUTO,EQ,2890.00,2915.00,2850.45,2890.00,2936.60,925702,26743.37,43040,
2020-03-02,BAJAJ-AUTO,EQ,2920.00,2944.50,2772.00,2792.20,2890.00,1281846,36213.38,69748,
2020-03-03,BAJAJ-AUTO,EQ,2700.00,2730.00,2653.00,2692.25,2792.20,1459848,39373.51,64846,
2020-03-04,BAJAJ-AUTO,EQ,2720.00,2764.50,2653.50,2711.50,2692.25,954038,25920.37,71202,
2020-03-05,BAJAJ-AUTO,EQ,2719.95,2749.00,2696.20,2703.65,2711.50,384427,10470.45,26735,
2020-03-06,BAJAJ-AUTO,EQ,2640.00,2758.00,2620.00,2735.05,2703.65,658891,17683.95,49017,
2020-03-09,BAJAJ-AUTO,EQ,2675.00,2690.00,2558.60,2573.35,2735.05,706898,18496.24,64191,
