date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,BAJAJFINSV,EQ,9420.00,9432.45,9351.95,9378.45,9393.35,63668,5976.05,7532,
2020-01-02,BAJAJFINSV,EQ,9378.50,9530.95,9378.45,9505.60,9378.45,157891,14959.89,13307,
2020-01-03,BAJAJFINSV,EQ,9465.00,9504.60,9324.00,9345.85,9505.60,182479,17144.33,21847,
2020-01-06,BAJAJFINSV,EQ,9339.00,9339.00,9022.00,9042.70,9345.85,244289,22276.54,29396,
2020-01-07,BAJAJFINSV,EQ,9125.00,9265.00,9065.05,9095.65,9042.70,242676,22184.27,23159,
2020-01-08,BAJAJFINSV,EQ,8971.00,9166.85,8961.60,9145.50,9095.65,269718,24523.79,24581,
2020-01-09,BAJAJFINSV,EQ,9499.90,9499.90,9209.00,9395.25,9145.50,214197,20005.15,26850,
2020-01-10,BAJAJFINSV,EQ,9375.15,9434.85,9338.30,9372.25,9395.25,139393,13083.62,16472,
2020-01-13,BAJAJFINSV,EQ,9399.80,9468.00,9365.00,9455.25,9372.25,150713,14212.00,19247,
2020-01-14,BAJAJFINSV,EQ,9446.00,9579.80,9405.30,9554.85,9455.25,162899,15484.90,18883,
2020-01-15,BAJAJFINSV,EQ,9539.85,9619.00,9501.60,9589.15,9554.85,137230,13138.48,16401,
2020-01-16,BAJAJFINSV,EQ,9590.00,9640.00,9565.05,9622.15,9589.15,135782,13043.31,16182,
2020-01-17,BAJAJFINSV,EQ,9614.00,9740.30,9601.00,9715.00,9622.15,284129,27498.45,24884,
2020-01-20,BAJAJFINSV,EQ,9725.00,9764.35,9550.00,9572.75,9715.00,184198,17798.66,19202,
2020-01-21,BAJAJFINSV,EQ,9583.95,9625.00,9508.20,9534.30,9572.75,174507,16703.48,22520,
2020-01-22,BAJAJFINSV,EQ,9590.00,9600.00,9495.00,9547.50,9534.30,139525,13331.21,12824,
2020-01-23,BAJAJFINSV,EQ,9547.50,9596.00,9484.15,9534.20,9547.50,181280,17299.72,15995,
2020-01-24,BAJAJFINSV,EQ,9519.20,9650.00,9480.10,9633.75,9534.20,123978,11885.03,14622,
2020-01-27,BAJAJFINSV,EQ,9590.00,9648.90,9535.00,9557.60,9633.75,113128,10857.45,18052,
2020-01-28,BAJAJFINSV,EQ,9557.60,9710.00,9530.00,9631.30,9557.60,190469,18346.98,27397,
2020-01-29,BAJAJFINSV,EQ,9649.00,9929.00,9649.00,9894.25,9631.30,501913,49225.31,64178,
2020-01-30,BAJAJFINSV,EQ,9924.00,9950.00,9603.35,9639.65,9894.25,412825,40184.70,48856,
2020-01-31,BAJAJFINSV,EQ,9708.00,9708.00,9410.00,9441.40,9639.65,329541,31404.61,38729,
2020-02-03,BAJAJFINSV,EQ,8955.00,9235.00,8885.00,9086.15,8947.40,502551,45617.76,56745,
2020-02-04,BAJAJFINSV,EQ,9180.00,9624.90,9161.30,9534.90,9086.15,463697,43701.78,53019,
2020-02-05,BAJAJFINSV,EQ,9540.00,9684.00,9457.70,9591.40,9534.90,324540,31131.32,41358,
2020-02-06,BAJAJFINSV,EQ,9600.00,9709.00,9560.00,9619.70,9591.40,271343,26130.74,32993,
2020-02-07,BAJAJFINSV,EQ,9610.00,9673.65,9561.05,9623.30,9619.70,142626,13728.96,24400,
2020-02-10,BAJAJFINSV,EQ,9605.00,9657.95,9531.00,9627.00,9623.30,143528,13789.86,20391,
2020-02-11,BAJAJFINSV,EQ,9643.50,9810.00,9643.50,9731.60,9627.00,195579,19080.48,20192,
2020-02-12,BAJAJFINSV,EQ,9738.00,9840.95,9685.25,9771.85,9731.60,188528,18426.74,22377,
2020-02-13,BAJAJFINSV,EQ,9758.00,9795.00,9689.00,9717.20,9771.85,136630,13298.08,17452,
2020-02-14,BAJAJFINSV,EQ,9735.00,9795.00,9653.05,9690.50,9717.20,139237,13569.69,18186,
2020-02-17,BAJAJFINSV,EQ,9699.80,9785.25,9514.55,9528.85,9690.50,175401,16801.48,23128,
2020-02-18,BAJAJFINSV,EQ,9527.00,9564.95,9416.00,9529.50,9528.85,266384,25305.54,27598,
2020-02-19,BAJAJFINSV,EQ,9580.00,9780.00,9580.00,9758.65,9529.50,221132,21470.26,30144,
2020-02-20,BAJAJFINSV,EQ,9758.00,9827.55,9693.75,9709.70,9758.65,167020,16302.76,22679,
2020-02-24,BAJAJFINSV,EQ,9680.00,9680.00,9448.30,9466.90,9709.70,199329,18980.34,25476,
2020-02-25,BAJAJFINSV,EQ,9500.00,9550.00,9351.10,9525.00,9466.90,222018,21036.66,32241,
2020-02-26,BAJAJFINSV,EQ,9455.00,9494.90,9360.00,9387.00,9525.00,175517,16552.20,24442,
2020-02-27,BAJAJFINSV,EQ,9385.00,9494.70,9266.80,9408.00,9387.00,207583,19411.73,38429,
2020-02-28,BAJAJFINSV,EQ,9270.50,9286.55,8825.05,9050.75,9408.00,537852,48775.81,59749,
2020-03-02,BAJAJFINSV,EQ,9300.00,9300.00,8808.00,8914.50,9050.75,309031,28203.25,40005,
2020-03-03,BAJAJFINSV,EQ,9000.00,9116.65,8680.00,8963.65,8914.50,550729,48963.66,77414,
2020-03-04,BAJAJFINSV,EQ,9000.00,9066.60,8593.25,8799.70,8963.65,440251,38959.67,59129,
2020-03-05,BAJAJFINSV,EQ,8870.00,8970.00,8761.05,8879.90,8799.70,319853,28437.25,41053,
