date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,BAJAJHLDNG,EQ,3409.50,3447.10,3358.00,3376.70,3406.60,12825,434.30,2377,
2020-01-02,BAJAJHLDNG,EQ,3385.00,3484.40,3381.55,3474.20,3376.70,25577,878.12,4386,
2020-01-03,BAJAJHLDNG,EQ,3491.00,3491.00,3445.00,3467.55,3474.20,17829,617.82,4205,
2020-01-06,BAJAJHLDNG,EQ,3460.00,3463.75,3433.05,3450.05,3467.55,17488,603.37,2641,
2020-01-07,BAJAJHLDNG,EQ,3450.05,3480.85,3380.05,3396.65,3450.05,31735,1091.82,4857,
2020-01-08,BAJAJHLDNG,EQ,3300.00,3445.00,3300.00,3419.85,3396.65,39466,1346.20,2967,
2020-01-09,BAJAJHLDNG,EQ,3448.95,3449.00,3396.00,3418.40,3419.85,74890,2558.09,5678,
2020-01-10,BAJAJHLDNG,EQ,3427.95,3435.00,3375.00,3386.45,3418.40,20996,713.30,4607,
2020-01-13,BAJAJHLDNG,EQ,3400.00,3419.95,3360.00,3395.95,3386.45,86638,2931.54,7485,
2020-01-14,BAJAJHLDNG,EQ,3401.75,3421.80,3390.00,3409.85,3395.95,16111,548.98,4895,
2020-01-15,BAJAJHLDNG,EQ,3409.00,3426.00,3373.00,3410.15,3409.85,46709,1594.06,4827,
2020-01-16,BAJAJHLDNG,EQ,3420.00,3420.95,3381.50,3395.95,3410.15,7275,247.60,1940,
2020-01-17,BAJAJHLDNG,EQ,3416.60,3419.95,3375.95,3386.40,3395.95,45682,1548.92,4089,
2020-01-20,BAJAJHLDNG,EQ,3402.50,3405.00,3363.05,3375.75,3386.40,21918,740.90,1978,
2020-01-21,BAJAJHLDNG,EQ,3383.00,3383.00,3362.00,3370.25,3375.75,44703,1505.88,1427,
2020-01-22,BAJAJHLDNG,EQ,3375.00,3389.95,3337.30,3353.20,3370.25,25284,851.89,4030,
2020-01-23,BAJAJHLDNG,EQ,3353.20,3372.90,3333.05,3346.40,3353.20,41158,1383.81,4076,
2020-01-24,BAJAJHLDNG,EQ,3346.25,3359.90,3328.00,3338.95,3346.40,13340,445.96,2712,
2020-01-27,BAJAJHLDNG,EQ,3330.00,3372.75,3290.00,3302.60,3338.95,20718,688.22,2904,
2020-01-28,BAJAJHLDNG,EQ,3308.00,3358.20,3260.00,3264.55,3302.60,21040,692.66,6829,
2020-01-29,BAJAJHLDNG,EQ,3279.00,3428.00,3260.00,3417.30,3264.55,119568,3966.88,9572,
2020-01-30,BAJAJHLDNG,EQ,3435.00,3482.80,3356.50,3393.85,3417.30,48165,1649.37,7330,
2020-01-31,BAJAJHLDNG,EQ,3393.85,3500.00,3350.00,3454.30,3393.85,80743,2756.21,8102,
2020-02-03,BAJAJHLDNG,EQ,3525.65,3625.40,3501.00,3600.80,3525.65,106272,3794.62,16956,
2020-02-04,BAJAJHLDNG,EQ,3619.00,3770.00,3600.00,3728.35,3600.80,581865,21574.55,18645,
2020-02-05,BAJAJHLDNG,EQ,3764.95,3950.00,3730.20,3865.50,3728.35,252064,9531.91,16920,
2020-02-06,BAJAJHLDNG,EQ,3872.00,3909.90,3761.05,3783.95,3865.50,50109,1910.50,9340,
2020-02-07,BAJAJHLDNG,EQ,3786.00,3845.00,3771.00,3783.00,3783.95,19035,723.23,6276,
2020-02-10,BAJAJHLDNG,EQ,3786.05,3793.00,3750.00,3760.00,3783.00,37538,1411.76,4657,
2020-02-11,BAJAJHLDNG,EQ,3750.05,3869.95,3750.05,3829.85,3760.00,49094,1874.78,8906,
2020-02-12,BAJAJHLDNG,EQ,3829.85,3867.00,3775.00,3806.45,3829.85,30355,1159.01,9907,
2020-02-13,BAJAJHLDNG,EQ,3815.00,3926.00,3751.00,3904.90,3806.45,155572,5888.93,16403,
2020-02-14,BAJAJHLDNG,EQ,3906.05,3939.75,3726.00,3756.55,3904.90,114918,4350.54,13358,
2020-02-17,BAJAJHLDNG,EQ,3766.00,3770.00,3680.00,3718.25,3756.55,32564,1211.16,11094,
2020-02-18,BAJAJHLDNG,EQ,3718.25,3729.00,3680.30,3699.50,3718.25,17582,650.47,4057,
2020-02-19,BAJAJHLDNG,EQ,3717.95,3805.50,3665.55,3764.00,3699.50,65449,2439.27,16226,
2020-02-20,BAJAJHLDNG,EQ,3760.00,3770.00,3660.00,3680.30,3764.00,42410,1573.28,4058,
2020-02-24,BAJAJHLDNG,EQ,3691.60,3740.00,3660.20,3695.10,3680.30,22169,823.43,5553,
2020-02-25,BAJAJHLDNG,EQ,3713.45,3750.00,3625.00,3642.25,3695.10,34366,1267.07,9564,
2020-02-26,BAJAJHLDNG,EQ,3648.00,3648.00,3465.00,3483.00,3642.25,53905,1887.10,6462,
2020-02-27,BAJAJHLDNG,EQ,3485.00,3523.65,3415.30,3456.25,3483.00,27827,960.30,5167,
2020-02-28,BAJAJHLDNG,EQ,3408.90,3430.00,3350.80,3386.65,3456.25,21849,739.59,5244,
2020-03-02,BAJAJHLDNG,EQ,3460.00,3460.00,3375.10,3393.90,3386.65,14706,501.67,3635,
2020-03-03,BAJAJHLDNG,EQ,3410.80,3437.90,3350.00,3368.30,3393.90,17842,602.49,4631,
2020-03-04,BAJAJHLDNG,EQ,3384.90,3406.00,3317.05,3323.70,3368.30,21675,728.97,5164,
