date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,BAJFINANCE,EQ,4237.80,4252.00,4221.00,4231.30,4234.75,407042,17239.65,22951,
2020-01-02,BAJFINANCE,EQ,4240.00,4295.75,4235.00,4246.05,4231.30,863844,36870.85,59073,
2020-01-03,BAJFINANCE,EQ,4220.00,4234.80,4173.00,4193.45,4246.05,1176850,49487.34,68524,
2020-01-06,BAJFINANCE,EQ,4164.00,4204.00,3983.80,3996.70,4193.45,2866735,116184.24,146938,
2020-01-07,BAJFINANCE,EQ,4055.00,4092.00,3996.20,4007.65,3996.70,2149042,86684.90,105478,
2020-01-08,BAJFINANCE,EQ,3950.00,4060.35,3950.00,4049.95,4007.65,1630576,65482.99,76621,
2020-01-09,BAJFINANCE,EQ,4105.90,4148.00,4080.00,4124.20,4049.95,1419388,58484.02,82128,
2020-01-10,BAJFINANCE,EQ,4130.10,4185.90,4118.00,4144.85,4124.20,1106624,45936.78,58883,
2020-01-13,BAJFINANCE,EQ,4168.00,4182.25,4146.00,4164.50,4144.85,645152,26851.33,40230,
2020-01-14,BAJFINANCE,EQ,4170.00,4202.40,4150.45,4193.00,4164.50,703434,29406.60,48016,
2020-01-15,BAJFINANCE,EQ,4189.95,4220.00,4170.05,4207.25,4193.00,616976,25904.58,36316,
2020-01-16,BAJFINANCE,EQ,4190.00,4229.95,4188.00,4220.25,4207.25,578728,24403.35,36690,
2020-01-17,BAJFINANCE,EQ,4217.00,4242.00,4202.00,4231.75,4220.25,671129,28381.81,51074,
2020-01-20,BAJFINANCE,EQ,4229.00,4252.95,4125.15,4152.60,4231.75,848639,35506.06,56580,
2020-01-21,BAJFINANCE,EQ,4149.95,4186.10,4117.05,4138.60,4152.60,897922,37233.94,62449,
2020-01-22,BAJFINANCE,EQ,4186.00,4186.50,4123.35,4142.20,4138.60,797901,33123.72,42630,
