date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,BANKBARODA,EQ,102.25,102.70,101.30,101.90,101.90,12896434,13145.09,27102,
2020-01-02,BANKBARODA,EQ,102.10,104.85,101.75,104.45,101.90,18704405,19319.88,42432,
2020-01-03,BANKBARODA,EQ,103.95,103.95,100.10,100.85,104.45,24439056,24910.66,55406,
2020-01-06,BANKBARODA,EQ,99.95,99.95,95.35,95.80,100.85,30549236,29548.53,70780,
2020-01-07,BANKBARODA,EQ,97.60,98.15,94.75,96.15,95.80,31124816,30015.34,67721,
2020-01-08,BANKBARODA,EQ,94.00,95.80,93.50,95.30,96.15,26770478,25384.88,55321,
2020-01-09,BANKBARODA,EQ,97.25,98.00,96.55,97.30,95.30,21511429,20947.33,48279,
2020-01-10,BANKBARODA,EQ,97.75,98.95,96.65,97.05,97.30,22583687,22071.00,53013,
2020-01-13,BANKBARODA,EQ,97.40,98.10,97.00,97.55,97.05,15182504,14807.28,31193,
2020-01-14,BANKBARODA,EQ,97.90,98.70,96.45,97.80,97.55,14721468,14392.29,34354,
2020-01-15,BANKBARODA,EQ,97.60,98.30,96.30,98.00,97.80,17552783,17100.37,38423,
2020-01-16,BANKBARODA,EQ,98.00,99.00,97.35,97.65,98.00,15395112,15110.12,33619,
2020-01-17,BANKBARODA,EQ,96.00,98.25,95.10,97.35,97.65,16846301,16381.14,35375,
2020-01-20,BANKBARODA,EQ,97.85,97.85,94.30,94.70,97.35,20296585,19427.22,47021,
2020-01-21,BANKBARODA,EQ,94.70,95.70,94.10,94.75,94.70,16440135,15598.98,39772,
2020-01-22,BANKBARODA,EQ,95.50,95.75,93.50,94.30,94.75,16534303,15604.13,39152,
2020-01-23,BANKBARODA,EQ,94.20,96.25,94.00,94.90,94.30,17790397,16956.14,39161,
2020-01-24,BANKBARODA,EQ,95.00,96.55,94.85,95.60,94.90,21508398,20596.65,50269,
2020-01-27,BANKBARODA,EQ,93.25,93.90,92.00,92.35,95.60,44570494,41323.78,104988,
2020-01-28,BANKBARODA,EQ,92.65,93.75,92.25,93.20,92.35,23833458,22135.52,45729,
2020-01-29,BANKBARODA,EQ,93.75,94.20,93.35,93.70,93.20,14424795,13518.91,27058,
2020-01-30,BANKBARODA,EQ,93.50,93.55,92.00,93.10,93.70,18403471,17065.25,36972,
2020-01-31,BANKBARODA,EQ,93.50,94.10,92.40,92.70,93.10,22498038,20980.89,42699,
2020-02-03,BANKBARODA,EQ,88.90,89.30,85.40,85.90,89.30,27702836,24071.08,79940,
2020-02-04,BANKBARODA,EQ,86.80,87.90,86.10,87.10,85.90,21444489,18676.47,45540,
2020-02-05,BANKBARODA,EQ,87.50,88.70,87.00,88.15,87.10,18282043,16077.72,36303,
2020-02-06,BANKBARODA,EQ,88.60,92.50,88.00,91.65,88.15,31183865,28204.04,65965,
2020-02-07,BANKBARODA,EQ,91.55,92.75,90.25,92.05,91.65,19744328,18125.90,40116,
2020-02-10,BANKBARODA,EQ,91.85,92.30,89.60,90.10,92.05,12920134,11716.61,31583,
2020-02-11,BANKBARODA,EQ,90.80,91.60,90.00,90.35,90.10,10892762,9892.53,24035,
2020-02-12,BANKBARODA,EQ,90.55,91.20,87.55,88.25,90.35,15597107,13883.47,38302,
2020-02-13,BANKBARODA,EQ,88.25,89.10,87.75,88.05,88.25,14891172,13159.44,28989,
2020-02-14,BANKBARODA,EQ,88.15,88.95,86.10,86.45,88.05,15401905,13456.67,32088,
2020-02-17,BANKBARODA,EQ,85.30,86.35,82.00,82.30,86.45,22256419,18606.28,55335,
2020-02-18,BANKBARODA,EQ,82.25,82.40,78.20,81.00,82.30,28227097,22592.20,78859,
2020-02-19,BANKBARODA,EQ,81.70,82.60,80.20,81.10,81.00,15937963,12933.58,35124,
2020-02-20,BANKBARODA,EQ,80.35,83.25,80.30,82.25,81.10,18131343,14858.25,39573,
