date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,BEL,EQ,100.30,100.95,99.40,100.15,100.05,5146098,5153.01,12979,
2020-01-02,BEL,EQ,100.65,103.80,99.90,103.15,100.15,8754250,8905.34,28420,
2020-01-03,BEL,EQ,103.20,103.90,100.35,100.95,103.15,7316741,7466.52,18943,
2020-01-06,BEL,EQ,99.50,100.90,95.65,96.95,100.95,12134243,11776.39,60683,
2020-01-07,BEL,EQ,98.35,99.00,95.30,96.35,96.95,11099420,10718.70,46804,
2020-01-08,BEL,EQ,95.05,97.15,94.45,95.45,96.35,6808103,6501.48,31312,
2020-01-09,BEL,EQ,97.00,97.25,95.80,97.00,95.45,13893679,13410.29,75748,
2020-01-10,BEL,EQ,97.00,98.60,97.00,97.20,97.00,7696227,7529.85,35920,
2020-01-13,BEL,EQ,98.20,99.25,97.55,98.00,97.20,9512888,9348.33,26368,
2020-01-14,BEL,EQ,98.85,100.20,97.95,99.85,98.00,7139234,7068.07,22043,
2020-01-15,BEL,EQ,100.20,104.65,99.50,103.85,99.85,13080458,13328.71,35200,
2020-01-16,BEL,EQ,106.00,107.25,104.35,105.75,103.85,18083482,19126.66,76087,
2020-01-17,BEL,EQ,105.60,108.95,104.70,108.60,105.75,11093284,11938.14,47965,
2020-01-20,BEL,EQ,109.00,109.00,103.65,105.00,108.60,9371989,9892.25,34617,
2020-01-21,BEL,EQ,104.00,106.00,103.85,105.05,105.00,5708875,5987.20,29516,
2020-01-22,BEL,EQ,105.05,105.05,100.00,100.95,105.05,15602460,15857.81,48713,
2020-01-23,BEL,EQ,101.10,104.55,100.15,101.15,100.95,21658446,22090.95,45691,
2020-01-24,BEL,EQ,101.35,103.65,101.30,101.85,101.15,6873920,7058.02,26589,
2020-01-27,BEL,EQ,101.70,103.50,101.00,101.65,101.85,8059121,8236.07,25133,
2020-01-28,BEL,EQ,101.60,102.05,99.40,100.20,101.65,10711350,10743.45,36530,
2020-01-29,BEL,EQ,100.90,101.15,99.70,100.55,100.20,9448518,9475.79,21837,
2020-01-30,BEL,EQ,101.25,103.45,100.30,100.75,100.55,11213059,11430.54,34617,
2020-01-31,BEL,EQ,96.25,99.00,89.90,90.65,100.75,56582665,52268.83,177997,
2020-02-03,BEL,EQ,85.00,87.45,80.75,83.50,84.95,25448406,21446.20,82615,
2020-02-04,BEL,EQ,84.55,87.10,84.45,84.85,83.50,14808948,12672.97,47516,
