date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,BHARTIARTL,EQ,456.05,460.50,449.75,453.30,455.80,5059995,22998.87,67334,
2020-01-02,BHARTIARTL,EQ,454.10,459.40,453.50,455.20,453.30,4842142,22057.87,78890,
2020-01-03,BHARTIARTL,EQ,455.70,459.20,451.50,455.10,455.20,5059594,23010.88,97228,
2020-01-06,BHARTIARTL,EQ,453.90,457.45,444.65,449.65,455.10,7399981,33292.61,73742,
2020-01-07,BHARTIARTL,EQ,452.00,455.30,443.10,445.10,449.65,4273646,19160.57,52718,
2020-01-08,BHARTIARTL,EQ,442.60,460.75,440.35,458.85,445.10,13858623,62472.54,126722,
2020-01-09,BHARTIARTL,EQ,468.40,474.95,455.30,460.10,458.85,17845812,82622.09,143721,
2020-01-10,BHARTIARTL,EQ,464.80,465.95,454.20,457.00,460.10,37029733,170797.84,198967,
2020-01-13,BHARTIARTL,EQ,459.00,470.30,454.25,468.90,457.00,14925989,69126.94,97122,
2020-01-14,BHARTIARTL,EQ,468.90,472.65,466.60,469.35,468.90,8086659,38002.18,85434,
2020-01-15,BHARTIARTL,EQ,469.50,472.00,465.00,467.85,469.35,10674839,49992.67,95177,
2020-01-16,BHARTIARTL,EQ,469.20,476.95,468.00,473.90,467.85,15990374,75678.77,153554,
2020-01-17,BHARTIARTL,EQ,475.10,503.80,475.10,500.05,473.90,60774623,301786.03,428688,
2020-01-20,BHARTIARTL,EQ,499.00,512.70,494.25,508.70,500.05,44464024,224630.01,317356,
2020-01-21,BHARTIARTL,EQ,510.00,515.00,504.40,511.75,508.70,64001338,326896.19,254262,
2020-01-22,BHARTIARTL,EQ,514.75,523.75,506.70,514.50,511.75,19911947,102148.52,156430,
2020-01-23,BHARTIARTL,EQ,515.00,526.00,512.35,523.65,514.50,15482185,80494.54,167208,
2020-01-24,BHARTIARTL,EQ,520.50,527.35,514.15,524.25,523.65,23385562,121895.43,195223,
2020-01-27,BHARTIARTL,EQ,521.15,524.10,511.90,514.40,524.25,11638278,60285.64,148578,
2020-01-28,BHARTIARTL,EQ,514.35,514.40,486.10,491.25,514.40,31091035,154322.80,268519,
2020-01-29,BHARTIARTL,EQ,493.10,501.40,488.25,490.25,491.25,19668016,97087.06,175835,
2020-01-30,BHARTIARTL,EQ,492.00,492.90,480.10,489.80,490.25,15055241,73360.28,87295,
2020-01-31,BHARTIARTL,EQ,493.20,499.40,487.00,496.45,489.80,18017965,88984.82,123516,
2020-02-03,BHARTIARTL,EQ,496.05,513.35,496.05,510.05,497.20,14932443,75439.05,297220,
2020-02-04,BHARTIARTL,EQ,514.00,522.60,503.45,518.90,510.05,14376670,73661.41,140565,
2020-02-05,BHARTIARTL,EQ,518.00,537.50,515.80,533.35,518.90,30082900,158103.10,229675,
2020-02-06,BHARTIARTL,EQ,535.05,552.80,534.10,546.80,533.35,16863683,91944.65,374175,
2020-02-07,BHARTIARTL,EQ,548.90,549.00,538.25,539.45,546.80,8802579,47651.51,166209,
2020-02-10,BHARTIARTL,EQ,540.20,543.65,536.10,538.70,539.45,8412522,45352.43,105955,
2020-02-11,BHARTIARTL,EQ,539.50,544.65,532.75,534.30,538.70,6500749,35044.34,94100,
2020-02-12,BHARTIARTL,EQ,536.00,542.35,535.00,539.60,534.30,5065813,27346.71,97504,
2020-02-13,BHARTIARTL,EQ,539.70,542.75,531.75,539.95,539.60,5623475,30179.50,72395,
2020-02-14,BHARTIARTL,EQ,544.90,567.55,534.25,565.00,539.95,36826473,204855.60,307059,
2020-02-17,BHARTIARTL,EQ,564.95,568.70,556.50,564.85,565.00,22924036,129242.02,209076,
2020-02-18,BHARTIARTL,EQ,563.35,568.85,537.30,548.25,564.85,21462600,118414.27,193954,
