date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,BOSCHLTD,EQ,15399.65,15539.70,15250.00,15284.80,15374.60,10221,1572.80,3184,
2020-01-02,BOSCHLTD,EQ,15320.95,15450.00,15200.00,15411.85,15284.80,12982,1990.71,3988,
2020-01-03,BOSCHLTD,EQ,15385.00,15463.90,15130.00,15172.90,15411.85,12150,1853.11,3928,
2020-01-06,BOSCHLTD,EQ,15149.95,15170.00,14760.10,14818.80,15172.90,10161,1513.48,3494,
2020-01-07,BOSCHLTD,EQ,14850.05,14999.95,14697.80,14828.00,14818.80,12015,1785.25,4027,
2020-01-08,BOSCHLTD,EQ,14742.00,14745.20,14505.70,14527.40,14828.00,10878,1587.50,3921,
2020-01-09,BOSCHLTD,EQ,14710.00,14935.00,14610.00,14879.90,14527.40,10637,1572.05,4323,
2020-01-10,BOSCHLTD,EQ,14881.00,15084.50,14733.50,14857.10,14879.90,12854,1915.69,3933,
2020-01-13,BOSCHLTD,EQ,14925.00,14940.00,14752.55,14791.30,14857.10,6553,971.97,2438,
2020-01-14,BOSCHLTD,EQ,14834.00,15199.00,14743.55,15133.30,14791.30,16359,2463.62,5743,
2020-01-15,BOSCHLTD,EQ,15130.15,15250.00,14802.00,14959.65,15133.30,12863,1919.02,4937,
2020-01-16,BOSCHLTD,EQ,15040.00,15079.10,14802.00,14825.25,14959.65,14103,2103.75,4478,
2020-01-17,BOSCHLTD,EQ,14915.00,15449.95,14858.70,15387.15,14825.25,33609,5135.65,8590,
2020-01-20,BOSCHLTD,EQ,15480.00,15550.00,14920.00,14970.35,15387.15,17559,2667.78,5758,
2020-01-21,BOSCHLTD,EQ,14929.95,15130.00,14890.00,14935.50,14970.35,14888,2234.65,4248,
2020-01-22,BOSCHLTD,EQ,14979.95,15087.85,14601.00,14662.55,14935.50,15276,2257.46,4626,
2020-01-23,BOSCHLTD,EQ,14709.00,15200.00,14652.00,14973.75,14662.55,21615,3226.68,5800,
2020-01-24,BOSCHLTD,EQ,15049.90,15241.95,14926.70,15022.45,14973.75,10465,1579.91,3773,
2020-01-27,BOSCHLTD,EQ,14939.90,15098.65,14840.00,14881.85,15022.45,6658,996.30,2877,
2020-01-28,BOSCHLTD,EQ,14893.00,15050.00,14650.15,14689.55,14881.85,19596,2904.22,5445,
2020-01-29,BOSCHLTD,EQ,14690.00,14886.95,14665.45,14737.55,14689.55,14115,2085.60,4942,
2020-01-30,BOSCHLTD,EQ,14667.00,14700.00,14155.00,14239.95,14737.55,29296,4198.44,9095,
2020-01-31,BOSCHLTD,EQ,14349.90,14350.00,13840.00,13885.70,14239.95,24677,3466.01,8079,
2020-02-03,BOSCHLTD,EQ,13600.00,13896.95,13502.80,13619.50,13630.65,13218,1811.55,4729,
2020-02-04,BOSCHLTD,EQ,13720.00,14100.00,13651.00,14013.25,13619.50,16428,2281.25,5789,
2020-02-05,BOSCHLTD,EQ,14125.00,14440.00,13555.00,13793.70,14013.25,73277,10227.98,20708,
2020-02-06,BOSCHLTD,EQ,13879.00,14198.80,13822.50,14111.15,13793.70,21721,3053.31,7559,
2020-02-07,BOSCHLTD,EQ,14199.25,14250.00,13912.65,14194.05,14111.15,20872,2941.02,7059,
2020-02-10,BOSCHLTD,EQ,14194.05,14214.70,13975.00,14082.65,14194.05,8908,1253.86,2801,
2020-02-11,BOSCHLTD,EQ,14180.00,14255.00,14105.00,14199.50,14082.65,14836,2101.24,3912,
2020-02-12,BOSCHLTD,EQ,14259.00,14442.10,14110.95,14379.50,14199.50,12694,1813.67,4887,
2020-02-13,BOSCHLTD,EQ,14379.50,14723.95,14258.80,14682.95,14379.50,15744,2291.04,5063,
