date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,BPCL,EQ,492.00,493.90,488.50,491.65,491.55,2383296,11714.58,27812,
2020-01-02,BPCL,EQ,491.20,491.70,486.45,487.55,491.65,3212483,15687.41,37044,
2020-01-03,BPCL,EQ,483.90,486.75,472.85,483.50,487.55,11327770,54532.23,115581,
2020-01-06,BPCL,EQ,475.00,480.00,465.15,469.15,483.50,7666317,36143.13,87316,
2020-01-07,BPCL,EQ,467.90,474.75,459.85,461.00,469.15,11727294,54701.00,102152,
2020-01-08,BPCL,EQ,450.00,464.40,448.55,459.90,461.00,12371538,56204.31,125543,
2020-01-09,BPCL,EQ,472.15,474.40,465.45,470.55,459.90,6499656,30529.63,72429,
2020-01-10,BPCL,EQ,473.80,474.70,466.40,470.25,470.55,4354249,20485.59,52559,
2020-01-13,BPCL,EQ,471.00,476.25,469.00,470.75,470.25,3669419,17336.08,63579,
2020-01-14,BPCL,EQ,473.90,478.75,472.10,473.35,470.75,3608358,17143.16,58729,
2020-01-15,BPCL,EQ,472.50,472.95,463.20,467.95,473.35,4978259,23263.04,73439,
2020-01-16,BPCL,EQ,468.00,469.50,460.15,461.80,467.95,3185275,14783.35,36396,
2020-01-17,BPCL,EQ,462.00,465.25,452.00,453.90,461.80,5566299,25469.25,72875,
2020-01-20,BPCL,EQ,454.95,466.70,451.60,457.15,453.90,5840651,26884.93,66156,
2020-01-21,BPCL,EQ,457.60,466.50,455.05,463.85,457.15,4199420,19369.24,53623,
2020-01-22,BPCL,EQ,465.20,466.45,454.10,455.45,463.85,3730432,17140.11,57996,
2020-01-23,BPCL,EQ,459.50,471.80,457.00,469.00,455.45,5565676,25915.08,63045,
2020-01-24,BPCL,EQ,469.25,473.20,464.70,466.10,469.00,3935630,18473.85,46520,
2020-01-27,BPCL,EQ,466.50,471.80,463.00,467.75,466.10,4414483,20682.56,40353,
2020-01-28,BPCL,EQ,469.10,482.25,467.60,480.95,467.75,7608831,36366.82,99810,
2020-01-29,BPCL,EQ,483.95,486.90,476.65,479.05,480.95,7132327,34396.42,78973,
2020-01-30,BPCL,EQ,480.05,484.50,465.15,469.65,479.05,5445938,25844.84,61298,
2020-01-31,BPCL,EQ,470.00,472.60,456.05,456.95,469.65,6946475,32001.80,85472,
2020-02-03,BPCL,EQ,446.25,463.50,442.45,460.30,443.50,9401450,42971.23,139973,
2020-02-04,BPCL,EQ,465.00,481.10,462.00,478.50,460.30,7841910,36981.06,108529,
2020-02-05,BPCL,EQ,480.00,507.95,478.00,501.70,478.50,15117047,75165.49,198766,
2020-02-06,BPCL,EQ,503.30,510.00,492.20,495.05,501.70,11233977,56267.28,110973,
2020-02-07,BPCL,EQ,494.80,495.60,486.00,491.40,495.05,4511015,22109.95,58655,
2020-02-10,BPCL,EQ,492.00,495.55,483.35,485.45,491.40,4424196,21618.92,51575,
2020-02-11,BPCL,EQ,490.80,493.95,480.05,481.00,485.45,3971655,19365.13,55023,
2020-02-12,BPCL,EQ,483.00,485.70,473.90,474.75,481.00,3774602,18045.94,40963,
2020-02-13,BPCL,EQ,477.70,478.50,468.00,469.00,474.75,4041500,19099.70,49208,
2020-02-14,BPCL,EQ,471.00,484.50,469.90,476.45,469.00,11521788,55191.64,123779,
2020-02-17,BPCL,EQ,478.45,478.45,460.00,461.65,476.45,4512992,21023.36,49885,
2020-02-18,BPCL,EQ,461.75,472.50,456.00,470.75,461.65,5970296,27806.19,58625,
2020-02-19,BPCL,EQ,473.50,481.00,469.50,475.55,470.75,5393417,25617.32,80298,
2020-02-20,BPCL,EQ,474.85,480.00,470.55,471.75,475.55,4376060,20776.72,56196,
2020-02-24,BPCL,EQ,471.00,475.70,463.00,464.65,471.75,6191443,29118.37,65359,
