date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,BRITANNIA,EQ,3044.70,3053.00,3027.40,3039.65,3027.80,110561,3362.12,6813,
2020-01-02,BRITANNIA,EQ,3047.00,3065.00,3043.05,3053.40,3039.65,138428,4227.82,10506,
2020-01-03,BRITANNIA,EQ,3045.00,3060.00,3025.65,3038.80,3053.40,168305,5114.70,16811,
2020-01-06,BRITANNIA,EQ,3030.00,3032.15,2995.05,3022.05,3038.80,181158,5455.33,20640,
2020-01-07,BRITANNIA,EQ,3033.90,3054.00,3028.00,3036.60,3022.05,159307,4843.89,17764,
2020-01-08,BRITANNIA,EQ,3020.00,3038.70,2995.00,3023.60,3036.60,194024,5868.25,15951,
2020-01-09,BRITANNIA,EQ,3047.20,3049.00,2995.10,3001.10,3023.60,434270,13078.48,34570,
2020-01-10,BRITANNIA,EQ,3014.95,3015.00,2978.05,2989.75,3001.10,526254,15761.80,39992,
2020-01-13,BRITANNIA,EQ,2995.00,3056.25,2987.30,3045.10,2989.75,420792,12758.37,22588,
2020-01-14,BRITANNIA,EQ,3058.00,3119.00,3037.15,3105.15,3045.10,653300,20211.66,33507,
2020-01-15,BRITANNIA,EQ,3120.00,3133.95,3092.90,3114.20,3105.15,438959,13658.68,25891,
2020-01-16,BRITANNIA,EQ,3116.00,3160.00,3115.00,3150.25,3114.20,768872,24163.27,32613,
2020-01-17,BRITANNIA,EQ,3155.00,3169.00,3114.35,3124.45,3150.25,294064,9227.26,30506,
2020-01-20,BRITANNIA,EQ,3143.00,3143.00,3104.40,3110.45,3124.45,203111,6335.57,16022,
2020-01-21,BRITANNIA,EQ,3100.00,3130.00,3077.25,3111.25,3110.45,220943,6859.76,22663,
2020-01-22,BRITANNIA,EQ,3125.50,3138.70,3088.90,3106.35,3111.25,248578,7730.32,21668,
2020-01-23,BRITANNIA,EQ,3103.85,3122.90,3068.10,3112.95,3106.35,203032,6293.56,16287,
2020-01-24,BRITANNIA,EQ,3113.15,3212.95,3112.05,3192.50,3112.95,580192,18416.78,36417,
2020-01-27,BRITANNIA,EQ,3187.00,3210.00,3155.00,3174.20,3192.50,322446,10291.28,19792,
2020-01-28,BRITANNIA,EQ,3182.90,3209.90,3136.50,3181.25,3174.20,292577,9317.87,33361,
2020-01-29,BRITANNIA,EQ,3200.00,3245.50,3190.05,3214.20,3181.25,434882,14030.66,44335,
2020-01-30,BRITANNIA,EQ,3208.95,3234.70,3192.45,3210.70,3214.20,337850,10853.37,36131,
2020-01-31,BRITANNIA,EQ,3242.70,3274.60,3186.85,3200.70,3210.70,468850,15183.98,39519,
2020-02-03,BRITANNIA,EQ,3097.60,3249.00,3092.35,3230.05,3097.60,657504,21143.16,50502,
2020-02-04,BRITANNIA,EQ,3235.00,3300.00,3188.00,3232.50,3230.05,511585,16586.05,47607,
2020-02-05,BRITANNIA,EQ,3269.80,3318.00,3243.70,3255.95,3232.50,423733,13898.59,38960,
2020-02-06,BRITANNIA,EQ,3260.35,3293.00,3236.35,3252.20,3255.95,410631,13391.63,23811,
2020-02-07,BRITANNIA,EQ,3256.00,3296.00,3237.10,3251.40,3252.20,450061,14683.98,29339,
2020-02-10,BRITANNIA,EQ,3270.00,3280.00,3125.00,3155.60,3251.40,969115,30723.54,71499,
2020-02-11,BRITANNIA,EQ,3179.95,3198.80,3124.20,3134.70,3155.60,507516,15994.09,37010,
2020-02-12,BRITANNIA,EQ,3124.20,3209.00,3124.20,3136.80,3134.70,669153,21178.15,39756,
2020-02-13,BRITANNIA,EQ,3132.00,3143.65,3105.20,3135.20,3136.80,319421,9973.10,25248,
2020-02-14,BRITANNIA,EQ,3116.00,3159.00,3090.30,3096.65,3135.20,270506,8432.84,22403,
2020-02-17,BRITANNIA,EQ,3095.00,3112.30,3072.05,3084.10,3096.65,224912,6955.01,33675,
2020-02-18,BRITANNIA,EQ,3080.00,3080.00,3020.00,3066.45,3084.10,453173,13802.17,38857,
2020-02-19,BRITANNIA,EQ,3082.10,3111.00,3040.00,3082.25,3066.45,462922,14233.28,38284,
2020-02-20,BRITANNIA,EQ,3079.80,3123.45,3052.25,3059.40,3082.25,270720,8349.57,16903,
2020-02-24,BRITANNIA,EQ,3059.00,3065.00,3005.00,3036.20,3059.40,427352,13002.79,34505,
2020-02-25,BRITANNIA,EQ,3040.00,3078.00,3018.00,3033.55,3036.20,350415,10662.99,19502,
2020-02-26,BRITANNIA,EQ,3025.10,3069.90,3016.70,3041.35,3033.55,366302,11157.33,23858,
2020-02-27,BRITANNIA,EQ,3036.95,3100.00,2960.00,3026.05,3041.35,652385,19603.58,56424,
2020-02-28,BRITANNIA,EQ,2983.00,3020.00,2917.00,2970.20,3026.05,619510,18323.26,58671,
2020-03-02,BRITANNIA,EQ,2995.00,3053.95,2925.00,2949.10,2970.20,348147,10393.71,29275,
2020-03-03,BRITANNIA,EQ,2970.00,3045.50,2965.00,3026.50,2949.10,399770,12028.12,39729,
2020-03-04,BRITANNIA,EQ,3048.00,3080.00,3028.00,3063.05,3026.50,368498,11252.49,32046,
2020-03-05,BRITANNIA,EQ,3082.60,3165.00,3076.10,3127.15,3063.05,720100,22569.33,58065,
2020-03-06,BRITANNIA,EQ,3084.90,3100.00,3013.25,3081.40,3127.15,593374,18163.62,48018,
2020-03-09,BRITANNIA,EQ,3045.00,3061.80,2968.50,2996.50,3081.40,607257,18219.50,58705,
2020-03-11,BRITANNIA,EQ,2982.20,3065.90,2944.10,3048.30,2996.50,534597,16091.72,46397,
2020-03-12,BRITANNIA,EQ,2945.00,2968.95,2785.05,2810.65,3048.30,774263,22076.74,76812,
2020-03-13,BRITANNIA,EQ,2700.00,3049.90,2410.00,2763.60,2810.65,1108162,30763.04,101419,
2020-03-16,BRITANNIA,EQ,2704.80,2744.65,2602.05,2709.00,2763.60,791034,21314.51,84360,
2020-03-17,BRITANNIA,EQ,2720.00,2795.75,2669.05,2686.00,2709.00,567266,15424.60,57590,
2020-03-18,BRITANNIA,EQ,2728.00,2744.95,2480.00,2501.95,2686.00,649481,16838.25,72279,
2020-03-19,BRITANNIA,EQ,2389.00,2404.00,2260.00,2318.15,2501.95,786857,18327.21,86364,
2020-03-20,BRITANNIA,EQ,2341.30,2500.90,2294.25,2467.80,2318.15,742455,17965.05,53814,
2020-03-23,BRITANNIA,EQ,2300.00,2422.40,2100.00,2137.85,2467.80,613493,13755.69,62494,
2020-03-24,BRITANNIA,EQ,2117.00,2450.00,2111.90,2364.70,2137.85,929170,21806.62,109412,
2020-03-25,BRITANNIA,EQ,2364.60,2511.60,2317.10,2451.40,2364.70,1249005,30521.32,72843,
2020-03-26,BRITANNIA,EQ,2471.55,2668.80,2417.30,2588.45,2451.40,944116,23831.19,70894,
2020-03-27,BRITANNIA,EQ,2690.00,2708.95,2505.00,2529.25,2588.45,472582,12259.39,50330,
2020-03-30,BRITANNIA,EQ,2465.25,2579.35,2442.75,2473.75,2529.25,701815,17724.31,63092,
2020-03-31,BRITANNIA,EQ,2579.95,2710.00,2490.00,2688.95,2473.75,734769,19252.19,71062,
2020-04-01,BRITANNIA,EQ,2700.00,2780.00,2505.00,2564.85,2688.95,1167150,30583.75,106869,
2020-04-03,BRITANNIA,EQ,2588.95,2610.00,2475.00,2563.25,2564.85,726903,18419.31,80839,
2020-04-07,BRITANNIA,EQ,2640.15,2878.70,2640.15,2834.50,2563.25,1062855,29525.95,101614,
2020-04-08,BRITANNIA,EQ,2829.00,2990.00,2759.00,2775.55,2834.50,1037961,29692.33,81563,
2020-04-09,BRITANNIA,EQ,2850.00,2850.00,2732.90,2801.70,2775.55,893108,24947.67,67598,
2020-04-13,BRITANNIA,EQ,2800.00,2800.00,2697.35,2706.15,2801.70,501533,13710.25,55682,
2020-04-15,BRITANNIA,EQ,2772.00,2908.50,2754.70,2837.35,2706.15,1011691,28741.24,93489,
2020-04-16,BRITANNIA,EQ,2837.50,2893.95,2815.00,2836.80,2837.35,675907,19326.08,66034,
2020-04-17,BRITANNIA,EQ,2884.00,2895.00,2802.20,2832.15,2836.80,705271,20074.90,55520,
2020-04-20,BRITANNIA,EQ,2860.10,2864.80,2801.00,2833.00,2832.15,667917,18992.41,95055,
2020-04-21,BRITANNIA,EQ,2779.90,2906.35,2733.15,2863.25,2833.00,1129799,32287.34,96324,
2020-04-22,BRITANNIA,EQ,2863.00,2969.70,2827.45,2952.65,2863.25,737395,21433.98,87508,
2020-04-23,BRITANNIA,EQ,2960.00,3245.00,2918.00,2947.40,2952.65,3426363,105685.05,196182,
2020-04-24,BRITANNIA,EQ,2980.00,3122.90,2956.00,3062.15,2947.40,2613797,79395.14,155984,
2020-04-27,BRITANNIA,EQ,3075.85,3290.00,3070.00,3242.05,3062.15,1993378,63409.95,132910,
2020-04-28,BRITANNIA,EQ,3277.00,3289.85,3160.00,3193.95,3242.05,1379063,44126.70,105036,
2020-04-29,BRITANNIA,EQ,3187.80,3238.75,3150.00,3156.80,3193.95,1177520,37606.73,77776,
2020-04-30,BRITANNIA,EQ,3195.00,3205.00,3150.00,3165.75,3156.80,1021592,32421.66,71096,
2020-05-04,BRITANNIA,EQ,3109.00,3160.00,3056.00,3092.95,3165.75,591353,18390.79,45069,
2020-05-05,BRITANNIA,EQ,3107.00,3126.00,2970.50,2978.75,3092.95,905266,27427.88,61619,
2020-05-06,BRITANNIA,EQ,2950.00,3065.00,2907.65,2987.70,2978.75,995972,29766.54,73252,
2020-05-07,BRITANNIA,EQ,2977.70,2980.00,2867.00,2915.35,2987.70,994651,28931.82,74503,
2020-05-08,BRITANNIA,EQ,2945.00,3037.00,2923.45,2994.65,2915.35,1102857,32936.42,67049,
2020-05-11,BRITANNIA,EQ,3029.00,3083.40,2991.85,3053.95,2994.65,1095855,33418.14,83127,
2020-05-12,BRITANNIA,EQ,3048.95,3123.20,3031.30,3107.30,3053.95,1329390,41054.56,98174,
2020-05-13,BRITANNIA,EQ,3180.00,3188.00,3057.50,3079.55,3107.30,850975,26466.55,66994,
2020-05-14,BRITANNIA,EQ,3065.00,3138.00,3031.70,3118.70,3079.55,777257,24159.29,50696,
2020-05-15,BRITANNIA,EQ,3146.90,3196.00,3115.00,3125.65,3118.70,870248,27421.63,68953,
2020-05-18,BRITANNIA,EQ,3110.00,3165.00,3098.10,3109.55,3125.65,730350,22857.21,57553,
2020-05-19,BRITANNIA,EQ,3130.20,3147.90,3086.05,3104.00,3109.55,537217,16705.42,48204,
2020-05-20,BRITANNIA,EQ,3110.60,3159.00,3106.85,3127.85,3104.00,439150,13776.77,61420,
2020-05-21,BRITANNIA,EQ,3120.10,3157.00,3099.00,3110.95,3127.85,574325,17936.27,50121,
2020-05-22,BRITANNIA,EQ,3104.00,3184.20,3080.00,3167.10,3110.95,630580,19807.30,45955,
2020-05-26,BRITANNIA,EQ,3200.00,3244.00,3141.00,3163.85,3167.10,718134,22944.50,45691,
2020-05-27,BRITANNIA,EQ,3170.00,3238.95,3141.00,3220.30,3163.85,739328,23557.33,56923,
2020-05-28,BRITANNIA,EQ,3217.50,3363.25,3189.35,3323.25,3220.30,1453514,48081.76,79917,
2020-05-29,BRITANNIA,EQ,3289.90,3417.00,3289.90,3378.85,3323.25,1658714,55929.22,96223,
2020-06-01,BRITANNIA,EQ,3416.00,3470.00,3401.00,3434.85,3378.85,883460,30294.04,78262,
2020-06-02,BRITANNIA,EQ,3434.90,3480.00,3400.00,3451.00,3434.85,786444,27180.20,49161,
2020-06-03,BRITANNIA,EQ,3601.00,3708.00,3471.20,3510.30,3451.00,3415126,123544.79,188028,
2020-06-04,BRITANNIA,EQ,3510.00,3555.00,3422.00,3450.35,3510.30,1309771,45414.45,90761,
2020-06-05,BRITANNIA,EQ,3475.00,3497.95,3402.20,3466.70,3450.35,1200548,41349.01,69534,
2020-06-08,BRITANNIA,EQ,3486.00,3513.25,3410.00,3426.80,3466.70,768759,26483.43,53639,
2020-06-09,BRITANNIA,EQ,3434.90,3469.90,3409.00,3415.70,3426.80,567611,19536.98,40011,
2020-06-10,BRITANNIA,EQ,3420.90,3447.60,3357.40,3377.00,3415.70,628261,21309.70,39501,
2020-06-11,BRITANNIA,EQ,3389.90,3403.45,3330.00,3370.35,3377.00,673105,22628.93,42912,
2020-06-12,BRITANNIA,EQ,3333.00,3443.00,3305.75,3366.05,3370.35,1373475,46378.86,75192,
2020-06-15,BRITANNIA,EQ,3351.00,3406.50,3343.45,3357.20,3366.05,609721,20556.79,40078,
2020-06-16,BRITANNIA,EQ,3381.05,3399.95,3330.00,3345.35,3357.20,701355,23520.50,42942,
2020-06-17,BRITANNIA,EQ,3357.85,3435.00,3355.05,3401.45,3345.35,1100079,37424.95,51584,
2020-06-18,BRITANNIA,EQ,3415.00,3457.00,3381.55,3404.25,3401.45,898020,30633.60,45747,
2020-06-19,BRITANNIA,EQ,3417.90,3450.00,3382.00,3438.55,3404.25,782740,26725.77,51344,
2020-06-22,BRITANNIA,EQ,3450.00,3475.00,3416.00,3421.20,3438.55,735172,25264.22,41856,
2020-06-23,BRITANNIA,EQ,3429.95,3504.90,3426.30,3467.05,3421.20,765553,26591.57,42863,
2020-06-24,BRITANNIA,EQ,3487.00,3504.90,3440.00,3446.40,3467.05,573266,19898.32,38102,
2020-06-25,BRITANNIA,EQ,3424.90,3474.40,3420.00,3450.40,3446.40,546489,18870.85,35227,
2020-06-26,BRITANNIA,EQ,3457.30,3499.90,3444.30,3456.40,3450.40,448352,15554.60,37757,
2020-06-29,BRITANNIA,EQ,3452.80,3544.85,3445.80,3519.25,3456.40,940186,33051.06,44774,
2020-06-30,BRITANNIA,EQ,3542.00,3615.00,3540.00,3603.80,3519.25,1236537,44419.68,77171,
2020-07-01,BRITANNIA,EQ,3605.00,3611.00,3536.00,3545.95,3603.80,586225,20855.52,57950,
2020-07-02,BRITANNIA,EQ,3553.00,3567.65,3512.05,3535.10,3545.95,422319,14924.73,46699,
2020-07-03,BRITANNIA,EQ,3549.50,3579.95,3515.00,3538.35,3535.10,323231,11440.94,37332,
2020-07-06,BRITANNIA,EQ,3560.00,3646.00,3541.00,3624.45,3538.35,538078,19368.34,39680,
2020-07-07,BRITANNIA,EQ,3636.00,3685.45,3580.00,3678.45,3624.45,664348,24227.72,62718,
2020-07-08,BRITANNIA,EQ,3675.55,3712.50,3630.00,3685.00,3678.45,531417,19580.22,55010,
2020-07-09,BRITANNIA,EQ,3690.00,3699.00,3650.00,3673.60,3685.00,397351,14595.91,36386,
2020-07-10,BRITANNIA,EQ,3669.60,3753.60,3655.35,3726.65,3673.60,706136,26272.29,57226,
2020-07-13,BRITANNIA,EQ,3760.00,3835.00,3750.25,3796.80,3726.65,1108644,42088.71,81417,
2020-07-14,BRITANNIA,EQ,3795.55,3795.95,3729.00,3735.25,3796.80,399210,14981.78,32925,
2020-07-15,BRITANNIA,EQ,3742.00,3778.30,3711.70,3723.25,3735.25,506574,18965.70,31492,
2020-07-16,BRITANNIA,EQ,3729.00,3880.25,3689.55,3854.75,3723.25,987220,37372.09,57525,
2020-07-17,BRITANNIA,EQ,3900.00,3938.00,3766.80,3785.00,3854.75,4503046,173348.33,257588,
2020-07-20,BRITANNIA,EQ,3859.00,3993.00,3807.20,3982.65,3785.00,3785159,148720.99,201217,
2020-07-21,BRITANNIA,EQ,3999.00,4010.00,3875.00,3880.40,3982.65,1880670,73921.95,120728,
2020-07-22,BRITANNIA,EQ,3914.80,3924.40,3791.05,3805.05,3880.40,1019300,39094.57,69007,
2020-07-23,BRITANNIA,EQ,3825.00,3879.75,3820.00,3827.60,3805.05,791770,30406.49,46771,
2020-07-24,BRITANNIA,EQ,3824.95,3849.90,3768.00,3818.45,3827.60,665233,25364.81,40154,
2020-07-27,BRITANNIA,EQ,3845.00,3846.60,3762.40,3777.35,3818.45,523512,19842.32,31448,
2020-07-28,BRITANNIA,EQ,3780.30,3830.00,3763.35,3774.75,3777.35,599914,22729.35,35866,
2020-07-29,BRITANNIA,EQ,3797.70,3853.00,3780.00,3794.70,3774.75,785425,29962.54,43835,
2020-07-30,BRITANNIA,EQ,3818.40,3874.40,3790.50,3805.95,3794.70,855542,32773.51,57845,
2020-07-31,BRITANNIA,EQ,3811.00,3860.00,3801.10,3823.60,3805.95,681895,26107.44,47880,
2020-08-03,BRITANNIA,EQ,3827.00,3849.90,3768.10,3776.20,3823.60,369180,14031.24,28638,
2020-08-04,BRITANNIA,EQ,3800.00,3855.00,3785.00,3817.60,3776.20,642559,24596.75,47969,
2020-08-05,BRITANNIA,EQ,3839.90,3873.55,3827.95,3849.95,3817.60,569216,21916.08,32473,
2020-08-06,BRITANNIA,EQ,3865.00,3912.00,3845.00,3857.65,3849.95,786063,30515.69,47515,
2020-08-07,BRITANNIA,EQ,3865.00,3945.00,3850.00,3934.80,3857.65,1061884,41368.42,57907,
2020-08-10,BRITANNIA,EQ,3959.95,4005.00,3929.00,3942.80,3934.80,826722,32828.32,43689,
2020-08-11,BRITANNIA,EQ,3950.00,3970.00,3865.00,3879.55,3942.80,422055,16517.03,30873,
2020-08-12,BRITANNIA,EQ,3880.55,3885.00,3800.00,3809.75,3879.55,619436,23703.15,49409,
2020-08-13,BRITANNIA,EQ,3823.80,3857.85,3792.05,3808.25,3809.75,513264,19627.56,30179,
2020-08-14,BRITANNIA,EQ,3828.00,3840.00,3752.00,3801.35,3808.25,537499,20419.04,33440,
2020-08-17,BRITANNIA,EQ,3830.00,3895.00,3802.00,3868.65,3801.35,987819,37999.58,51397,
2020-08-18,BRITANNIA,EQ,3880.00,3940.00,3875.00,3914.30,3868.65,768897,30129.90,57731,
2020-08-19,BRITANNIA,EQ,3943.65,3949.00,3865.65,3875.40,3914.30,505661,19748.64,37260,
2020-08-20,BRITANNIA,EQ,3880.00,3910.20,3837.25,3868.10,3875.40,523854,20339.49,30736,
2020-08-21,BRITANNIA,EQ,3896.00,3912.00,3865.05,3882.75,3868.10,401007,15568.99,25668,
2020-08-24,BRITANNIA,EQ,3912.00,3926.00,3894.20,3908.35,3882.75,444407,17382.96,31046,
2020-08-25,BRITANNIA,EQ,3918.00,3929.95,3875.00,3896.85,3908.35,358587,13969.67,28695,
2020-08-26,BRITANNIA,EQ,3845.00,3857.35,3799.10,3829.25,3896.85,608530,23313.76,47167,
2020-08-27,BRITANNIA,EQ,3840.00,3853.35,3810.00,3816.60,3829.25,385945,14801.63,32932,
2020-08-28,BRITANNIA,EQ,3819.00,3827.60,3787.00,3793.85,3816.60,512488,19513.98,36580,
2020-08-31,BRITANNIA,EQ,3806.40,3811.00,3684.00,3726.05,3793.85,600226,22430.46,46078,
2020-09-01,BRITANNIA,EQ,3735.00,3787.75,3718.30,3771.00,3726.05,387446,14552.33,23015,
2020-09-02,BRITANNIA,EQ,3787.90,3813.60,3752.00,3799.20,3771.00,305952,11585.16,26116,
2020-09-03,BRITANNIA,EQ,3798.00,3808.75,3740.00,3746.85,3799.20,414160,15561.37,34350,
2020-09-04,BRITANNIA,EQ,3730.00,3809.00,3698.55,3705.85,3746.85,759852,28538.76,56620,
2020-09-07,BRITANNIA,EQ,3732.90,3750.00,3655.00,3724.05,3705.85,437318,16227.23,31550,
2020-09-08,BRITANNIA,EQ,3726.90,3762.45,3711.25,3731.60,3724.05,379275,14191.52,29868,
