date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,CANBK,EQ,222.10,223.35,219.80,221.65,221.35,4215881,9339.68,24499,
2020-01-02,CANBK,EQ,222.40,229.80,220.95,228.85,221.65,7033453,15881.71,35737,
2020-01-03,CANBK,EQ,227.80,228.50,220.65,221.65,228.85,6646941,14853.07,35653,
2020-01-06,CANBK,EQ,220.55,220.75,205.60,207.45,221.65,13650687,28705.82,71832,
2020-01-07,CANBK,EQ,213.40,214.30,204.70,208.05,207.45,14222549,29732.26,79067,
2020-01-08,CANBK,EQ,202.50,209.40,200.45,207.80,208.05,15141394,30913.21,75985,
2020-01-09,CANBK,EQ,213.60,215.75,210.75,213.45,207.80,8668763,18503.56,44068,
2020-01-10,CANBK,EQ,214.10,218.60,212.20,214.15,213.45,9320962,20069.82,49817,
2020-01-13,CANBK,EQ,215.00,216.80,213.60,216.15,214.15,5888640,12687.06,32350,
2020-01-14,CANBK,EQ,216.20,218.05,214.10,215.55,216.15,5884894,12727.00,29612,
2020-01-15,CANBK,EQ,213.05,219.40,209.05,218.15,215.55,11669551,24984.78,61034,
2020-01-16,CANBK,EQ,218.70,222.80,215.50,219.10,218.15,8313124,18243.74,46282,
2020-01-17,CANBK,EQ,216.10,223.70,215.80,221.60,219.10,8369664,18504.66,42193,
2020-01-20,CANBK,EQ,222.25,223.65,216.65,218.85,221.60,5635312,12347.02,34536,
2020-01-21,CANBK,EQ,217.30,221.30,216.00,219.15,218.85,6067583,13299.24,35740,
2020-01-22,CANBK,EQ,220.35,221.50,216.60,218.90,219.15,4521588,9896.63,29725,
2020-01-23,CANBK,EQ,219.05,226.75,217.10,220.70,218.90,13910267,30855.91,78535,
2020-01-24,CANBK,EQ,221.90,224.20,217.50,218.80,220.70,7294499,16081.89,46576,
2020-01-27,CANBK,EQ,215.90,217.15,208.95,210.35,218.80,6494563,13877.29,42327,
2020-01-28,CANBK,EQ,211.00,211.95,202.65,203.60,210.35,10799426,22346.00,55347,
2020-01-29,CANBK,EQ,205.85,207.90,203.55,204.10,203.60,5800555,11929.20,33655,
2020-01-30,CANBK,EQ,203.50,204.70,200.15,202.25,204.10,7099653,14356.85,40022,
2020-01-31,CANBK,EQ,204.00,205.35,200.40,202.65,202.25,7014346,14216.04,37824,
2020-02-03,CANBK,EQ,192.00,193.95,186.00,186.95,192.05,10159075,19280.70,48265,
2020-02-04,CANBK,EQ,190.00,192.65,184.80,185.70,186.95,10704318,20182.31,50469,
2020-02-05,CANBK,EQ,186.00,188.00,182.90,184.00,185.70,10154236,18801.22,50977,
2020-02-06,CANBK,EQ,185.15,194.40,184.10,189.55,184.00,16772311,31769.56,76699,
2020-02-07,CANBK,EQ,189.95,193.15,186.90,190.00,189.55,11219507,21361.03,60923,
2020-02-10,CANBK,EQ,189.95,191.80,185.95,187.15,190.00,6623990,12465.19,39885,
2020-02-11,CANBK,EQ,188.90,191.45,186.65,187.60,187.15,6490881,12282.21,36751,
2020-02-12,CANBK,EQ,188.95,189.75,182.85,184.70,187.60,7932797,14714.43,41694,
2020-02-13,CANBK,EQ,185.50,187.55,182.60,183.00,184.70,8338787,15386.16,39038,
2020-02-14,CANBK,EQ,183.30,185.50,179.55,180.30,183.00,8605375,15662.54,42975,
2020-02-17,CANBK,EQ,180.80,181.30,174.20,174.80,180.30,6859158,12105.21,37887,
2020-02-18,CANBK,EQ,175.00,175.00,167.55,172.80,174.80,9137114,15602.93,51018,
2020-02-19,CANBK,EQ,174.40,176.35,171.50,173.65,172.80,6706914,11635.72,33370,
2020-02-20,CANBK,EQ,173.40,177.40,171.15,172.65,173.65,7289494,12707.64,35918,
2020-02-24,CANBK,EQ,171.00,171.70,164.45,165.55,172.65,5910514,9958.82,35310,
2020-02-25,CANBK,EQ,166.55,166.65,162.35,162.90,165.55,7344060,12040.23,38646,
2020-02-26,CANBK,EQ,161.50,163.10,159.10,159.90,162.90,6950126,11184.32,36045,
2020-02-27,CANBK,EQ,159.40,160.45,154.25,155.55,159.90,8498519,13271.68,37077,
2020-02-28,CANBK,EQ,150.00,150.70,140.15,143.70,155.55,9479531,13933.89,41822,
2020-03-02,CANBK,EQ,146.30,147.90,136.20,138.15,143.70,10112716,14514.81,48301,
2020-03-03,CANBK,EQ,139.75,143.50,137.80,141.75,138.15,12866011,18026.85,51449,
2020-03-04,CANBK,EQ,142.00,142.20,135.20,138.90,141.75,10602835,14699.42,45543,
2020-03-05,CANBK,EQ,139.75,143.35,133.95,139.10,138.90,14180230,19716.62,58268,
2020-03-06,CANBK,EQ,130.00,132.70,127.40,130.50,139.10,8274049,10827.49,38425,
2020-03-09,CANBK,EQ,125.00,127.85,120.00,121.65,130.50,9425292,11716.84,42899,
2020-03-11,CANBK,EQ,121.65,123.80,115.30,116.65,121.65,10041511,12072.87,50628,
2020-03-12,CANBK,EQ,108.00,109.70,97.05,98.50,116.65,15182766,15541.41,68321,
2020-03-13,CANBK,EQ,89.20,109.40,82.00,107.40,98.50,18446393,18170.72,95175,
2020-03-16,CANBK,EQ,99.70,102.80,97.50,99.65,107.40,11979773,11969.34,64649,
