date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-02-13,CGPOWER,EQ,9.00,9.05,8.50,9.05,8.65,247319,22.04,686,
2020-02-14,CGPOWER,EQ,9.35,9.50,8.80,8.95,9.05,420418,38.52,1279,
2020-02-17,CGPOWER,EQ,8.85,8.85,8.55,8.75,8.95,316923,27.47,710,
2020-02-18,CGPOWER,EQ,8.65,8.70,8.35,8.35,8.75,376357,31.73,1300,
2020-02-19,CGPOWER,EQ,8.35,8.75,8.35,8.45,8.35,762927,65.63,1186,
2020-02-20,CGPOWER,EQ,8.45,8.85,8.10,8.35,8.45,299658,25.32,893,
2020-02-24,CGPOWER,EQ,8.20,8.50,8.05,8.05,8.35,356190,28.89,1417,
2020-02-25,CGPOWER,EQ,8.05,8.15,7.65,7.65,8.05,554334,42.67,1115,
2020-02-26,CGPOWER,EQ,7.30,7.70,7.30,7.35,7.65,759621,56.24,1481,
2020-02-27,CGPOWER,EQ,7.35,7.35,7.00,7.00,7.35,817644,57.32,1080,
2020-02-28,CGPOWER,EQ,6.70,7.05,6.65,7.00,7.00,490066,33.47,1575,
2020-03-02,CGPOWER,EQ,7.35,7.35,6.70,6.80,7.00,533893,37.74,1466,
2020-03-03,CGPOWER,EQ,6.90,7.00,6.50,6.50,6.80,584778,38.83,818,
2020-03-04,CGPOWER,EQ,6.30,6.40,6.20,6.20,6.50,328420,20.38,494,
2020-03-05,CGPOWER,EQ,5.95,6.40,5.95,6.00,6.20,705239,42.65,1798,
2020-03-06,CGPOWER,EQ,6.00,6.00,5.70,5.70,6.00,327488,18.72,606,
2020-03-09,CGPOWER,EQ,5.50,5.70,5.45,5.45,5.70,666698,36.36,1178,
2020-03-11,CGPOWER,EQ,5.45,5.55,5.20,5.25,5.45,931343,48.87,1503,
2020-03-12,CGPOWER,EQ,5.00,5.50,5.00,5.00,5.25,2690904,141.85,2828,
2020-03-13,CGPOWER,EQ,4.90,5.25,4.75,5.15,5.00,1482634,75.40,1860,
2020-03-16,CGPOWER,EQ,5.25,5.40,5.15,5.40,5.15,267242,14.40,635,
2020-03-17,CGPOWER,EQ,5.65,5.65,5.55,5.65,5.40,1741604,98.34,2042,
2020-03-18,CGPOWER,EQ,5.90,5.90,5.65,5.85,5.65,1730982,101.69,2539,
2020-03-19,CGPOWER,EQ,6.00,6.10,5.60,5.60,5.85,644033,36.69,1196,
2020-03-20,CGPOWER,EQ,5.80,5.85,5.40,5.85,5.60,1223050,71.24,1003,
2020-03-23,CGPOWER,EQ,5.80,5.80,5.60,5.60,5.85,208644,11.71,606,
2020-03-24,CGPOWER,EQ,5.60,5.85,5.35,5.50,5.60,616761,33.90,1320,
2020-03-25,CGPOWER,EQ,5.50,5.50,5.25,5.25,5.50,392008,20.82,613,
2020-03-26,CGPOWER,EQ,5.20,5.20,5.00,5.05,5.25,754720,38.05,1211,
2020-03-27,CGPOWER,EQ,5.10,5.30,5.00,5.10,5.05,393434,20.32,1136,
2020-03-30,CGPOWER,EQ,5.10,5.25,4.85,4.90,5.10,436366,21.37,984,
