date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,CHOLAFIN,EQ,306.65,308.00,302.10,302.85,305.50,357891,1090.76,6842,
2020-01-02,CHOLAFIN,EQ,304.25,309.90,301.50,309.20,302.85,1409338,4329.95,17640,
2020-01-03,CHOLAFIN,EQ,310.50,310.50,299.35,303.05,309.20,1026261,3122.99,14580,
2020-01-06,CHOLAFIN,EQ,291.50,300.70,287.05,291.50,303.05,2555741,7465.88,38138,
2020-01-07,CHOLAFIN,EQ,295.40,297.55,291.25,294.75,291.50,1064029,3136.70,17723,
2020-01-08,CHOLAFIN,EQ,292.00,296.45,290.10,294.60,294.75,1533409,4512.59,39001,
2020-01-09,CHOLAFIN,EQ,297.95,309.70,296.75,306.40,294.60,1597360,4858.70,19502,
2020-01-10,CHOLAFIN,EQ,306.00,316.00,306.00,314.10,306.40,1852886,5781.32,20070,
2020-01-13,CHOLAFIN,EQ,316.05,320.70,312.80,319.95,314.10,1354842,4298.27,18606,
2020-01-14,CHOLAFIN,EQ,320.00,325.50,316.85,320.50,319.95,1171343,3764.68,16229,
2020-01-15,CHOLAFIN,EQ,319.90,333.45,317.00,331.65,320.50,1587871,5192.62,29581,
2020-01-16,CHOLAFIN,EQ,330.50,334.90,326.00,327.10,331.65,2175032,7189.24,17785,
2020-01-17,CHOLAFIN,EQ,325.00,329.85,323.20,325.25,327.10,931898,3048.29,31471,
2020-01-20,CHOLAFIN,EQ,327.25,327.25,318.25,319.20,325.25,683308,2202.24,21462,
2020-01-21,CHOLAFIN,EQ,315.60,318.85,308.95,314.95,319.20,2824500,8853.62,33969,
2020-01-22,CHOLAFIN,EQ,315.75,319.45,312.00,317.50,314.95,2017725,6364.60,22864,
2020-01-23,CHOLAFIN,EQ,318.75,325.00,313.65,323.50,317.50,4802353,15373.34,32455,
2020-01-24,CHOLAFIN,EQ,329.00,329.00,320.40,323.80,323.50,3994678,12962.24,41824,
2020-01-27,CHOLAFIN,EQ,323.05,336.80,323.05,329.45,323.80,4961789,16462.55,55440,
2020-01-28,CHOLAFIN,EQ,331.90,336.00,324.00,325.80,329.45,4294074,14057.51,44322,
2020-01-29,CHOLAFIN,EQ,327.00,333.75,324.00,327.65,325.80,6085725,19897.81,26066,
2020-01-30,CHOLAFIN,EQ,329.40,330.50,325.00,326.85,327.65,1485564,4873.26,17242,
2020-01-31,CHOLAFIN,EQ,327.65,334.30,324.25,327.55,326.85,1687153,5558.88,27402,
2020-02-03,CHOLAFIN,EQ,318.00,330.50,315.30,324.95,318.55,1061299,3448.88,36297,
2020-02-04,CHOLAFIN,EQ,326.00,334.50,325.70,332.25,324.95,1491701,4947.66,22805,
2020-02-05,CHOLAFIN,EQ,333.10,347.60,333.10,342.65,332.25,7914829,27136.07,70051,
2020-02-06,CHOLAFIN,EQ,345.30,349.00,328.95,340.20,342.65,4835953,16425.98,53153,
2020-02-07,CHOLAFIN,EQ,339.95,342.45,332.75,339.95,340.20,1819012,6138.32,29673,
2020-02-10,CHOLAFIN,EQ,339.95,339.95,332.05,335.60,339.95,835496,2805.02,23864,
2020-02-11,CHOLAFIN,EQ,336.50,341.75,332.25,333.30,335.60,977759,3286.99,19575,
2020-02-12,CHOLAFIN,EQ,333.50,339.80,333.50,338.85,333.30,1568078,5287.34,25260,
2020-02-13,CHOLAFIN,EQ,340.00,340.95,333.70,337.00,338.85,571382,1923.41,10830,
2020-02-14,CHOLAFIN,EQ,338.50,338.95,330.60,332.75,337.00,624421,2092.05,19558,
2020-02-17,CHOLAFIN,EQ,334.35,334.35,327.00,331.45,332.75,803122,2658.22,19865,
2020-02-18,CHOLAFIN,EQ,331.45,331.45,322.00,327.90,331.45,833069,2718.70,23152,
