date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,CIPLA,EQ,481.00,481.00,474.45,475.90,478.20,1316812,6284.56,18642,
2020-01-02,CIPLA,EQ,478.85,479.90,472.30,473.50,475.90,1406381,6689.22,23644,
2020-01-03,CIPLA,EQ,475.80,475.80,467.25,469.95,473.50,2252752,10615.92,44368,
2020-01-06,CIPLA,EQ,469.80,469.95,461.20,466.75,469.95,1501855,6994.42,34773,
2020-01-07,CIPLA,EQ,466.00,470.00,463.65,468.60,466.75,2365554,11033.98,32146,
2020-01-08,CIPLA,EQ,467.80,470.10,461.60,464.75,468.60,1507276,7021.37,22866,
2020-01-09,CIPLA,EQ,467.50,473.30,467.50,470.10,464.75,1700600,8003.67,28983,
2020-01-10,CIPLA,EQ,470.10,477.00,469.75,473.50,470.10,1213600,5759.12,21827,
2020-01-13,CIPLA,EQ,474.50,482.45,474.50,477.65,473.50,1229969,5880.67,16312,
2020-01-14,CIPLA,EQ,480.60,485.20,479.20,484.25,477.65,2160301,10428.24,71746,
2020-01-15,CIPLA,EQ,484.00,486.85,479.55,484.00,484.25,1413668,6824.89,28871,
2020-01-16,CIPLA,EQ,484.00,487.45,479.00,480.25,484.00,1694372,8172.53,36394,
2020-01-17,CIPLA,EQ,480.00,482.95,476.55,480.30,480.25,2039387,9798.64,33972,
2020-01-20,CIPLA,EQ,480.45,483.15,476.65,480.15,480.30,1206931,5794.70,34474,
2020-01-21,CIPLA,EQ,478.95,479.55,472.20,473.40,480.15,1448808,6894.66,27223,
2020-01-22,CIPLA,EQ,474.50,480.30,470.25,471.60,473.40,2380518,11346.04,48713,
2020-01-23,CIPLA,EQ,464.50,475.85,459.35,465.15,471.60,5783749,27177.43,76343,
2020-01-24,CIPLA,EQ,465.00,467.75,456.85,458.85,465.15,2713370,12538.59,69823,
2020-01-27,CIPLA,EQ,457.50,466.50,454.20,464.45,458.85,5849003,27087.43,69918,
2020-01-28,CIPLA,EQ,465.00,468.00,458.95,464.70,464.45,3592413,16691.13,101456,
2020-01-29,CIPLA,EQ,464.70,467.40,460.35,461.55,464.70,1737293,8058.35,56487,
2020-01-30,CIPLA,EQ,461.00,461.00,446.35,451.00,461.55,2766881,12525.87,71068,
2020-01-31,CIPLA,EQ,453.95,453.95,442.10,446.90,451.00,2184609,9792.15,92843,
2020-02-03,CIPLA,EQ,444.00,450.65,439.40,444.55,444.20,1690394,7506.95,48011,
2020-02-04,CIPLA,EQ,446.70,452.45,444.20,448.45,444.55,2030860,9125.99,43211,
2020-02-05,CIPLA,EQ,449.55,459.15,437.50,447.55,448.45,3637403,16265.18,60500,
2020-02-06,CIPLA,EQ,462.50,464.35,435.35,439.65,447.55,7118843,31761.18,125961,
2020-02-07,CIPLA,EQ,440.00,445.90,437.30,443.20,439.65,6386193,28245.49,65124,
2020-02-10,CIPLA,EQ,444.20,451.00,442.10,444.75,443.20,3557480,15866.27,34321,
2020-02-11,CIPLA,EQ,447.10,452.00,443.35,450.60,444.75,1889638,8479.44,37914,
2020-02-12,CIPLA,EQ,454.95,454.95,445.00,446.80,450.60,1683136,7539.17,39748,
2020-02-13,CIPLA,EQ,446.80,448.90,440.50,443.40,446.80,2041017,9068.24,59758,
2020-02-14,CIPLA,EQ,444.00,448.90,441.50,447.10,443.40,1814780,8084.48,42411,
2020-02-17,CIPLA,EQ,444.50,445.75,430.10,431.90,447.10,4581786,19873.96,80822,
2020-02-18,CIPLA,EQ,433.00,437.65,428.10,436.00,431.90,2453801,10630.78,33961,
2020-02-19,CIPLA,EQ,437.80,449.20,437.40,447.50,436.00,2359566,10501.62,40302,
2020-02-20,CIPLA,EQ,448.00,448.80,434.50,435.75,447.50,3048500,13411.89,56814,
2020-02-24,CIPLA,EQ,436.00,436.70,426.55,430.15,435.75,2569563,11051.76,70928,
2020-02-25,CIPLA,EQ,430.20,431.20,420.00,425.80,430.15,2438218,10365.28,35505,
2020-02-26,CIPLA,EQ,406.00,425.00,405.80,422.20,425.80,8068909,33827.87,107455,
2020-02-27,CIPLA,EQ,411.10,424.00,409.00,421.20,422.20,5109022,21242.67,89888,
2020-02-28,CIPLA,EQ,413.00,416.45,398.05,402.10,421.20,4200936,17122.63,86522,
2020-03-02,CIPLA,EQ,407.00,411.25,394.65,401.95,402.10,3460583,14065.23,82668,
2020-03-03,CIPLA,EQ,402.00,429.20,402.00,425.30,401.95,5476676,23005.15,93117,
2020-03-04,CIPLA,EQ,425.60,449.80,420.00,447.65,425.30,9297945,40869.87,123174,
2020-03-05,CIPLA,EQ,447.85,472.00,437.45,440.60,447.65,9637431,43284.15,111026,
2020-03-06,CIPLA,EQ,425.00,438.15,423.05,434.40,440.60,2916146,12612.69,50806,
2020-03-09,CIPLA,EQ,425.00,432.65,423.50,426.15,434.40,2986596,12774.07,44117,
2020-03-11,CIPLA,EQ,425.00,426.15,410.20,417.10,426.15,5314548,22132.76,126683,
2020-03-12,CIPLA,EQ,412.50,412.50,390.75,394.75,417.10,5636464,22359.98,94842,
2020-03-13,CIPLA,EQ,388.00,434.95,355.30,425.55,394.75,6096909,24967.95,150719,
2020-03-16,CIPLA,EQ,416.00,423.90,392.75,396.40,425.55,5394615,21984.21,89810,
2020-03-17,CIPLA,EQ,397.00,422.00,390.75,401.75,396.40,2989674,12266.42,83402,
2020-03-18,CIPLA,EQ,411.80,411.80,381.70,386.00,401.75,4200582,16727.27,114086,
2020-03-19,CIPLA,EQ,374.80,390.75,362.90,374.70,386.00,2926155,11026.02,85136,
