date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,COALINDIA,EQ,211.35,212.60,208.40,211.95,211.35,6447592,13585.57,48911,
2020-01-02,COALINDIA,EQ,212.50,212.80,208.30,211.10,211.95,5958343,12552.16,45875,
2020-01-03,COALINDIA,EQ,210.00,212.60,207.70,211.85,211.10,6452638,13580.96,43299,
2020-01-06,COALINDIA,EQ,209.95,209.95,203.45,205.70,211.85,6853058,14080.31,54913,
2020-01-07,COALINDIA,EQ,206.50,208.20,204.35,205.70,205.70,5243225,10827.65,44407,
2020-01-08,COALINDIA,EQ,203.00,204.55,198.20,200.20,205.70,7295998,14709.23,45845,
2020-01-09,COALINDIA,EQ,203.25,203.70,197.35,198.00,200.20,10321169,20521.03,60490,
2020-01-10,COALINDIA,EQ,199.15,206.55,198.95,205.30,198.00,13533598,27664.54,79389,
2020-01-13,COALINDIA,EQ,205.30,212.00,205.00,211.55,205.30,9863555,20731.04,55913,
2020-01-14,COALINDIA,EQ,211.15,213.50,209.75,212.95,211.55,5417581,11468.23,31792,
2020-01-15,COALINDIA,EQ,212.60,214.60,211.30,212.45,212.95,4863227,10361.04,31945,
2020-01-16,COALINDIA,EQ,212.45,212.70,207.10,210.25,212.45,6937929,14589.85,48580,
2020-01-17,COALINDIA,EQ,210.00,210.55,206.10,207.90,210.25,5985342,12454.95,41319,
2020-01-20,COALINDIA,EQ,208.00,209.80,200.50,201.15,207.90,8110607,16648.09,45643,
2020-01-21,COALINDIA,EQ,201.15,205.25,201.15,202.15,201.15,6347967,12927.69,43002,
2020-01-22,COALINDIA,EQ,199.10,199.40,190.95,191.90,202.15,19096395,37043.88,105972,
2020-01-23,COALINDIA,EQ,192.05,195.20,189.85,190.75,191.90,16369722,31441.31,71162,
2020-01-24,COALINDIA,EQ,193.00,196.30,192.15,193.95,190.75,10626281,20634.66,63929,
2020-01-27,COALINDIA,EQ,193.95,195.00,192.00,193.35,193.95,7195361,13933.78,33802,
2020-01-28,COALINDIA,EQ,193.90,194.25,188.40,189.15,193.35,10274562,19528.90,55958,
2020-01-29,COALINDIA,EQ,191.00,193.00,188.00,191.05,189.15,10602818,20307.53,60651,
2020-01-30,COALINDIA,EQ,191.40,192.35,187.50,187.95,191.05,10859103,20611.23,55217,
2020-01-31,COALINDIA,EQ,188.80,189.45,180.00,181.70,187.95,35281395,64706.59,146426,
2020-02-03,COALINDIA,EQ,174.90,179.45,172.15,178.65,173.50,15284598,27094.46,92895,
2020-02-04,COALINDIA,EQ,180.75,183.00,179.75,182.50,178.65,10043759,18241.01,61745,
2020-02-05,COALINDIA,EQ,184.00,184.00,178.50,179.25,182.50,9468632,17110.12,55574,
2020-02-06,COALINDIA,EQ,180.20,181.60,178.25,179.95,179.25,6917941,12435.53,54462,
2020-02-07,COALINDIA,EQ,180.30,186.05,178.10,185.05,179.95,13470302,24461.96,71587,
2020-02-10,COALINDIA,EQ,184.90,185.00,177.65,178.85,185.05,19665611,35369.56,96003,
2020-02-11,COALINDIA,EQ,180.00,181.50,176.25,179.35,178.85,16397703,29300.10,82010,
2020-02-12,COALINDIA,EQ,181.00,183.40,178.20,180.30,179.35,14669421,26456.07,83056,
2020-02-13,COALINDIA,EQ,180.30,180.95,175.85,177.80,180.30,11781999,20927.99,65495,
