date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,CUMMINSIND,EQ,550.85,553.95,548.40,552.15,550.85,148568,819.28,4549,
2020-01-02,CUMMINSIND,EQ,550.10,571.00,550.10,569.05,552.15,702328,3956.56,8307,
2020-01-03,CUMMINSIND,EQ,572.50,589.65,565.00,573.00,569.05,1823916,10564.30,28675,
2020-01-06,CUMMINSIND,EQ,570.30,581.70,562.40,570.70,573.00,880116,5048.22,28223,
2020-01-07,CUMMINSIND,EQ,576.00,582.85,570.50,573.55,570.70,620142,3572.19,18212,
2020-01-08,CUMMINSIND,EQ,567.85,582.70,564.25,578.40,573.55,574685,3314.01,19821,
2020-01-09,CUMMINSIND,EQ,579.10,596.70,579.10,592.25,578.40,788564,4661.65,19141,
2020-01-10,CUMMINSIND,EQ,593.30,600.90,584.15,588.10,592.25,603502,3579.93,11079,
2020-01-13,CUMMINSIND,EQ,591.90,592.40,586.00,590.40,588.10,242018,1427.93,4791,
2020-01-14,CUMMINSIND,EQ,591.85,598.80,589.45,593.45,590.40,298076,1770.08,8064,
2020-01-15,CUMMINSIND,EQ,593.80,595.00,577.05,580.35,593.45,541744,3155.50,12689,
2020-01-16,CUMMINSIND,EQ,582.00,597.25,582.00,591.80,580.35,749424,4417.06,20648,
2020-01-17,CUMMINSIND,EQ,595.45,597.10,577.45,578.90,591.80,470283,2758.36,13508,
2020-01-20,CUMMINSIND,EQ,581.70,588.90,573.00,584.15,578.90,425150,2474.22,14987,
2020-01-21,CUMMINSIND,EQ,580.00,592.00,578.70,580.40,584.15,361234,2115.25,9740,
2020-01-22,CUMMINSIND,EQ,579.90,587.65,579.90,584.15,580.40,215727,1260.12,7569,
2020-01-23,CUMMINSIND,EQ,587.00,587.00,568.00,569.35,584.15,608267,3489.04,12420,
2020-01-24,CUMMINSIND,EQ,570.90,606.00,570.35,595.15,569.35,1515868,9008.95,29287,
2020-01-27,CUMMINSIND,EQ,594.00,608.95,590.15,605.25,595.15,1922343,11617.38,33669,
2020-01-28,CUMMINSIND,EQ,608.40,614.40,583.60,588.35,605.25,1051918,6341.09,26087,
2020-01-29,CUMMINSIND,EQ,624.00,652.80,594.00,601.20,588.35,18713513,115765.72,313450,
2020-01-30,CUMMINSIND,EQ,597.90,600.95,580.10,584.60,601.20,1929888,11376.58,40073,
2020-01-31,CUMMINSIND,EQ,585.00,595.45,572.20,574.55,584.60,991940,5753.65,23561,
2020-02-03,CUMMINSIND,EQ,562.00,569.85,555.00,560.95,562.10,559415,3138.51,13683,
2020-02-04,CUMMINSIND,EQ,561.00,572.20,561.00,564.75,560.95,279291,1582.81,6693,
2020-02-05,CUMMINSIND,EQ,566.90,580.50,566.05,570.40,564.75,489017,2800.74,15197,
2020-02-06,CUMMINSIND,EQ,573.20,577.00,564.00,567.70,570.40,360422,2049.28,10050,
2020-02-07,CUMMINSIND,EQ,560.95,563.90,552.15,558.05,567.70,598230,3334.24,16894,
2020-02-10,CUMMINSIND,EQ,560.80,561.50,541.15,546.70,558.05,748649,4095.22,17677,
2020-02-11,CUMMINSIND,EQ,548.10,556.95,544.00,545.85,546.70,322707,1769.39,10120,
2020-02-12,CUMMINSIND,EQ,545.80,556.35,543.00,551.10,545.85,455991,2506.99,10513,
2020-02-13,CUMMINSIND,EQ,550.00,554.80,546.15,549.05,551.10,314176,1727.62,6969,
2020-02-14,CUMMINSIND,EQ,547.00,552.20,535.45,536.95,549.05,332513,1806.74,8537,
2020-02-17,CUMMINSIND,EQ,534.00,539.45,528.65,536.75,536.95,391945,2099.68,8987,
2020-02-18,CUMMINSIND,EQ,536.35,536.50,523.55,530.40,536.75,464714,2452.25,15655,
2020-02-19,CUMMINSIND,EQ,531.15,544.45,531.15,539.80,530.40,292470,1574.15,7010,
2020-02-20,CUMMINSIND,EQ,539.85,556.50,539.85,554.75,539.80,493528,2715.98,17322,
2020-02-24,CUMMINSIND,EQ,555.00,559.40,542.10,545.00,554.75,501427,2763.75,11781,
2020-02-25,CUMMINSIND,EQ,544.00,547.55,531.40,535.65,545.00,304682,1642.67,7155,
2020-02-26,CUMMINSIND,EQ,535.00,543.50,527.00,533.35,535.65,415081,2219.55,10044,
2020-02-27,CUMMINSIND,EQ,535.00,535.35,511.20,518.10,533.35,903380,4675.37,23677,
2020-02-28,CUMMINSIND,EQ,509.45,515.00,496.60,510.95,518.10,583329,2951.36,23911,
2020-03-02,CUMMINSIND,EQ,513.00,521.55,497.00,500.40,510.95,432302,2208.20,9142,
2020-03-03,CUMMINSIND,EQ,502.80,550.40,500.10,506.25,500.40,579484,2924.91,16432,
2020-03-04,CUMMINSIND,EQ,506.00,511.65,492.00,497.70,506.25,670122,3353.15,16545,
2020-03-05,CUMMINSIND,EQ,499.70,508.90,494.50,502.55,497.70,375385,1881.47,10291,
2020-03-06,CUMMINSIND,EQ,492.00,509.00,483.60,503.60,502.55,336317,1670.70,11085,
2020-03-09,CUMMINSIND,EQ,499.05,499.05,477.50,482.45,503.60,644253,3137.95,13043,
2020-03-11,CUMMINSIND,EQ,485.00,489.50,471.45,477.80,482.45,480834,2314.05,9597,
2020-03-12,CUMMINSIND,EQ,465.00,465.00,418.50,448.30,477.80,1268931,5615.59,33180,
2020-03-13,CUMMINSIND,EQ,410.00,453.90,404.00,447.80,448.30,463441,2017.86,14247,
2020-03-16,CUMMINSIND,EQ,437.00,443.35,415.80,437.65,447.80,787495,3421.98,10505,
2020-03-17,CUMMINSIND,EQ,430.00,460.00,417.30,446.55,437.65,898666,4019.40,13776,
2020-03-18,CUMMINSIND,EQ,449.05,451.20,431.55,441.70,446.55,461346,2032.55,13476,
2020-03-19,CUMMINSIND,EQ,430.00,442.00,414.00,420.10,441.70,2095708,8818.44,28997,
2020-03-20,CUMMINSIND,EQ,421.50,436.40,414.90,422.15,420.10,1706018,7198.14,20825,
2020-03-23,CUMMINSIND,EQ,408.20,414.75,388.00,395.90,422.15,1744984,6901.71,10121,
2020-03-24,CUMMINSIND,EQ,400.00,414.00,385.00,395.35,395.90,738512,2939.43,14877,
2020-03-25,CUMMINSIND,EQ,390.00,392.90,365.80,369.75,395.35,1460575,5450.37,32859,
2020-03-26,CUMMINSIND,EQ,372.00,389.70,365.20,379.30,369.75,793362,3014.75,15699,
2020-03-27,CUMMINSIND,EQ,390.00,395.00,348.20,357.60,379.30,668074,2447.14,23884,
2020-03-30,CUMMINSIND,EQ,351.00,357.00,326.70,331.60,357.60,1364098,4654.98,31194,
2020-03-31,CUMMINSIND,EQ,340.00,347.95,322.75,326.70,331.60,1344531,4465.53,40550,
2020-04-01,CUMMINSIND,EQ,328.65,330.90,304.45,308.50,326.70,1195274,3759.52,37207,
2020-04-03,CUMMINSIND,EQ,311.00,314.95,296.45,298.65,308.50,1396809,4235.99,24945,
2020-04-07,CUMMINSIND,EQ,315.80,315.80,283.00,287.15,298.65,3777546,11037.90,60863,
2020-04-08,CUMMINSIND,EQ,286.00,338.05,280.00,330.05,287.15,5604056,17739.83,88848,
2020-04-09,CUMMINSIND,EQ,340.00,358.95,334.20,353.40,330.05,2857017,9944.58,64942,
2020-04-13,CUMMINSIND,EQ,359.00,371.95,341.00,362.00,353.40,1997978,7184.14,32826,
2020-04-15,CUMMINSIND,EQ,360.15,388.00,360.15,375.40,362.00,2314627,8770.13,38733,
2020-04-16,CUMMINSIND,EQ,370.00,396.00,362.50,389.80,375.40,2037046,7803.29,32953,
2020-04-17,CUMMINSIND,EQ,400.00,406.00,392.05,403.90,389.80,1229378,4905.32,26045,
2020-04-20,CUMMINSIND,EQ,407.95,411.05,396.60,400.40,403.90,1361181,5521.44,27109,
2020-04-21,CUMMINSIND,EQ,400.25,406.75,382.40,401.25,400.40,1674880,6669.33,27098,
2020-04-22,CUMMINSIND,EQ,404.25,414.00,399.00,411.55,401.25,783606,3204.95,15992,
2020-04-23,CUMMINSIND,EQ,414.50,424.20,405.00,419.15,411.55,1487449,6180.14,33536,
2020-04-24,CUMMINSIND,EQ,420.95,426.55,377.25,384.95,419.15,1276331,5180.23,32809,
2020-04-27,CUMMINSIND,EQ,382.00,382.00,358.50,369.65,384.95,2774768,10176.69,54844,
2020-04-28,CUMMINSIND,EQ,371.05,388.45,363.65,386.25,369.65,2175035,8184.59,43482,
2020-04-29,CUMMINSIND,EQ,394.55,395.85,375.00,378.95,386.25,1629667,6313.02,34111,
2020-04-30,CUMMINSIND,EQ,379.00,382.00,371.00,377.50,378.95,1797179,6752.21,38906,
2020-05-04,CUMMINSIND,EQ,358.00,382.00,354.00,373.00,377.50,2134801,7945.85,29568,
2020-05-05,CUMMINSIND,EQ,367.35,374.30,365.15,366.75,373.00,1427683,5265.12,30149,
2020-05-06,CUMMINSIND,EQ,370.00,379.25,358.40,369.85,366.75,2912933,10800.46,25290,
2020-05-07,CUMMINSIND,EQ,372.20,374.85,355.00,358.25,369.85,1013292,3721.83,23075,
2020-05-08,CUMMINSIND,EQ,361.10,367.00,352.15,358.10,358.25,960318,3448.75,17441,
2020-05-11,CUMMINSIND,EQ,358.85,375.70,358.55,368.95,358.10,1902973,7062.09,26114,
2020-05-12,CUMMINSIND,EQ,364.15,367.50,347.05,354.35,368.95,2190667,7765.31,24359,
2020-05-13,CUMMINSIND,EQ,366.00,374.65,361.15,362.65,354.35,2026539,7414.21,31416,
2020-05-14,CUMMINSIND,EQ,359.65,368.60,344.50,347.25,362.65,7244155,25411.97,34747,
2020-05-15,CUMMINSIND,EQ,351.95,353.00,335.00,338.35,347.25,5797111,19906.27,53003,
2020-05-18,CUMMINSIND,EQ,338.30,338.35,311.20,317.50,338.35,2742340,8812.19,37985,
2020-05-19,CUMMINSIND,EQ,322.00,332.00,315.95,326.95,317.50,2120543,6942.05,36867,
2020-05-20,CUMMINSIND,EQ,325.55,334.85,324.00,333.30,326.95,910470,3013.17,15303,
2020-05-21,CUMMINSIND,EQ,333.00,343.65,328.05,337.50,333.30,721427,2445.22,16828,
2020-05-22,CUMMINSIND,EQ,335.30,339.10,326.55,329.70,337.50,933192,3093.11,15489,
2020-05-26,CUMMINSIND,EQ,334.00,342.50,330.00,340.75,329.70,807861,2722.19,13044,
2020-05-27,CUMMINSIND,EQ,343.50,347.00,338.45,345.05,340.75,891151,3057.80,18932,
2020-05-28,CUMMINSIND,EQ,348.50,361.40,342.75,359.70,345.05,948477,3354.92,18673,
